name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000
TotalAssets,"24,374,200,000","20,946,771,000","19,481,157,000","18,895,723,000","18,556,908,000","17,794,374,000","17,152,877,000","15,004,887,000","13,085,866,000","12,916,016,000","12,809,486,000","12,779,438,000","12,505,827,000","12,573,192,000","12,405,132,000","12,385,540,000","12,264,255,000","11,915,460,000","11,129,027,000","10,837,410,000","10,731,803,000","10,708,655,000","10,297,615,000","9,928,473,000","9,781,331,000","9,626,108,000","9,413,996,000","8,246,303,000","7,663,903,000","7,566,986,000","7,525,889,000","7,352,066,000","7,398,237,000","7,425,419,000","7,243,293,000","7,162,635,000","6,849,368,000","6,802,259,000","6,699,235,000","6,737,106,000","7,173,693,000","6,983,420,000","7,159,123,000","7,409,669,000","7,973,592,000","7,443,196,000","7,013,049,000","7,652,484,000","7,837,018,000","7,999,914,000","8,443,617,000","8,403,046,000","8,140,909,000","8,520,765,000","8,072,543,000","8,264,051,000","8,386,255,000","8,207,302,000","8,180,600,000","8,087,667,000","7,186,602,000","7,101,249,000","6,455,290,000","6,331,136,000","6,070,596,000","5,865,756,000","5,709,666,000","5,540,242,000","5,265,771,000","5,087,702,000","4,592,655,000","4,525,446,000","4,118,188,000","4,068,834,000","3,942,139,000","3,905,929,000","3,579,004,000","3,211,344,000","3,142,393,000","3,014,608,000","2,871,843,000","2,749,257,000","2,561,368,000","2,568,227,000","2,584,097,000","2,528,879,000","2,499,693,000","2,227,667,000","2,174,621,000"
TotalLiabilitiesNetMinorityInterest,"21,679,185,000","18,724,526,000","17,358,799,000","16,809,437,000","16,525,824,000","15,786,844,000","15,185,622,000","13,233,242,000","11,445,254,000","11,280,324,000","11,204,061,000","11,213,104,000","10,997,669,000","11,115,638,000","11,003,250,000","11,006,431,000","10,907,500,000","10,612,126,000","9,908,387,000","9,704,769,000","9,630,260,000","9,632,920,000","9,218,322,000","8,868,736,000","8,747,606,000","8,607,823,000","8,400,859,000","7,419,071,000","6,900,198,000","6,827,409,000","6,789,464,000","6,630,097,000","6,694,507,000","6,629,704,000","6,391,076,000","6,333,332,000","6,257,150,000","6,220,854,000","6,113,980,000","6,161,111,000","6,594,154,000","6,407,934,000","6,310,906,000","6,549,694,000","7,123,444,000","6,807,681,000","6,350,574,000","6,748,067,000","6,911,123,000","7,037,593,000","7,436,979,000","7,547,774,000","7,252,056,000","7,531,383,000","7,255,663,000","7,426,161,000","7,514,803,000","7,375,400,000","7,346,839,000","7,258,936,000","6,548,146,000","6,484,482,000","5,928,556,000","5,834,839,000","5,585,182,000","5,393,070,000","5,285,666,000","5,124,248,000","4,866,885,000","4,690,614,000","4,244,860,000","4,194,988,000","3,806,941,000","3,769,461,000","3,652,426,000","3,620,429,000","3,333,305,000","2,989,765,000","2,926,963,000","2,805,021,000","2,675,140,000","2,554,592,000","2,376,723,000","2,393,913,000","2,415,162,000","2,370,491,000","2,352,035,000","2,110,677,000","2,076,165,000"
TotalEquityGrossMinorityInterest,"2,695,015,000","2,222,245,000","2,122,358,000","2,086,286,000","2,031,084,000","2,007,530,000","1,967,255,000","1,771,645,000","1,640,612,000","1,635,692,000","1,605,425,000","1,566,334,000","1,508,158,000","1,457,554,000","1,401,882,000","1,379,109,000","1,356,755,000","1,303,334,000","1,220,640,000","1,132,641,000","1,101,543,000","1,075,735,000","1,079,293,000","1,059,737,000","1,033,725,000","1,018,285,000","1,013,137,000","827,232,000","763,705,000","739,577,000","736,425,000","721,969,000","703,730,000","795,715,000","852,217,000","829,303,000","592,218,000","581,405,000","585,255,000","575,995,000","579,539,000","575,486,000","848,217,000","859,975,000","850,148,000","635,515,000","662,475,000","904,417,000","925,895,000","962,321,000","1,006,638,000","855,272,000","888,853,000","989,382,000","816,880,000","837,890,000","871,452,000","831,902,000","833,761,000","828,731,000","638,456,000","616,767,000","526,734,000","496,297,000","485,414,000","472,686,000","424,000,000","415,994,000","398,886,000","397,088,000","347,795,000","330,458,000","311,247,000","299,373,000","289,713,000","285,500,000","245,699,000","221,579,000","215,430,000","209,587,000","196,703,000","194,665,000","184,645,000","174,314,000","168,935,000","158,388,000","147,658,000","116,990,000","98,456,000"
	StockholdersEquity,"2,695,015,000","2,222,245,000","2,122,358,000","2,086,286,000","2,031,084,000","2,007,530,000","1,967,255,000","1,771,645,000","1,640,612,000","1,635,692,000","1,605,425,000","1,566,334,000","1,508,158,000","1,457,554,000","1,401,882,000","1,379,109,000","1,356,755,000","1,303,334,000","1,220,640,000","1,132,641,000","1,101,543,000","1,075,735,000","1,079,293,000","1,059,737,000","1,033,725,000","1,018,285,000","1,013,137,000","827,232,000","763,705,000","739,577,000","736,425,000","721,969,000","703,730,000","795,715,000","852,217,000","829,303,000","592,218,000","581,405,000","585,255,000","575,995,000","579,539,000","575,486,000","848,217,000","859,975,000","850,148,000","635,515,000","662,475,000","904,417,000","925,895,000","962,321,000","1,006,638,000","855,272,000","888,853,000","989,382,000","816,880,000","837,890,000","871,452,000","831,902,000","833,761,000","828,731,000","638,456,000","616,767,000","526,734,000","496,297,000","485,414,000","472,686,000","424,000,000","415,994,000","398,886,000","397,088,000","347,795,000","330,458,000","311,247,000","299,373,000","289,713,000","285,500,000","245,699,000","221,579,000","215,430,000","209,587,000","196,703,000","194,665,000","184,645,000","174,314,000","168,935,000","158,388,000","147,658,000","116,990,000","98,456,000"
		CapitalStock,"202,447,000","185,772,000","182,981,000","183,087,000","183,199,000","183,097,000","183,033,000","174,995,000","78,284,000","79,014,000","78,974,000","79,075,000","79,035,000","79,234,000","79,202,000","79,138,000","79,123,000","77,580,000","73,403,000","70,981,000","70,973,000","70,899,000","70,861,000","71,122,000","71,545,000","81,476,000","81,464,000","72,693,000","60,309,000","60,259,000","60,248,000","60,139,000","60,092,000","181,044,000","255,956,000","253,984,000","253,535,000","253,128,000","255,970,000","255,178,000","254,832,000","254,716,000","254,669,000","254,265,000","648,133,000","274,507,000","273,989,000","273,446,000","273,247,000","97,860,000","271,684,000","226,318,000","222,547,000","222,247,000","49,067,000","49,067,000","49,067,000","49,067,000","49,067,000","49,103,000","43,360,000","43,213,000","40,591,000","40,501,000","40,441,000","40,342,000","38,780,000","38,780,000","38,856,000","38,856,000","37,069,000","37,104,000","36,190,000","24,363,000","24,459,000","24,459,000","23,898,000","23,532,000","23,532,000","23,532,000","23,532,000","12,629,000","12,271,000","12,271,000","13,396,000","13,388,000","13,388,000","8,397,000","8,034,000"
			PreferredStock,"96,422,000","96,422,000","96,422,000","96,422,000","96,422,000","96,422,000","96,422,000","96,660,000",,,,,,,,,,,,,"0","0",,"0","0","9,992,000","9,992,000","9,992,000",,"0","0","0","0","121,613,000","196,544,000","196,153,000","195,767,000","195,387,000","195,013,000","194,644,000","194,281,000","193,922,000","193,569,000","193,222,000","539,936,000","175,928,000","175,595,000","175,267,000","174,944,000","217,000","174,312,000","174,002,000","173,738,000","173,438,000","258,000","258,000","258,000","258,000","258,000","322,000","322,000","322,000","322,000","322,000","322,000","322,000","372,000","372,000","448,000","448,000","448,000","483,000","483,000","559,000","655,000","655,000","1,271,000","1,726,000","1,726,000","1,726,000","1,726,000","1,726,000","1,726,000","1,726,000","2,874,000","2,874,000","2,874,000","0","0"
			CommonStock,"106,025,000","89,350,000","86,559,000","86,665,000","86,777,000","86,675,000","86,611,000","78,335,000","78,284,000","79,014,000","78,974,000","79,075,000","79,035,000","79,234,000","79,202,000","79,138,000","79,123,000","77,580,000","73,403,000","70,981,000","70,973,000","70,899,000","70,861,000","71,122,000","71,545,000","71,484,000","71,472,000","62,701,000","60,309,000","60,259,000","60,248,000","60,139,000","60,092,000","59,431,000","59,412,000","57,831,000","57,768,000","57,741,000","60,957,000","60,534,000","60,551,000","60,794,000","61,100,000","61,043,000","108,197,000","98,579,000","98,394,000","98,179,000","98,303,000","97,643,000","97,372,000","52,316,000","48,809,000","48,809,000","48,809,000","48,809,000","48,809,000","48,809,000","48,809,000","48,781,000","43,038,000","42,891,000","40,269,000","40,179,000","40,119,000","40,020,000","38,408,000","38,408,000","38,408,000","38,408,000","36,621,000","36,621,000","35,707,000","23,804,000","23,804,000","23,804,000","22,627,000","21,806,000","21,806,000","21,806,000","21,806,000","10,903,000","10,545,000","10,545,000","10,522,000","10,514,000","10,514,000","8,397,000","8,034,000"
		AdditionalPaidInCapital,"2,302,189,000","1,721,007,000","1,631,709,000","1,636,875,000","1,640,583,000","1,638,999,000","1,637,467,000","1,480,464,000","1,478,719,000","1,496,641,000","1,495,267,000","1,498,740,000","1,494,400,000","1,499,584,000","1,498,199,000","1,497,517,000","1,496,307,000","1,451,814,000","1,341,346,000","1,277,822,000","1,275,954,000","1,275,849,000","1,274,909,000","1,279,383,000","1,286,884,000","1,286,361,000","1,284,877,000","1,123,730,000","1,081,110,000","1,080,508,000","1,091,555,000","1,091,780,000","1,091,696,000","1,078,676,000","1,077,536,000","1,057,931,000","1,059,222,000","1,057,951,000","1,056,998,000","1,056,819,000","1,056,135,000","1,054,940,000","1,052,690,000","1,051,607,000","655,350,000","665,496,000","664,605,000","663,836,000","622,803,000","622,034,000","620,494,000","450,514,000","452,277,000","460,708,000","457,779,000","462,939,000","463,095,000","462,881,000","462,499,000","461,226,000","273,575,000","270,383,000","199,773,000","197,235,000","195,382,000","193,355,000","153,712,000","154,480,000","154,535,000","155,076,000","116,075,000","116,129,000","95,532,000","107,854,000","106,925,000","108,905,000","81,622,000","62,495,000","62,419,000","62,510,000","62,554,000","73,732,000","59,929,000","59,930,000","59,486,000","59,386,000","59,409,000","43,880,000","30,310,000"
		RetainedEarnings,"354,409,000","330,654,000","298,503,000","244,006,000","192,185,000","136,869,000","94,938,000","64,990,000","54,206,000","40,152,000","5,594,000","-29,116,000","-59,573,000","-90,419,000","-122,679,000","-154,290,000","-181,877,000","-209,902,000","-192,128,000","-212,607,000","-234,384,000","-251,857,000","-273,314,000","-293,424,000","-313,646,000","-330,879,000","-344,746,000","-358,294,000","-372,933,000","-387,568,000","-402,773,000","-418,583,000","-433,130,000","-448,091,000","-461,090,000","-473,531,000","-700,440,000","-709,153,000","-711,369,000","-718,896,000","-722,363,000","-730,861,000","-485,451,000","-476,230,000","-480,831,000","-335,567,000","-316,587,000","-77,590,000","-15,481,000","20,384,000","62,786,000","136,624,000","158,201,000","265,405,000","317,544,000","362,089,000","359,248,000","347,391,000","347,478,000","329,229,000","321,721,000","306,261,000","291,281,000","277,086,000","263,384,000","250,563,000","238,144,000","226,546,000","215,466,000","204,709,000","194,350,000","184,572,000","175,700,000","166,887,000","158,464,000","149,843,000","142,178,000","135,709,000","128,504,000","121,467,000","114,729,000","108,371,000","103,061,000","96,912,000","91,057,000","85,718,000","80,380,000","73,421,000","69,807,000"
		TreasuryStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","5,992,000","16,465,000","27,024,000","39,222,000","41,351,000","43,798,000","30,969,000",,,,,,,,"671,000","2,517,000","3,074,000","4,413,000","6,251,000","6,393,000","6,414,000","7,120,000","8,015,000","11,394,000","13,054,000","11,432,000","9,401,000","7,637,000","7,907,000","5,749,000",,,,,,,
