name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012
TotalAssets,"581,412,000","609,366,000","632,704,000","436,378,000","379,719,000","332,975,000","355,784,000","378,933,000","399,421,000","419,268,000","450,894,000","462,072,000","459,534,000","498,796,000","524,626,000","563,300,000","606,647,000","496,329,000","537,680,000","579,000,000","581,950,000","459,976,000","479,582,000","502,562,000","491,308,000","385,236,000","398,930,000","411,164,000","289,585,000","304,116,000","313,597,000","311,685,000","203,810,000","182,410,000","107,936,000","117,930,000","124,268,000","129,283,000"
	CurrentAssets,"555,620,000","584,809,000","607,530,000","409,468,000","352,301,000","299,284,000","320,485,000","341,123,000","359,691,000","378,375,000","409,202,000","418,708,000","415,193,000","431,390,000","456,908,000","494,037,000","537,153,000","426,327,000","469,064,000","511,720,000","514,204,000","391,362,000","415,638,000","450,598,000","482,092,000","377,403,000","393,576,000","406,200,000","284,419,000","299,275,000","308,819,000","307,019,000","199,598,000","178,222,000","102,938,000","113,594,000","120,791,000","125,841,000"
		CashCashEquivalentsAndShortTermInvestments,"542,994,000","579,094,000","600,098,000","399,831,000","342,993,000","295,380,000","314,525,000","333,942,000","352,685,000","375,723,000","390,304,000","398,144,000","410,106,000","427,659,000","451,512,000","486,212,000","429,039,000","417,620,000","456,061,000","471,729,000","506,550,000","386,923,000","408,574,000","442,948,000","474,252,000","370,586,000","387,802,000","402,389,000","279,857,000","293,579,000","306,153,000","303,851,000","195,052,000","176,677,000","101,859,000","112,507,000","119,563,000","124,860,000"
			CashAndCashEquivalents,"542,994,000","579,094,000","600,098,000","399,831,000","342,993,000","295,380,000","314,525,000","333,942,000","352,685,000","375,723,000","390,304,000","398,144,000","410,106,000","427,659,000","451,512,000","486,212,000","429,039,000","417,620,000","456,061,000","471,729,000","506,550,000","386,923,000","408,574,000","442,948,000","474,252,000","370,586,000","387,802,000","402,389,000","279,857,000","293,579,000","306,153,000","303,851,000","195,052,000","176,677,000","101,859,000","112,507,000","119,563,000","124,860,000"
		Receivables,,"0","79,000","3,000","1,000","15,000","22,000","56,000","174,000","68,000",,,,"2,000","0","8,000","100,012,000","240,000","220,000","30,240,000","271,000","178,000","409,000","364,000","1,003,000","509,000","814,000","961,000","1,387,000","1,759,000","1,059,000","1,537,000","2,207,000","58,000","54,000","55,000","261,000","223,000"
			AccountsReceivable,,"0","79,000","3,000","1,000","15,000","22,000","56,000","174,000","68,000",,,,"2,000","0","8,000","100,012,000","240,000","220,000","30,240,000","271,000","178,000","409,000","364,000","1,003,000","509,000","814,000","961,000","1,357,000","1,729,000","967,000","1,491,000","2,161,000",,,,,
			DuefromRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","30,000","30,000","92,000","46,000","46,000","58,000","54,000","55,000","261,000","223,000"
		PrepaidAssets,"12,626,000","5,715,000","7,353,000","8,282,000","7,955,000","2,537,000","4,586,000","7,125,000","6,832,000","2,584,000","18,898,000","19,212,000","3,735,000","3,729,000","5,396,000","7,817,000","8,102,000","8,467,000","12,783,000","9,751,000","7,383,000","4,261,000","6,655,000","7,286,000","6,837,000","6,308,000","4,786,000","2,685,000","3,012,000","3,770,000","1,518,000","1,549,000","2,262,000","1,406,000","758,000","959,000","894,000","685,000"
		RestrictedCash,,"0","0","1,352,000","1,352,000","1,352,000","1,352,000",,,,,"1,352,000","1,352,000",,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,"174,000","165,000","163,000","167,000","89,000","82,000","77,000","81,000","267,000","73,000","73,000","73,000"
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,"174,000","165,000","163,000","167,000","89,000","82,000","77,000","81,000","267,000","73,000","73,000","73,000"
		OtherCurrentAssets,,,,,,,,,,,,,,"3,729,000","5,396,000",,,"8,707,000",,"39,991,000",,"4,439,000",,,,"6,817,000","5,774,000","3,811,000",,"5,696,000","2,666,000","3,168,000",,"1,545,000",,,,
	TotalNonCurrentAssets,"25,792,000","24,557,000","25,174,000","26,910,000","27,418,000","33,691,000","35,299,000","37,810,000","39,730,000","40,893,000","41,692,000","43,364,000","44,341,000","67,406,000","67,718,000","69,263,000","69,494,000","70,002,000","68,616,000","67,280,000","67,746,000","68,614,000","63,944,000","51,964,000","9,216,000","7,833,000","5,354,000","4,964,000","5,166,000","4,841,000","4,778,000","4,666,000","4,212,000","4,188,000","4,998,000","4,336,000","3,477,000","3,442,000"
		NetPPE,"12,529,000","14,135,000","15,511,000","17,076,000","18,706,000","20,362,000","22,096,000","23,785,000","25,460,000","27,148,000","28,852,000","30,245,000","31,866,000","52,835,000","52,951,000","53,398,000","54,278,000","54,990,000","55,384,000","55,843,000","56,084,000","56,452,000","51,738,000","41,852,000","3,924,000","3,862,000","2,930,000","2,816,000","2,956,000","3,121,000","3,282,000","3,340,000","3,233,000","3,372,000","3,581,000","3,729,000","3,371,000","3,393,000"
