name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004
			ChangeInOtherWorkingCapital,"-153,000,000","-418,000,000","626,000,000","-183,000,000","-178,000,000","-4,000,000","89,000,000","-198,000,000","80,000,000","-32,000,000","-4,000,000","-14,000,000","13,000,000","58,000,000","-61,000,000","35,000,000","-88,000,000","31,000,000","-163,000,000","-71,000,000","38,000,000","63,000,000","-8,000,000","-2,000,000","5,000,000","3,000,000","-30,000,000","-39,000,000","63,000,000","43,000,000","123,000,000","16,000,000","48,000,000","11,000,000","-37,000,000","-15,000,000","51,000,000","-61,000,000",,,,"29,500,000",,,,"32,100,000",,"-67,200,000",,,,,,,,,"-312,818,000","220,671,000",,"-165,926,000","-2,817,000","142,703,000",,"-108,424,000","-29,087,000","141,474,000","34,347,000","110,887,000","-6,261,000","53,539,000","-284,519,000"
		DividendReceivedCFO,"124,000,000","25,000,000","77,000,000","13,000,000","9,000,000","7,000,000","0","0","0","0","0","0","2,000,000","3,000,000","2,000,000","1,000,000","2,000,000","1,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InvestingCashFlow,"-9,803,000,000","-3,414,000,000","-2,586,000,000","-1,745,000,000","-2,058,000,000","-1,060,000,000","-1,291,000,000","-687,000,000","86,000,000","-439,000,000","-359,000,000","-281,000,000","26,000,000","94,000,000","-312,000,000","-96,000,000","86,000,000","-32,000,000","-96,000,000","-224,000,000","180,000,000","45,000,000","38,000,000","-192,000,000","-271,000,000","171,000,000","-149,000,000","-316,000,000","-107,000,000","1,000,000","-274,000,000","-68,000,000","227,000,000","-2,605,000,000","98,000,000","-97,000,000","-38,000,000","-23,000,000","-159,100,000","-40,900,000","-67,900,000","-42,100,000","193,200,000","-34,100,000","-14,000,000","4,400,000","20,100,000","-107,100,000","290,800,000","128,900,000","12,208,000","-135,202,000","-175,587,000","-70,019,000","-28,656,000","-79,977,000","-21,381,000","105,088,000","-477,733,000","15,272,000","97,720,000","-150,876,000","-51,523,000","-21,960,000","-97,823,000","55,588,000","-4,265,000","-70,782,000","-300,153,000","-39,728,000","85,926,000"
	CashFlowFromContinuingInvestingActivities,"-9,803,000,000","-3,414,000,000","-2,586,000,000","-1,745,000,000","-2,058,000,000","-1,060,000,000","-1,291,000,000","-687,000,000","86,000,000","-439,000,000","-359,000,000","-281,000,000","26,000,000","94,000,000","-312,000,000","-96,000,000","86,000,000","-32,000,000","-96,000,000","-224,000,000","180,000,000","45,000,000","38,000,000","-192,000,000","-271,000,000","171,000,000","-149,000,000","-316,000,000","-107,000,000","1,000,000","-274,000,000","-68,000,000","227,000,000","-2,605,000,000","98,000,000","-97,000,000","-38,000,000","-23,000,000","-159,100,000","-40,900,000","-67,900,000","-42,100,000","193,200,000","-34,100,000","-14,000,000","4,400,000","20,100,000","-107,100,000","290,800,000","128,900,000","12,208,000","-135,202,000","-175,587,000","-70,019,000","-28,656,000","-79,977,000","-21,381,000","105,088,000","-477,733,000","15,272,000","97,720,000","-150,876,000","-51,523,000","-21,960,000","-97,823,000","55,588,000","-4,265,000","-70,782,000","-300,153,000","-39,728,000","85,926,000"
		CapitalExpenditureReported,,,,,,"-22,000,000","-35,000,000","-27,000,000","-20,000,000","-28,000,000","-27,000,000","-22,000,000","-25,000,000","-22,000,000","-27,000,000","-17,000,000","-19,000,000","-20,000,000","-17,000,000","-43,000,000","-43,000,000","-46,000,000","-60,000,000","-50,000,000","-130,000,000","-50,000,000","-69,000,000","-69,000,000","-60,000,000","-43,000,000","-66,000,000","-61,000,000","-47,000,000","-36,000,000","-47,000,000","-33,000,000","-38,000,000","-27,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetPPEPurchaseAndSale,"-147,000,000","-38,000,000","-41,000,000","-39,000,000","-29,000,000","-22,000,000","-35,000,000","-27,000,000","-20,000,000","-19,000,000","-24,000,000","-21,000,000","-25,000,000","-22,000,000","-27,000,000","-17,000,000","-19,000,000","1,000,000","-17,000,000","-43,000,000","-43,000,000","-46,000,000","-60,000,000","-50,000,000","-130,000,000","-50,000,000","-69,000,000","-69,000,000","-60,000,000","-43,000,000","-66,000,000","-61,000,000","-47,000,000","-36,000,000","-47,000,000","-33,000,000","-38,000,000","-27,000,000","-38,800,000","-16,100,000","-16,100,000","-8,200,000","-23,100,000","7,600,000","-6,400,000","-7,200,000","3,900,000","-10,900,000","-11,400,000","-5,900,000","47,177,000","-16,658,000","-14,648,000","-12,871,000","-21,466,000","-24,814,000","-19,706,000","-14,451,000","-17,784,000","-19,918,000","-24,250,000","-33,353,000","-110,715,000","-18,598,000","-17,341,000","-17,226,000","-18,289,000","119,000","-16,875,000","-16,403,000","-17,255,000"
			PurchaseOfPPE,"-152,000,000","-43,000,000","-38,000,000","-39,000,000","-32,000,000","-22,000,000","-35,000,000","-27,000,000","-20,000,000","-28,000,000","-27,000,000","-22,000,000","-25,000,000","-22,000,000","-27,000,000","-17,000,000","-19,000,000","-20,000,000","-17,000,000","-43,000,000","-43,000,000","-46,000,000","-60,000,000","-50,000,000","-130,000,000","-50,000,000","-69,000,000","-69,000,000","-60,000,000","-43,000,000","-66,000,000","-61,000,000","-47,000,000","-36,000,000","-47,000,000","-33,000,000","-38,000,000","-27,000,000","-36,500,000","-16,100,000","-16,100,000","-10,500,000","-6,200,000","-5,500,000","-8,500,000","-8,900,000","-16,200,000","-10,900,000","-11,400,000","-5,900,000","-6,623,000","-16,658,000","-14,648,000","-12,871,000","-25,212,000","-24,814,000","-19,706,000","-14,451,000","-17,784,000","-19,918,000","-24,230,000","-33,373,000","-110,715,000","-18,598,000","-17,341,000","-17,226,000","-18,148,000","-40,712,000","-16,875,000","-16,403,000","-18,435,000"
			SaleOfPPE,"5,000,000","5,000,000","-3,000,000","0","3,000,000","0","0","0","0","9,000,000","3,000,000","1,000,000","0","0","0","0","0","21,000,000",,,,,,,,,,,,,,,,,,,,,,"0","0","2,300,000",,"13,100,000","2,100,000","1,700,000",,,,,,,,,,,,,,,,"20,000",,,,,"-141,000",,,,"1,180,000"
		NetIntangiblesPurchaseAndSale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,100,000","-1,300,000","-1,800,000","-1,000,000","-1,700,000","-800,000","-3,300,000","-2,400,000","-4,000,000","-2,500,000","-600,000","-3,815,000","-2,689,000","-1,883,000","-613,000","-2,415,000",,,"-5,533,000","-8,214,000","-4,946,000","-10,436,000","-5,739,000","-163,397,000","-7,879,000","-3,533,000","-6,066,000","-3,742,000","-1,330,000","-606,000","-2,380,000","-30,000"
			PurchaseOfIntangibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,100,000","-1,300,000","-1,800,000","-1,000,000","-1,700,000","-800,000","-3,300,000","-2,400,000","-4,000,000","-2,500,000","-600,000","-3,815,000","-2,689,000","-1,883,000","-613,000","-2,415,000",,,"-5,533,000","-8,214,000","-4,946,000","-10,436,000","-5,739,000","-163,397,000","-7,879,000","-3,533,000","-6,066,000","-3,742,000","-1,330,000","-606,000","-2,380,000","-30,000"
