name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,01/31/2014
OperatingCashFlow,"144,795,000","-7,232,000","36,380,000","75,847,000","39,800,000","47,444,000","15,614,000","75,872,000","60,503,000","17,251,000","4,732,000","70,839,000","27,013,000","23,210,000","4,134,000","44,229,000","-5,063,000","36,270,000","5,581,000","12,709,000","16,139,000","28,483,000","-28,829,000","21,264,000","45,577,000"
	CashFlowFromContinuingOperatingActivities,"144,795,000","-7,232,000","36,380,000","75,847,000","39,800,000","47,444,000","15,614,000","75,872,000","60,503,000","17,251,000","4,732,000","70,839,000","27,013,000","23,210,000","4,134,000","44,229,000","-5,063,000","36,270,000","5,581,000","12,710,000","16,138,000","28,483,000","-28,829,000","21,264,000","45,577,000"
		NetIncomeFromContinuingOperations,"53,565,000","7,374,000","6,088,000","26,904,000","13,199,000","5,082,000","6,477,000","31,138,000","21,841,000","7,910,000","53,506,000","1,954,000","4,290,000","1,573,000","-16,288,000","-3,128,000","1,037,000","12,980,000","-3,005,000","12,960,000","1,755,000","4,895,000","-13,200,000","164,000","-2,302,000"
		OperatingGainsLosses,"6,521,000","1,976,000","1,498,000","2,365,000","682,000","3,779,000","-6,440,000","-5,581,000","-3,355,000","-2,175,000","-64,192,000","6,367,000","-1,692,000","545,000","4,561,000","464,000","1,384,000","-1,431,000","-1,401,000","-3,255,000","-5,789,000","-2,372,000","7,021,000","-11,700,000","-559,000"
			GainLossOnSaleOfBusiness,"-191,000",,,"0","2,000","191,000","0","0","0","-9,772,000","-58,279,000",,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,"419,000","-57,000","-4,000","-1,169,000","1,649,000","788,000","19,000","183,000","597,000","-3,000","173,000","-344,000","-466,000","-22,000","-100,000","-243,000","-6,609,000","-80,000","182,000","881,000","795,000","18,000","-464,000","-11,027,000","-291,000"
			NetForeignCurrencyExchangeGainLoss,"6,293,000","2,226,000","1,502,000","3,534,000","-969,000","2,800,000","-6,459,000","-5,764,000","-3,952,000","7,600,000","-6,086,000","6,711,000","-1,226,000","567,000","4,661,000","707,000","7,993,000","-1,351,000","-1,583,000","-4,136,000","-6,584,000","-2,390,000","7,485,000","-673,000","0"
			EarningsLossesFromEquityInvestments,,,,,,,,,,,,,,,,,,,,,,,,,"-268,000"
		DepreciationAmortizationDepletion,"120,213,000","32,516,000","28,640,000","29,957,000","29,100,000","27,216,000","27,391,000","27,212,000","27,542,000","27,371,000","25,143,000","26,839,000","24,145,000","24,162,000","23,090,000","23,936,000","21,561,000","20,480,000","19,883,000","22,073,000","18,293,000","18,873,000","18,647,000","18,303,000","14,934,000"
			DepreciationAndAmortization,"120,213,000","32,516,000","28,640,000","29,957,000","29,100,000","27,216,000","27,391,000","27,212,000","27,542,000","27,371,000","25,143,000","26,839,000","24,145,000","24,162,000","23,090,000","23,936,000","21,561,000","20,480,000","19,883,000","22,073,000","18,293,000","18,873,000","18,647,000","18,303,000","14,934,000"
