name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012
		StockBasedCompensation,"21,297,000","6,052,000","6,276,000","4,506,000","4,463,000","4,261,000","2,490,000","3,102,000","3,709,000","3,570,000","2,800,000","2,668,000","2,709,000","2,579,000","2,281,000","2,243,000","2,660,000","2,963,000","1,328,000","1,330,000","1,394,000","1,346,000","956,000","992,000","953,000","934,000","494,000","443,000","467,000","348,000","251,000","340,000","279,000","172,000","19,000","66,000",,"0","0","0"
		OtherNonCashItems,"-25,542,000","-6,320,000","-5,422,000","-10,199,000","-4,011,000","-3,371,000","-1,094,000","-2,781,000","-5,890,000","-1,345,000","-1,851,000","-1,732,000","-894,000","-1,722,000","-1,146,000","-998,000","-1,340,000","-1,656,000","-1,222,000","-1,054,000","-654,000","-895,000","-1,006,000","-1,309,000","-717,000","-933,000","161,000","167,000","176,000","117,000","124,000","124,000","109,000","118,000","653,000","534,000","507,000","503,000","459,000","439,000"
		ChangeInWorkingCapital,"23,654,000","13,885,000","-18,960,000","20,009,000","8,720,000","-16,729,000","-11,204,000","31,560,000","-15,116,000","3,875,000","-6,707,000","9,294,000","-10,506,000","4,188,000","-8,219,000","6,696,000","-5,956,000","235,000","-3,215,000","7,244,000","-6,463,000","1,777,000","-4,589,000","3,832,000","-3,848,000","1,503,000","-3,597,000","2,209,000","-3,172,000","-624,000","-2,432,000","476,000","-312,000","-2,547,000","-1,084,000","-1,195,000","-1,962,000","1,242,000","-1,888,000","232,000"
			ChangeInReceivables,"-2,053,000","1,239,000","-1,220,000","-1,584,000","-488,000","2,547,000","-4,367,000","19,270,000","1,069,000","300,000","-601,000","-1,147,000","654,000","219,000","-196,000","-1,515,000","-764,000","128,000","-853,000","-630,000","-49,000","-475,000","-300,000","-728,000","-61,000","101,000","-819,000","-11,000","-318,000","-80,000","-74,000","-271,000","-213,000","-325,000","-202,000","77,000","253,000","-163,000","85,000","-117,000"
				ChangesInAccountReceivables,"-2,053,000","1,239,000","-1,220,000","-1,584,000","-488,000","2,547,000","-4,367,000","-1,032,000","1,069,000","300,000","-601,000","-1,147,000","654,000","219,000","-196,000","-1,515,000","-764,000","128,000","-853,000","-630,000","-49,000","-475,000","-300,000","-728,000","-61,000","101,000","-819,000","-11,000","-318,000","-80,000","-74,000","-271,000","-213,000","-325,000","-202,000","77,000","253,000","-163,000","85,000","-117,000"
			ChangeInPrepaidAssets,"6,703,000","1,948,000","10,000","1,649,000","3,096,000","2,021,000","1,582,000","1,323,000","-4,308,000","988,000","554,000","785,000","763,000","753,000","887,000","1,247,000","418,000","179,000","526,000","1,374,000","464,000","216,000","325,000","659,000","753,000","418,000","671,000","496,000","304,000","137,000","120,000","306,000","73,000","462,000","54,000","441,000","102,000","113,000","-102,000","-149,000"
			ChangeInPayablesAndAccruedExpense,"27,319,000","10,730,000","-9,869,000","25,034,000","1,424,000","-4,694,000","-5,215,000","11,385,000","-6,782,000","5,437,000","-5,579,000","10,264,000","-7,048,000","3,936,000","-7,659,000","7,973,000","-2,192,000","2,529,000","-2,024,000","7,995,000","-4,192,000","2,424,000","-2,243,000","5,029,000","-3,079,000","1,960,000","-1,753,000","4,829,000","-2,778,000","1,508,000","-708,000","1,976,000","-876,000","835,000","-1,034,000","198,000","-1,235,000","2,085,000","-1,384,000","1,197,000"
				ChangeInPayable,"27,319,000","10,730,000","-9,869,000","25,034,000","1,424,000","-4,694,000","-5,215,000","11,385,000","-6,782,000","5,437,000","-5,579,000","10,264,000","-7,048,000","3,936,000","-7,659,000","7,973,000","-2,192,000","2,529,000","-2,024,000","7,995,000","-4,192,000","2,424,000","-2,243,000","5,029,000","-3,079,000","1,960,000","-1,753,000","4,829,000","-2,778,000","1,508,000","-708,000","1,976,000","-876,000","835,000","-1,034,000","198,000","-1,235,000","2,085,000","-1,384,000","1,197,000"
					ChangeInAccountPayable,"27,319,000","10,730,000","-9,869,000","25,034,000","1,424,000","-4,694,000","-5,215,000","11,385,000","-6,782,000","5,437,000","-5,579,000","10,264,000","-7,048,000","3,936,000","-7,659,000","7,973,000","-2,192,000","2,529,000","-2,024,000","7,995,000","-4,192,000","2,424,000","-2,243,000","5,029,000","-3,079,000","1,960,000","-1,753,000","4,829,000","-2,778,000","1,508,000","-708,000","1,976,000","-876,000","835,000","-1,034,000","198,000","-1,235,000","2,085,000","-1,384,000","1,197,000"
			ChangeInOtherCurrentAssets,"9,274,000","2,807,000","-2,167,000","316,000","8,318,000","-12,824,000","645,000","2,521,000","-5,688,000","170,000","1,242,000","1,004,000","-1,755,000","533,000","609,000","497,000","-2,436,000","59,000","810,000","63,000","-1,535,000","-829,000","81,000","38,000","-215,000","167,000","-145,000","-404,000","190,000","-927,000","-394,000","-455,000","1,765,000","-1,985,000","391,000","-1,459,000","-641,000","231,000","-341,000","33,000"
			ChangeInOtherCurrentLiabilities,,,,,,,"1,582,000","1,323,000","-4,308,000","988,000","554,000","785,000","763,000","753,000","887,000","1,247,000","418,000","179,000","526,000","1,374,000","464,000","216,000","325,000","659,000","753,000","418,000","671,000","496,000","304,000","137,000","120,000","306,000","73,000","462,000","54,000","441,000","102,000","113,000","-102,000","-149,000"
			ChangeInOtherWorkingCapital,"-17,589,000","-2,839,000","-5,714,000","-5,406,000","-3,630,000","-3,779,000","-3,849,000","-2,939,000","593,000","-3,020,000","-2,323,000","-1,612,000","-3,120,000","-1,253,000","-1,860,000","-1,506,000","-982,000","-2,660,000","-1,674,000","-1,558,000","-1,151,000","441,000","-2,452,000","-1,166,000","-1,246,000","-1,143,000","-1,551,000","-2,701,000","-570,000","-1,262,000","-1,376,000","-1,080,000","-1,061,000","-1,534,000","-293,000","-452,000","-441,000","-1,024,000","-146,000","-732,000"
	CashFromDiscontinuedOperatingActivities,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","-2,125,000","0","7,000",,,,"295,000",,
InvestingCashFlow,"-2,211,988,000","-471,622,000","-560,046,000","-903,563,000","-276,757,000","-172,401,000","-765,425,000","-11,781,000","-147,179,000","-63,138,000","-257,112,000","-241,248,000","-308,942,000","-165,440,000","-138,720,000","-48,311,000","-275,414,000","-44,768,000","-114,952,000","-302,785,000","-172,019,000","-17,144,000","-49,115,000","-70,719,000","-210,412,000","-30,968,000","-72,629,000","-49,951,000","-64,939,000","-49,255,000","-140,406,000","-75,518,000","-144,424,000","-20,233,000","-53,930,000","6,640,000","-11,533,000","-1,108,000","-5,956,000","-5,181,000"
	CashFlowFromContinuingInvestingActivities,"-2,211,988,000","-471,622,000","-560,046,000","-903,563,000","-276,757,000","-172,401,000","-765,425,000","-11,781,000","-147,179,000","-63,138,000","-257,112,000","-241,248,000","-308,942,000","-165,440,000","-138,720,000","-48,311,000","-275,414,000","-44,768,000","-114,952,000","-302,785,000","-172,019,000","-17,144,000","-49,115,000","-70,719,000","-210,412,000","-30,968,000","-72,629,000","-49,951,000","-64,939,000","-49,255,000","-140,406,000","-75,518,000","-144,424,000","-20,233,000","-53,930,000","6,640,000","-11,533,000","-1,108,000","-5,956,000","-5,181,000"
		CapitalExpenditureReported,"-106,605,000","-27,277,000","-30,887,000","-22,074,000","-26,367,000","-23,147,000","-21,234,000","-24,278,000","-17,646,000","-15,607,000","-12,581,000","-12,344,000","-12,532,000","-9,712,000","-16,673,000","-14,807,000","-11,610,000","-14,861,000","-13,131,000","-12,299,000","-10,790,000","-6,093,000","-8,241,000","-8,382,000","-9,026,000","-6,279,000","-6,250,000","-6,358,000","-5,086,000","-4,487,000","-5,183,000","-4,555,000","-2,627,000","-1,594,000","-710,000","-495,000","-405,000","-1,060,000","-1,977,000","-1,178,000"
		NetBusinessPurchaseAndSale,,,,,,,,,"-58,084,000","-1,028,000",,,"6,260,000","-10,475,000","-1,175,000","275,000","2,925,000","-2,050,000","-1,400,000","1,175,000","-1,750,000","-500,000","400,000","0","0","-400,000","1,250,000","150,000","-1,150,000","1,860,000","-2,110,000","1,450,000","100,000","-145,000","2,273,000","-2,223,000","325,000","-325,000","-2,814,000","0"
			PurchaseOfBusiness,,,,,,,,,"-58,084,000","-1,028,000",,,"6,260,000","-10,475,000","-1,175,000",,,"-2,050,000","-1,400,000","1,175,000","-1,750,000","-500,000","400,000","0","0","-400,000","0","0","0","0","-600,000","0","40,000","-145,000","2,223,000","-2,223,000","325,000","-325,000","-2,814,000","0"
			SaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,250,000","150,000","-1,150,000","1,860,000","-1,510,000","1,450,000",,,,,,,,
		NetInvestmentPropertiesPurchaseAndSale,"-2,105,383,000","-444,345,000","-529,159,000","-881,489,000","-250,390,000","-149,254,000","-744,191,000","-46,615,000","-71,449,000","-46,503,000","-230,005,000","-233,119,000","-302,670,000","-145,253,000","-120,872,000","-33,779,000","-266,729,000","-27,857,000","-100,671,000","-291,661,000","-165,479,000","-10,562,000","-41,274,000","-80,146,000","-183,407,000","-24,289,000","-67,629,000","-57,499,000","-58,766,000","-46,705,000","-135,190,000","-72,565,000","-141,948,000","-18,549,000","-55,646,000","3,851,000","-11,590,000","100,000","-1,417,000","-4,284,000"
			PurchaseOfInvestmentProperties,"-2,157,382,000","-459,660,000","-540,343,000","-899,156,000","-258,223,000","-169,136,000","-744,620,000","-70,182,000","-71,449,000","-46,503,000","-250,087,000","-234,317,000","-313,725,000","-145,253,000","-130,660,000","-33,779,000","-277,010,000","-52,753,000","-132,253,000","-291,661,000","-223,348,000","-17,099,000","-59,344,000","-80,146,000","-203,842,000","-24,289,000","-67,629,000","-57,499,000","-58,766,000","-46,705,000","-135,190,000","-74,185,000","-141,948,000","-32,339,000","-73,332,000","0","-14,972,000","0","-1,417,000","-4,284,000"
			SaleOfInvestmentProperties,"51,999,000","15,315,000","11,184,000","17,667,000","7,833,000","19,882,000","429,000","23,567,000",,,"20,082,000","1,198,000","11,055,000","0","9,788,000","0","10,281,000","24,896,000","31,582,000","0","57,869,000","6,537,000","18,070,000","0",,,"0","0","0","0","0","1,620,000","0","13,790,000","17,686,000","3,851,000","3,382,000","100,000","0","0"
		DividendsReceivedCFI,,,,,,,,,,,,,,,"0",,,,"0","0","0","11,000","0",,,"0","0","0","-6,000","6,000","1,701,000","16,000","14,000","14,000","113,000","124,000","121,000","114,000","110,000","85,000"
		NetOtherInvestingChanges,,,,,,,,,,,,,,,,,,,"250,000","0",,,"0","12,279,000",,,"0","13,756,000","69,000","71,000","376,000","136,000","37,000","41,000","40,000","5,383,000","16,000","63,000","142,000","196,000"
FinancingCashFlow,"1,850,173,000","384,876,000","492,320,000","821,256,000","151,721,000","82,482,000","620,596,000","-32,122,000","264,455,000","50,266,000","106,592,000","209,395,000","190,267,000","225,230,000","113,587,000","33,690,000","398,358,000","32,534,000","90,383,000","275,736,000","154,721,000","755,000","-3,045,000","77,150,000","222,962,000","18,039,000","63,799,000","31,310,000","19,337,000","78,415,000","81,868,000","118,261,000","141,133,000","14,424,000","30,405,000","-4,065,000","25,419,000","10,233,000","4,673,000","4,944,000"
	CashFlowFromContinuingFinancingActivities,"1,850,173,000","384,876,000","492,320,000","821,256,000","151,721,000","82,482,000","620,596,000","-32,122,000","264,455,000","50,266,000","106,592,000","209,395,000","190,267,000","225,230,000","113,587,000","33,690,000","398,358,000","32,534,000","90,383,000","275,736,000","154,721,000","755,000","-3,045,000","77,150,000","222,962,000","18,039,000","63,799,000","31,310,000","19,337,000","78,415,000","81,868,000","118,261,000","141,133,000","14,424,000","30,405,000","-4,065,000","25,419,000","10,233,000","4,673,000","4,944,000"
