name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018
OperatingCashFlow,"-99,470,000","-39,722,000","-19,738,000","-10,638,000","-29,372,000","-10,921,000","43,618,000","-12,032,000","-9,051,000","-5,778,000","-11,265,000","-5,931,000","-4,240,000","-4,623,000","-9,415,000"
	CashFlowFromContinuingOperatingActivities,"-99,470,000","-39,722,000","-19,738,000","-10,638,000","-29,372,000","-10,921,000","43,618,000","-12,032,000","-9,051,000","-5,778,000","-11,265,000","-5,931,000","-4,240,000","-4,623,000","-9,415,000"
		NetIncomeFromContinuingOperations,"-135,147,000","-34,451,000","-30,715,000","-35,011,000","-34,970,000","-523,000","-11,586,000","3,286,000","-4,066,000","-14,271,000","-7,145,000","-11,961,000","-727,000","-5,848,000","-6,374,000"
		OperatingGainsLosses,"15,000","-4,000","-48,000","73,000","-6,000","1,795,000","-7,000","-173,000","-4,279,000","-46,000","-713,000","-324,000","-46,000","-46,000","-8,000"
			GainLossOnSaleOfPPE,"117,000","-4,000","0","121,000","0","19,000",,,,,"0",,,,"0"
			GainLossOnInvestmentSecurities,,,,,,,,,,,"-229,000",,,,"-11,000"
			EarningsLossesFromEquityInvestments,"-102,000","0","-48,000","-48,000","-6,000","1,776,000","-7,000","-173,000","-4,279,000","-46,000","-990,000","-47,000","-46,000","-46,000","-47,000"
		DepreciationAmortizationDepletion,"2,929,000","969,000","652,000","581,000","727,000","887,000","1,010,000","890,000","881,000","877,000","908,000","939,000","916,000","877,000","875,000"
			DepreciationAndAmortization,"2,929,000","969,000","652,000","581,000","727,000","887,000","1,010,000","890,000","881,000","877,000","908,000","939,000","916,000","877,000","875,000"
				Depreciation,,,"652,000","581,000","727,000","887,000","1,010,000","890,000","881,000","877,000",,,"916,000","877,000",
		AmortizationOfSecurities,"4,819,000","1,504,000","534,000","2,393,000","388,000","1,955,000","287,000","564,000","-288,000","83,000",,,"-211,000","-1,000",
		UnrealizedGainLossOnInvestmentSecurities,"19,629,000","6,164,000","7,920,000","627,000","4,918,000","-24,824,000","-4,750,000","-18,233,000","-8,359,000","3,079,000","685,000","1,427,000","-12,661,000","627,000","-1,862,000"
		StockBasedCompensation,"31,258,000","9,134,000","7,456,000","7,652,000","7,016,000","4,366,000","3,003,000","3,038,000","2,729,000","1,775,000","581,000","561,000","531,000","520,000","338,000"
		OtherNonCashItems,,,"0","0","313,000","498,000","443,000","547,000","712,000","435,000","371,000","453,000",,"-1,000","-28,000"
		ChangeInWorkingCapital,"-23,286,000","-23,038,000","-5,537,000","13,047,000","-7,758,000","4,925,000","55,218,000","-1,951,000","3,619,000","2,290,000","-5,446,000","2,762,000","7,731,000","-752,000","-2,315,000"
			ChangeInReceivables,"-27,051,000","-4,455,000","-24,221,000","9,574,000","-7,949,000","17,088,000","-18,245,000","13,000","1,395,000","7,558,000","-11,073,000","3,202,000","-761,000","2,038,000","-10,500,000"
				ChangesInAccountReceivables,"-17,539,000","2,935,000","-20,392,000","10,007,000","-10,089,000","20,153,000","-19,133,000","1,559,000","2,423,000","2,404,000","-6,798,000","1,527,000","-832,000","1,065,000","-7,344,000"
			ChangeInPrepaidAssets,"-5,297,000","-7,725,000","1,599,000","1,194,000","-365,000","-3,549,000","-103,000","737,000","659,000","-1,106,000","-248,000","-491,000","1,062,000","87,000","-753,000"
			ChangeInPayablesAndAccruedExpense,"4,074,000","-5,489,000","6,092,000","3,267,000","204,000","-79,000","8,638,000","612,000","205,000","-817,000","-2,369,000","3,211,000","2,775,000","-5,000","2,615,000"
				ChangeInPayable,"2,147,000","1,328,000","-182,000","2,260,000","-1,259,000","-1,230,000","3,628,000","-745,000","-111,000","2,110,000","-3,618,000","3,201,000","-905,000","1,028,000","418,000"
