name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"819,115,000","188,404,000","207,884,000","207,969,000","214,858,000","202,117,000","228,317,000","229,728,000","154,249,000","173,167,000","195,040,000","199,469,000","162,123,000","154,870,000","143,855,000","148,795,000","169,987,000","163,267,000","154,143,000","175,963,000","173,354,000","206,138,000","159,136,000","176,247,000","182,007,000","148,387,000","164,316,000","162,552,000","166,263,000","152,956,000","140,609,000","170,938,000","164,562,000","159,633,000","168,847,000","200,825,000","204,525,000","171,797,000","205,929,000","230,593,000","254,406,000","204,564,000","246,911,000","343,575,000","231,090,000","199,624,000","207,586,000","118,564,000","101,018,000","87,505,000","98,182,000","89,793,000","73,207,000","49,793,000","42,392,000","39,763,000","50,024,000","57,286,000","59,931,000","52,863,000","51,664,000","50,860,000","67,072,000","50,606,000","54,041,000","44,854,000","51,532,000","44,099,000","38,557,000","38,149,000","46,066,000","31,267,000","27,114,000","28,271,000","28,541,000","23,701,000","26,214,000","29,001,000","28,829,000","26,534,000","22,129,000","16,997,000","19,469,000","16,224,000","20,051,000","18,022,000","23,890,000","32,256,000","21,166,000","42,280,000","38,628,000","33,700,000","24,500,000","29,800,000","21,600,000","18,800,000","22,600,000","22,900,000","24,800,000","23,600,000","21,000,000","35,200,000","23,500,000","25,300,000","24,500,000","26,500,000","23,800,000","18,700,000","12,000,000","13,500,000","12,100,000","13,600,000","12,300,000","22,800,000","12,400,000","11,600,000","12,400,000","12,300,000","15,800,000","11,500,000","12,500,000","18,600,000","22,400,000","16,100,000","14,100,000","14,300,000","30,800,000","17,700,000","15,400,000","20,400,000","22,100,000","9,300,000","4,600,000","6,700,000","3,600,000","1,300,000","1,300,000","1,500,000","1,500,000"
	OperatingRevenue,"819,115,000","188,404,000","207,884,000","207,969,000","214,858,000","202,117,000","228,317,000","229,728,000","154,249,000","173,167,000","195,040,000","199,469,000","162,123,000","154,870,000","143,855,000","148,795,000","169,987,000","163,267,000","154,143,000","175,963,000","173,354,000","206,138,000","159,136,000","176,247,000","182,007,000","148,387,000","164,316,000","162,552,000","166,263,000","152,956,000","140,609,000","170,938,000","164,562,000","159,633,000","168,847,000","200,825,000","204,525,000","171,797,000","205,929,000","230,593,000","254,406,000","204,564,000","246,911,000","343,575,000","231,090,000","199,624,000","207,586,000","118,564,000","101,018,000","87,505,000","98,182,000","89,793,000","73,207,000","49,793,000","42,392,000","39,763,000","50,024,000","57,286,000","59,931,000","52,863,000","51,664,000","50,860,000","67,072,000","50,606,000","54,041,000","44,854,000","56,882,000","42,047,000","37,200,000","36,208,000","44,003,000","30,211,000","26,381,000","28,271,000","29,612,000","23,375,000","25,731,000","29,001,000","34,030,000","24,424,000","19,565,000","16,469,000","16,757,000","16,224,000","18,213,000","18,006,000","23,890,000","32,256,000","21,166,000","42,280,000","38,628,000","33,700,000","24,500,000","29,800,000","21,600,000","18,800,000","22,600,000","22,900,000","24,800,000","23,600,000","21,000,000","35,200,000","23,500,000","25,300,000","24,500,000","26,500,000","23,800,000","18,700,000","12,000,000","13,500,000","12,100,000","13,600,000","12,300,000","22,800,000","12,400,000","11,600,000","12,400,000","12,300,000","15,800,000","11,500,000","12,500,000","18,600,000","22,400,000","16,100,000","14,100,000","14,300,000","30,800,000","17,700,000","15,400,000","20,400,000","22,100,000","9,300,000","4,600,000","6,700,000","3,600,000","1,300,000","1,300,000","1,500,000","1,500,000"
CostOfRevenue,"661,470,000","159,700,000","171,900,000","165,302,000","164,568,000","138,084,000","153,764,000","144,988,000","117,891,000","155,079,000","194,749,000","186,630,000","175,152,000","173,526,000","153,560,000","148,041,000","137,705,000","130,117,000","102,672,000","152,754,000","158,567,000","172,816,000","132,042,000","133,171,000","137,970,000","129,519,000","161,448,000","155,734,000","158,071,000","148,152,000","165,055,000","167,895,000","160,109,000","147,355,000","164,142,000","192,602,000","200,577,000","139,220,000","159,810,000","177,811,000","192,847,000","145,146,000","167,293,000","199,905,000","134,743,000","142,515,000","132,957,000","98,203,000","88,573,000","81,255,000","93,476,000","88,948,000","71,849,000","37,522,000","44,678,000","36,518,000","29,598,000","29,027,000","34,276,000","41,499,000","29,289,000","23,902,000","31,776,000","24,487,000","23,521,000","22,067,000","24,011,000","30,478,000","22,719,000","24,377,000","10,438,000","25,401,000","23,444,000","20,508,000","24,439,000","20,466,000","20,140,000","19,342,000","25,689,000","25,952,000","18,205,000","19,464,000","19,929,000","18,778,000","20,273,000","20,215,000","25,665,000","32,507,000","21,540,000","40,940,000","43,069,000","31,500,000","21,500,000","30,200,000","14,800,000","13,400,000","17,500,000","17,800,000","16,400,000","14,800,000","14,800,000","18,500,000","15,800,000","14,800,000","15,600,000","15,100,000","15,200,000","13,700,000","9,800,000","10,900,000","9,800,000","11,000,000","9,200,000","16,700,000","8,800,000","8,600,000","9,900,000","7,500,000","13,500,000","7,900,000","6,500,000","8,200,000","17,200,000","9,300,000",,,,,,,,,,,,,,,
GrossProfit,"157,645,000","28,704,000","35,984,000","42,667,000","50,290,000","64,033,000","74,553,000","84,740,000","36,358,000","18,088,000","291,000","12,839,000","-13,029,000","-18,656,000","-9,705,000","754,000","32,282,000","33,150,000","51,471,000","23,209,000","14,787,000","33,322,000","27,094,000","43,076,000","44,037,000","18,868,000","2,868,000","6,818,000","8,192,000","4,804,000","-24,446,000","3,043,000","4,453,000","12,278,000","4,705,000","8,223,000","3,948,000","32,577,000","46,119,000","52,782,000","61,559,000","59,418,000","79,618,000","143,670,000","96,347,000","57,109,000","74,629,000","20,361,000","12,445,000","6,250,000","4,706,000","845,000","1,358,000","12,271,000","-2,286,000","3,245,000","20,426,000","28,259,000","25,655,000","11,364,000","22,375,000","26,958,000","35,296,000","26,119,000","30,520,000","22,787,000","27,521,000","13,621,000","15,838,000","13,772,000","35,628,000","5,866,000","3,670,000","7,763,000","4,102,000","3,235,000","6,074,000","9,659,000","3,140,000","582,000","3,924,000","-2,467,000","-460,000","-2,554,000","-222,000","-2,193,000","-1,775,000","-251,000","-374,000","1,340,000","-4,441,000","2,200,000","3,000,000","-400,000","6,800,000","5,400,000","5,100,000","5,100,000","8,400,000","8,800,000","6,200,000","16,700,000","7,700,000","10,500,000","8,900,000","11,400,000","8,600,000","5,000,000","2,200,000","2,600,000","2,300,000","2,600,000","3,100,000","6,100,000","3,600,000","3,000,000","2,500,000","4,800,000","2,300,000","3,600,000","6,000,000","10,400,000","5,200,000","6,800,000",,,,,,,,,,,,,,,
OperatingExpense,"135,274,000","19,153,000","63,081,000","27,161,000","35,651,000","34,932,000","35,406,000","35,606,000","39,146,000","21,861,000","19,637,000","20,379,000","17,803,000","17,622,000","15,367,000","24,007,000","17,699,000","19,712,000","18,489,000","25,187,000","19,221,000","19,966,000","16,008,000","15,310,000","13,997,000","14,211,000","14,370,000","13,744,000","14,297,000","19,863,000","20,837,000","19,346,000","23,311,000","25,097,000","21,746,000","23,500,000","22,773,000","21,553,000","12,605,000","17,500,000","15,172,000","15,231,000","18,094,000","16,279,000","17,008,000","18,567,000","11,209,000","9,885,000","10,585,000","9,237,000","8,680,000","8,072,000","9,276,000","11,375,000","24,573,000","11,227,000","23,995,000","19,972,000","11,600,000","8,601,000","11,463,000","13,195,000","12,636,000","10,581,000","11,517,000","11,408,000","23,238,000","9,071,000","16,788,000","12,692,000","31,392,000","8,128,000","7,839,000","10,795,000","66,484,000","6,032,000","10,438,000","10,443,000","30,411,000","3,874,000","5,997,000","3,983,000","5,016,000","5,239,000","4,712,000","5,094,000","3,259,000","3,141,000","2,864,000","3,926,000","2,688,000","10,100,000","10,300,000","2,200,000","9,500,000","9,800,000","6,300,000","5,500,000","7,300,000","7,700,000","9,900,000","7,300,000","7,200,000","8,900,000","8,900,000","10,700,000","8,900,000","7,100,000","5,100,000","5,000,000","4,700,000","4,900,000","4,100,000","22,600,000","4,000,000","5,200,000","4,400,000","12,100,000","3,200,000","4,100,000","4,000,000","4,300,000","5,600,000","5,600,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"39,117,000","10,272,000","9,635,000","8,743,000","10,467,000","11,554,000","8,429,000","7,757,000","8,616,000","8,920,000","7,634,000","9,635,000","7,750,000","9,474,000","7,162,000","7,729,000","7,650,000","8,804,000","9,029,000","7,412,000","7,042,000","10,133,000","6,587,000","7,113,000","7,400,000","8,276,000","8,855,000","6,694,000","8,451,000","8,834,000","9,036,000","8,515,000","9,398,000","13,896,000","13,851,000","16,240,000","15,026,000","10,227,000","6,521,000","10,266,000","8,594,000","7,596,000","28,526,000","8,236,000","1,827,000","12,231,000","5,308,000","5,963,000","6,859,000","6,717,000","4,159,000","4,905,000","5,485,000","7,548,000","5,683,000","4,606,000","17,689,000","14,309,000","7,285,000","4,706,000","5,710,000","6,174,000","5,707,000","4,045,000","4,528,000","5,090,000","16,725,000","4,233,000","11,915,000","8,031,000","27,073,000","3,266,000","3,066,000","3,608,000","4,023,000","2,776,000","2,409,000","3,055,000","3,082,000","1,155,000","2,464,000","2,105,000","1,713,000","2,561,000","2,163,000","2,277,000","3,259,000","3,141,000","2,864,000","3,926,000","2,688,000","3,600,000","3,300,000","-2,000,000","5,800,000","4,700,000","3,100,000","1,400,000","3,000,000","3,200,000","5,900,000","3,100,000","2,700,000","4,400,000","4,500,000","5,600,000","3,200,000","4,000,000","3,600,000","3,500,000","3,100,000","3,500,000","2,800,000","20,900,000","2,500,000","3,800,000","2,900,000","10,400,000","1,400,000","2,500,000","2,300,000","100,000","3,100,000","3,400,000",,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"39,117,000","10,272,000","9,635,000","8,743,000","10,467,000","11,554,000","8,429,000","7,757,000","8,616,000","8,920,000","7,634,000","9,635,000","7,750,000","9,474,000","7,162,000","7,729,000","7,650,000","8,804,000","9,029,000","7,412,000","7,042,000","10,133,000","6,587,000","7,113,000","7,400,000","8,276,000","8,855,000","6,694,000","8,451,000","8,834,000","9,036,000","8,515,000","9,398,000","13,896,000","13,851,000","16,240,000","15,026,000","10,227,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"39,117,000","10,272,000","9,635,000","8,743,000","10,467,000","11,554,000","8,429,000","7,757,000","8,616,000","8,920,000","7,634,000","9,635,000","7,750,000","9,474,000","7,162,000","7,729,000","7,650,000","8,804,000","9,029,000","7,412,000","7,042,000","10,133,000","6,587,000","7,113,000","7,400,000","8,276,000","8,855,000","6,694,000","8,451,000","8,834,000","9,036,000","8,515,000","9,398,000","13,896,000","13,851,000","16,240,000","15,026,000","10,227,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,234,000","6,578,000","7,635,000",,"8,043,000","15,181,000","3,574,000",,"82,000","565,000",,"97,000","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,621,000","6,306,000","5,663,000","4,315,000","3,895,000","5,753,000","7,021,000","6,929,000","6,536,000","6,989,000","6,318,000","6,513,000","4,838,000","4,873,000","4,661,000","4,319,000","4,862,000","4,773,000","4,846,000","3,672,000","3,256,000","4,679,000","5,019,000","5,381,000","2,719,000","3,533,000","1,878,000","3,303,000","2,678,000","2,549,000","2,817,000",,,,,,"6,500,000","7,000,000","4,200,000","3,700,000","5,100,000","3,200,000","4,100,000","4,300,000","4,500,000","4,000,000","4,200,000","4,500,000","4,500,000","4,400,000","5,100,000","5,700,000","3,100,000","1,500,000","1,500,000","1,600,000","1,400,000","1,300,000","1,700,000","1,500,000","1,400,000","1,500,000","1,700,000","1,800,000","1,600,000","1,700,000","4,200,000","2,500,000","2,200,000",,,,,,,,,,,,,,,
