name,ttm,03/31/2022,12/31/2021,09/30/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991,01/31/1991,10/31/1990,07/31/1990,04/30/1990,01/31/1990,10/31/1989,07/31/1989,04/30/1989,01/31/1989,10/31/1988,07/31/1988,04/30/1988,01/31/1988,10/31/1987,07/31/1987,04/30/1987,01/31/1987,10/31/1986,07/31/1986,04/30/1986,01/31/1986,10/31/1985
MarketCap,"5,742,197,840","4,155,785,366","3,982,662,998","4,387,793,925","4,039,431,134","3,160,298,084","3,329,427,609","2,797,027,829","3,204,713,878","4,465,397,217","4,879,189,168","5,564,553,851","5,495,313,069","4,836,916,553","5,454,693,905","5,170,596,199","5,785,875,560","5,550,022,984","5,172,352,809","6,376,250,456","5,135,677,689","4,445,792,188","4,857,997,931","5,259,547,131","4,541,970,862","8,034,096,614","10,297,170,097","9,163,908,411","8,324,319,326","9,432,764,387","8,860,310,234","10,173,261,174","7,793,562,886","9,625,494,544","9,004,903,448","8,588,687,079","7,562,897,951","6,177,335,667","5,604,317,547","5,107,211,414","4,294,149,300","4,791,893,930","4,675,165,014","4,572,409,900","5,277,776,459","3,819,979,641","3,634,290,137","4,912,521,561","5,919,725,517","7,220,847,506","6,149,514,240","5,576,804,193","5,142,550,810","7,026,324,916","6,677,182,337","7,982,399,360","7,129,860,570","6,259,231,431","7,082,413,124","6,476,422,724","7,312,231,998","7,941,355,001","7,037,070,775","7,315,849,336","7,497,733,353","8,030,118,692","8,087,582,657","9,373,058,723","8,257,833,044","8,003,116,117","7,773,281,993","8,167,227,249","7,808,315,450","10,168,778,524","8,395,124,864","7,557,065,168","6,917,290,146","6,769,310,736","7,928,794,153","8,723,652,705","7,266,745,471","8,488,872,881","6,226,394,904","6,547,237,977","5,049,249,975","3,961,382,943","3,257,719,552","2,928,796,800","4,099,444,815","4,243,021,009","4,185,575,717","5,347,017,428","4,698,707,378","4,264,261,097","4,375,040,324","4,272,723,135","4,814,129,520","4,598,599,684","3,884,371,000","3,991,722,564","3,304,127,250","3,082,556,376","2,587,676,148","2,599,925,000","3,645,656,084","3,812,425,260","4,286,577,824","3,918,300,000","4,417,668,464","3,744,914,744","4,685,928,096","4,067,115,000","4,511,332,500","4,654,325,091","4,234,387,363","3,790,044,000","3,682,563,146","4,065,938,204","4,031,615,430","3,641,399,311","3,451,131,569","3,836,916,000","3,563,002,851","3,162,667,851","2,748,727,633","2,513,130,650","2,041,847,500","2,183,053,668","1,828,716,438","1,794,214,000","1,816,412,777","1,676,396,456","1,417,662,000","1,534,944,000","1,456,495,264","1,318,070,000","1,317,732,000","1,521,511,564","1,283,950,000","1,356,513,256","1,357,782,260","1,356,513,256","1,193,959,612","953,908,425","1,072,377,000","972,543,000","793,475,827"
EnterpriseValue,"7,084,511,840","6,485,570,366","5,497,798,998","5,396,253,925","6,560,348,134","4,969,861,084","4,733,849,609","4,138,473,829","6,019,173,878","6,338,623,217","6,243,983,168","5,485,032,851","7,169,076,069","5,727,445,553","5,971,621,905","5,121,287,199","7,883,755,560","6,863,857,984","6,115,200,809","6,858,917,456","7,508,069,689","6,181,391,188","6,042,657,931","5,864,364,131","6,979,064,862","9,174,045,614","9,097,424,097","7,223,181,411","7,733,067,326","8,930,454,387","7,933,466,234","8,470,933,174","8,457,671,886","9,741,303,544","8,747,659,448","7,747,783,079","8,476,204,951","6,423,237,667","5,850,219,547","5,176,974,414","4,217,913,300","6,457,081,930","5,930,793,014","4,824,976,900","6,406,955,459","4,949,158,641","4,386,319,137","4,222,308,561","5,229,512,517","8,418,559,506","6,993,707,240","6,420,997,193","5,483,679,810","8,170,465,916","7,821,323,337","8,769,357,360","7,571,085,570","9,486,450,431","9,350,990,124","8,219,162,724","8,486,586,998","10,713,626,001","8,479,666,775","7,964,957,336","9,563,800,353","10,096,185,692","9,013,961,657","9,221,463,723","10,164,673,044","9,909,956,117","8,383,211,993","7,917,031,249","7,558,119,450","10,865,201,524","9,091,547,864","7,760,109,168","6,896,058,146","7,783,099,736","9,010,205,153","9,407,140,705","7,730,273,471","10,495,499,881","7,371,531,904","7,413,847,977","5,645,749,975","6,075,960,943","4,753,031,552","4,225,231,800","6,329,309,815","6,472,886,009","4,649,324,717","5,418,560,428","4,770,250,378","5,293,514,097","4,554,364,324","4,452,047,135","4,459,792,520","5,200,446,684","4,486,218,000","4,324,746,564","2,893,537,250","3,273,659,376","2,470,003,148","2,267,167,000","3,299,685,084","3,959,546,260","4,278,101,824","3,755,633,000","4,338,544,464","3,665,790,744","4,436,563,096","4,388,515,000","4,832,732,500","4,975,725,091","4,228,187,363","3,783,844,000","3,676,363,146","4,153,738,204","4,119,415,430","3,729,199,311","3,538,931,569","3,866,716,000","3,529,402,851","3,145,567,851","2,940,527,633","2,580,530,650","2,017,047,500","2,152,653,668","2,031,016,438","1,824,214,000","1,795,112,777","1,662,896,456","1,365,062,000","1,482,344,000","1,403,895,264","1,265,470,000","1,233,632,000","1,437,411,564","1,199,850,000","1,272,413,256","1,273,682,260","1,262,213,256","1,099,659,612","859,608,425","978,077,000","825,943,000","646,875,827"
PeRatio,"11.569","8.373","7.576","8.039","53","17.23","14.033","483.333","8.452","11.317","11.623","12.879","8.147","8.547","9.215","8.443","23.432","14.401","13.09","15.561","23.61","17.883","17.271","15.549","13.863","20.268","20.7","19.023","12.393","19.151","17.656","17.751","30.234","18.313","17.236","18.598","23.914","18.975","14.75","13.8","12.672","12.301","11.583","11.081","13.3","9.631","8.124","10.74","12.541","13.795","11.987","10.908","9.895","15.356","14.607","18.293","15.734","17.651","19.292","17.051","19.661","16.078","24.022","19.956","14.682","15.73","13.85","15.109","15.778","15.342","13.282","12.597","11.567","16.411","13.34","13.003","12.26","12.932","18.726","19.868","17.368","24.938","19.757","22.234","18.395","17.914","15.584","13.445","20.398","21.038","19.087","23.147","20.393","26.273","26.518","25.148","27.778","121.878","102.778","98.246","70.556",,,"39.683","29.875","41.434","40.443","34.404","22.649","19.222","27.393","25.325","29.93","30.898","23.456","21.429","20.61","25.936","25.595","23.384","21.728","25.352","25.477","22.615","19.704","21.477","17.188","17.935","14.925","16.667","17.397","16.602","15.169","16.573","16.523","15.116","18.31","20.017","17.123","18.108","18.359","22.405","20.286","15.938","17.623","17.411","14.676"
ForwardPeRatio,"9.728","8.065","8.382","8.977","7.519","6.154","5.277","4.394","4.757","8.842","12.5","13.514","13.605","11.793","14.493","13.387","11.403","10.834","12.18","15.552","13.55","11.99","13.351","13.514","10.384","15.432","17.452","16.722","14.859","16.695","16.103","16.077","14.62","15.552","15.873","16.75","15.974","12.903","9.921","9.217","9.425","9.634","8.711","8.503","10.638","7.491",,,"11.508",,,"9.149",,,"12.21","7.716",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,"0.778","0.645","0.671","0.718","0.752","0.492","0.528","0.439","0.476","0.884","1.25","1.351","1.361","1.18","1.45","1.217","1.037","0.985","1.108","1.415","1.232","1.09","1.214","1.229","0.944","1.287","1.585","1.521","1.238","1.517","1.465","1.462","1.329","1.414","1.323","1.397","1.855","1.422","1.304","1.961","0.942","0.963","0.871","0.85","1.064","0.749",,,"1.151",,,"0.915",,,"1.221","0.919",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"1.99","1.44","1.303","1.382","1.468","1.074","1.095","1.088","1.056","1.517","1.655","1.85","1.797","1.555","1.761","1.674","1.873","1.817","1.712","2.151","1.8","1.589","1.799","1.964","1.759","3.046","3.353","2.997","2.507","3.129","2.947","2.933","2.933","2.84","2.647","2.967","2.969","2.314","1.798","1.685","1.571","1.351","1.275","1.273","1.44","1.043","1.002","1.349","1.575","1.79","1.509","1.374","1.24","1.558","1.482","1.829","1.631","1.522","1.738","1.603","1.833","1.576","1.5","1.552","1.592","1.705","1.776","2.174","1.748","1.7","2.031","2.112","1.939","2.606","2.119","1.967","1.882","1.924","2.284","2.567","2.274","2.713","2.036","2.167","1.695","1.387","1.231","1.17","2.019","2.083","2.481","3.343","2.945","3.437","3.583","3.398","3.7","2.344","1.977","2.083","1.746","3.191","2.821","2.913","4.181","2.533","2.943","2.792","3.639","3.088","3.863","3.718","3.298","3.404","3.054","2.801","2.694","3.327","3.271","2.989","2.875","3.728","3.367","2.887","2.601","2.519","1.993","2.339","1.965","2.172","2.224","2.059","1.691","1.848","1.798","1.708","1.771","2.082","1.822","1.927","1.96","2.167","1.962","1.573","1.791","1.757","1.512"
PbRatio,"128.014",,"256.483","11.307",,,"23.402","39.372",,,"16.778","10.276",,,"28.409","13.133",,,,,,,,"225.608",,,"5.266","5","7.261","7.589","6.341","6.536","11.348","10.079","8.147","6.797","11.912","8.915","8.088","6.039","3.239","5.942","5.418","3.156","6.001","4.342","3.545","3.41","4.109","6.742","5.165","4.684","3.658","8.438","8.019","9.54","7.218","13.492","13.012","5.989","5.169","5.19","4.321","4.038","4.722","5.057","5.137","4.743","5.7","5.525","5.131","4.305","4.116","6.621","5.466","4.712","4.158","5.798","7.195","6.481","5.306","8.793","6.814","6.098","4.302","4.806","3.904","3.142","4.431","4.586","4.159","5.035","4.424","5.221","3.849","3.759","3.588","5.085","4.295","4.239","3.307","3.743","2.973","2.659","3.507","7.391","7.541","5.919","7.879","6.679","7.611","5.745","8.311","8.575","7.327","5.826","5.661","7.337","7.193","6.497","5.623","7.057","6.241","5.75","4.792","5.747","4.438","4.485","3.633","4.616","4.065","3.9","3.794","4.107","3.897","3.527","3.765","4.347","3.668","3.876","3.879","4.639","4.083","3.262","3.668","3.961","3.232"
EnterprisesValueRevenueRatio,"2.075","3.146","34.617","28.014","2.818","16.124","26.813","6.886","3.327","12.208","38.831","36.479","3.074","12.228","40.113","35.275","3.295","14.053","43.415","49.774","3.225","13.679","46.011","46.846","3.038","19.332","70.844","52.449","3.36","17.543","58.929","63.412","3.3","48.763","65.116","60.913","3.852","13.609","45.919","59.769","2.151","10.351","49.725","18.76","2.924","7.928","40.207","15.383","2.237","9.005","21.448","23.306","2.223","8.224","23.388","27.892","2.895","9.754","21.505","21.561","3.663","11.217","15.055","14.729","3.832","8.728","14.898","14.994","4.296","9.603","15.546","16.401","3.527","11.119","15.679","15.682","3.594","8.121","19.114","21.808","4.097","14.416","19.464","22.873","3.324","9.187","14.084","13.179","3.936","12.63","22.145","44.575","3.985","18.161","48.643","56.436","4.57","24.92","54.056","98.363","2.665","9.017","9.746","9.976","23.511","12.688","19.106","17.219","5.605","13.678","25.666","30.182","7.068","23.273","34.236","17.55","5.065","14.756","20.293","21.694","5.471","16.653","19.297","19.134","4.806","15.251","13.279","16.791","3.812","12.268","13.229","13.8","3.242","10.634","10.556","11.972","2.725","12.11","10.609","13.58","2.973","13.189","12.757","11.266","2.754","9.096","7.673"
EnterprisesValueEBITDARatio,"7.598","7.036","-22.888","-38.885","5.824","-22.456","-28.116","21.15","8.435","-59.474","-31.64","-37.202","5.989","-62.429","-35.271","-37.343","6.066","168.923","-48.3","-48.872","5.844","820.466","-50.857","-34.851","5.926","-86.207","-43.415","-43.638","6.27","-131.899","-45.018","-50.866","5.787","-28.802","-48.432","-43.15","7.522","-69.338","-33.442","-28.4","4.2","286.765","-32.757","-17.881","6.812","-3,789.555","-27.325","-20.052","4.715","89.138","-32.597","-29.982","4.536","62.272","-39.992","-47.736","6.414","271.904","-47.851","-53.209","7.928","384.166","-53.804","-66.597","8.844","80.046","-188.849","302.71","8.709","49.621","-305.022","-414.483","7.494","44.709","123.416","112.103","7.774","29.598","-343.993","517.558","9.474","120.481","-532.933","-402.489","8.104","102.108","-118.17","-93.402","10.167","283.463","-92.133","-122.973","9.362","538.396","-95.813","-98.403","10.616","-381.209","-104.833","-83.324","7.615","364.997","-63.298","-51.028","15.614","157.738","487.366","104.19","13.749","118.309","309.924","424.421","20.443","-765.496","-983.299","-564.753","16.274","1,186.782","-377.928","-321.483","18.47","-1,380.97","-309.597","-240.12","16.784","-118.373","-188.509","-158.283","13.649","-120.014","-256.445","-142.128","-4.308","10.634","10.556","11.972","-9.475","12.11","10.609","13.58","-14.932","13.189","12.757","11.266","-11.575","9.096","7.673"
