name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004
OperatingCashFlow,"350,372,000","107,419,000","28,206,000","117,801,000","96,946,000","77,057,000","79,648,000","77,406,000","59,330,000","51,419,000","60,986,000","72,424,000","44,057,000","38,836,000","47,590,000","52,151,000","25,418,000","16,292,000","53,373,000","33,678,000","24,878,000","21,892,000","30,999,000","32,919,000","14,998,000","28,870,000","24,337,000","22,050,000","7,668,000","15,681,000","20,536,000","16,009,000","25,603,000","11,985,000","30,448,000","8,021,000","15,513,000","6,704,000","11,462,000","1,158,000","6,073,000","6,219,000","13,266,000","8,905,000","13,284,000","8,230,000","10,243,000","15,500,000","14,518,000","8,233,000","16,134,000","4,195,000","11,015,000","420,000","20,728,000","3,473,000","9,491,000","5,898,000","11,757,000","3,885,000","3,022,000","5,680,000","4,127,000","10,548,000","-5,404,000","2,548,000","5,494,000","7,943,000","2,493,126","1,280,874","-1,213,495"
	CashFlowFromContinuingOperatingActivities,"350,372,000","107,419,000","28,206,000","117,801,000","96,946,000","77,057,000","79,648,000","77,406,000","59,330,000","51,419,000","60,986,000","72,424,000","44,057,000","38,836,000","47,590,000","52,151,000","25,418,000","16,292,000","53,373,000","33,678,000","24,878,000","21,892,000","30,999,000","32,919,000","14,998,000","28,870,000","24,337,000","22,050,000","7,668,000","15,681,000","20,536,000","16,009,000","25,603,000","11,985,000","30,448,000","8,021,000","15,513,000","6,704,000","11,462,000","1,158,000","6,073,000","6,219,000","13,266,000","8,905,000","13,284,000","8,230,000","10,243,000","15,500,000","14,518,000","8,233,000","16,134,000","4,195,000","11,015,000","420,000","20,728,000","3,473,000","9,491,000","5,898,000","11,757,000","3,885,000","3,022,000","5,680,000","4,127,000","10,548,000","-5,404,000","2,548,000","5,494,000","7,943,000","2,493,126","1,280,874","-1,213,495"
		NetIncomeFromContinuingOperations,"276,176,000","79,566,000","72,671,000","68,770,000","55,169,000","45,413,000","42,887,000","55,566,000","30,166,000","35,756,000","32,437,000","29,528,000","20,693,000","26,181,000","27,638,000","31,568,000","24,206,000","21,856,000","12,071,000","23,642,000","15,013,000","14,477,000","16,574,000","14,373,000","11,198,000","10,575,000","10,109,000","11,201,000","7,899,000","5,963,000","8,860,000","11,220,000","6,397,000","9,018,000","7,499,000","7,410,000","5,490,000","2,499,000",,,,,,,,"1,893,000","3,581,000","13,219,000","6,407,000","6,356,000","4,654,000",,,"-728,000","3,234,000","10,457,000","4,600,000","5,935,000","7,335,000","8,268,000","-6,374,000","62,000","-1,642,000","-1,873,000","1,060,000","-408,000","3,833,000","9,409,000","-6,713,032","-1,421,968","319,392"
		OperatingGainsLosses,"-1,194,000","2,192,000","-1,923,000","399,000","-1,862,000","-1,177,000","-3,187,000","-1,586,000","-3,568,000","3,749,000","-1,153,000","-372,000","-619,000","-1,921,000","1,226,000","-716,000","-299,000","66,000","-632,000","-636,000","-530,000","-736,000","-780,000","-234,000","-113,000","-73,000",,,,,,,,,,,,,"2,000","0","-35,000","74,000",,,,,"-51,000",,,,"0",,,,"1,000","0","3,000","1,000","28,000","2,000","0","97,000","73,000","2,000","-2,637,000","2,690,000","976,000","663,000",,,"13,280"
			GainLossOnSaleOfPPE,"-271,000",,,,,,,"12,000","4,000","-1,000","23,000","-297,000","1,000","14,000",,,,"0","-3,000","0","3,000","-3,000","-1,000","0","0","58,000",,,,,,,,,"31,000","0","0","0","2,000","0","5,000","74,000","33,000",,,,"-51,000",,,,"0","17,000","0","0",,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,"-3,172,000","-1,598,000","-3,572,000","3,750,000","-1,176,000","-75,000","-620,000","-1,935,000","1,204,000","-716,000","-299,000","66,000","-629,000","-636,000","-533,000","-733,000","-779,000","-234,000","-113,000","-131,000",,,,,,,,,,,,,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,"-1,194,000","2,192,000","-1,923,000","399,000","-1,862,000","-1,177,000","-3,172,000","-1,598,000","-3,572,000","3,750,000","-1,176,000","-75,000","-620,000","-1,935,000","1,204,000","-716,000","-299,000","66,000","-629,000","-636,000","-533,000","-733,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"32,285,000","9,115,000","8,323,000","7,727,000","7,120,000","5,529,000","5,401,000","4,956,000","4,501,000","4,328,000","4,050,000","3,823,000","3,739,000","3,255,000","3,253,000","3,228,000","3,075,000","2,755,000","4,009,000","4,029,000","4,019,000","4,044,000","4,132,000","3,669,000","3,553,000","3,320,000","3,305,000","3,386,000","3,471,000","3,621,000","3,442,000","3,388,000","3,118,000","3,182,000","3,200,000","3,249,000","3,002,000","2,709,000","2,466,000","2,413,000","2,269,000","2,184,000","2,182,000","2,175,000","2,105,000","2,270,000","2,392,000","2,020,000","1,881,000","1,723,000","1,706,000","1,718,000","1,612,000","1,537,000","1,514,000","1,455,000","1,425,000","1,331,000","1,222,000","1,090,000","997,000","875,000","12,285,000","699,000","716,000","548,000","1,689,000","1,148,000","2,158,053","2,107,947","3,441,753"
			DepreciationAndAmortization,"32,285,000","9,115,000","8,323,000","7,727,000","7,120,000","5,529,000","5,401,000","4,956,000","4,501,000","4,328,000","4,050,000","3,823,000","3,739,000","3,255,000","3,253,000","3,228,000","3,075,000","2,755,000","4,009,000","4,029,000","4,019,000","4,044,000","4,132,000","3,669,000","3,553,000","3,320,000","3,305,000","3,386,000","3,471,000","3,621,000","3,442,000","3,388,000","3,118,000","3,182,000","3,200,000","3,249,000","3,002,000","2,709,000","2,466,000","2,413,000","2,269,000","2,184,000","2,182,000","2,175,000","2,105,000","2,270,000","2,392,000","2,020,000","1,881,000","1,723,000","1,706,000","1,718,000","1,612,000","1,537,000","1,514,000","1,455,000","1,425,000","1,331,000","1,222,000","1,090,000","997,000","875,000","12,285,000","699,000","716,000","548,000","1,689,000","1,148,000","2,158,053","2,107,947","3,441,753"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"402,000","459,000","432,549","375,451","323,876"
