name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,12/31/2014
TotalAssets,"88,560,261","87,785,058","116,598,522","143,264,750","166,903,840","186,134,323","203,629,404","190,989,587","197,800,871","220,549,760","44,439,729","54,777,766","43,901,088","15,379,279","16,125,828","21,725,395","27,939,296","35,555,564","32,618,112","39,042,861","46,411,558","38,212,608","34,918,454","40,007,913","45,148,244","49,076,156","6,137,598","6,875,107","2,786,380"
	CurrentAssets,"86,829,926","86,518,140","115,024,195","141,654,894","165,035,438","184,024,826","203,272,284","190,819,290","197,622,778","220,379,262","44,236,206","54,568,050","43,759,179","15,215,102","15,944,433","21,539,404","27,753,698","35,299,541","32,419,477","38,837,046","46,198,751","37,999,057","34,754,903","39,916,623","45,065,552","49,032,878","4,965,276","6,667,276","2,743,760"
		CashCashEquivalentsAndShortTermInvestments,"84,707,782","86,472,854","114,622,893","141,219,090","164,660,132","183,876,453","202,360,292","190,682,109","197,313,408","219,966,167","43,641,861","53,753,137","42,624,487","13,968,742","15,220,764","20,351,443","26,632,695","34,021,123","31,673,383","37,994,449","45,019,627","36,618,497","33,887,804","38,751,750","44,078,000","48,036,260","4,620,867","6,414,273","2,617,815"
			CashAndCashEquivalents,"84,707,782","86,472,854","114,622,893","141,219,090","164,660,132","183,876,453","202,360,292","190,682,109","197,313,408","219,966,167","43,641,861","53,753,137","42,624,487","13,968,742","15,220,764","20,351,443","26,632,695","34,021,123","31,673,383","37,994,449","45,019,627","36,618,497","33,887,804","38,751,750","44,078,000","48,036,260","4,620,867","6,414,273","2,617,815"
				CashFinancial,,"86,472,854",,,,"183,876,453",,,,"219,966,167",,,,"13,968,742","15,220,764","20,351,443","26,632,695","34,021,123","31,673,383","37,994,449","45,019,627","36,618,497","33,887,804","38,751,750","44,078,000","48,036,260","4,620,867","6,414,273","2,617,815"
		PrepaidAssets,"2,122,144","45,286","401,302","435,804","375,306","148,373","911,992","137,181","309,370","413,095","594,345","814,913","1,134,692","1,246,360","723,669","1,187,961","1,121,003","1,278,418","746,094","842,597","1,179,124","1,380,560","867,099","1,164,873","987,552","996,618","332,587","253,003","125,945"
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,,"0",,,,,,,,"11,822",,
	TotalNonCurrentAssets,"1,730,335","1,266,918","1,574,327","1,609,856","1,868,402","2,109,497","357,120","170,297","178,093","170,498","203,523","209,716","141,909","164,177","181,395","185,991","185,598","256,023","198,635","205,815","212,807","213,551","163,551","91,290","82,692","43,278","1,172,322","207,831","42,620"
		NetPPE,"1,407,425","944,008","1,251,417","1,292,481","1,551,027","1,792,122","39,745","30,422","34,518","30,623","34,554","40,747","40,393","51,832","64,039","68,635","70,709","68,071","79,344","86,524","93,516","100,730","104,426","33,790","25,192","16,653","13,792","10,507","0"
			GrossPPE,"1,407,425","944,008","1,251,417","1,292,481","1,551,027","1,792,122","39,745","30,422","34,518","30,623","34,554","40,747","40,393","51,832","64,039","68,635","70,709","68,071","79,344","86,524","93,516","100,730","104,426","33,790","25,192","16,653","13,792","10,507",
				Properties,"0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,
				BuildingsAndImprovements,"946,479","660,162","936,526","1,209,037","1,476,711","1,739,475",,,,,,,,,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,,,,,,"52,647","39,745","30,422","34,518","30,623","34,554","40,747","40,393","51,832","64,039","68,635","70,709","68,071","79,344","86,524","93,516","100,730","104,426","33,790","25,192","16,653","13,792","10,507",
				OtherProperties,"460,946","283,846","314,891","83,444","74,316","52,647","39,745","30,422","34,518","30,623","34,554","40,747","40,393","51,832","64,039","68,635","70,709","68,071","79,344","86,524","93,516","100,730","104,426","33,790","25,192","16,653","13,792","10,507",
				Leases,,,,,,"1,739,475",,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,135,530","197,324","42,620"
		OtherNonCurrentAssets,"322,910","322,910","322,910","317,375","317,375","317,375","317,375","139,875","143,575","139,875","168,969","168,969","101,516","112,345","117,356","117,356","114,889","187,952","119,291","119,291","119,291","112,821","59,125","57,500","57,500","26,625","23,000",,
TotalLiabilitiesNetMinorityInterest,"73,862,247","72,154,706","73,880,678","71,828,130","70,610,641","72,341,414","68,367,646","36,746,277","41,644,005","41,827,371","37,617,133","30,494,821","26,527,389","14,441,358","15,383,071","14,716,496","15,353,142","18,838,341","15,779,055","16,288,253","17,131,078","16,641,157","6,735,536","5,103,558","3,913,732","2,631,895","2,233,971","14,087,037","5,988,955"
	CurrentLiabilities,"24,549,582","23,065,184","24,706,969","22,863,668","21,682,782","23,437,858","20,341,538","23,001,956","26,099,867","24,494,745","18,508,989","13,070,100","7,709,797","10,821,938","10,942,696","9,525,984","9,420,951","12,175,336","8,403,616","8,211,190","8,355,750","7,170,712","6,735,536","5,103,558","3,913,732","2,631,895","2,233,971","1,529,643","972,616"
		PayablesAndAccruedExpenses,"21,569,294","18,394,273","20,770,508","18,740,158","19,320,695","19,347,010","16,788,089","13,795,384","19,949,757","19,152,919","16,072,997","9,859,038","6,446,339","5,953,530","6,461,707","5,117,544","5,572,146","5,077,610","4,676,994","5,742,486","6,717,114","5,774,921","6,161,477","4,630,554","3,481,794","2,176,420","1,916,412","1,261,542","758,159"
			Payables,"12,595,112","13,149,329","13,381,681","11,611,996","14,621,717","13,504,022","11,315,126","9,363,225","12,191,714","10,943,325","9,447,359","6,137,120","3,434,184","3,687,245","4,167,369","3,175,178","3,874,592","3,435,456","2,942,999","4,038,645","4,740,702","4,081,173","3,867,584","3,035,038","1,830,422","1,892,363","1,715,697","1,074,441","758,159"
				AccountsPayable,"12,595,112","13,149,329","13,381,681","11,611,996","14,621,717","13,504,022","11,315,126","9,363,225","12,191,714","10,943,325","9,447,359","6,137,120","3,434,184","3,687,245","4,167,369","3,175,178","3,874,592","3,435,456","2,942,999","4,038,645","4,740,702","4,081,173","3,867,584","3,035,038","1,830,422","1,892,363","1,715,697","1,074,441","758,159"
				DuetoRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","41,469"
				OtherPayable,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,
