name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000
	CashFlowFromContinuingInvestingActivities,"-999,361,000","-417,599,000","-269,617,000","-151,276,000","-160,869,000","-52,672,000","-34,374,000","-59,038,000","-86,015,000","-104,499,000","-151,179,000","-226,808,000","-113,228,000","-77,913,000","-164,428,316","-150,410,797","-101,657,963","-58,021,512","-43,793,678","-32,869,346","-22,305,259","-20,271,464","-24,929,861","-27,602,416","-18,373,990","-20,057,820","-55,711,124","-45,058,178","-77,769,846","-110,396,519","-131,690,333","-116,433,464","-109,715,594","-119,200,454","-89,798,497","-82,314,928","-110,372,180","-76,050,814","-112,300,008","-135,830,994","-138,934,530","-145,106,890","-91,386,030","-97,755,758","-64,981,293","-46,744,720","-133,655,084","-41,999,090","-13,514,036","-18,725,240","-46,829,147","-7,506,381","-10,484,485","-7,028,688","-13,861,998","-16,551,230","-5,167,078","-9,756,602","-1,143,589","-2,972,132","-112,884","-850,153","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
		CapitalExpenditureReported,"-205,408,000","-55,941,000","-64,602,000","-44,900,000","-39,965,000","-33,331,000","-18,498,000","-53,951,000","-85,280,000","-78,962,000","-132,482,000","-66,214,000","-70,306,000","-69,786,000","-52,108,040","-53,863,711","-52,720,981","-57,999,427","-43,793,678","-32,865,392","-22,476,710","-20,271,464","-26,004,711","-28,499,384","-18,363,990","-20,067,820","-55,690,812","-45,052,881","-77,763,843","-110,547,904","-131,601,609","-116,418,816","-109,664,015","-119,186,402","-90,667,808","-82,148,032","-110,357,573","-76,884,714",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetPPEPurchaseAndSale,"-770,803,000","-361,658,000","-164,365,000","-115,776,000","-129,004,000","-1,841,000","-16,101,000","-5,636,000","39,000","-25,537,000","-18,697,000","-191,594,000","-11,922,000","-8,127,000","-132,320,276","-76,547,086","-48,936,982","-22,085","0","-3,954","171,451","0","1,074,850","896,968","-10,000","10,000","-20,312","-5,297","-6,003","151,385","-88,724","-14,648","-51,579","-14,052","869,311","-166,896","-14,607","833,900","419,654,969","-135,830,994","-138,934,530","-145,106,890","-101,871,662","-85,495,081","-90,233,098","-59,187,774","-87,611,735","-36,400,309","-36,260,354","-21,869,823","-22,722,853","-8,488,281","-10,302,585","-7,028,688","-15,432,753","-18,897,594","-5,661,193","-6,320,368","-1,503,589","-2,612,132","-112,884","-850,153",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PurchaseOfPPE,"-770,803,000","-361,658,000","-164,365,000","-115,776,000","-129,004,000","-1,841,000","-16,101,000","-5,636,000","39,000","-25,537,000","-18,697,000","-191,594,000","-11,922,000","-8,127,000","-132,320,276","-76,547,086","-49,004,671","-22,085","0","-32,869,346","-22,476,710","-20,271,464","-156,205","-58,480","0","0","-69,892","-5,297","-6,003","-9,559","-88,724","-14,648","-51,579","-14,052","-133,714","-166,896","-14,607","-74,100","419,615,969","-135,830,994","-138,934,530","-145,106,890","-101,871,662","-85,495,081","-95,260,260","-59,187,774","-87,671,735","-36,400,309","-36,260,354","-22,107,700","-22,722,853","-8,488,262","-10,302,604","-7,028,688","-15,901,362","-18,897,594","-5,661,193","-6,320,368","-1,503,589","-2,612,132","-112,884","-850,153",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SaleOfPPE,,,,,,,,,,,"0","0",,,"0","0",,,"0","0","171,451","0","1,231,055","955,448","-10,000","10,000","49,580","0","0","160,944","0","0","0","0","1,003,025","0","0","908,000","39,000","0",,,"0","0","5,027,162","0","60,000","0","0","237,877",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetBusinessPurchaseAndSale,"-23,150,000","0","-40,650,000","9,400,000","8,100,000","-17,500,000",,"549,000",,,,"31,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PurchaseOfBusiness,"-23,150,000","0","-40,650,000","9,400,000","8,100,000","-17,500,000",,"549,000",,,,"31,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetInvestmentPurchaseAndSale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","25,656,515","14,568,123","-39,870,514","0","18,251,118","7,639,783","-24,106,294","800,000","0","0","4,525,524","0","250,000","-3,800,524",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PurchaseOfInvestment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","-18,381,690",,,,,,,,,,"0","250,000","-3,800,524",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SaleOfInvestment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","25,656,515","32,949,813","8,808,750","0","18,251,118","7,639,783","0",,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetOtherInvestingChanges,,,,,"8,100,000","-17,500,000",,"549,000","-773,000","-1,000",,"31,001,000",,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0","10,485,632","-12,260,677","-404,710","-2,125,069","-6,172,835","-5,598,781","4,495,200","-4,495,200","0","181,900","-181,900","0","2,024,177","2,346,364","244,115","364,290","360,000","-360,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FinancingCashFlow,"512,232,000","257,380,000","144,030,000","54,025,000","56,797,000","-8,793,000","-39,034,000","2,590,000","-22,245,000","-3,710,000","94,919,000","154,892,000","12,686,000","-19,409,000","-64,025,746","-346,739","195,013,152","-209,611","131,814,159","0","20,567,836","-10,412,217","23,924,071","-11,941,443","14,344,174","-34,158,577","-20,135,453","-18,133,663","34,318,304","39,923,638","68,091,846","29,750,237","59,715,949","48,874,618","29,761,871","17,605,309","65,905,951","14,788,049","55,623,758","67,758,402","113,323,300","104,048,759","53,636,308","14,750,853","0","1,500,000","199,284,230","-6,779","79,689,223","1,496,885","47,304,068","-7,814,271","22,480,959","5,517,691","662,281","10,226,386","15,893,631","1,737,228","-17,061","13,937,902","-110,744","1,022,895","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
	CashFlowFromContinuingFinancingActivities,"512,232,000","257,380,000","144,030,000","54,025,000","56,797,000","-8,793,000","-39,034,000","2,590,000","-22,245,000","-3,710,000","94,919,000","154,892,000","12,686,000","-19,408,000","-64,025,746","-346,739","195,013,152","-209,611","131,814,159","0","20,567,836","-10,412,217","23,924,071","-11,941,443","14,344,174","-34,158,577","-20,135,453","-18,133,663","34,318,304","39,923,638","68,091,846","29,750,237","59,715,949","48,874,618","29,761,871","17,605,309","65,905,951","14,788,049","55,623,758","67,758,402","113,323,300","104,048,759","53,636,308","14,750,853","0","1,500,000","199,284,230","-6,779","79,689,223","1,496,885","47,304,068","-7,814,271","22,480,959","5,517,691","662,281","10,226,386","15,893,631","1,737,228","-17,061","13,937,902","-110,744","1,022,895","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
