name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013
TotalAssets,"3,495,501,000","3,496,876,000","3,210,872,000","2,894,253,000","2,951,684,000","2,845,093,000","2,591,361,000","2,551,782,000","2,910,438,000","2,499,967,000","2,489,562,000","2,410,373,000","2,323,065,000","2,254,255,000","2,152,494,000","1,985,673,000","1,740,485,000","1,735,022,000","1,631,008,000","1,405,506,000","1,026,026,000","1,007,528,000","1,001,371,000","971,112,000","957,621,000","917,741,000","860,055,000","781,119,000","718,170,000","675,979,000","638,593,000","612,774,000","410,073,000","312,639,000"
	CurrentAssets,"3,252,670,000","3,288,613,000","3,011,032,000","2,722,449,000","2,784,096,000","2,694,546,000","2,429,848,000","2,408,512,000","2,760,666,000","2,350,539,000","2,334,490,000","2,257,774,000","2,173,296,000","2,116,551,000","2,015,777,000","1,867,038,000","1,608,951,000","1,605,552,000","1,538,113,000","1,336,456,000","956,870,000","938,608,000","952,235,000","928,529,000","915,005,000","876,265,000","806,104,000","731,561,000","661,728,000","621,286,000","597,213,000","573,364,000","399,603,000","303,705,000"
		CashCashEquivalentsAndShortTermInvestments,"209,046,000","316,310,000","491,879,000","419,416,000","502,906,000","394,001,000","288,341,000","173,521,000","450,973,000","55,436,000","38,508,000","31,704,000","38,115,000","32,902,000","15,927,000","19,482,000","29,986,000","88,832,000","58,522,000","336,786,000","23,465,000","29,450,000","17,354,000","10,684,000","11,437,000","29,287,000","12,785,000","32,630,000","26,647,000","33,462,000","101,704,000","167,723,000","185,134,000","109,998,000"
			CashAndCashEquivalents,"209,046,000","316,310,000","491,879,000","419,416,000","502,906,000","394,001,000","288,341,000","173,521,000","450,973,000","55,436,000","38,508,000","31,704,000","38,115,000","32,902,000","15,927,000","19,482,000","29,986,000","88,832,000","58,522,000","336,786,000","23,465,000","29,450,000","17,354,000","10,684,000","11,437,000","29,287,000","12,785,000","32,630,000","26,647,000","33,462,000","101,704,000","167,723,000","185,134,000","109,998,000"
		Receivables,"62,547,000","55,388,000","45,747,000","43,489,000","37,341,000","32,942,000","31,315,000","36,972,000","35,007,000","43,441,000","37,597,000","30,791,000","26,295,000","68,671,000","32,900,000","25,784,000","14,733,000","15,752,000","23,582,000","14,007,000","9,862,000","8,579,000","7,727,000","32,208,000","20,115,000","20,005,000","32,532,000","16,431,000","18,805,000","13,799,000","16,105,000","11,397,000","7,409,000","4,438,000"
			AccountsReceivable,"46,038,000","41,932,000","34,134,000","30,286,000","24,856,000","21,781,000","28,855,000","22,846,000","23,087,000","27,438,000","17,929,000","15,999,000","12,436,000","13,464,000","28,015,000","20,890,000","12,006,000","12,999,000","20,810,000","8,209,000","7,037,000","5,729,000","4,852,000","29,290,000","17,192,000","17,058,000","29,561,000","13,431,000","18,805,000","13,799,000","16,105,000","11,397,000","7,409,000","4,438,000"
			LoansReceivable,"16,509,000","13,456,000","11,613,000","10,823,000","10,078,000","8,727,000",,"11,640,000","9,349,000",,,,,,,,,,,,,,,,,,,,,,,,,
			NotesReceivable,,"0",,"2,380,000","2,407,000","2,434,000","2,460,000","2,486,000","2,571,000","2,602,000","2,632,000","2,672,000","2,700,000","4,947,000","4,885,000","4,894,000","2,727,000","2,753,000","2,772,000","5,798,000","2,825,000","2,850,000","2,875,000","2,918,000","2,923,000","2,947,000","2,971,000","3,000,000",,,,,,
			OtherReceivables,,,,,,,,,,"13,401,000","17,036,000","12,120,000","11,159,000","50,260,000",,,,,,,,,,,,,,,,,,,,
		Inventory,"2,680,195,000","2,456,614,000","2,162,682,000","1,948,769,000","1,853,199,000","1,929,664,000","1,872,337,000","1,898,503,000","2,074,509,000","1,995,549,000","2,093,493,000","2,009,769,000","1,943,792,000","1,848,243,000","1,834,897,000","1,696,931,000","1,480,208,000","1,390,354,000","1,352,989,000","926,992,000","884,072,000","857,885,000","873,613,000","869,741,000","867,357,000","810,137,000","741,554,000","661,728,000","599,747,000","556,323,000","461,566,000","383,898,000","197,014,000","184,072,000"
