name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000
			SaleOfInvestment,"6,737,000","205,000","572,000","756,000","5,204,000","0","5,591,000","129,000","3,177,000","2,504,000","927,000","0","0","15,000","5,254,000","189,000","1,810,000","28,596,000","2,524,000","3,125,000","344,000","3,135,000","25,680,000","20,200,000","2,374,000","5,700,000","2,510,000","13,206,000","3,068,000","8,288,000","5,036,000","3,146,000","1,752,000","11,066,000","1,147,000","3,629,000","1,219,000","5,589,000","1,607,000","2,125,000","6,869,000","14,555,000","3,767,000","7,923,000","16,262,000","3,655,000","4,031,000","11,889,000","6,393,000","50,151,000","2,356,000","50,429,000","0","0","2,092,000","0","8,535,000","34,817,000","69,590,000","97,613,000","82,597,000","84,746,000","87,650,000","21,363,000","362,000","13,606,000","-9,000","6,000","5,000","403,000","19,118,000","6,141,000","4,362,000","3,000,000",,,,,,,,,,,,,,,,
		NetOtherInvestingChanges,"-4,967,000","-4,450,000","-590,000","15,000","58,000","781,000","127,000","-35,000","-60,000","-1,097,000","-3,228,000","-53,000","82,000","-689,000","-687,000","-62,000","-6,000","-50,000","-228,000","-266,000","-39,000","17,000","-96,000","-284,000","1,253,000","2,821,000","-1,977,000","-2,810,000","1,882,000","684,000","774,000","2,000","-2,244,000","318,000","199,000","49,000","13,000","46,000","40,000","1,017,000","756,000","973,000","3,827,000","632,000","842,000","146,000","-1,455,000","233,000","257,000","1,915,000","534,000","1,968,000","1,457,000","69,000","244,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	CashFromDiscontinuedInvestingActivities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0",,,,,,,,,,,,,,,,,"-4,616,000","192,572,000",,,,,,,,,,,,,,,,,,,,,,,,,,
FinancingCashFlow,"464,595,000","-13,283,000","-218,972,000","178,895,000","517,955,000","194,720,000","-59,229,000","-268,639,000","-104,096,000","479,212,000","-39,044,000","-133,443,000","473,507,000","-69,083,000","563,000","-147,079,000","719,511,000","-14,936,000","-53,010,000","-402,000","-80,740,000","-74,324,000","-23,465,000","-105,189,000","512,299,000","7,081,000","15,988,000","52,287,000","-65,661,000","1,934,000","17,118,000","-33,916,000","84,356,000","-6,144,000","-15,907,000","-38,913,000","-22,907,000","-6,510,000","-18,114,000","-27,537,000","-34,835,000","-30,635,000","-56,009,000","-106,140,000","-80,589,000","-29,048,000","-14,355,000","-90,336,000","-39,966,000","-23,238,000","-8,305,000","-28,242,000","-6,201,000","-38,229,000","8,865,000","600,000","-12,679,000","-14,106,000","-5,253,000","-26,063,000","4,691,000","-19,802,000","-26,984,000","-81,564,000","101,940,000","11,994,000","-95,273,000","-19,074,000","-71,310,000","-11,920,000","428,821,000","2,013,000","1,758,000","4,355,000","-10,267,000","5,375,000","-1,803,000","-2,097,000","-1,680,000","2,494,000","-70,892,000","75,253,000","-38,774,000","44,273,000","-46,931,000","88,662,000","-711,000","-691,000","-1,537,000","3,721,000"
	CashFlowFromContinuingFinancingActivities,"464,595,000","-13,283,000","-218,972,000","178,895,000","517,955,000","194,720,000","-59,229,000","-268,639,000","-104,096,000","479,212,000","-39,044,000","-133,443,000","473,507,000","-69,083,000","563,000","-147,079,000","719,511,000","-14,936,000","-53,010,000","-402,000","-80,740,000","-74,324,000","-23,465,000","-105,189,000","512,299,000","7,081,000","15,988,000","52,287,000","-65,661,000","1,934,000","17,118,000","-33,916,000","84,356,000","-6,144,000","-15,907,000","-38,913,000","-22,907,000","-6,510,000","-18,114,000","-27,537,000","-34,835,000","-30,635,000","-56,009,000","-106,140,000","-80,376,000","-29,261,000","-14,418,000","-90,336,000","-39,966,000","-23,238,000","-8,305,000","-28,242,000","-6,201,000","-38,229,000","8,865,000","600,000","-12,679,000","-14,106,000","-5,253,000","-26,063,000","4,691,000","-19,802,000","-26,984,000","-81,564,000","102,122,000","11,994,000","-95,273,000","-19,074,000","-71,310,000","-11,920,000","428,821,000","2,013,000","1,758,000","4,355,000","-10,267,000","5,375,000","-1,803,000","-2,097,000","-1,680,000","2,494,000","-70,892,000","75,253,000","-38,774,000","44,273,000","-46,931,000","88,662,000","-711,000","-691,000","-1,537,000","3,721,000"
		NetIssuancePaymentsOfDebt,"482,158,000","13,738,000","-221,041,000","171,107,000","518,354,000","239,816,000","-60,405,000","-275,725,000","-117,966,000","484,684,000","-38,682,000","-136,415,000","479,517,000","-70,547,000","-5,371,000","-152,965,000","728,857,000","-16,496,000","-55,576,000","33,746,000","-68,333,000","-45,416,000","-11,768,000","-106,968,000","506,752,000","14,000","12,453,000","69,800,000","-23,220,000","16,150,000","-11,105,000","-24,027,000","162,753,000","-23,237,000","22,937,000","3,438,000","-15,776,000","-22,099,000","-6,615,000","-21,378,000","-19,672,000","-18,566,000","-23,764,000","-47,314,000","-72,020,000","140,841,000","-15,215,000","275,320,000","-40,611,000","-21,657,000","-8,627,000","-28,183,000","9,345,000","-8,665,000","33,425,000","19,835,000",,,"-7,815,000","-18,727,000","-19,089,000","-18,914,000","-30,413,000","-7,709,000","296,893,000","10,687,000","-80,555,000","-27,969,000","-75,047,000","-20,216,000","420,324,000","-174,000","-39,000","-157,000","-10,805,000","4,171,000","-2,642,000","-807,000","-8,790,000","593,000","-71,920,000","81,148,000","-42,829,000","-8,026,000","-47,750,000","27,031,000","31,515,000","-236,655,000","-1,537,000","3,721,000"
			NetLongTermDebtIssuance,"482,158,000","13,738,000","-221,041,000","171,107,000","518,354,000","239,816,000","-60,405,000","-275,725,000","-117,966,000","484,684,000","-38,682,000","-136,415,000","479,517,000","-70,547,000","-5,371,000","-152,965,000","728,857,000","-16,496,000","-55,576,000","33,746,000","-68,333,000","-45,416,000","-11,768,000","-106,968,000","506,752,000","14,000","12,453,000","69,800,000","-23,220,000","16,150,000","-11,105,000","-24,027,000","162,753,000","-23,237,000","22,937,000","3,438,000","-15,776,000","-22,099,000","-6,615,000","-21,378,000","-19,672,000","-18,566,000","-23,764,000","-47,314,000","-72,020,000","140,841,000","-15,215,000","275,320,000","-40,611,000","-21,657,000","-8,627,000","-28,183,000","9,345,000","-8,665,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				LongTermDebtIssuance,"5,959,107,000","962,005,000","831,442,000","1,119,729,000","3,045,931,000","1,954,011,000","819,034,000","1,000","2,160,000","1,409,793,000","1,287,286,000","585,444,000","1,195,620,000","290,111,000","362,827,000","-367,000","1,312,269,000","1,080,299,000","7,601,000","93,031,000","23,500,000","112,724,000","117,885,000","44,806,000","832,552,000","49,423,000","38,736,000","159,565,000","254,385,000","39,828,000","51,000,000","10,000,000","188,568,000","49,352,000","44,000,000","44,495,000","390,506,000","32,803,000","21,001,000","14,998,000","10,117,000","28,000,000","14,902,000","84,971,000","228,000","150,607,000","1,538,000","576,369,000","440,000","1,025,000","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				LongTermDebtPayments,"-5,476,949,000","-948,267,000","-1,052,483,000","-948,622,000","-2,527,577,000","-1,714,195,000","-879,439,000","-275,726,000","-120,126,000","-925,109,000","-1,325,968,000","-721,859,000","-716,103,000","-360,658,000","-368,198,000","-152,598,000","-583,412,000","-1,096,795,000","-63,177,000","-59,285,000","-91,833,000","-158,140,000","-129,653,000","-151,774,000","-325,800,000","-49,409,000","-26,283,000","-89,765,000","-277,605,000","-23,678,000","-62,105,000","-34,027,000","-25,815,000","-72,589,000","-21,063,000","-41,057,000","-406,282,000","-54,902,000","-27,616,000","-36,376,000","-29,789,000","-46,566,000","-38,666,000","-132,285,000","-72,248,000","-9,766,000","-16,753,000","-301,049,000","-41,051,000","-22,682,000","-8,627,000","-28,183,000","-8,655,000","-8,665,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetCommonStockIssuance,"-38,673,000","-33,994,000","-267,000","-143,000","-4,269,000","-36,028,000","-74,000","-112,000","-118,000","-23,675,000","-47,000","-157,000","-123,000","-17,760,000","-55,000","-123,000","-119,000","-13,549,000","-7,000","-36,082,000","-22,640,000","-48,180,000","-41,000","-28,000","-51,000","-12,147,000","-47,000","-17,945,000","-40,854,000","-58,632,000","-33,000","-20,376,000","-80,797,000","-20,812,000","-74,229,000","-64,804,000","-15,670,000","-11,229,000","-18,347,000","-15,029,000","-15,567,000","-15,246,000","-28,185,000","-64,501,000","-16,644,000","-174,465,000","-106,000","-353,456,000","-70,000","-2,895,000","-127,000","-606,000","-15,593,000","-29,571,000","-53,135,000","-20,701,000","-25,343,000","-15,879,000","-292,000","-8,958,000","22,965,000","-1,355,000","-160,000","-73,084,000","-89,875,000","1,484,000","-13,927,000","9,035,000","4,347,000","9,671,000","15,846,000","2,786,000","1,837,000","6,085,000","538,000","1,249,000","1,617,000","572,000","987,000","1,752,000","1,034,000","1,500,000","-1,003,000","54,839,000","633,000","62,222,000","0",,,
