name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018
TotalAssets,"858,193,000","923,344,000","992,607,000","1,033,374,000","1,072,093,000","1,116,414,000","1,095,473,000","854,822,000","874,886,000","912,302,000","917,392,000","601,395,000","614,584,000","332,688,000"
	CurrentAssets,"419,120,000","402,748,000","467,027,000","643,729,000","764,960,000","726,914,000","877,358,000","599,521,000","584,646,000","612,690,000","601,356,000","442,301,000","459,148,000","180,718,000"
		CashCashEquivalentsAndShortTermInvestments,"363,562,000","353,061,000","415,040,000","598,413,000","714,264,000","688,269,000","835,080,000","570,380,000","555,173,000","576,866,000","573,428,000","423,001,000","440,440,000","165,018,000"
			CashAndCashEquivalents,"114,805,000","139,065,000","122,401,000","184,186,000","173,624,000","123,436,000","497,076,000","365,440,000","212,688,000","96,576,000","74,941,000","48,458,000","111,290,000","55,030,000"
			OtherShortTermInvestments,"248,757,000","213,996,000","292,639,000","414,227,000","540,640,000","564,833,000","338,004,000","204,940,000","342,485,000","480,290,000","498,487,000","374,543,000","329,150,000","109,988,000"
		Receivables,"22,518,000","17,409,000","17,122,000","14,174,000","19,754,000","10,047,000","11,858,000","7,914,000","9,382,000","12,676,000","9,257,000","7,252,000","4,066,000","4,807,000"
			AccountsReceivable,"22,518,000","17,409,000","17,122,000","14,174,000","19,754,000","10,047,000","11,858,000","7,914,000","9,382,000","12,676,000","9,257,000","7,252,000","4,066,000","4,807,000"
		Inventory,"21,002,000","19,263,000","18,231,000","18,612,000","17,422,000","14,063,000","10,736,000","10,536,000","10,518,000","9,069,000","8,667,000","8,004,000","7,855,000","7,838,000"
		PrepaidAssets,"12,038,000","13,015,000","16,634,000","12,530,000","13,520,000","14,535,000","19,684,000","10,691,000","9,573,000","14,079,000","10,004,000","4,044,000","6,787,000","3,055,000"
	TotalNonCurrentAssets,"439,073,000","520,596,000","525,580,000","389,645,000","307,133,000","389,500,000","218,115,000","255,301,000","290,240,000","299,612,000","316,036,000","159,094,000","155,436,000","151,970,000"
		NetPPE,"171,628,000","172,940,000","177,266,000","167,302,000","144,812,000","139,042,000","68,889,000","64,452,000","56,010,000","60,355,000","46,542,000","22,298,000","21,184,000","19,125,000"
			GrossPPE,"171,628,000","209,166,000","177,266,000","167,302,000","144,812,000","163,424,000","68,889,000","64,452,000","56,010,000","78,471,000","46,542,000","22,298,000","21,184,000","31,577,000"
				Properties,,"0",,,,"0",,,,"0",,,,"0"
				MachineryFurnitureEquipment,,"13,559,000",,,,"7,177,000",,,,"4,523,000",,,,"3,548,000"
				OtherProperties,"171,628,000","123,990,000","177,266,000","167,302,000","144,812,000","127,117,000","68,889,000","64,452,000","56,010,000","57,380,000","46,542,000","22,298,000","21,184,000","14,009,000"
				ConstructionInProgress,,"5,658,000",,,,"7,185,000",,,,"1,852,000",,,,"3,942,000"
				Leases,,"65,959,000",,,,"21,945,000",,,,"14,716,000",,,,"10,078,000"
			AccumulatedDepreciation,,"-36,226,000",,,,"-24,382,000",,,,"-18,116,000",,,,"-12,452,000"
		GoodwillAndOtherIntangibleAssets,"127,079,000","127,498,000","127,927,000","128,355,000","128,778,000","129,197,000","129,625,000","130,053,000","130,476,000","130,900,000","131,328,000","131,756,000","132,179,000","132,598,000"
			Goodwill,"118,972,000","118,972,000","118,972,000","118,972,000","118,972,000","118,972,000","118,972,000","118,972,000","118,972,000","118,972,000","118,972,000","118,972,000","118,972,000","118,972,000"
