name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989
OperatingCashFlow,"196,239,000","-95,366,000","-28,902,000","283,109,000","37,398,000","-90,379,000","-141,085,000","-55,791,000","-114,522,000","-105,139,000","13,902,000","290,455,000","155,426,000","-56,742,000","16,306,000","248,669,000","140,983,000","-55,218,000","8,561,000","234,949,000","161,653,000","-73,984,000","17,645,000","242,609,000","165,015,000","-67,842,000","-1,855,000","270,795,000","133,526,000","-60,249,000","25,384,000","259,482,000","135,493,000","-83,256,000","7,502,000","234,399,000","151,223,000","-68,667,000","9,189,000","212,139,000","146,537,000","-81,932,000","-4,188,000","196,502,000","110,146,000","-84,283,000","-28,996,000","212,754,000","69,841,000","-71,484,000","-39,826,000","209,296,000","85,337,000","-69,610,000","-33,615,000","206,170,000","96,000,000","-52,967,000","-18,191,000","193,750,000","75,163,000","-69,011,000","-52,243,000","207,698,000","43,725,000","-32,756,000","1,887,000","141,236,000","50,983,000","-33,558,000","-12,598,000","139,561,000","44,814,000","-23,616,000","-2,966,000","128,331,000","46,791,000","-37,238,000","2,185,000","120,582,000","53,942,000","-30,241,000","-10,973,000","122,344,000","37,132,000","-23,535,000","3,235,000","86,459,000","44,394,000","-19,971,000","-2,800,000","107,000,000","34,500,000","-14,700,000","-300,000","104,200,000","43,200,000","-18,200,000","-6,500,000","91,200,000","25,700,000","-13,900,000","1,700,000","79,900,000","27,900,000","-15,300,000","800,000","5,100,000","89,700,000","-11,000,000","-7,600,000","-9,900,000","63,600,000","24,500,000","-9,000,000","-11,500,000","59,900,000","14,500,000","-6,900,000","-9,500,000","48,500,000","17,500,000","-10,200,000","-7,700,000","49,100,000","8,700,000","-6,400,000","-7,200,000","46,300,000"
	CashFlowFromContinuingOperatingActivities,"196,239,000","-95,366,000","-28,902,000","283,109,000","37,398,000","-90,379,000","-141,085,000","-55,791,000","-114,522,000","-105,139,000","13,902,000","290,455,000","155,426,000","-56,742,000","16,306,000","248,669,000","140,983,000","-55,218,000","8,561,000","234,949,000","161,653,000","-73,984,000","17,645,000","242,609,000","165,015,000","-67,842,000","-1,855,000","270,795,000","133,526,000","-60,249,000","25,384,000","259,482,000","135,493,000","-83,256,000","7,502,000","234,399,000","151,223,000","-68,667,000","9,189,000","212,139,000","146,537,000","-81,932,000","-4,188,000","196,502,000","110,146,000","-84,283,000","-28,996,000","212,754,000","69,841,000","-71,484,000","-39,826,000","209,296,000","85,337,000","-69,610,000","-33,615,000","206,170,000","96,000,000","-52,967,000","-18,191,000","193,750,000","75,163,000","-69,011,000","-52,243,000","207,698,000","43,725,000","-32,756,000","1,887,000","141,236,000","50,983,000","-33,558,000","-12,598,000","139,561,000","44,814,000","-23,616,000","-2,966,000","128,331,000","46,791,000","-37,238,000","2,185,000","120,582,000","53,942,000","-30,241,000","-10,973,000","122,344,000","37,132,000","-23,535,000","3,235,000","86,459,000","44,394,000","-19,971,000","-2,800,000","107,000,000","34,500,000","-14,700,000","-300,000","104,200,000","43,200,000","-18,200,000","-6,500,000","91,200,000","25,700,000","-13,900,000","1,700,000","79,900,000","27,900,000","-15,300,000","800,000","5,100,000","89,700,000","-11,000,000","-7,600,000","-9,900,000","63,600,000","24,500,000","-9,000,000","-11,500,000","59,900,000","14,500,000","-6,900,000","-9,500,000","48,500,000","17,500,000","-10,200,000","-7,700,000","49,100,000","8,700,000","-6,400,000","-7,200,000","46,300,000"
		NetIncomeFromContinuingOperations,"-26,611,000","-88,509,000","-27,219,000","147,987,000","-58,870,000","-110,416,000","-105,453,000","-136,261,000","-132,552,000","-215,977,000","2,785,000","189,955,000","63,298,000","-83,673,000","-22,497,000","213,307,000","19,243,000","-83,400,000","57,547,000","191,315,000","31,368,000","-64,754,000","-6,796,000","174,987,000","57,983,000","-48,486,000","-25,679,000","164,151,000","57,583,000","-83,833,000","-18,049,000","161,902,000","43,902,000","-83,540,000","-20,484,000","190,424,000","47,390,000","-109,126,000",,,,,,,,"-84,692,000","-63,167,000","75,748,000","-4,215,000","-39,933,000","-26,292,000","107,614,000","7,388,000","-53,281,000","-56,749,000","91,549,000","14,688,000","-43,782,000","-9,029,000","54,132,000","5,530,000","-55,124,000","-29,982,000","132,903,000","11,060,000","-26,504,000","2,315,000","146,243,000","36,858,000","-24,564,000","-13,852,000","108,873,000","13,179,000","-29,885,000","-10,697,000","111,427,000","16,692,000","-31,534,000","-19,908,000","103,173,000","20,678,000","-32,526,000","-25,534,000","107,246,000","6,638,000","-30,456,000","-997,000","86,712,000","18,643,000","-26,552,000","-600,000","89,000,000","19,200,000","-21,800,000","5,800,000","81,400,000","19,700,000","-23,500,000","-12,800,000","83,900,000","14,400,000","-17,000,000","-13,400,000","83,900,000","19,400,000","-15,700,000","-13,700,000","80,600,000","11,500,000","-12,300,000","-10,000,000","-11,200,000","73,800,000","10,500,000","-11,200,000","-11,400,000","52,000,000","10,400,000","-8,100,000","-8,300,000","40,900,000","11,800,000","-8,400,000","-7,500,000","42,300,000","5,800,000","-7,400,000","-7,200,000","40,000,000"
		OperatingGainsLosses,"-12,314,000","-14,202,000","5,403,000","10,661,000","-14,172,000","-8,997,000","-42,522,000","-10,549,000","-9,122,000","55,111,000","-8,901,000","5,520,000","-9,488,000","-9,438,000","24,631,000","-13,448,000","15,617,000","11,997,000","8,390,000","-33,755,000","19,584,000","-2,010,000","9,120,000","7,538,000","-11,617,000","-19,812,000","17,465,000","65,666,000","-1,407,000","-116,000","38,291,000","-1,333,000","28,037,000","371,000","26,354,000","-7,366,000","-2,273,000","43,784,000",,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,"110,000","519,000","64,000","496,000","-3,342,000","3,545,000","-611,000","474,000","225,000","119,000","1,366,000","1,428,000","8,684,000","1,675,000","1,358,000","3,161,000","9,037,000","-3,111,000","3,550,000","2,185,000",,,,,,,,,,,,,,,,,,,,,,"-71,400,000",,,,,,,,,,,,,,,,,"0",,,"0","0"
			NetForeignCurrencyExchangeGainLoss,"11,421,000","0","7,916,000","13,847,000","-10,342,000","-5,435,000","-22,991,000","-9,308,000","-12,377,000","35,332,000","-8,901,000","5,520,000","-9,488,000","-9,438,000","24,631,000","-13,448,000","15,617,000","10,924,000","8,384,000","-33,755,000","-3,531,000","-2,010,000","9,120,000","7,538,000","-11,617,000","-19,812,000","17,465,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-29,640,000","-14,202,000","-8,418,000","-3,186,000","-3,834,000","-3,562,000",,"-1,558,000","1,559,000","19,779,000",,,,,,,,,,,,,,,,,,,"-1,407,000","-116,000","-1,031,000","-1,087,000","-315,000","371,000","-1,432,000","1,377,000","-2,273,000","9,211,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"156,949,000","9,599,000","35,897,000","77,461,000","33,992,000","1,453,000","30,102,000","67,436,000","54,923,000","5,088,000","32,628,000","68,335,000","55,904,000","13,589,000","23,415,000","74,374,000","52,219,000","5,521,000","26,985,000","70,060,000","50,812,000","5,365,000","13,701,000","64,685,000","48,299,000","5,191,000","15,456,000","59,059,000","47,105,000","4,011,000","14,761,000","58,244,000","46,974,000","4,307,000","14,174,000","57,495,000","46,032,000","4,786,000","14,183,000","60,747,000",,,,,,,,,,,,,,,,,,,,,,"4,318,000","12,699,000","56,312,000","18,218,000","3,474,000","6,723,000","28,102,000","17,486,000","3,454,000","6,718,000","24,425,000","16,104,000","3,443,000","5,941,000","20,091,000","15,443,000","3,218,000","5,270,000","18,596,000","14,516,000","3,300,000","5,080,000","21,424,000","12,900,000","3,082,000","1,545,000","22,947,000","11,831,000","3,249,000","800,000","19,000,000","12,000,000","3,300,000","2,400,000","16,700,000","10,500,000","2,500,000","700,000","12,300,000","8,200,000","300,000","400,000","11,000,000","7,600,000","100,000","100,000","1,800,000","14,700,000","100,000","100,000","100,000","8,800,000","5,500,000","100,000","0","8,100,000","4,200,000","100,000","100,000","6,000,000",,,"0","6,000,000",,,"100,000","5,600,000"
			DepreciationAndAmortization,"156,949,000","9,599,000","35,897,000","77,461,000","33,992,000","1,453,000","30,102,000","67,436,000","54,923,000","5,088,000","32,628,000","68,335,000","55,904,000","13,589,000","23,415,000","74,374,000","52,219,000","5,521,000","26,985,000","70,060,000","50,812,000","5,365,000","13,701,000","64,685,000","48,299,000","5,191,000","15,456,000","59,059,000","47,105,000","4,011,000","14,761,000","58,244,000","46,974,000","4,307,000","14,174,000","57,495,000","46,032,000","4,786,000","14,183,000","60,747,000",,,,,,,,,,,,,,,,,,,,,,"4,318,000","12,699,000","56,312,000","18,218,000","3,474,000","6,723,000","28,102,000","17,486,000","3,454,000","6,718,000","24,425,000","16,104,000","3,443,000","5,941,000","20,091,000","15,443,000","3,218,000","5,270,000","18,596,000","14,516,000","3,300,000","5,080,000","21,424,000","12,900,000","3,082,000","1,545,000","22,947,000","11,831,000","3,249,000","800,000","19,000,000","12,000,000","3,300,000","2,400,000","16,700,000","10,500,000","2,500,000","700,000","12,300,000","8,200,000","300,000","400,000","11,000,000","7,600,000","100,000","100,000","1,800,000","14,700,000","100,000","100,000","100,000","8,800,000","5,500,000","100,000","0","8,100,000","4,200,000","100,000","100,000","6,000,000",,,"0","6,000,000",,,"100,000","5,600,000"
		DeferredTax,"3,523,000","-13,469,000","19,109,000","10,274,000","-12,391,000","9,896,000","36,363,000","-27,898,000","-22,671,000","-27,727,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,395,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,000","0",,,,,,,,,,,,,,,,,
			DeferredIncomeTax,"3,523,000","-13,469,000","19,109,000","10,274,000","-12,391,000","9,896,000","36,363,000","-27,898,000","-22,671,000","-27,727,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,395,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,000","0",,,,,,,,,,,,,,,,,
