name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,12/31/1995
TotalAssets,"1,940,077,000","1,753,085,000","1,734,052,000","1,728,084,000","1,769,084,000","1,584,276,000","1,523,282,000","1,517,733,000","1,522,408,000","1,394,996,000","1,292,122,000","1,316,995,000","1,350,978,000","1,191,816,000","1,136,677,000","1,051,068,000","1,091,467,000","1,063,695,000","947,372,000","885,888,000","928,528,000","907,174,000","794,886,000","846,495,000","880,510,000","784,912,000","780,093,000","753,048,000","840,621,000","796,670,000","779,358,000","737,256,000","799,389,000","766,560,000","710,469,000","708,318,000","760,711,000","750,200,000","730,434,000","682,057,000","741,630,000","712,259,000","636,470,000","683,542,000","728,646,000","659,845,000","626,207,000","607,750,000","630,452,000","576,470,000","578,097,000","571,719,000","602,962,000","616,840,000","594,685,000","559,877,000","572,976,000","560,651,000","546,419,000","514,859,000","560,940,000","561,515,000","506,467,000","480,844,000","529,662,000","495,439,000","428,100,000","414,519,000","421,824,000","354,638,000","357,468,000","349,246,000","367,377,000","348,071,000","302,215,000","288,504,000","301,291,000","315,164,000","286,997,000","274,796,000","290,918,000","274,003,000","254,874,000","226,050,000","216,486,000","242,817,000","202,066,000","179,497,000","169,505,000","147,700,000","147,900,000","140,400,000","135,500,000","142,800,000","135,900,000","125,400,000","122,200,000","109,500,000","96,000,000","89,300,000","88,400,000","48,400,000","39,500,000"
	CurrentAssets,"1,431,914,000","1,244,848,000","1,206,468,000","1,201,289,000","1,251,505,000","1,077,268,000","1,048,858,000","1,068,647,000","1,079,280,000","974,746,000","893,743,000","919,177,000","980,081,000","866,536,000","846,162,000","749,787,000","801,013,000","778,935,000","671,039,000","599,032,000","650,476,000","640,322,000","548,664,000","611,481,000","636,393,000","542,048,000","568,464,000","551,594,000","633,593,000","569,509,000","573,651,000","534,275,000","598,037,000","565,317,000","509,418,000","510,301,000","561,159,000","551,465,000","535,909,000","487,916,000","549,366,000","522,788,000","459,343,000","514,561,000","553,269,000","498,088,000","467,143,000","458,475,000","472,065,000","418,221,000","419,904,000","414,668,000","433,002,000","449,620,000","433,890,000","386,659,000","409,754,000","413,411,000","407,606,000","382,312,000","408,872,000","415,079,000","362,953,000","334,775,000","363,589,000","338,561,000","300,956,000","287,250,000","282,553,000","214,309,000","224,942,000","219,580,000","239,463,000","228,490,000","189,575,000","185,183,000","184,044,000","192,164,000","162,315,000","162,683,000","184,443,000","182,121,000","184,197,000","159,603,000","152,793,000","181,380,000","143,440,000","123,124,000","119,584,000","98,700,000","98,300,000","96,100,000","94,000,000","103,100,000","104,500,000","101,700,000","100,100,000","89,400,000","78,200,000","72,300,000","72,500,000","33,000,000","28,200,000"
		CashCashEquivalentsAndShortTermInvestments,"609,264,000","607,603,000","500,618,000","489,984,000","529,069,000","589,375,000","406,350,000","491,351,000","424,236,000","402,070,000","304,319,000","386,055,000","452,535,000","387,554,000","365,875,000","315,918,000","356,569,000","356,220,000","287,884,000","243,819,000","305,691,000","287,885,000","225,370,000","273,454,000","320,742,000","279,413,000","210,839,000","189,376,000","257,428,000","305,087,000","225,411,000","212,320,000","260,415,000","272,095,000","209,242,000","231,179,000","278,829,000","281,448,000","253,920,000","237,772,000","291,529,000","268,195,000","225,304,000","302,789,000","320,072,000","278,196,000","251,031,000","210,331,000","239,065,000","233,122,000","194,666,000","181,590,000","196,583,000","252,415,000","189,696,000","162,468,000","185,253,000","210,673,000","203,960,000","205,281,000","231,526,000","234,033,000","188,948,000","189,172,000","214,546,000","195,380,000","155,672,000","168,162,000","152,093,000","109,690,000","116,666,000","103,209,000","121,007,000","128,717,000","72,274,000","74,754,000","74,432,000","86,513,000","50,253,000","59,504,000","90,618,000","100,961,000","108,005,000","90,665,000","88,574,000","108,686,000","79,876,000","67,953,000","66,321,000","56,200,000","53,200,000","49,200,000","52,100,000","73,200,000","68,500,000","69,400,000","69,100,000","66,600,000","52,900,000","29,000,000","51,500,000","13,400,000","6,500,000"
			CashAndCashEquivalents,"576,654,000","575,812,000","467,921,000","455,387,000","494,777,000","554,846,000","372,356,000","459,399,000","404,728,000","367,342,000","243,439,000","324,926,000","398,936,000","326,773,000","328,299,000","308,711,000","354,641,000","354,260,000","285,934,000","241,890,000","303,850,000","286,034,000","223,550,000","271,573,000","318,848,000","269,538,000","201,085,000","167,728,000","228,588,000","276,456,000","179,458,000","168,889,000","213,518,000","225,755,000","161,842,000","178,493,000","227,432,000","264,544,000","202,218,000","180,590,000","234,548,000","211,208,000","169,910,000","265,191,000","277,805,000","234,829,000","207,930,000","169,382,000","212,469,000","227,085,000","194,666,000","181,590,000","196,583,000","252,190,000","189,470,000","158,637,000","159,311,000","135,793,000","114,926,000","118,933,000","141,001,000","148,416,000","107,185,000","108,713,000","150,929,000","137,407,000","108,818,000","140,241,000","123,930,000","81,740,000","88,467,000","75,902,000","94,833,000","104,728,000","49,721,000","56,092,000","56,406,000","71,799,000","35,297,000","44,361,000","42,409,000","53,000,000","65,457,000","59,312,000","57,238,000","69,733,000","47,244,000","37,163,000","32,822,000","25,500,000","22,300,000","19,000,000","15,400,000","23,500,000","18,400,000","28,800,000","41,300,000","40,600,000","28,600,000","29,000,000","32,600,000","13,400,000","6,500,000"
				CashFinancial,"26,736,000","47,331,000","30,377,000","31,931,000","23,105,000","33,692,000","28,259,000","29,378,000","26,266,000","36,521,000","24,465,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"549,918,000","528,481,000","437,544,000","423,456,000","471,672,000","521,154,000","344,097,000","430,021,000","378,462,000","330,821,000","218,974,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"32,610,000","31,791,000","32,697,000","34,597,000","34,292,000","34,529,000","33,994,000","31,952,000","19,508,000","34,728,000","60,880,000","61,129,000","53,599,000","60,781,000","37,576,000","7,207,000","1,928,000","1,960,000","1,950,000","1,929,000","1,841,000","1,851,000","1,820,000","1,881,000","1,894,000","9,875,000","9,754,000","21,648,000","28,840,000","28,631,000","45,953,000","43,431,000","46,897,000","46,340,000","47,400,000","52,686,000","51,397,000","16,904,000","51,702,000","57,182,000","56,981,000","56,987,000","55,394,000","37,598,000","42,267,000","43,367,000","43,101,000","40,949,000","26,596,000","6,037,000","0","0","0","225,000","226,000","3,831,000","25,942,000","74,880,000","89,034,000","86,348,000","90,525,000","85,617,000","81,763,000","80,459,000","63,617,000","57,973,000","46,854,000","27,921,000","28,163,000","27,950,000","28,199,000","27,307,000","26,174,000","23,989,000","22,553,000","18,662,000","18,026,000","14,714,000","14,956,000","15,143,000","48,209,000","47,961,000","42,548,000","31,353,000","31,336,000","38,953,000","32,632,000","30,790,000","33,499,000","30,700,000","30,900,000","30,200,000","36,700,000","49,700,000","50,100,000","40,600,000","27,800,000","26,000,000","24,300,000",,"18,900,000",,
		Receivables,"670,223,000","525,719,000","585,087,000","600,964,000","564,695,000","392,746,000","528,712,000","473,935,000","520,745,000","469,470,000","495,574,000","435,591,000","421,297,000","400,623,000","400,001,000","351,754,000","339,243,000","343,805,000","303,169,000","268,447,000","264,135,000","275,233,000","245,493,000","251,702,000","235,368,000","200,665,000","273,421,000","265,631,000","259,778,000","175,116,000","247,554,000","230,625,000","231,439,000","210,418,000","218,962,000","200,404,000","201,200,000","190,386,000","203,108,000","176,428,000","176,578,000","173,835,000","163,327,000","136,065,000","156,062,000","143,915,000","151,898,000","180,375,000","175,314,000","125,284,000","167,848,000","170,158,000","171,930,000","125,093,000","175,814,000","159,658,000","159,499,000","138,752,000","142,907,000","122,056,000","126,013,000","125,916,000","120,348,000","99,342,000","103,332,000","98,411,000","95,532,000","80,745,000","79,195,000","67,210,000","74,862,000","90,239,000","93,564,000","61,744,000","86,304,000","84,976,000","88,907,000","82,475,000","88,139,000","76,371,000","78,448,000","76,654,000","71,885,000","64,441,000","59,311,000","65,215,000","55,531,000","46,114,000","43,793,000","34,200,000","38,900,000","40,900,000","37,900,000","27,500,000","34,000,000","31,300,000","29,300,000","21,100,000","24,500,000","20,100,000","20,200,000","16,900,000","14,800,000"
			AccountsReceivable,"670,223,000","10,522,000","579,503,000","595,836,000","561,244,000","6,559,000","528,712,000","473,935,000","520,745,000","12,731,000","483,890,000","424,135,000","421,297,000","10,015,000","3,402,000","4,066,000","3,923,000","12,292,000","3,396,000","2,775,000","4,806,000","13,107,000","2,918,000","3,977,000","2,393,000","7,691,000","3,450,000","3,185,000","3,740,000","12,010,000","3,730,000","3,459,000","2,933,000","7,453,000","2,062,000","2,743,000","2,465,000","6,931,000","2,255,000","176,428,000","175,961,000","12,425,000","8,082,000","135,089,000","156,062,000","142,107,000","151,898,000","177,042,000","171,979,000","122,592,000","167,848,000","169,390,000","171,930,000","121,081,000","173,060,000","159,658,000","159,499,000","128,617,000","142,907,000","122,008,000","126,013,000","122,723,000","116,611,000","96,977,000","102,125,000","98,411,000","899,000","1,004,000","857,000","67,210,000","71,427,000","90,239,000","93,564,000","61,744,000","86,304,000","84,645,000","86,756,000","82,475,000","85,495,000","74,038,000","74,149,000","75,960,000","71,077,000","61,500,000","54,880,000","65,215,000","55,531,000","45,499,000","42,329,000","34,200,000","38,100,000","38,100,000","34,900,000","26,100,000","34,000,000","31,300,000","28,700,000","21,100,000","24,500,000","20,100,000","20,200,000","16,900,000",
				GrossAccountsReceivable,,"11,522,000",,,,"7,559,000",,,,"13,631,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
