name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
MarketCap,"590,274,918","455,364,638","529,274,687","234,076,761","217,852,130","265,942,715","353,985,991","454,669,214","1,375,087,850","1,098,091,104","1,878,062,262","1,529,050,246","1,939,074,541","1,647,957,573","993,855,664","1,286,030,569","1,201,664,525"
EnterpriseValue,"675,024,918","456,376,638","522,173,687","196,069,761","135,864,130","166,848,715","243,565,991","266,121,214","1,159,649,850","858,322,104","1,603,824,262","1,174,719,246","1,759,307,541","1,444,950,573","757,038,664","1,254,041,569","1,149,293,525"
PeRatio,,,,,,,,,,,,"2.265",,,,,
PbRatio,"2,323.777","2,088.829","278.273","6.702","3.539","2.443","2.202","1.968","6.929","4.161","6.027","4.408","12.107","8.473","4.537",,"30.732"
EnterprisesValueEBITDARatio,"-4.874","-16.544","-11.397","-5.51","-4.604","-3.504","-5.029","-3.753","-21.401","-11.997","-28.559","-27.776","-50.472","-38.636","-26.426","-42.898","-45.721"
