name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020
TotalRevenue,"67,158,000","26,630,000","24,618,000","20,316,000","12,951,000","0","7,986,000"
	OperatingRevenue,"67,103,000","26,318,000","24,231,000","20,316,000","12,951,000","0","7,654,000"
CostOfRevenue,"53,992,000","23,707,000","20,638,000","15,816,000","9,910,000","7,673,000","6,367,000"
GrossProfit,"13,166,000","2,923,000","3,980,000","4,500,000","3,041,000","1,600,000","1,619,000"
OperatingExpense,"45,427,000","16,613,000","14,516,000","14,229,000","10,812,000","235,113","3,987,000"
	SellingGeneralAndAdministration,"43,450,000","15,778,000","13,867,000","13,270,000","10,599,000","5,669,000","3,801,000"
		GeneralAndAdministrativeExpense,"38,886,000","13,978,000","12,330,000","11,899,000","9,809,000","4,803,000","3,366,000"
			OtherGandA,"38,886,000","13,978,000","12,330,000","11,899,000","9,809,000","4,803,000","3,366,000"
		SellingAndMarketingExpense,"4,564,000","1,800,000","1,537,000","1,371,000","790,000","866,000","435,000"
	ResearchAndDevelopment,"1,977,000","835,000","649,000","959,000","213,000","156,000","186,000"
	OtherOperatingExpenses,,,,,,"235,113",
OperatingIncome,"-32,261,000","-13,690,000","-10,536,000","-9,729,000","-7,771,000","-235,113","-2,368,000"
NetNonOperatingInterestIncomeExpense,"743,000","264,000","290,000","309,000","140,000","4,136","7,000"
	InterestIncomeNonOperating,,"264,000",,"309,000",,"4,136",
	TotalOtherFinanceCost,,,"-290,000","-309,000","-140,000","-4,000","-7,000"
OtherIncomeExpense,,"2,414,000","10,909,000","-3,407,000","-16,655,000","-850,001",
	GainOnSaleOfSecurity,,"2,414,000","10,909,000","-3,407,000","-16,655,000","-850,001",
PretaxIncome,"-40,671,000","-11,012,000","663,000","-12,827,000","-24,286,000","-1,080,978","-2,361,000"
TaxProvision,"-3,752,000",,"-109,000","-3,643,000",,"0","0"
NetIncomeCommonStockholders,"-36,936,000","-11,012,000","755,000","-9,184,000","-24,286,000","-1,080,978","-2,361,000"
	NetIncome,"-36,919,000","-11,012,000","772,000","-9,184,000","-24,286,000","-1,080,978","-2,361,000"
		NetIncomeIncludingNoncontrollingInterests,"-36,919,000","-11,012,000","772,000","-9,184,000","-24,286,000","-1,080,978","-2,361,000"
			NetIncomeContinuousOperations,"-36,919,000","-11,012,000","772,000","-9,184,000","-24,286,000","-1,080,978","-2,361,000"
	OtherunderPreferredStockDividend,,,"17,000",,,,"0"
AverageDilutionEarnings,,,"2,000",,,,"0"
DilutedNIAvailtoComStockholders,"-36,934,000","-11,012,000","757,000","-9,184,000","-24,286,000","-1,080,978","-2,361,000"
BasicEPS,,"-0.16","0.01","-0.131","-0.47","-0.061","-0.09"
DilutedEPS,,"-0.16","0.01","-0.131","-0.47","-0.061","-0.09"
BasicAverageShares,,"70,774,138","69,759,411","70,096,401","51,569,634","69,213,195","25,285,053"
DilutedAverageShares,,"70,774,138","77,684,893","70,096,401","51,569,634","69,213,195","25,285,053"
TotalOperatingIncomeAsReported,"-32,261,000","-13,690,000","-10,536,000","-9,729,000","-7,771,000","-235,113","-2,368,000"
TotalExpenses,"99,419,000","40,320,000","35,154,000","30,045,000","20,722,000","235,113","10,354,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-36,919,000","-11,012,000","772,000","-9,184,000","-24,286,000","-1,080,978","-2,361,000"
NormalizedIncome,"-28,610,386.811","-13,426,000","-7,191,570","-5,777,000","-7,631,000","-230,977","-2,361,000"
InterestIncome,,"264,000",,"309,000",,"4,136",
NetInterestIncome,"743,000","264,000","290,000","309,000","140,000","4,136","7,000"
EBIT,"-32,261,000","-13,690,000","-10,536,000","-9,729,000","-7,771,000","-235,113","-2,368,000"
EBITDA,"-31,087,000"
ReconciledCostOfRevenue,"53,992,000","23,707,000","20,638,000","15,816,000","9,910,000","7,673,000","6,367,000"
ReconciledDepreciation,"1,174,000","1,145,000","717,000","191,000",,,"139,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-36,919,000","-11,012,000","772,000","-9,184,000","-24,286,000","-1,080,978","-2,361,000"
TotalUnusualItemsExcludingGoodwill,"-9,153,000","2,414,000","10,909,000","-3,407,000","-16,655,000","-850,001",
TotalUnusualItems,"-9,153,000","2,414,000","10,909,000","-3,407,000","-16,655,000","-850,001",
NormalizedEBITDA,"-21,934,000","-14,959,000","-20,728,000","-6,131,000","8,884,000","614,888","-2,229,000"
TaxRateForCalcs,"0.092","0","0.27","0","0","0","0"
TaxEffectOfUnusualItems,"-844,386.811","0","2,945,430","0","0","0","0"
