name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015
				LongTermDebtIssuance,,,"500,000,000","0",,,"34,000,000","840,000,000","0","0","45,000,000","0","241,930,000","0","0","0","0","29,887,000","243,400,000","53,950,000",,,"0",,,,"125,000,000",
				LongTermDebtPayments,"-272,032,000","-8,765,000","-125,903,000","-28,323,000","-109,041,000","-541,000","-38,996,000","-622,733,000","-751,000","-756,000","-36,971,000","-908,000","-30,626,000","-639,000","-611,000","-592,000","-45,386,000","-608,000","-18,477,000","-649,000","-2,323,000","-392,000","-262,000","-252,000","-249,000","-251,000","-195,715,000","-238,000"
			NetShortTermDebtIssuance,"97,143,000","378,000,000","-186,243,000","30,500,000","-125,114,000","0","-25,000,000","-197,291,000","20,000,000","150,000,000","15,447,000","60,000,000","-175,000,000","108,000,000","64,000,000","128,400,000","62,300,000","-25,000,000","-165,000,000","30,000,000","40,000,000","-114,000,000","0",,,"0","0",
				ShortTermDebtIssuance,"408,500,000","378,000,000","0","30,500,000","0","0","0","15,000,000","20,000,000","170,000,000","35,000,000","90,000,000","0","108,000,000","64,000,000","128,400,000",,,"15,000,000","30,000,000",,,,,,,,
				ShortTermDebtPayments,,,"-186,243,000","0","-125,114,000","0","-25,000,000","-212,291,000","0","-20,000,000","-19,553,000","-30,000,000","-175,000,000","0","0","0","-70,000,000","-25,000,000","-180,000,000","0","0","-114,000,000","0",,,"0","0",
		NetCommonStockIssuance,"152,766,000","24,917,000","1,507,000","49,922,000",,,"-211,000","0","0","0","25,865,000","5,736,000","0","-274,000","-294,000","-435,000","-3,210,000","-16,592,000","3,000","-8,671,000","-145,000","-20,245,000","0","0","-253,000","-16,000,000","-20,076,000","0"
			CommonStockIssuance,"153,326,000","24,917,000","1,507,000","49,922,000",,,,,,,"25,865,000",,,,,,,,,,,,,,,,,
			CommonStockPayments,,,"0","0",,,"-211,000","0","0","0","0","0","0","-274,000","-294,000","-435,000","-3,210,000","-16,592,000","3,000","-8,671,000","-145,000","-20,245,000","0","0","-253,000","-16,000,000","-20,076,000","0"
		NetPreferredStockIssuance,"11,181,000","0","-169,000","-291,000","11,641,000","16,179,000","88,378,000","-79,000","-273,000","19,882,000","21,351,000","107,374,000","11,275,000","28,956,000",,,,,,,,,,,,,,
			PreferredStockIssuance,"11,181,000","0","-169,000","-291,000","11,641,000","16,179,000","88,378,000","-79,000","-273,000","19,882,000","21,351,000","107,374,000","11,275,000","28,956,000",,,,,,,,,,,,,,
		CashDividendsPaid,"-125,162,000","-32,733,000","-32,263,000","-30,930,000","-29,236,000","-26,950,000","-3,726,000","-26,812,000","-26,810,000","-33,302,000","-32,670,000","-30,317,000","-29,416,000","-29,379,000","-29,244,000","-30,713,000","-22,961,000","-21,906,000","-21,649,000","-23,016,000","-25,828,000","-17,166,000","-26,996,000","-19,343,000","-14,399,000","-26,767,000","-27,246,000","-22,710,000"
			CommonStockDividendPaid,"-101,670,000","-26,896,000","-26,426,000","-25,094,000","-23,254,000","-23,259,000","-96,000","-23,194,000","-23,191,000","-30,002,000","-29,643,000","-29,396,000","-29,416,000","-29,379,000","-29,244,000","-30,713,000","-22,961,000","-21,906,000","-21,649,000","-23,016,000","-25,828,000","-17,166,000","-26,996,000","-19,343,000","-14,399,000","-26,767,000","-27,246,000","-22,710,000"
			PreferredStockDividendPaid,"-23,492,000","-5,837,000","-5,837,000","-5,836,000","-5,982,000","-3,691,000","-3,630,000","-3,618,000","-3,619,000","-3,300,000","-3,027,000",,,,,,,,,,,,,,,,,
		NetOtherFinancingCharges,"-32,429,000","-740,000","-18,757,000","-3,373,000","-9,559,000","-454,000","-564,000","-12,606,000","-18,226,000","-328,000","-3,169,000","-287,000","-11,400,000","-413,000","-927,000","-5,037,000","-4,350,000","-1,166,000","-3,148,000","-899,000","0","-901,000","-2,197,000","-3,601,000","-1,000","87,000","36,219,000","-53,025,000"
EndCashPosition,"97,237,000","97,237,000","236,849,000","114,852,000","151,954,000","98,528,000","113,397,000","99,571,000","156,831,000","193,937,000","99,840,000","96,503,000","109,517,000","126,417,000","109,631,000","80,325,000","78,544,000","89,537,000","127,254,000","68,543,000","56,077,000","44,591,000","131,215,000","143,386,000","148,993,000","130,794,000","138,387,000","171,921,000"
	ChangesInCash,"-1,291,000","-139,612,000","121,997,000","-37,102,000","53,426,000","-14,869,000","13,826,000","-57,260,000","-37,106,000","94,097,000","3,337,000","-13,014,000","-16,900,000","16,786,000","29,306,000","1,781,000","-10,993,000","-37,717,000","50,821,000","12,466,000","11,486,000","-86,624,000","-12,171,000","-5,607,000","18,199,000","294,000","-33,534,000","76,188,000"
	BeginningCashPosition,"98,528,000","236,849,000","114,852,000","151,954,000","98,528,000","113,397,000","99,571,000","156,831,000","193,937,000","99,840,000","96,503,000","109,517,000","126,417,000","109,631,000","80,325,000","78,544,000","89,537,000","127,254,000","68,543,000","56,077,000","44,591,000","131,215,000","143,386,000","148,993,000","130,794,000","130,500,000","171,921,000","95,733,000"
IncomeTaxPaidSupplementalData,"856,000","104,000","5,000","49,000","698,000","365,000","55,000","5,000","442,000","218,000","72,000","-1,000","-54,000","200,000","175,000","1,000","710,000","214,000","91,000","87,000","473,000","176,000","1,000","68,000","400,000","270,000","67,000","23,000"
InterestPaidSupplementalData,"74,455,000","25,755,000","12,999,000","17,377,000","18,324,000","17,186,000","17,793,000","18,610,000","18,400,000","17,955,000","17,938,000","18,687,000","18,296,000","17,905,000","17,259,000","16,140,000","14,917,000","15,523,000","15,483,000","14,413,000","15,017,000","12,104,000","12,239,000","13,044,000","12,628,000","11,229,000","15,190,000","10,369,000"
CapitalExpenditure,"-15,687,000","-3,188,000","-3,301,000","-5,937,000","-3,261,000","-908,000","-2,297,000","-2,854,000","-738,000","-3,309,000","-4,458,000","-3,378,000","-5,269,000","-547,000","-2,643,000","-4,897,000","-745,000","-2,141,000","-4,573,000","-2,897,000","-1,314,000","-133,000",,,,"-34,244,000",,
IssuanceOfCapitalStock,"164,507,000","24,917,000","1,338,000","49,631,000","88,621,000","16,179,000","88,378,000","-79,000","-273,000","19,882,000","47,216,000","113,110,000","11,275,000","28,956,000",,,,,,,,,,,,,,
IssuanceOfDebt,"1,148,428,000","378,000,000","500,000,000","30,500,000","239,928,000","0","34,000,000","855,000,000","20,000,000","170,000,000","80,000,000","90,000,000","241,930,000","108,000,000","64,000,000","128,400,000","132,300,000","29,887,000","258,400,000","53,950,000",,,"0",,,,"125,000,000",
RepaymentOfDebt,"-583,389,000","-8,765,000","-312,146,000","-28,323,000","-234,155,000","-541,000","-63,996,000","-835,024,000","-751,000","-20,756,000","-56,524,000","-30,908,000","-205,626,000","-639,000","-611,000","-592,000","-115,386,000","-25,608,000","-198,477,000","-649,000","-2,323,000","-114,392,000","-262,000","-252,000","-249,000","-251,000","-195,715,000","-423,238,000"
RepurchaseOfCapitalStock,,,"0","0",,,"-211,000","0","0","0","0","0","0","-274,000","-294,000","-435,000","-3,210,000","-16,592,000","3,000","-8,671,000","-145,000","-20,245,000","0","0","-253,000","-16,000,000","-20,076,000","0"
FreeCashFlow,"140,221,000","41,915,000","41,403,000","29,229,000","27,674,000","33,514,000","20,595,000","17,727,000","24,426,000","20,771,000","22,922,000","23,225,000","25,923,000","19,848,000","18,633,000","15,036,000","30,735,000","20,207,000","23,417,000","20,151,000","31,703,000","8,276,000","17,615,000","17,539,000","17,630,000","20,585,000","19,660,000","19,756,000"
