name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001
OperatingCashFlow,"3,109,500,000","31,500,000","1,111,800,000","973,400,000","992,800,000","140,800,000","628,200,000","1,064,300,000","457,000,000","1,589,100,000","1,028,400,000","1,786,400,000","1,502,000,000","1,176,400,000","1,442,600,000","2,075,700,000","891,700,000","746,500,000","559,300,000","1,799,600,000","1,306,200,000","522,900,000","930,500,000","801,700,000","1,230,100,000","895,500,000","1,054,100,000","1,205,600,000","1,486,500,000","630,900,000","905,300,000","820,300,000","786,000,000","591,300,000","823,300,000","614,300,000","187,700,000","595,900,000","707,200,000","871,700,000","600,300,000","901,700,000","827,900,000","99,900,000","590,000,000","1,195,500,000","862,200,000","445,200,000","831,100,000","653,200,000","448,600,000","379,500,000","465,000,000","949,900,000","357,600,000","794,100,000","75,300,000","997,800,000","-85,300,000","1,123,400,000","696,400,000","1,225,500,000","227,400,000","946,300,000","679,400,000","425,400,000","871,700,000","707,200,000","881,800,000","-76,500,000","260,800,000","1,002,300,000","-587,800,000","1,580,600,000","688,000,000","201,400,000","1,868,600,000","955,800,000","1,768,400,000","1,795,200,000","1,515,400,000","485,000,000","1,136,800,000"
	CashFlowFromContinuingOperatingActivities,,,,,,,,,,,"1,028,400,000","1,786,400,000","1,502,000,000","1,176,400,000","1,442,600,000","2,075,700,000","891,700,000","746,500,000","559,300,000","1,799,600,000","1,306,200,000","522,900,000","930,500,000","801,700,000","1,230,100,000","895,500,000","1,054,100,000","1,205,600,000","1,486,500,000","630,900,000","905,300,000","820,300,000","786,000,000","591,300,000","823,300,000","614,300,000","187,700,000","595,900,000","707,200,000","871,700,000","600,300,000","901,700,000","827,900,000","99,900,000","590,000,000","1,195,500,000","862,200,000","445,200,000","831,100,000","653,200,000","448,600,000","379,500,000","465,000,000","949,900,000","357,600,000","794,100,000","75,300,000","997,800,000","-85,300,000","1,123,400,000","696,400,000","1,225,500,000","227,400,000","946,300,000","679,400,000","425,400,000","871,700,000","707,200,000","881,800,000","-76,500,000","260,800,000","1,002,300,000","-587,800,000","1,580,600,000","688,000,000","201,400,000","1,868,600,000","955,800,000","1,768,400,000","1,795,200,000","1,515,400,000","485,000,000","1,136,800,000"
		NetIncomeFromContinuingOperations,,,,,,,,,,,"315,300,000","284,600,000","392,100,000","452,100,000","231,700,000","460,000,000","459,500,000","402,500,000","842,900,000","813,200,000","314,800,000","353,600,000","338,200,000","327,400,000","327,000,000","369,200,000","258,300,000","300,900,000","264,900,000","429,100,000","280,300,000","252,800,000","319,200,000","324,100,000","250,400,000","259,100,000","236,600,000","190,000,000","230,400,000","191,300,000","184,100,000","218,900,000","171,900,000","66,300,000","289,900,000","223,100,000","218,100,000","151,300,000","144,200,000","203,600,000","154,900,000","204,200,000","164,000,000","122,600,000","800,000","98,300,000","176,600,000","182,400,000","22,200,000","240,500,000","312,100,000","265,300,000","261,800,000","259,200,000","218,800,000","293,900,000","244,100,000","219,000,000","223,300,000","205,500,000","215,600,000","194,600,000","93,000,000","193,600,000","161,600,000","203,900,000","202,600,000","156,400,000","217,200,000","36,500,000","120,200,000","-34,900,000","18,600,000"
		OperatingGainsLosses,,,,,,,,,,,"64,600,000","-700,000","-29,700,000","-93,300,000","90,800,000","17,700,000","-99,500,000","-9,600,000","-28,300,000","-676,600,000","95,900,000","16,600,000","43,400,000","-44,200,000","-33,700,000","-136,600,000","41,100,000","-38,400,000","114,600,000","-66,200,000","26,300,000","46,400,000","-86,800,000","-600,000","43,300,000","50,900,000","80,100,000","50,900,000","-32,900,000","-87,700,000","-200,000","6,700,000","71,300,000","30,700,000","-37,700,000","58,000,000","58,900,000","20,700,000","66,400,000","45,500,000","113,200,000","66,600,000","155,200,000","63,300,000",,"230,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,"90,900,000","42,400,000","4,000,000","-84,500,000","112,200,000","5,500,000","-67,400,000","25,100,000","39,900,000","-676,600,000","95,900,000","16,600,000","43,400,000","-44,200,000","-33,700,000","-136,600,000","41,100,000","-38,400,000","114,600,000","-66,200,000","26,300,000","46,400,000","-86,800,000","-600,000","43,300,000","50,900,000","80,100,000","50,900,000","-32,900,000","-87,700,000","-200,000","6,700,000","71,300,000","30,700,000","-37,700,000","58,000,000","58,900,000","20,700,000","66,400,000","45,500,000","113,200,000","66,600,000","155,200,000","63,300,000",,"230,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,,,,"-26,300,000","-43,100,000","-33,700,000","-8,800,000","-21,400,000","12,200,000","-32,100,000","-34,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DeferredTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-12,700,000","15,100,000","-31,100,000","-11,000,000","36,900,000","-23,500,000","48,900,000","38,800,000","5,300,000","-20,800,000","37,600,000","-62,300,000","-21,000,000","140,800,000","8,200,000","-126,200,000","-73,400,000","-54,600,000","34,500,000","-166,300,000","69,300,000","20,100,000","6,600,000","155,500,000","49,000,000","-71,200,000","36,300,000","-32,800,000","-4,700,000","2,200,000","-418,100,000","-459,200,000","502,000,000","-80,800,000","75,500,000","60,800,000","-12,900,000","201,100,000","63,300,000","98,000,000","-16,300,000","230,200,000","96,500,000","33,600,000"
			DeferredIncomeTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-12,700,000","15,100,000","-31,100,000","-11,000,000","36,900,000","-23,500,000","48,900,000","38,800,000","5,300,000","-20,800,000","37,600,000","-62,300,000","-21,000,000","140,800,000","8,200,000","-126,200,000","-73,400,000","-54,600,000","34,500,000","-166,300,000","69,300,000","20,100,000","6,600,000","155,500,000","49,000,000","-71,200,000","36,300,000","-32,800,000","-4,700,000","2,200,000","-418,100,000","-459,200,000","502,000,000","-80,800,000","75,500,000","60,800,000","-12,900,000","201,100,000","63,300,000","98,000,000","-16,300,000","230,200,000","96,500,000","33,600,000"
		AmortizationOfSecurities,,,,,,,,,,,"61,600,000","168,600,000","82,300,000","58,900,000","117,200,000","22,100,000","65,000,000","73,000,000","60,800,000","66,900,000","54,600,000","52,300,000","21,100,000","92,400,000","72,000,000","99,600,000","47,600,000","121,600,000","40,100,000","61,500,000","84,400,000","139,800,000","68,100,000","74,900,000","51,100,000","34,400,000","46,000,000","55,600,000","65,200,000","87,800,000","70,700,000","-131,100,000","61,900,000","153,400,000","267,200,000","55,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,,,,,,,,,,,"15,900,000","20,900,000","20,900,000","24,900,000","17,100,000","19,500,000","19,200,000","21,600,000","20,500,000","18,200,000","21,900,000","22,100,000","25,700,000","18,600,000","17,800,000","22,300,000","17,800,000","16,400,000","18,500,000","31,800,000","16,900,000","19,100,000","17,700,000","21,600,000","16,800,000","15,500,000","16,800,000","19,400,000","13,600,000","12,700,000","12,400,000","25,100,000","10,900,000","11,500,000","11,800,000","9,200,000","13,500,000","10,800,000","12,600,000","10,700,000","10,300,000","10,400,000","11,200,000","5,300,000","-1,300,000","6,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
