name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016
TotalAssets,"7,033,747,000","6,741,033,000","1,937,084,000","1,916,180,000","1,208,286,000","1,182,812,000","1,148,775,000","1,190,231,000","1,264,069,000","1,206,318,000","1,199,743,000","1,145,338,000","1,103,387,000","1,061,534,000","938,435,000","927,442,000","872,407,000","830,371,000","804,063,000","786,544,000","1,135,165,000","1,134,478,000"
	CurrentAssets,"674,103,000","719,937,000","159,918,000","142,054,000","104,903,000","92,405,000","89,840,000","103,287,000","164,853,000","110,516,000","119,228,000","92,834,000","119,791,000","134,811,000","106,468,000","81,838,000","58,486,000","53,153,000","69,377,000","84,319,000","127,513,000","112,428,000"
		CashCashEquivalentsAndShortTermInvestments,"154,349,000","254,454,000","40,410,000","24,403,000","38,695,000","24,743,000","3,777,000","4,144,000","11,052,000","11,008,000","8,371,000","9,149,000","32,695,000","12,916,000","24,007,000","21,989,000","5,761,000","12,711,000","31,096,000","54,212,000","91,935,000","80,565,000"
			CashAndCashEquivalents,"154,349,000","254,454,000","40,410,000","24,403,000","38,695,000","24,743,000","3,777,000","4,144,000","11,052,000","11,008,000","8,371,000","9,149,000","32,695,000","12,916,000","24,007,000","21,989,000","5,761,000","12,711,000","31,096,000","54,212,000","91,935,000","80,565,000"
		Receivables,"483,306,000","428,652,000","100,926,000","97,615,000","53,139,000","47,421,000","48,103,000","47,845,000","62,668,000","81,850,000","81,324,000","64,287,000","73,139,000","79,376,000","75,203,000","52,756,000","48,138,000","32,380,000","29,931,000","21,483,000","25,077,000","21,263,000"
			AccountsReceivable,"483,306,000","428,652,000","100,926,000","97,615,000","53,139,000","47,421,000","48,103,000","47,845,000","62,668,000","81,850,000","81,324,000","64,287,000","73,139,000","79,376,000","75,203,000","52,756,000","48,138,000","32,380,000","29,931,000","21,483,000","25,077,000","21,263,000"
		Inventory,"14,557,000","12,386,000","12,161,000","13,990,000","9,601,000","9,185,000","8,336,000","7,603,000","7,212,000","7,726,000","7,312,000","2,946,000","2,484,000","3,478,000","1,759,000","1,434,000","1,308,000","1,019,000","3,270,000","3,942,000","4,050,000","4,685,000"
		PrepaidAssets,"21,891,000","21,052,000","6,421,000","6,046,000","3,468,000","3,574,000","3,562,000","4,236,000","5,948,000","7,048,000","5,813,000","5,336,000","5,073,000","4,633,000","5,365,000","5,620,000","3,153,000","6,555,000","5,032,000","4,682,000","6,451,000","5,915,000"
		HedgingAssetsCurrent,"0","3,393,000","0","0","0","7,482,000","26,062,000","39,459,000","77,973,000","2,884,000","16,408,000","11,116,000","6,400,000","34,408,000","134,000","39,000","126,000","488,000","48,000",,,"0"
	TotalNonCurrentAssets,"6,359,644,000","6,021,096,000","1,777,166,000","1,774,126,000","1,103,383,000","1,090,407,000","1,058,935,000","1,086,944,000","1,099,216,000","1,095,802,000","1,080,515,000","1,052,504,000","983,596,000","926,723,000","831,967,000","845,604,000","813,921,000","777,218,000","734,686,000","702,225,000","1,007,652,000","1,022,050,000"
		NetPPE,"6,346,785,000","5,984,727,000","1,606,493,000","1,587,333,000","1,039,839,000","1,027,016,000","1,054,716,000","1,079,583,000","1,083,204,000","1,092,137,000","1,073,261,000","1,047,546,000","978,598,000","917,974,000","828,808,000","842,453,000","810,723,000","774,082,000","731,930,000","699,486,000","1,004,915,000","1,018,968,000"
			GrossPPE,"6,961,086,000","6,419,670,000","1,909,777,000","1,855,545,000","1,273,587,000","1,242,185,000","1,251,018,000","1,252,612,000","1,234,285,000","1,221,893,000","1,181,958,000","1,136,664,000","1,049,185,000","973,362,000","870,834,000","874,739,000","837,189,000","793,338,000","743,261,000","703,990,000","2,731,007,000","2,724,657,000"
				MachineryFurnitureEquipment,"918,000","1,089,000","811,000","978,000",,,,,,,,,,,,,,,,,,
				OtherProperties,"91,585,000","95,177,000","37,053,000","37,400,000","35,141,000","36,681,000","40,788,000","43,904,000","46,921,000","45,098,000","44,796,000","44,966,000","38,270,000","6,195,000","6,148,000","4,488,000","7,033,000","6,930,000","6,723,000","6,218,000","17,618,000","17,451,000"
