name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,03/31/2013
TotalAssets,"2,649,758,000","2,555,759,000","2,506,624,000","2,474,618,000","2,413,832,000","2,342,436,000","2,373,372,000","2,415,031,000","2,369,888,000","2,249,175,000","2,295,320,000","1,068,415,000","1,042,159,000","1,007,040,000","1,094,235,000","1,090,906,000","1,043,242,000","1,013,234,000","1,110,109,000","1,113,329,000","1,046,285,000","987,166,000","1,054,879,000","1,074,628,000","1,037,648,000","1,000,847,000","1,106,635,000","1,117,865,000","1,041,699,000","911,635,000","1,018,224,000","1,012,329,000","937,595,000","885,948,000","907,739,000"
	CurrentAssets,"871,898,000","807,019,000","817,573,000","795,596,000","742,978,000","663,534,000","700,579,000","729,364,000","666,211,000","525,785,000","564,220,000","480,655,000","466,513,000","426,388,000","508,960,000","517,760,000","458,453,000","415,356,000","512,338,000","495,849,000","440,566,000","394,786,000","454,897,000","468,513,000","436,763,000","402,276,000","500,859,000","514,366,000","446,731,000","418,164,000","514,917,000","500,728,000","428,499,000","370,456,000","387,421,000"
		CashCashEquivalentsAndShortTermInvestments,"20,125,000","22,173,000","14,005,000","142,833,000","195,009,000","223,996,000","203,883,000","235,210,000","174,233,000","98,312,000","54,207,000","9,357,000","8,891,000","19,758,000","17,612,000","18,394,000","17,587,000","18,407,000","11,183,000","8,717,000","6,450,000","12,097,000","8,804,000","9,168,000","6,555,000","6,412,000","3,481,000","4,847,000","3,623,000","10,753,000","6,581,000","4,720,000","3,931,000","5,335,000","1,361,000"
			CashAndCashEquivalents,"20,125,000","22,173,000","14,005,000","142,833,000","195,009,000","223,996,000","203,883,000","235,210,000","174,233,000","98,312,000","54,207,000","9,357,000","8,891,000","19,758,000","17,612,000","18,394,000","17,587,000","18,407,000","11,183,000","8,717,000","6,450,000","12,097,000","8,804,000","9,168,000","6,555,000","6,412,000","3,481,000","4,847,000","3,623,000","10,753,000","6,581,000","4,720,000","3,931,000","5,335,000","1,361,000"
				CashFinancial,"20,125,000","22,173,000","14,005,000","142,833,000","195,009,000","223,996,000","203,883,000","235,210,000","174,233,000","98,312,000","54,207,000","9,357,000","8,891,000","19,758,000","17,612,000","18,394,000","17,587,000","18,407,000","11,183,000","8,717,000","6,450,000","12,097,000","8,804,000","9,168,000","6,555,000","6,412,000","3,481,000","4,847,000","3,623,000","10,753,000","6,581,000","4,720,000","3,931,000","5,335,000","1,361,000"
		Receivables,"341,753,000","303,140,000","361,466,000","303,736,000","236,191,000","188,744,000","260,180,000","241,830,000","200,028,000","156,973,000","250,470,000","231,829,000","186,991,000","152,538,000","236,968,000","228,905,000","171,961,000","176,942,000","279,711,000","215,432,000","168,943,000","154,576,000","215,294,000","212,167,000","186,883,000","171,768,000","254,583,000","229,684,000","154,294,000","162,478,000","248,120,000","218,037,000","150,713,000","150,584,000","146,478,000"
			AccountsReceivable,"339,585,000","303,140,000","361,466,000","303,736,000","233,753,000","188,744,000","260,180,000","241,830,000","195,968,000","156,973,000","250,470,000","231,829,000","170,887,000","152,538,000","236,968,000","228,905,000","159,291,000","176,942,000","279,711,000","215,432,000","160,655,000","154,576,000","215,294,000","212,167,000","158,664,000","171,768,000","254,583,000","229,684,000","154,294,000","162,478,000","248,120,000","218,037,000","150,713,000","150,584,000","146,478,000"
				GrossAccountsReceivable,,"311,262,000","369,534,000","310,188,000","239,076,000","194,950,000","266,294,000","248,104,000","201,003,000","162,123,000","256,409,000","237,533,000",,,"244,142,000","235,873,000","166,117,000","183,753,000","290,458,000","225,809,000",,,,,,,,,,,,,"154,690,000","156,014,000","151,167,000"
				AllowanceForDoubtfulAccountsReceivable,,"-8,122,000","-8,068,000","-6,452,000","-5,323,000","-6,206,000","-6,114,000","-6,274,000","-5,035,000","-5,150,000","-5,939,000","-5,704,000",,,"-7,174,000","-6,968,000","-6,826,000","-6,811,000","-10,747,000","-10,377,000",,,,,,,,,,,,,"-3,977,000","-5,430,000","-4,689,000"
			TaxesReceivable,,,,,,,,,,,,,,,,,,,,,"1,468,000",,,,"19,783,000",,,,,,,,,,
			OtherReceivables,"2,168,000",,,,"2,438,000",,,,"4,060,000",,,,"16,104,000",,,,"12,670,000",,,,"6,820,000",,,,"8,436,000",,,,,,,,,,
		Inventory,"494,324,000","465,518,000","425,244,000","330,713,000","300,961,000","238,860,000","223,268,000","239,239,000","282,398,000","261,347,000","248,914,000","230,284,000","264,540,000","246,451,000","247,161,000","261,721,000","263,792,000","215,045,000","214,283,000","262,188,000","258,430,000","222,631,000","223,226,000","238,718,000","230,466,000","204,131,000","220,257,000","258,977,000","269,842,000","230,949,000","247,368,000","260,971,000","260,300,000","202,848,000","232,409,000"
			RawMaterials,"156,050,000","170,049,000","147,584,000","93,061,000","75,294,000","63,569,000","61,132,000","57,460,000","66,524,000","63,349,000","60,243,000","44,607,000","47,910,000","48,488,000","53,540,000","54,591,000","54,909,000","43,492,000","45,938,000","57,834,000","52,746,000","49,032,000","53,463,000","55,273,000","46,604,000","44,403,000","48,010,000","52,733,000","50,198,000","60,182,000","58,673,000","58,914,000","52,267,000","48,580,000","45,455,000"
			FinishedGoods,"338,274,000","295,469,000","277,660,000","237,652,000","225,667,000","175,291,000","162,136,000","181,779,000","215,874,000","197,998,000","188,671,000","185,677,000","216,630,000","197,963,000","193,621,000","207,130,000","208,883,000","171,553,000","168,345,000","204,354,000","205,684,000","173,599,000","169,763,000","183,445,000","183,862,000","159,728,000","172,247,000","206,244,000","219,644,000","170,767,000","188,695,000","202,057,000","208,033,000","154,268,000","186,954,000"
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,"6,743,000","5,482,000","7,573,000","8,460,000","12,859,000","19,965,000","22,538,000","20,858,000","18,972,000","13,984,000","12,848,000","17,000,000","13,555,000","10,146,000","7,173,000"
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,"6,743,000","5,482,000","7,573,000","8,460,000","12,859,000","19,965,000","22,538,000","20,858,000","18,972,000","13,984,000","12,848,000","17,000,000","13,555,000","10,146,000","7,173,000"
		AssetsHeldForSaleCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,543,000",
		OtherCurrentAssets,"15,696,000","16,188,000","16,858,000","18,314,000","10,817,000","11,934,000","13,248,000","13,085,000","9,552,000","9,153,000","10,629,000","9,185,000","6,091,000","7,641,000","7,219,000","8,740,000","5,113,000","4,962,000","7,161,000","9,512,000",,,,"8,460,000",,,,,,,,,,,
	TotalNonCurrentAssets,"1,777,860,000","1,748,740,000","1,689,051,000","1,679,022,000","1,670,854,000","1,678,902,000","1,672,793,000","1,685,667,000","1,703,677,000","1,723,390,000","1,731,100,000","587,760,000","575,646,000","580,652,000","585,275,000","573,146,000","584,789,000","597,878,000","597,771,000","617,480,000","605,719,000","592,380,000","599,982,000","606,115,000","600,885,000","598,571,000","605,776,000","603,499,000","594,968,000","493,471,000","503,307,000","511,601,000","509,096,000","515,492,000","520,318,000"
		NetPPE,"619,383,000","590,949,000","544,187,000","518,229,000","535,512,000","496,052,000","481,947,000","477,100,000","506,255,000","488,386,000","492,017,000","396,280,000","398,891,000","402,819,000","402,238,000","391,710,000","399,381,000","410,534,000","410,271,000","417,635,000","406,858,000","393,480,000","397,409,000","401,822,000","391,744,000","387,654,000","389,826,000","389,283,000","377,067,000","283,104,000","288,170,000","290,761,000","292,082,000","290,498,000","294,901,000"
			GrossPPE,"1,243,368,000",,,,"1,223,631,000",,,,"1,138,148,000",,,,"1,002,138,000",,,,"987,276,000",,,,"975,063,000",,,,"923,882,000",,,,"873,143,000","698,278,000","696,738,000","691,390,000","683,556,000","673,002,000","654,827,000"
				Properties,"308,942,000",,,,"263,191,000",,,,"253,379,000",,,,"199,810,000",,,,"200,459,000",,,,"189,163,000",,,,"178,189,000",,,,"177,073,000","155,071,000","154,709,000","154,176,000","151,088,000","150,186,000","149,974,000"
				MachineryFurnitureEquipment,"853,498,000",,,,"857,330,000",,,,"839,969,000",,,,"782,579,000",,,,"780,210,000",,,,"771,878,000",,,,"730,791,000",,,,"690,079,000","543,207,000","542,029,000","537,214,000","532,468,000","522,816,000","504,853,000"
				OtherProperties,,,,,"31,237,000",,,,"24,875,000",,,,,,,,,,,,,,,,,,,,,,,,,,
				ConstructionInProgress,"80,928,000",,,,"71,873,000",,,,"19,925,000",,,,"19,749,000",,,,"6,607,000",,,,"14,022,000",,,,"14,902,000",,,,"5,991,000",,,,,,
