name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009
OperatingCashFlow,"82,260,000","10,291,000","22,714,000","44,266,000","4,989,000","-29,008,000","-81,917,000","-32,425,000","-84,432,000","30,066,000","91,774,000","112,399,000","118,108,000","75,044,000","81,360,000","117,698,000","144,801,000","50,975,000","53,266,000","65,816,000","91,592,000","49,921,000","80,959,000","86,217,000","109,036,000","55,151,000","95,983,000","87,010,000","101,869,000","44,052,000","74,728,000","92,064,000","100,481,000","31,560,000","66,169,000","85,474,000","65,718,000","34,025,000","52,460,000","65,480,000","47,727,000","10,467,000","43,547,000","37,944,000","37,216,000","15,413,000","17,078,000","22,393,000","22,081,000","2,526,000","3,767,000"
	CashFlowFromContinuingOperatingActivities,"82,260,000","10,291,000","22,714,000","44,266,000","4,989,000","-29,008,000","-81,917,000","-32,425,000","-84,432,000","30,066,000","91,774,000","112,399,000","118,108,000","75,044,000","81,360,000","117,698,000","144,801,000","50,975,000","53,266,000","65,816,000","91,592,000","49,921,000","80,959,000","86,217,000","109,036,000","55,151,000","95,983,000","87,010,000","101,869,000","44,052,000","74,728,000","92,064,000","100,481,000","31,560,000","66,169,000","85,474,000","65,718,000","34,025,000","52,460,000","65,480,000","47,727,000","10,467,000","43,547,000","37,944,000","37,216,000","15,413,000","17,078,000","22,393,000","22,081,000","2,526,000","3,767,000"
		NetIncomeFromContinuingOperations,"-247,440,000","-15,469,000","-27,931,000","-151,818,000","-52,222,000","-79,117,000","-87,888,000","-173,919,000","-116,166,000","-30,829,000","34,911,000","32,455,000","33,682,000","28,331,000","27,919,000","74,657,000","64,392,000","23,894,000","7,386,000","4,111,000","42,465,000","21,777,000","75,836,000","41,389,000","58,739,000","25,350,000","74,367,000","40,933,000","56,410,000","48,102,000","34,070,000","37,064,000","53,361,000","11,985,000","27,682,000","36,932,000","40,981,000","8,584,000","13,920,000","15,301,000","19,019,000","-6,921,000","-1,201,000","31,647,000","-2,461,000","-16,276,000","-10,501,000","-8,530,000","14,723,000","-18,308,000",
		OperatingGainsLosses,"1,208,000","-1,539,000","5,518,000","-8,815,000","6,044,000","-785,000","-1,960,000","7,415,000","983,000","-687,000","-17,604,000","1,172,000","27,238,000","381,000","2,031,000","-34,458,000","-1,602,000","-3,544,000","-9,105,000","-2,708,000","-30,000","60,000","-46,084,000","5,000","-22,000","172,000","-4,616,000","-812,000","-672,000","-22,298,000","-1,328,000","-322,000","-1,260,000","3,361,000","-2,119,000","-8,108,000","-1,626,000","789,000","456,000",,,,"1,000","-23,516,000",,,"1,000","4,000",,,"0"
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,"-796,000","3,734,000","-9,029,000","19,000","-30,000","60,000","-46,084,000","5,000","-22,000","172,000","-4,616,000","-812,000","-672,000","-22,298,000","-1,328,000",,"-1,260,000","2,557,000",,,,,,,,,"0","0",,,"1,000","4,000",,,"0"
			GainLossOnInvestmentSecurities,"2,044,000","-1,417,000","5,511,000","-1,947,000","-103,000","-1,083,000","-2,218,000","-391,000","8,000","-102,000","-16,572,000","1,037,000",,"550,000","2,016,000","-35,895,000","-796,000","3,734,000","-9,029,000","-2,651,000","-30,000","60,000","-46,084,000","5,000","-22,000","172,000","-4,616,000","-812,000","-672,000","-22,298,000","-1,328,000","-322,000","-1,260,000","3,361,000","-2,113,000",,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"57,000","-122,000","7,000","232,000","-60,000","298,000","258,000","7,806,000","975,000","-585,000","-1,246,000","135,000","2,403,000","381,000","1,000","-219,000","-799,000","381,000","-76,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"186,628,000","47,268,000","47,593,000","45,414,000","46,353,000","46,328,000","46,784,000","47,770,000","48,633,000","48,577,000","48,374,000","48,763,000","54,472,000","57,920,000","57,581,000","59,780,000","61,182,000","60,017,000","62,863,000","45,127,000","38,240,000","38,665,000","39,968,000","40,953,000","40,849,000","40,730,000","41,398,000","39,847,000","37,778,000","37,203,000","38,753,000","37,243,000","35,422,000","32,876,000","32,490,000","31,587,000","31,918,000","31,435,000","30,836,000","30,311,000","31,704,000","33,947,000","39,485,000","27,343,000","32,185,000","32,701,000","26,708,000","25,718,000","24,689,000","23,678,000","24,330,000"
			DepreciationAndAmortization,"186,628,000","47,268,000","47,593,000","45,414,000","46,353,000","46,328,000","46,784,000","47,770,000","48,633,000","48,577,000","48,374,000","48,763,000","54,472,000","57,920,000","57,581,000","59,780,000","61,182,000","60,017,000","62,863,000","45,127,000","38,240,000","38,665,000","39,968,000","40,953,000","40,849,000","40,730,000","41,398,000","39,847,000","37,778,000","37,203,000","38,753,000","37,243,000","35,422,000","32,876,000","32,490,000","31,587,000","31,918,000","31,435,000",,,"31,704,000","33,947,000","39,485,000","27,343,000","32,185,000","32,701,000",,"25,718,000","24,689,000","23,678,000","24,330,000"
				Depreciation,"187,700,000","46,865,000","46,855,000","47,065,000","46,915,000","46,943,000","47,391,000","48,375,000","49,229,000","49,173,000","48,930,000","49,295,000","54,956,000","58,403,000","58,212,000","60,373,000","61,648,000","61,408,000","64,857,000","45,231,000","38,240,000","38,665,000","39,968,000","40,953,000","40,849,000","40,730,000","41,398,000","39,847,000","37,778,000","37,203,000","38,753,000","37,243,000","35,422,000","32,876,000","32,490,000","31,587,000","31,918,000","31,435,000",,,"31,454,000","33,697,000","39,235,000","27,093,000",,,,"25,468,000",,,
				AmortizationCashFlow,"-1,072,000","403,000","738,000","-1,651,000","-562,000","-615,000","-607,000","-605,000","-596,000","-596,000","-556,000","-532,000","-484,000","-483,000","-631,000","-593,000","-466,000","-1,391,000","-1,994,000",,,,,,,,,,"190,000","217,000","235,000",,"238,000","244,000",,,,"250,000",,,"250,000","250,000","250,000","250,000",,,,"250,000",,,
					AmortizationOfIntangibles,"-1,072,000","403,000","738,000","-1,651,000","-562,000","-615,000","-607,000","-605,000","-596,000","-596,000","-556,000","-532,000","-484,000","-483,000","-631,000","-593,000","-466,000","-1,391,000","-1,994,000",,,,,,,,,,"190,000","217,000","235,000",,"238,000","244,000",,,,"250,000",,,"250,000","250,000","250,000","250,000",,,,"250,000",,,
		DeferredTax,,,"0","0","0","0","0","64,509,000","-11,820,000","-1,242,000","-9,768,000","-1,102,000","2,771,000","1,281,000","2,239,000","3,216,000","1,826,000","1,103,000","32,168,000","5,711,000","1,323,000","938,000","2,777,000","1,189,000","1,897,000","1,131,000","-39,902,000","-300,000","-334,000","-18,000","-7,000","146,000","-593,000","-188,000","-523,000","-118,000","-100,000","-98,000","259,000","-67,000","-268,000","-11,000",,,,,,,,,
