name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013
TotalAssets,"18,612,000,000","18,976,000,000","13,445,000,000","13,561,000,000","12,566,000,000","12,562,000,000","12,332,000,000","12,285,000,000","12,321,000,000","12,256,000,000","11,595,000,000","11,768,000,000","9,293,000,000","9,405,000,000","7,850,000,000","7,794,000,000","8,286,000,000","8,395,000,000","7,782,000,000","7,479,000,000","7,092,000,000","7,150,000,000","7,369,000,000","6,736,000,000","6,700,000,000","6,092,000,000","4,217,000,000","3,719,000,000","2,928,000,000","2,727,000,000","2,775,000,000","2,876,452,000","2,654,312,000","2,632,951,000"
	CurrentAssets,"1,282,000,000","1,410,000,000","635,000,000","1,469,000,000","529,000,000","414,000,000","480,000,000","471,000,000","472,000,000","433,000,000","1,032,000,000","1,199,000,000","306,000,000","340,000,000","1,009,000,000","941,000,000","1,290,000,000","398,000,000","662,000,000","361,000,000","333,000,000","355,000,000","628,000,000","460,000,000","380,000,000","342,000,000","811,000,000","225,000,000","172,000,000","370,000,000","374,000,000","524,163,000","409,061,000","239,592,000"
		CashCashEquivalentsAndShortTermInvestments,"168,000,000","147,000,000","133,000,000","113,000,000","110,000,000","108,000,000","95,000,000","96,000,000","115,000,000","128,000,000","195,000,000","163,000,000","127,000,000","147,000,000","76,000,000","654,000,000","164,000,000","154,000,000","135,000,000","128,000,000","82,000,000","147,000,000","133,000,000","244,000,000","133,000,000","161,000,000","696,000,000","100,000,000","52,000,000","97,000,000","118,000,000","107,095,000","35,992,000","26,580,000"
			CashAndCashEquivalents,"168,000,000","147,000,000","133,000,000","113,000,000","110,000,000","108,000,000","95,000,000","96,000,000","115,000,000","128,000,000","195,000,000","163,000,000","127,000,000","147,000,000","76,000,000","654,000,000","164,000,000","154,000,000","135,000,000","128,000,000","82,000,000","147,000,000","133,000,000","244,000,000","133,000,000","161,000,000","696,000,000","100,000,000","52,000,000","97,000,000","118,000,000","107,095,000","35,992,000","26,580,000"
		Receivables,"865,000,000","1,197,000,000","444,000,000","1,316,000,000","379,000,000","266,000,000","344,000,000","342,000,000","318,000,000","269,000,000","798,000,000","1,003,000,000","137,000,000","148,000,000","882,000,000","224,000,000","163,000,000","173,000,000","453,000,000","172,000,000","188,000,000","147,000,000","440,000,000","166,000,000","179,000,000","142,000,000","82,000,000","89,000,000","84,000,000","237,000,000","242,000,000","63,039,000","357,742,000","203,072,000"
			AccountsReceivable,"143,000,000","112,000,000","108,000,000","98,000,000","101,000,000","83,000,000","89,000,000","113,000,000","90,000,000","79,000,000","102,000,000","101,000,000","71,000,000","80,000,000","73,000,000","86,000,000","72,000,000","85,000,000","83,000,000","97,000,000","89,000,000","80,000,000","91,000,000","92,000,000","92,000,000","72,000,000","48,000,000","51,000,000","33,000,000","25,000,000","60,000,000","63,039,000","357,742,000","203,072,000"
			DuefromRelatedPartiesCurrent,"692,000,000","1,061,000,000","322,000,000","1,116,000,000","122,000,000","28,000,000","89,000,000","64,000,000","68,000,000","17,000,000","527,000,000","738,000,000","43,000,000","68,000,000","809,000,000","138,000,000","91,000,000","88,000,000","370,000,000","75,000,000","99,000,000","67,000,000","349,000,000","74,000,000","87,000,000","70,000,000","34,000,000","38,000,000","51,000,000","212,000,000","182,000,000",,,
			OtherReceivables,"30,000,000","24,000,000","14,000,000","102,000,000","156,000,000","155,000,000","166,000,000","165,000,000","160,000,000","173,000,000","169,000,000","164,000,000","23,000,000",,,,,,,,,,,,,,,,,,,,,
		Inventory,"44,000,000","41,000,000","32,000,000","28,000,000","24,000,000","24,000,000","25,000,000","25,000,000",,,,,,,,,,"21,000,000",,,,"16,000,000",,,,"13,000,000",,,,"8,000,000","6,000,000","5,600,000","6,100,000","4,300,000"
			OtherInventories,,,,,,,,,,,,,,,,,,"21,000,000",,,,"16,000,000",,,,"13,000,000",,,,"8,000,000","6,000,000","5,600,000","6,100,000","4,300,000"
		PrepaidAssets,,,,,,,,,,,,,,,,,,,,,,,,,"4,000,000","6,000,000","4,000,000","2,000,000","3,000,000","3,000,000","3,000,000","1,583,000","1,347,000","1,392,000"
		RestrictedCash,,,,,,,,,,,,"4,000,000","6,000,000","8,000,000","15,000,000","14,000,000","12,000,000","25,000,000","32,000,000","33,000,000","34,000,000","33,000,000","33,000,000","31,000,000","49,000,000","16,000,000","16,000,000","23,000,000","23,000,000","25,000,000",,"344,583,000","5,295,000","2,370,000"
		AssetsHeldForSaleCurrent,,,,,,,,,,,,,,,,,"913,000,000",,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"205,000,000","25,000,000","26,000,000","12,000,000","16,000,000","16,000,000","16,000,000","8,000,000","39,000,000","36,000,000","39,000,000","29,000,000","36,000,000","37,000,000","36,000,000","49,000,000","38,000,000","25,000,000","42,000,000","28,000,000","29,000,000","12,000,000","22,000,000","19,000,000","15,000,000","4,000,000","13,000,000","11,000,000","10,000,000",,"5,000,000","2,263,000","2,585,000","1,878,000"
	TotalNonCurrentAssets,"17,330,000,000","17,566,000,000","12,810,000,000","12,092,000,000","12,037,000,000","12,148,000,000","11,852,000,000","11,814,000,000","11,849,000,000","11,823,000,000","10,563,000,000","10,569,000,000","8,987,000,000","9,065,000,000","6,841,000,000","6,853,000,000","6,996,000,000","7,997,000,000","7,120,000,000","7,118,000,000","6,759,000,000","6,795,000,000","6,741,000,000","6,276,000,000","6,320,000,000","5,750,000,000","3,406,000,000","3,494,000,000","2,756,000,000","2,357,000,000","2,401,000,000","2,352,289,000","2,245,251,000","2,393,359,000"
		NetPPE,"11,227,000,000","11,417,000,000","7,159,000,000","7,027,000,000","7,103,000,000","7,163,000,000","7,047,000,000","6,971,000,000","6,972,000,000","6,970,000,000","6,982,000,000","7,071,000,000","6,713,000,000","6,770,000,000","5,132,000,000","5,174,000,000","5,239,000,000","6,197,000,000","5,393,000,000","5,393,000,000","5,029,000,000","5,051,000,000","5,098,000,000","4,677,000,000","4,707,000,000","4,200,000,000","3,147,000,000","3,200,000,000","2,545,000,000","2,170,000,000","2,211,000,000","2,251,847,000","2,149,740,000","2,297,752,000"
			GrossPPE,"13,017,000,000","13,124,000,000","8,792,000,000","8,594,000,000","8,607,000,000","8,606,000,000","7,047,000,000","6,971,000,000",,"8,170,000,000","6,982,000,000","7,071,000,000",,"7,736,000,000","5,132,000,000","5,174,000,000","5,239,000,000","7,128,000,000","5,393,000,000","5,393,000,000","5,029,000,000","5,738,000,000","5,098,000,000","4,677,000,000","4,707,000,000","4,682,000,000","3,147,000,000","3,200,000,000","2,545,000,000","2,334,000,000","2,211,000,000","2,251,847,000","2,149,740,000","2,389,352,000"
				OtherProperties,,"992,000,000",,,,"737,000,000","7,047,000,000","6,971,000,000",,"724,000,000","6,982,000,000","7,071,000,000",,"659,000,000","5,132,000,000","5,174,000,000","5,239,000,000","602,000,000","5,393,000,000","5,393,000,000","5,029,000,000","508,000,000","5,098,000,000","4,677,000,000","4,707,000,000","403,000,000","3,145,000,000","3,199,000,000","2,495,000,000","176,000,000","2,209,000,000","2,087,810,000","2,102,281,000","133,500,000"
