name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020
TotalAssets,"447,320,000","470,649,000","423,046,000","426,175,000","422,197,000","147,540,000"
	CurrentAssets,"225,325,000","299,663,000","348,559,000","351,081,000","348,895,000","70,362,000"
		CashCashEquivalentsAndShortTermInvestments,"152,995,000","232,789,000","288,525,000","286,644,000","286,013,000","14,642,000"
			CashAndCashEquivalents,"107,839,000","187,672,000","243,448,000","241,607,000","261,013,000","14,642,000"
			OtherShortTermInvestments,"45,156,000","45,117,000","45,077,000","45,037,000","25,000,000",
		Receivables,"39,226,000","34,394,000","29,454,000","29,009,000","26,699,000","23,009,000"
			AccountsReceivable,"39,226,000","34,394,000","29,454,000","29,009,000","26,699,000","23,009,000"
				GrossAccountsReceivable,"39,526,000","34,694,000","29,754,000","29,309,000","26,926,000","23,236,000"
				AllowanceForDoubtfulAccountsReceivable,"-300,000","-300,000","-300,000","-300,000","-227,000","-227,000"
		PrepaidAssets,"7,396,000","3,715,000","4,997,000","5,072,000","6,343,000","2,961,000"
		RestrictedCash,,,,,"2,914,000","3,277,000"
		CurrentDeferredAssets,"5,011,000","5,060,000","4,764,000","4,706,000","4,712,000","4,718,000"
		OtherCurrentAssets,"20,697,000","23,705,000","20,819,000","25,650,000","22,214,000","21,755,000"
	TotalNonCurrentAssets,"221,995,000","170,986,000","74,487,000","75,094,000","73,302,000","77,178,000"
		NetPPE,"31,665,000","44,139,000","15,953,000","16,194,000","16,380,000","16,650,000"
			GrossPPE,"45,602,000","60,719,000","33,865,000","33,368,000","32,751,000","32,218,000"
				Properties,"0","0","0","0","0","0"
				MachineryFurnitureEquipment,"11,349,000","13,449,000","14,898,000","14,402,000","13,918,000","13,623,000"
				OtherProperties,"23,653,000","32,132,000","3,776,000","3,784,000","3,784,000","3,752,000"
				ConstructionInProgress,"3,063,000","3,011,000","3,058,000","3,049,000","2,916,000","2,723,000"
				Leases,"7,537,000","12,127,000","12,133,000","12,133,000","12,133,000","12,120,000"
			AccumulatedDepreciation,"-13,937,000","-16,580,000","-17,912,000","-17,174,000","-16,371,000","-15,568,000"
		GoodwillAndOtherIntangibleAssets,"177,196,000","112,487,000","44,982,000","45,379,000","45,934,000","46,490,000"
			Goodwill,"127,369,000","88,148,000","36,956,000","36,956,000","36,956,000","36,956,000"
			OtherIntangibleAssets,"49,827,000","24,339,000","8,026,000","8,423,000","8,978,000","9,534,000"
		NonCurrentDeferredAssets,"8,982,000","9,238,000","8,404,000","8,453,000","8,551,000","8,677,000"
		OtherNonCurrentAssets,"4,152,000","5,122,000","5,148,000","5,068,000","2,437,000","5,361,000"
TotalLiabilitiesNetMinorityInterest,"161,610,000","161,015,000","102,581,000","101,801,000","94,687,000","143,730,000"
	CurrentLiabilities,"90,242,000","88,825,000","65,528,000","66,112,000","59,757,000","65,092,000"
		PayablesAndAccruedExpenses,"53,782,000","52,454,000","43,928,000","47,455,000","40,331,000","39,398,000"
			Payables,"23,257,000","25,509,000","21,490,000","26,459,000","23,508,000","22,570,000"
				AccountsPayable,"3,872,000","2,968,000","2,202,000","1,841,000","2,314,000","1,646,000"
				OtherPayable,"19,385,000","22,541,000","19,288,000","24,618,000","21,194,000","20,924,000"
			CurrentAccruedExpenses,"30,525,000","26,945,000","22,438,000","20,996,000","16,823,000","16,828,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,"8,446,000","16,093,000","15,255,000","10,059,000","7,337,000","9,513,000"
