name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007
OperatingCashFlow,"964,796,000","244,184,000","279,664,000","215,891,000","225,057,000","215,457,000","235,928,000","199,795,000","262,616,000","112,770,000","243,643,000","188,535,000","189,470,000","87,875,000","173,175,000","143,825,000","207,165,000","88,597,000","143,153,000","101,773,000","122,217,000","37,015,000","137,708,000","146,923,000","117,077,000","33,030,000","81,322,000","133,963,000","24,026,000","66,683,000","104,054,000","107,567,000","68,803,000","25,249,000","94,410,000","69,361,000","85,629,000","71,047,000","59,412,000","97,597,000","120,559,000","69,507,000","80,067,000","94,684,000","106,124,000","-25,878,000","62,116,000","66,134,000","69,865,000","-14,761,000","10,098,000","51,687,000","46,685,000","22,472,000","43,517,000","30,827,000","59,996,000","20,741,000","41,869,000","23,217,000"
	CashFlowFromContinuingOperatingActivities,"964,796,000","244,184,000","279,664,000","215,891,000","225,057,000","215,457,000","235,928,000","199,795,000","262,616,000","112,770,000","243,643,000","188,535,000","189,470,000","87,875,000","173,175,000","143,825,000","207,165,000","88,597,000","143,153,000","101,773,000","122,217,000","37,015,000","137,708,000","146,923,000","117,077,000","33,030,000","81,322,000","133,963,000","24,026,000","66,683,000","104,054,000","107,567,000","68,803,000","25,249,000","94,410,000","69,361,000","85,629,000","71,047,000","59,412,000","97,597,000","120,559,000","69,507,000","80,067,000","94,684,000","106,124,000","-25,878,000","62,116,000","66,134,000","69,865,000","-14,761,000","10,098,000","51,687,000","46,685,000","22,472,000","43,517,000","30,827,000","59,996,000","20,741,000","41,869,000","23,217,000"
		NetIncomeFromContinuingOperations,"757,587,000","228,423,000","193,865,000","169,876,000","165,423,000","196,819,000","156,216,000","182,358,000","115,123,000","148,125,000","122,783,000","136,983,000","125,690,000","178,192,000","152,132,000","123,832,000","116,829,000","115,092,000","64,602,000","85,153,000","81,266,000","72,951,000","68,250,000","65,281,000","66,957,000","60,367,000","59,406,000","64,398,000","56,017,000","43,827,000","44,340,000","51,714,000","107,660,000","80,399,000","47,257,000","55,310,000","61,053,000","58,937,000",,,,,,,,"33,521,000","30,266,000","10,319,000","24,067,000","27,518,000","24,535,000","20,924,000","19,618,000","16,724,000","12,825,000","18,878,000","18,631,000","17,934,000","18,239,000","21,379,000"
		OperatingGainsLosses,,,"0","37,311,000",,,"0","87,000","34,877,000","9,966,000",,,,,"-49,347,000","-10,000",,,,,,,"0",,,,,,,,"0","-5,000",,,,,,,,,,,,,,,,,"132,000","-82,000","370,000","-167,000","-1,000","891,000","4,391,000","58,000",,,,"140,000"
			GainLossOnSaleOfBusiness,,,,,,,,,,,,"0",,,"-49,347,000","-10,000",,,"0",,,,"0",,,,"0","0",,,"0","-5,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","397,000","0","146,000","128,000",,,,,,
			NetForeignCurrencyExchangeGainLoss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"132,000","-82,000","-27,000","-167,000","-147,000","763,000",,,,,,
		DepreciationAmortizationDepletion,"140,332,000","34,546,000","35,329,000","27,040,000","43,417,000","28,339,000","28,039,000","27,871,000","27,553,000","27,332,000","20,778,000","19,570,000","13,835,000","25,226,000","19,944,000","19,134,000","26,914,000","19,543,000","19,678,000","19,939,000","20,281,000","20,089,000","20,945,000","20,064,000","20,336,000","20,008,000","19,371,000","19,759,000","19,760,000","18,909,000","19,211,000","17,916,000","17,363,000","20,057,000","20,802,000","20,382,000","19,755,000","19,566,000","20,410,000","20,592,000","20,621,000","20,375,000","20,746,000","21,091,000","21,591,000","21,802,000","22,224,000","21,284,000","7,833,000","7,671,000","9,333,000","9,298,000","9,400,000","9,480,000","9,697,000","8,517,000","7,647,000","7,609,000","7,070,000","7,138,000"
			DepreciationAndAmortization,"140,332,000","34,546,000","35,329,000","27,040,000","43,417,000","28,339,000","28,039,000","27,871,000","27,553,000","27,332,000","20,778,000","19,570,000","13,835,000","25,226,000","19,944,000","19,134,000","26,914,000","19,543,000","19,678,000","19,939,000","20,281,000","20,089,000","20,945,000","20,064,000","20,336,000","20,008,000","19,371,000","19,759,000","19,760,000","18,909,000","19,211,000","17,916,000","17,363,000","20,057,000","20,802,000","20,382,000","19,755,000","19,566,000","20,410,000","20,592,000","20,621,000","20,375,000","20,746,000","21,091,000","21,591,000","21,802,000","22,224,000","21,284,000","7,833,000","7,671,000","9,333,000","9,298,000","9,400,000","9,480,000","9,697,000","8,517,000","7,647,000","7,609,000","7,070,000","7,138,000"
				Depreciation,"53,088,000","12,826,000","14,306,000","12,935,000","13,021,000","13,271,000","13,269,000","13,538,000","13,491,000","13,556,000","7,535,000","7,209,000","1,822,000","13,433,000","8,311,000","7,453,000","7,377,000","8,205,000","8,118,000","9,325,000","9,159,000","8,838,000","9,447,000","8,312,000","8,393,000","8,168,000","7,568,000","8,049,000","8,065,000","7,207,000","7,620,000","6,342,000","5,921,000","6,047,000","6,042,000","5,934,000","5,246,000","5,080,000","4,989,000","4,633,000","4,662,000","4,416,000","4,478,000","4,669,000","5,168,000","5,110,000","5,530,000","4,934,000","3,556,000","3,393,000","3,065,000","2,869,000","2,972,000","3,051,000","2,696,000","1,268,000","522,000","484,000","-55,000","441,000"
