name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992
TotalRevenue,"2,064,851,000","559,734,000","578,481,000","528,742,000","397,894,000","361,025,000","352,967,000","346,867,000","142,812,000","359,168,000","433,935,000","497,308,000","444,974,000","410,940,000","410,360,000","458,482,000","395,753,000","389,014,000","364,370,000","441,193,000","374,148,000","366,387,000","336,408,000","408,384,000","325,402,000","329,357,000","344,250,000","413,462,000","323,582,000","323,945,000","342,620,000","391,992,000","295,715,000","304,624,000","342,882,000","394,791,000","297,634,000","278,916,000","315,527,000","356,883,000","288,692,000","265,970,000","283,822,000","319,536,000","209,152,000","170,322,000","161,028,000","184,118,000","163,893,000","137,792,000","123,518,000","145,864,000","123,834,000","110,334,000","119,097,000","128,093,000","109,317,000","100,539,000","102,745,000","113,395,000","108,256,000","106,654,000","114,108,000","123,240,000","129,500,000","108,315,000","91,425,000","100,067,000","100,958,000","83,366,000","84,532,000","88,610,000","86,234,000","78,768,000","71,099,000","88,663,000","85,744,000","78,698,000","78,396,000","93,018,000","88,111,000","66,611,000","60,188,000","70,245,000","59,563,000","53,395,000","52,839,000","60,108,000","48,057,000","44,109,000","49,200,000","49,000,000","38,100,000","26,700,000","26,600,000","24,000,000","18,700,000","16,500,000","15,800,000","18,100,000","12,300,000","13,200,000","16,200,000","13,100,000","8,700,000","7,800,000","12,800,000","10,200,000","9,400,000","6,400,000","4,600,000","800,000","1,700,000","1,300,000","1,500,000","1,000,000","1,000,000","900,000","900,000"
	OperatingRevenue,"2,064,851,000","559,734,000","578,481,000","528,742,000","397,894,000","361,025,000","352,967,000","346,867,000","142,812,000","359,168,000","433,935,000","497,308,000","444,974,000","410,940,000","410,360,000","458,482,000","395,753,000","389,014,000","364,370,000","441,193,000","374,148,000","366,387,000","336,408,000","408,384,000","325,402,000","329,357,000","344,250,000","413,462,000","323,582,000","323,945,000","342,620,000","391,992,000","295,715,000","304,624,000","342,882,000","394,791,000","297,634,000","278,916,000","315,527,000","356,883,000","288,692,000","265,970,000","283,822,000","319,536,000","209,152,000","170,322,000","161,028,000","184,118,000","163,893,000","137,792,000","123,518,000","145,864,000","123,834,000","110,334,000","119,097,000","128,093,000","109,317,000","100,539,000","102,745,000","113,395,000","108,256,000","106,654,000","114,108,000","123,240,000","129,500,000","108,315,000","91,425,000","100,067,000","100,958,000","83,336,000","84,532,000","88,610,000","86,234,000","78,768,000","71,099,000","88,663,000","85,744,000","78,698,000","78,396,000","93,018,000","88,111,000","66,611,000","60,188,000","70,245,000","59,563,000","53,395,000","52,839,000","60,108,000","48,057,000","44,109,000","49,200,000","49,000,000","38,100,000","26,700,000","26,600,000","24,000,000","18,700,000","16,500,000","15,800,000","18,100,000","12,300,000","13,200,000","16,200,000","13,100,000","8,700,000","7,800,000","12,800,000","10,200,000","9,400,000","6,400,000","4,600,000","800,000","1,700,000","1,300,000","1,500,000","1,000,000","1,000,000","900,000","900,000"
CostOfRevenue,"1,208,560,000","331,836,000","340,141,000","308,744,000","227,839,000","221,921,000","217,655,000","206,990,000","86,924,000","225,704,000","261,291,000","306,277,000","279,629,000","253,943,000","258,046,000","283,265,000","247,979,000","248,281,000","224,634,000","275,302,000","234,751,000","233,669,000","206,180,000","253,876,000","204,357,000","213,155,000","220,053,000","264,691,000","207,436,000","212,567,000","225,125,000","255,895,000","188,655,000","196,276,000","213,384,000","255,088,000","187,056,000","176,318,000","191,387,000","225,668,000","184,438,000","169,877,000","180,487,000","204,434,000","125,057,000","96,623,000","91,468,000","106,610,000","89,815,000","71,671,000","78,048,000","78,462,000","66,909,000","63,942,000","71,004,000","75,114,000","63,780,000","60,324,000","63,773,000","66,577,000","62,836,000","64,460,000","67,540,000","72,217,000","74,945,000","62,032,000","51,984,000","63,836,000","62,448,000","55,018,000","57,297,000","57,160,000","53,522,000","47,496,000","43,949,000","53,067,000","53,436,000","47,733,000","47,493,000","56,763,000","55,127,000","40,070,000","37,442,000","40,517,000","34,245,000","31,314,000","27,817,000","32,044,000","26,456,000","25,224,000","26,300,000","28,500,000","21,400,000","15,400,000","14,900,000","13,500,000","10,900,000","9,200,000","8,700,000","9,700,000","7,200,000","8,400,000","11,300,000","8,700,000","6,600,000","4,300,000",,,"6,000,000","4,300,000","3,200,000","800,000",,,"1,200,000",,,,
GrossProfit,"856,291,000","227,898,000","238,340,000","219,998,000","170,055,000","139,104,000","135,312,000","139,877,000","55,888,000","133,464,000","172,644,000","191,031,000","165,345,000","156,997,000","152,314,000","175,217,000","147,774,000","140,733,000","139,736,000","165,891,000","139,397,000","132,718,000","130,228,000","154,508,000","121,045,000","116,202,000","124,197,000","148,771,000","116,146,000","111,378,000","117,495,000","136,097,000","107,060,000","108,348,000","129,498,000","139,703,000","110,578,000","102,598,000","124,140,000","131,215,000","104,254,000","96,093,000","103,335,000","115,102,000","84,095,000","73,699,000","69,560,000","77,508,000","74,078,000","66,121,000","45,470,000","67,402,000","56,925,000","46,392,000","48,093,000","52,979,000","45,537,000","40,215,000","38,972,000","46,818,000","45,420,000","42,194,000","46,568,000","51,023,000","54,555,000","46,283,000","39,441,000","36,231,000","38,510,000","28,348,000","27,235,000","31,450,000","32,712,000","31,272,000","27,150,000","35,596,000","32,308,000","30,965,000","30,903,000","36,255,000","32,984,000","26,541,000","22,746,000","29,728,000","25,318,000","22,081,000","25,022,000","28,064,000","21,601,000","18,885,000","22,900,000","20,500,000","16,700,000","11,300,000","11,700,000","10,500,000","7,800,000","7,300,000","7,100,000","8,400,000","5,100,000","4,800,000","4,900,000","4,400,000","2,100,000","3,500,000",,,"3,400,000","2,100,000","1,400,000","0",,,"300,000",,,,
OperatingExpense,"539,402,000","130,002,000","155,960,000","131,580,000","121,860,000","110,448,000","75,329,000","109,865,000","79,590,000","150,194,000","153,164,000","122,990,000","116,662,000","112,337,000","127,277,000","105,013,000","106,190,000","104,176,000","107,070,000","100,448,000","97,500,000","101,938,000","90,588,000","90,742,000","85,155,000","86,322,000","85,497,000","82,487,000","79,329,000","78,486,000","85,491,000","76,764,000","66,748,000","72,355,000","76,859,000","71,606,000","64,967,000","66,159,000","75,412,000","69,698,000","62,450,000","60,734,000","64,716,000","64,594,000","51,339,000","46,244,000","46,865,000","46,707,000","42,025,000","41,262,000","44,420,000","39,088,000","37,553,000","36,088,000","50,171,000","35,273,000","33,390,000","37,378,000","32,018,000","34,017,000","27,930,000","26,525,000","29,914,000","29,149,000","33,240,000","27,828,000","26,750,000","27,230,000","29,853,000","27,097,000","27,277,000","25,583,000","26,136,000","24,692,000","23,109,000","23,889,000","22,693,000","22,702,000","24,002,000","25,753,000","24,028,000","19,688,000","24,459,000","20,741,000","17,991,000","16,281,000","19,406,000","21,598,000","16,662,000","15,121,000","17,100,000","15,500,000","13,500,000","9,800,000","9,300,000","8,300,000","7,000,000","6,800,000","6,000,000","7,600,000","4,900,000","4,500,000","4,900,000","4,000,000","3,100,000","2,400,000",,,"1,800,000","1,100,000","1,000,000","800,000",,,"600,000",,,,
	SellingGeneralAndAdministration,,,,,,,,,,,,,,,,"110,007,000","108,434,000","107,835,000","110,490,000","105,194,000","99,666,000","105,865,000","92,117,000","96,100,000","87,981,000","88,493,000","88,455,000","89,130,000","82,456,000","82,404,000","87,753,000",,"69,935,000","75,526,000","79,488,000","76,543,000","68,666,000","70,525,000","78,207,000","73,573,000","66,702,000","65,207,000",,"64,594,000",,,,,,,,,,,"39,115,000","39,770,000","36,593,000","40,734,000","34,919,000","38,352,000","33,599,000","31,971,000","33,723,000","32,999,000","36,065,000","31,590,000","28,628,000","29,447,000","31,953,000","29,044,000","29,154,000","27,285,000","27,947,000","26,108,000","24,963,000","26,094,000","24,838,000","24,392,000","25,968,000","27,572,000","25,602,000","20,932,000","20,453,000","22,378,000","19,226,000","17,415,000","18,396,000","20,022,000","15,995,000","14,420,000","15,500,000","15,000,000","13,000,000","9,400,000","8,900,000","7,900,000","6,700,000","6,500,000","6,100,000","7,100,000","4,700,000","4,300,000","4,700,000","3,800,000","3,100,000","2,400,000",,,"1,800,000","1,100,000","900,000","800,000",,,"400,000",,,,
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,"89,130,000","82,456,000",,,,,,,,"3,699,000",,,,"66,702,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,010,000","1,576,000","667,000","701,000","1,600,000","500,000","500,000","400,000","400,000","400,000","300,000","300,000","-100,000","500,000","200,000","200,000","200,000","200,000",,,,,,,,,,,"200,000",,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,010,000","1,576,000","667,000","701,000","1,600,000","500,000","500,000","400,000","400,000","400,000","300,000","300,000","-100,000","500,000","200,000","200,000","200,000","200,000",,,,,,,,,,,"200,000",,,,
	OtherOperatingExpenses,"539,402,000","130,002,000","155,960,000","131,580,000","121,860,000","110,448,000","75,329,000","109,865,000","79,590,000","150,194,000","153,164,000","122,990,000","116,662,000","112,337,000","127,277,000","105,013,000","106,190,000","104,176,000","107,070,000","100,448,000","97,500,000","101,938,000","90,588,000","90,742,000","85,155,000","86,322,000","85,497,000","82,487,000","79,329,000","78,486,000","85,491,000","76,764,000","66,748,000","72,355,000","76,859,000","71,606,000","64,967,000","66,159,000","280,894,000","-3,875,000","-4,252,000","-4,473,000",,"-5,649,000",,,,,,,,,,,,"-4,497,000","-3,203,000","-3,356,000","-2,901,000","-4,335,000","-5,669,000","-5,446,000","-3,809,000","-3,850,000","-2,825,000","-3,762,000","-1,878,000","-2,217,000","-2,100,000","-1,947,000","-1,877,000","-1,702,000","-1,811,000","-1,416,000","-1,854,000","-2,205,000","-2,145,000","-1,690,000","-1,966,000","-1,819,000","-1,574,000","-1,244,000",,"-1,637,000","-1,235,000","-1,134,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
