name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014
TotalRevenue,"2,269,958,000","471,166,000","888,798,000","537,272,000","372,722,000","500,704,000","537,876,000","275,736,000","211,136,000","302,694,000","333,515,000","272,810,000","250,349,000","291,378,000","298,013,000","274,992,000","220,002,000","244,753,000","258,937,000","242,183,000","217,491,000","257,100,000","247,680,000","186,537,000","180,774,000","183,596,000","205,523,000","158,380,000","146,266,000","186,468,000","196,608,000","156,294,000","141,502,000"
	OperatingRevenue,"2,269,958,000","471,166,000","888,798,000","537,272,000","372,722,000","500,704,000","537,876,000","275,736,000","211,136,000","302,694,000","333,515,000","272,810,000","250,349,000","291,378,000","298,013,000","274,992,000","220,002,000","244,753,000","258,937,000","242,183,000","217,491,000","257,100,000","247,680,000","186,537,000","180,774,000","183,596,000","205,523,000","158,380,000","146,266,000","186,468,000","196,608,000","156,294,000","141,502,000"
CostOfRevenue,"1,408,634,000","293,580,000","549,376,000","333,374,000","232,304,000","317,082,000","339,743,000","177,249,000","137,121,000","186,706,000","213,107,000","174,638,000","163,311,000",,"187,180,000","175,321,000","139,181,000","155,519,000","174,308,000","161,295,000","145,509,000","170,567,000","164,971,000","124,902,000","121,804,000","120,683,000","135,981,000","111,256,000","93,689,000","128,540,000","138,737,000","109,412,000","98,411,000"
GrossProfit,"861,324,000","177,586,000","339,422,000","203,898,000","140,418,000","183,622,000","198,133,000","98,487,000","74,015,000","115,988,000","120,408,000","98,172,000","87,038,000",,"110,833,000","99,671,000","80,821,000","89,234,000","84,629,000","80,888,000","71,982,000","86,533,000","82,709,000","61,635,000","58,970,000","62,913,000","69,542,000","47,124,000","52,577,000","57,928,000","57,871,000","46,882,000","43,091,000"
OperatingExpense,"248,460,000","78,977,000","90,162,000","46,579,000","32,742,000","43,346,000","39,717,000","31,612,000","31,425,000","47,333,000","52,392,000","53,019,000","39,096,000",,"48,574,000","43,496,000","40,693,000","29,472,000","30,144,000","27,562,000","25,109,000","29,199,000","25,886,000","26,658,000","26,109,000","23,669,000","25,324,000","30,372,000","26,391,000","18,275,000","20,420,000","18,026,000","18,370,000"
	SellingGeneralAndAdministration,"150,275,000","42,979,000","52,212,000","29,510,000","25,574,000","28,707,000","26,893,000","23,360,000","23,127,000","32,061,000","35,903,000","37,884,000","29,398,000","699,597,000","34,840,000","31,041,000","29,641,000","644,960,000","24,101,000","21,525,000","19,531,000","21,131,000","19,208,000","19,456,000","19,707,000","17,530,000","21,205,000","23,270,000","14,523,000","10,727,000","16,713,000","14,346,000","13,816,000"
		GeneralAndAdministrativeExpense,"150,275,000","42,979,000","52,212,000","29,510,000","25,574,000","28,707,000","26,893,000","23,360,000","23,127,000","32,061,000","35,903,000","37,884,000","29,398,000","699,597,000","34,840,000","31,041,000","29,641,000","644,960,000","24,101,000","21,525,000","19,531,000","21,131,000","19,208,000","19,456,000","19,707,000","17,530,000","21,205,000","23,270,000","14,523,000","10,727,000","16,713,000","14,346,000","13,816,000"
			SalariesAndWages,,,,,,,,,,,,,"163,311,000","190,391,000",,,,,,,,,,,,,,,,,,,
			RentAndLandingFees,"47,747,000","14,120,000","14,352,000","9,050,000","10,225,000","9,223,000","10,086,000","10,301,000","9,623,000","10,239,000","9,531,000","14,922,000","10,001,000","10,060,000","9,987,000","10,437,000","8,188,000","7,252,000","7,159,000","6,959,000","7,190,000","6,346,000","7,012,000","6,702,000","7,034,000","7,086,000","7,021,000","6,197,000","6,155,000","5,748,000","6,110,000","6,133,000","6,262,000"
			OtherGandA,"102,528,000","28,859,000","37,860,000","20,460,000","15,349,000","19,484,000","16,807,000","13,059,000","13,504,000","21,822,000","26,372,000","22,962,000","19,397,000","-2,536,000","24,853,000","20,604,000","21,453,000","1,077,000","16,942,000","14,566,000","12,341,000","14,785,000","12,196,000","12,754,000","12,673,000","10,444,000","14,184,000","17,073,000","8,368,000","4,979,000","10,603,000","8,213,000","7,554,000"
	DepreciationAmortizationDepletionIncomeStatement,"48,537,000","19,948,000","20,074,000","4,344,000","4,171,000","3,937,000","3,949,000","3,670,000","3,672,000","5,011,000","4,336,000","3,981,000","3,963,000","3,666,000","3,635,000","3,706,000","3,468,000","1,785,000","1,971,000","2,175,000","1,974,000","1,955,000","2,277,000","2,382,000","2,239,000","2,433,000","1,921,000","1,713,000","1,432,000","1,322,000","1,390,000","1,406,000","1,390,000"
		DepreciationAndAmortizationInIncomeStatement,"48,537,000","19,948,000","20,074,000","4,344,000","4,171,000","3,937,000","3,949,000","3,670,000","3,672,000","5,011,000","4,336,000","3,981,000","3,963,000","3,666,000","3,635,000","3,706,000","3,468,000","1,785,000","1,971,000","2,175,000","1,974,000","1,955,000","2,277,000","2,382,000","2,239,000","2,433,000","1,921,000","1,713,000","1,432,000","1,322,000","1,390,000","1,406,000","1,390,000"
	ProvisionForDoubtfulAccounts,,,,,,,,,,,,,,,,,,,"534,000","365,000","614,000","1,564,000","1,000,000","705,000","739,000",,,,,,,,
	OtherOperatingExpenses,"49,648,000","16,050,000","17,876,000","12,725,000","2,997,000","10,702,000","8,875,000","4,582,000","4,626,000","10,261,000","12,153,000","11,154,000","5,735,000",,"10,099,000","8,749,000","7,584,000","2,241,000","3,538,000","3,497,000","2,990,000","4,549,000","3,401,000","4,115,000","3,424,000","1,168,000","2,198,000","5,389,000","10,436,000","6,226,000","2,317,000","2,274,000","3,164,000"
