name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013
			CurrentCapitalLeaseObligation,"12,847,000","13,985,000","11,243,000","10,689,000","10,211,000","10,024,000","9,185,000","8,484,000","7,858,000","7,320,000","7,104,000","6,277,000","4,871,000",,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,"121,217,000","91,926,000","96,984,000","110,323,000","108,364,000","75,493,000","91,783,000","77,071,000","69,822,000","48,833,000","58,634,000","54,600,000","24,531,000","8,345,000","18,953,000","30,862,000","21,625,000","7,024,000","16,628,000","7,365,000","11,719,000","3,137,000","3,030,000","17,587,000","9,982,000","2,609,000","3,818,000","13,426,000","6,152,000","1,906,000","2,100,000","12,396,000","5,777,000","1,266,000"
			CurrentDeferredRevenue,"121,217,000","91,926,000","96,984,000","110,323,000","108,364,000","75,493,000","91,783,000","77,071,000","69,822,000","48,833,000","58,634,000","54,600,000","24,531,000","8,345,000","18,953,000","30,862,000","21,625,000","7,024,000","16,628,000","7,365,000","11,719,000","3,137,000","3,030,000","17,587,000","9,982,000","2,609,000","3,818,000","13,426,000","6,152,000","1,906,000","2,100,000","12,396,000","5,777,000","1,266,000"
		OtherCurrentLiabilities,"100,225,000","61,138,000","37,033,000","22,531,000","25,315,000","21,178,000","17,100,000","13,785,000","12,414,000","12,535,000","12,362,000","10,329,000","8,104,000","9,487,000","10,708,000","17,096,000","15,928,000","9,330,000","9,795,000",,,,,,,,,,,,,,,
	TotalNonCurrentLiabilitiesNetMinorityInterest,"1,027,380,000","946,344,000","853,641,000","839,874,000","369,825,000","365,905,000","354,249,000","340,218,000","322,219,000","319,626,000","315,549,000","311,552,000","67,582,000","33,865,000","35,051,000","35,048,000","36,168,000","36,230,000","32,888,000","19,002,000","14,097,000","8,014,000","3,858,000","2,543,000","2,579,000","2,655,000","1,001,000","1,254,000","1,217,000","1,260,000","1,290,000","2,208,000","3,135,000","2,418,000"
		LongTermProvisions,,,,,,,,,,,,,,,,,,,,,,,,,,,"407,000","642,000","641,000","639,000","641,000","1,566,000","1,574,000","1,571,000"
		LongTermDebtAndCapitalLeaseObligation,"1,025,066,000","940,482,000","845,793,000","831,157,000","361,074,000","352,901,000","340,345,000","336,721,000","318,115,000","313,594,000","308,565,000","304,375,000","57,359,000","23,416,000","24,550,000","24,613,000","23,485,000","22,573,000","17,626,000","15,202,000","13,792,000",,,,,,,,,,,,,
			LongTermDebt,"927,264,000","841,816,000","742,769,000","742,100,000","280,429,000","269,673,000","264,724,000","263,129,000","244,574,000","246,620,000","245,856,000","245,451,000",,,,,,,,,,,,,,,,,,,,,,
			LongTermCapitalLeaseObligation,"97,802,000","98,666,000","103,024,000","89,057,000","80,645,000","83,228,000","75,621,000","73,592,000","73,541,000","66,974,000","62,709,000","58,924,000","57,359,000","23,416,000","24,550,000","24,613,000","23,485,000","22,573,000","17,626,000","15,202,000","13,792,000",,,,,,,,,,,,,
		NonCurrentDeferredLiabilities,"1,675,000","5,226,000","1,295,000","2,167,000","2,054,000","6,310,000","5,634,000","2,424,000","3,118,000","5,133,000","6,172,000","6,440,000","9,586,000","10,449,000","10,501,000","10,435,000","12,613,000","13,587,000","13,102,000","3,500,000",,,,,,,,,,,,,,
