name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017
MarketCap,"906,021,895","1,008,813,007","1,031,475,247","925,668,536","862,089,216","817,275,148","596,648,934","435,057,372","502,885,642","398,031,927","748,679,705","682,463,972","726,828,483","672,117,267","605,478,361","822,170,278","807,453,407","674,234,820","673,310,422","623,032,804","586,400,345"
PeRatio,"9.905","11.117","12.048","12.66","15.607","22.031","14.714","10.162","10.826","7.007","12.708","11.389","14.708","15.661","25.242","37.833","61.842","60.342","8.94","9.239",
ForwardPeRatio,"11.05","14.265","16.077","15.949","12.937","16.393","15.152","11.508","17.241","9.69","13.68","11.111","11.806","11.338","11.338","14.451","18.315","18.215","20.877",,
PsRatio,"2.928","3.36","3.527","3.205","3.083","2.989","2.239","1.659","1.907","1.493","2.781","2.595","2.847","2.818","2.677","3.833","3.818","3.731","4.115","4.248",
PbRatio,"1.149","1.221","1.267","1.148","1.101","1.028","0.761","0.565","0.669","0.538","1.032","0.965","1.107","1.051","0.977","1.359","1.788","1.505","1.5","1.425",
