name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001
OperatingCashFlow,"4,870,000,000","896,000,000","1,113,000,000","1,833,000,000","1,028,000,000","836,000,000","1,418,000,000","1,411,000,000","1,230,000,000","383,000,000","669,000,000","921,000,000","526,000,000","294,000,000","705,000,000","465,000,000","469,000,000","354,000,000","662,000,000","551,000,000","74,000,000","454,000,000","583,000,000","522,000,000","435,000,000","385,000,000","439,400,000","255,000,000","211,400,000","231,100,000","477,800,000","208,000,000","256,500,000","222,600,000","384,400,000","311,100,000","157,300,000","207,500,000","328,700,000","255,300,000","258,900,000","203,800,000","372,400,000","275,600,000","263,300,000","260,200,000","285,400,000","340,700,000","173,600,000","271,600,000","209,100,000","173,900,000","168,200,000","162,900,000","197,751,000","155,817,000","74,606,000","168,226,000","207,146,000","13,319,000","170,657,000","72,430,000","121,735,000","148,440,000","126,109,000","98,429,000","34,518,000","10,054,000","37,845,000","46,398,000","27,843,000","19,550,000","54,594,000","42,830,000","19,018,000","34,132,000","36,384,000","48,562,000","29,957,000","27,449,000","43,142,000","26,107,000","19,798,000","48,049,000"
	CashFlowFromContinuingOperatingActivities,"4,870,000,000","896,000,000","1,113,000,000","1,833,000,000","1,028,000,000","836,000,000","1,418,000,000","1,411,000,000","1,230,000,000","383,000,000","669,000,000","921,000,000","526,000,000","294,000,000","705,000,000","465,000,000","469,000,000","354,000,000","662,000,000","551,000,000","74,000,000","454,000,000","583,000,000","522,000,000","435,000,000","385,000,000","439,400,000","255,000,000","211,400,000","231,100,000","477,800,000","208,000,000","256,500,000","222,600,000","384,400,000","311,100,000","157,300,000","207,500,000","328,700,000","255,300,000","258,900,000","203,800,000","372,400,000","275,600,000","263,300,000","260,200,000","285,400,000","340,700,000","173,600,000","271,600,000","209,100,000","173,900,000","168,200,000","162,900,000","197,751,000","155,817,000","74,606,000","168,226,000","140,283,000","80,182,000","170,657,000","72,430,000","121,735,000","148,440,000","126,109,000","98,429,000","40,282,000","9,573,000","34,654,000","44,306,000","26,372,000","14,903,000","54,594,000","42,830,000","19,018,000","34,132,000","36,384,000","48,562,000","29,957,000","27,449,000","43,142,000","26,107,000","19,798,000","48,049,000"
		NetIncomeFromContinuingOperations,"915,000,000","121,000,000","291,000,000","161,000,000","342,000,000","-370,000,000","103,000,000","21,000,000","22,000,000","18,000,000","-156,000,000","155,000,000","155,000,000","149,000,000","310,000,000","163,000,000","218,000,000","190,000,000","997,000,000","71,000,000","140,000,000","144,000,000","216,000,000","191,000,000","124,000,000","59,000,000","110,900,000","179,800,000","244,700,000","115,400,000","202,600,000","157,900,000","185,300,000","161,100,000","80,200,000","179,100,000","109,000,000","149,400,000","144,800,000","92,400,000","153,800,000","90,100,000","122,000,000","140,200,000",,,"112,300,000","61,000,000","91,100,000","93,500,000","-52,800,000","69,000,000","59,300,000","33,000,000","28,770,000","43,623,000","71,907,000","70,500,000","108,411,000","245,304,000","148,004,000","59,503,000","75,120,000","78,580,000","66,029,000","39,358,000","36,310,000","23,269,000","47,544,000","23,196,000","37,115,000","29,101,000","24,936,000","20,658,000","30,917,000","26,325,000","22,968,000","12,192,000","29,010,000","21,983,000","22,944,000","16,047,000","26,509,000","24,059,000"
		OperatingGainsLosses,,,"6,000,000","-3,000,000","-229,000,000","527,000,000","6,000,000","0","1,000,000","2,000,000","217,000,000","1,000,000","11,000,000","6,000,000","2,000,000","54,000,000","2,000,000","-7,000,000","-3,000,000","225,000,000","-3,000,000","-85,000,000",,,"-1,000,000","-1,000,000","200,000","3,000,000","-150,700,000","1,900,000","5,200,000","17,600,000","-1,300,000","-600,000","-28,500,000","-4,800,000",,,"-1,500,000",,,,,,,,,,,,,,,,"32,303,000","6,599,000","1,695,000","-1,897,000","-77,869,000","-186,051,000","-92,204,000","-848,000","-3,770,000","-593,000","-28,159,000","26,915,000","20,163,000","-26,709,000","-13,531,000","-4,133,000","-66,000","-11,885,000","1,554,000","1,551,000","5,785,000","-2,233,000","653,000","3,473,000","4,195,000",,,"932,000","729,000","0"
			GainLossOnSaleOfBusiness,"-226,000,000","0","6,000,000","-3,000,000","-229,000,000","-1,000,000","6,000,000","0","1,000,000","2,000,000","0","18,000,000","-6,000,000","6,000,000","2,000,000","54,000,000","1,000,000","-7,000,000",,"33,000,000","-3,000,000","-85,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"4,075,000,000","1,013,000,000","1,034,000,000","1,057,000,000","971,000,000","953,000,000","954,000,000","930,000,000","916,000,000","914,000,000","956,000,000","752,000,000","368,000,000","368,000,000","360,000,000","354,000,000","354,000,000","352,000,000","358,000,000","348,000,000","346,000,000","339,000,000","298,000,000","292,000,000","291,000,000","293,000,000","205,200,000","156,400,000","154,500,000","153,400,000","160,200,000","157,000,000","156,500,000","152,600,000","157,200,000","151,900,000","152,300,000","153,200,000","159,600,000","156,000,000","159,100,000","158,100,000","165,600,000","161,600,000","155,600,000","154,400,000","159,700,000","154,700,000","152,300,000","152,800,000","155,600,000","94,300,000","92,100,000","92,000,000","121,637,000","113,187,000","121,820,000","125,556,000","139,298,000","135,227,000","114,004,000","138,936,000","115,246,000","111,135,000","110,374,000","96,795,000","16,512,000","15,842,000","16,088,000","15,622,000","14,382,000","16,935,000","11,342,000","11,084,000","12,293,000","15,113,000","10,250,000","9,812,000","9,685,000","7,652,000","11,707,000","10,006,000","13,162,000","11,810,000"
			DepreciationAndAmortization,"4,075,000,000","1,013,000,000","1,034,000,000","1,057,000,000","971,000,000","953,000,000","954,000,000","930,000,000","916,000,000","914,000,000","956,000,000","752,000,000","368,000,000","368,000,000","360,000,000","354,000,000","354,000,000","352,000,000","358,000,000","348,000,000","346,000,000","339,000,000","298,000,000","292,000,000","291,000,000","293,000,000","205,200,000","156,400,000","154,500,000","153,400,000","160,200,000","157,000,000","156,500,000","152,600,000","157,200,000","151,900,000","152,300,000","153,200,000","159,600,000","156,000,000","159,100,000","158,100,000","165,600,000","161,600,000","155,600,000","154,400,000","159,700,000","154,700,000","152,300,000","152,800,000","155,600,000","94,300,000","92,100,000","92,000,000","121,637,000","113,187,000","121,820,000","125,556,000","139,298,000","135,227,000","114,004,000","138,936,000","115,246,000","111,135,000","110,374,000","96,795,000","16,512,000","15,842,000","16,088,000","15,622,000","14,382,000","16,935,000","11,342,000","11,084,000","12,293,000","15,113,000","10,250,000","9,812,000","9,685,000","7,652,000","11,707,000","10,006,000","13,162,000","11,810,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"120,880,000","100,003,000","120,385,000","124,132,000","137,903,000","134,439,000","113,892,000","110,612,000",,,,,"13,506,000","12,939,000","12,884,000","12,529,000","12,806,000",,,,"10,912,000",,,,,,,,,
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"757,000","13,184,000","1,435,000","1,424,000","1,395,000","788,000","112,000","28,324,000",,,,,"3,006,000","2,903,000","3,204,000","3,093,000","1,576,000",,,,"1,381,000",,,,,,,,,
