name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997
TotalAssets,"8,570,800,000","8,876,400,000","8,107,600,000","8,021,700,000","7,680,600,000","7,888,900,000","7,669,500,000","7,496,100,000","7,482,300,000","7,653,500,000","7,679,000,000","7,727,800,000","7,677,000,000","8,219,100,000","8,538,800,000","8,490,500,000","8,584,200,000","8,702,100,000","8,701,400,000","8,632,300,000","8,590,100,000","8,749,100,000","8,323,400,000","8,034,700,000","8,091,300,000","7,784,800,000","7,535,200,000","7,678,800,000","7,493,900,000","7,698,100,000","6,884,200,000","6,730,200,000","6,620,900,000","6,318,800,000","6,261,100,000","6,072,700,000","6,225,100,000","6,187,100,000","6,030,800,000","5,614,700,000","5,209,900,000","5,218,900,000","5,131,800,000","5,325,000,000","5,259,300,000","5,291,215,000","4,950,942,000","4,938,453,000","3,865,871,000","3,390,906,000","3,324,536,000","3,080,296,000","2,989,274,000","3,246,370,000","3,524,181,000","3,342,377,000","3,294,370,000","3,395,705,000","2,755,063,000","2,679,610,000","2,568,085,000","2,665,920,000","2,531,630,000","2,456,762,000","2,395,281,000","2,321,636,000","2,264,020,000","1,975,781,000","1,923,091,000","1,933,421,000","1,685,928,000","1,702,063,000","1,634,861,000","1,519,205,000","1,475,402,000","1,424,988,000","1,388,435,000","1,242,994,000","1,292,821,000","1,240,251,000","1,202,727,000","1,160,321,000","948,565,000","920,138,000","768,461,000","793,730,000","814,628,000","819,255,000","822,337,000","909,073,000","691,037,000","690,394,000","655,348,000","605,334,000","557,780,000","566,297,000","560,715,000","457,000,000"
	CurrentAssets,"1,047,900,000","1,406,200,000","1,696,300,000","1,552,500,000","1,384,300,000","1,536,200,000","1,402,400,000","1,240,100,000","1,084,100,000","1,016,100,000","918,200,000","922,600,000","877,100,000","1,085,400,000","1,116,700,000","878,700,000","866,400,000","951,100,000","954,500,000","908,500,000","858,100,000","936,500,000","1,022,300,000","1,035,800,000","1,001,300,000","1,154,900,000","1,179,700,000","1,232,000,000","1,145,100,000","1,149,100,000","1,243,200,000","1,006,200,000","1,369,400,000","1,045,900,000","1,147,400,000","972,900,000","1,064,300,000","912,300,000","838,100,000","775,500,000","895,200,000","876,400,000","757,200,000","877,200,000","781,600,000","769,430,000","640,187,000","659,118,000","716,230,000","585,582,000","494,546,000","508,208,000","431,930,000","641,321,000","726,308,000","556,126,000","547,179,000","649,757,000","580,001,000","518,861,000","453,843,000","554,279,000","530,532,000","463,328,000","437,746,000","337,802,000","305,551,000","313,407,000","260,749,000","277,732,000","422,822,000","442,989,000","456,003,000","339,483,000","304,210,000","266,048,000","229,380,000","89,515,000","136,344,000","198,029,000","179,911,000","140,039,000","259,188,000","240,369,000","94,018,000","113,186,000","122,922,000","123,881,000","123,609,000","299,967,000","89,252,000","80,414,000","84,650,000","95,811,000","68,793,000","73,471,000","64,022,000","52,100,000"
		CashCashEquivalentsAndShortTermInvestments,"582,100,000","987,000,000","1,203,800,000","840,700,000","875,000,000","1,114,600,000","997,600,000","743,000,000","646,800,000","599,000,000","433,100,000","393,900,000","341,600,000","684,800,000","592,200,000","392,800,000","334,200,000","517,300,000","467,100,000","468,200,000","409,100,000","553,200,000","635,200,000","564,000,000","505,800,000","763,700,000","713,500,000","750,000,000","631,100,000","723,200,000","718,300,000","523,200,000","883,100,000","627,500,000","655,300,000","533,900,000","470,500,000","559,300,000","482,500,000","416,600,000","516,300,000","549,900,000","403,600,000","458,200,000","363,100,000","429,293,000","340,397,000","372,899,000","381,869,000","409,986,000","337,411,000","366,718,000","313,425,000","475,619,000","531,131,000","351,288,000","317,011,000","378,848,000","362,406,000","306,547,000","254,584,000","325,595,000","330,051,000","275,503,000","114,719,000","140,423,000","139,235,000","171,348,000","122,653,000","161,450,000","314,867,000","344,672,000","359,734,000","253,334,000","231,093,000","200,512,000","171,385,000","27,708,000","77,892,000","127,914,000","110,433,000","73,427,000","205,064,000","175,835,000","27,147,000","31,612,000","49,971,000","48,865,000","35,880,000","53,879,000","35,529,000","32,149,000","40,838,000","23,735,000","29,877,000","36,577,000","29,504,000","22,800,000"
			CashAndCashEquivalents,"501,000,000","908,500,000","1,128,000,000","777,900,000","766,200,000","1,039,700,000","929,400,000","681,600,000","592,200,000","539,600,000","402,500,000","360,000,000","305,200,000","565,500,000","448,100,000","392,800,000","334,200,000","439,500,000","374,700,000","364,600,000","293,600,000","430,800,000","422,000,000","360,400,000","297,600,000","563,800,000","541,700,000","488,500,000","438,200,000","550,600,000","560,200,000","374,200,000","747,100,000","469,600,000","522,400,000","413,800,000","335,000,000","430,400,000","372,600,000","311,000,000","393,700,000","449,500,000","323,300,000","311,200,000","252,800,000","313,328,000","255,452,000","220,543,000","203,751,000","259,487,000","225,250,000","274,369,000","237,291,000","396,431,000","403,010,000","193,237,000","162,228,000","222,954,000","206,609,000","165,809,000","124,084,000","201,729,000","222,062,000","160,406,000","114,719,000","140,423,000","139,235,000","171,348,000","122,653,000","140,277,000","314,867,000","344,672,000","359,734,000","253,334,000","231,093,000","200,512,000","171,385,000","27,708,000","77,892,000","127,914,000","110,433,000","73,427,000","205,064,000","175,835,000","27,147,000","31,612,000","49,971,000","48,865,000","35,880,000","53,879,000","35,529,000","32,149,000","40,838,000","23,735,000","29,877,000","36,577,000","29,504,000","22,800,000"
			OtherShortTermInvestments,"81,100,000","78,500,000","75,800,000","62,800,000","108,800,000","74,900,000","68,200,000","61,400,000","54,600,000","59,400,000","30,600,000","33,900,000","36,400,000","119,300,000","144,100,000",,,"77,800,000","92,400,000","103,600,000","115,500,000","122,400,000","213,200,000","203,600,000","208,200,000","199,900,000","171,800,000","261,500,000","192,900,000","172,600,000","158,100,000","149,000,000","136,000,000","157,900,000","132,900,000","120,100,000","135,500,000","128,900,000","109,900,000","105,600,000","122,600,000","100,400,000","80,300,000","147,000,000","110,300,000","115,965,000","84,945,000","152,356,000","178,118,000","150,499,000","112,161,000","92,349,000","76,134,000","79,188,000","128,121,000","158,051,000","154,783,000","155,894,000","155,797,000","140,738,000","130,500,000","123,866,000","107,989,000","115,097,000",,,,,,"21,173,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"465,800,000","419,200,000","492,500,000","711,800,000","509,300,000","421,600,000","404,800,000","497,100,000","437,300,000","417,100,000","485,100,000","528,700,000","535,500,000","400,600,000","524,500,000","485,900,000","532,200,000","433,800,000","487,400,000","440,300,000","449,000,000","383,300,000","387,100,000","471,800,000","495,500,000","391,200,000","466,200,000","482,000,000","514,000,000","425,900,000","524,900,000","483,000,000","486,300,000","418,400,000","429,200,000","379,700,000","532,600,000","295,600,000","294,300,000","292,200,000","305,300,000","249,400,000","276,800,000","344,700,000","335,000,000","278,382,000","241,034,000","256,212,000","312,242,000","140,118,000","132,160,000","113,899,000","101,317,000","131,099,000","170,582,000","179,366,000","209,242,000","237,636,000","197,461,000","187,725,000","178,269,000","201,385,000","160,442,000","147,727,000","154,594,000","148,850,000","136,222,000","111,838,000","109,542,000","91,487,000","89,004,000","79,895,000","74,120,000","65,288,000","56,215,000","51,390,000","45,193,000","50,798,000","47,372,000","61,149,000","59,164,000","57,148,000","44,043,000","54,286,000","51,313,000","66,126,000","63,960,000","64,123,000","73,284,000","239,383,000","45,413,000","42,476,000","38,892,000","66,939,000","35,384,000","34,418,000","32,117,000","27,100,000"
			AccountsReceivable,"465,800,000","419,200,000","492,500,000","711,800,000","509,300,000","421,600,000","404,800,000","497,100,000","437,300,000","417,100,000","485,100,000","528,700,000","535,500,000","400,600,000","524,500,000","485,900,000","532,200,000","433,800,000","487,400,000","440,300,000","449,000,000","383,300,000","387,100,000","471,800,000","495,500,000","391,200,000","466,200,000","482,000,000","514,000,000","425,900,000","524,900,000","483,000,000","486,300,000","418,400,000","269,900,000","275,400,000","256,700,000","255,500,000",,,,"249,400,000",,,,,,,,,,,,,"170,582,000","179,366,000","209,242,000","237,636,000","197,461,000","187,725,000","178,269,000","201,385,000","160,442,000","147,727,000",,,,,,,,,,"65,288,000","56,215,000","51,390,000","45,193,000","50,798,000",,,"59,164,000","57,148,000","44,043,000","54,286,000","51,313,000","66,126,000","63,960,000","64,123,000","73,284,000","239,383,000","45,413,000","42,476,000","38,892,000","66,939,000","35,384,000","34,418,000","32,117,000",
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82,500,000","159,300,000","104,300,000","275,900,000","40,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"76,100,000","62,900,000","59,300,000","61,200,000","57,400,000","61,300,000","66,700,000","73,600,000","77,100,000","76,800,000","74,300,000","83,500,000","61,755,000","58,756,000","30,007,000","22,119,000","35,478,000","24,975,000","27,591,000","17,188,000","34,603,000","24,595,000","25,472,000","20,926,000","33,273,000","20,134,000","24,589,000","20,990,000","27,299,000","40,039,000","40,098,000","42,833,000","48,529,000","30,094,000","30,221,000","28,554,000","24,795,000","18,951,000","18,422,000","22,149,000","20,861,000",,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"125,600,000",,,,,,,,,,"16,902,000","14,146,000","12,802,000","11,009,000","11,080,000","8,966,000","10,314,000","9,464,000","10,081,000","10,248,000","15,558,000","15,448,000","8,991,000","10,893,000","14,445,000","6,705,000","8,310,000","5,789,000","4,920,000","5,137,000","3,532,000","2,476,000","2,401,000","2,200,000"
