name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,12/31/2016
TotalAssets,"1,320,858,000","1,404,162,000","1,449,966,000","1,509,815,000","1,547,858,000","1,604,280,000","1,070,306,000","647,337,000","695,865,000","553,231,000","602,978,000","637,604,000","676,596,000","661,984,000","544,475,000","572,055,000","613,953,000","486,721,000","210,309,000","271,067,000"
	CurrentAssets,"988,436,000","897,234,000","1,055,509,000","1,341,745,000","1,431,622,000","1,495,655,000","970,866,000","559,409,000","604,785,000","430,031,000","494,377,000","495,981,000","499,533,000","480,836,000","383,403,000","377,418,000","377,422,000","409,607,000","188,243,000","181,955,000"
		CashCashEquivalentsAndShortTermInvestments,"957,522,000","865,407,000","1,039,175,000","1,308,931,000","1,413,148,000","1,469,697,000","961,201,000","549,581,000","587,250,000","415,356,000","479,390,000","478,603,000","485,481,000","464,297,000","374,958,000","372,591,000","373,402,000","406,226,000","185,801,000","178,331,000"
			CashAndCashEquivalents,"104,953,000","293,477,000","394,553,000","485,680,000","435,321,000","507,144,000","351,047,000","137,184,000","207,537,000","79,449,000","82,673,000","62,936,000","39,661,000","77,123,000","43,651,000","33,088,000","44,001,000","218,375,000","36,269,000","39,853,000"
			OtherShortTermInvestments,"852,569,000","571,930,000","644,622,000","823,251,000","977,827,000","962,553,000","610,154,000","412,397,000","379,713,000","335,907,000","396,717,000","415,667,000","445,820,000","387,174,000","331,307,000","339,503,000","329,401,000","187,851,000","149,532,000","138,478,000"
		Receivables,"0","1,226,000","1,194,000","16,785,000","2,511,000","5,674,000",,,,,,,,"8,546,000",,,,"464,000",,"438,000"
			AccountsReceivable,,,,"15,218,000",,,,,,,,,,"7,364,000",,,,,,
			AccruedInterestReceivable,,,,,,,,,,,,,,"1,182,000",,,,"464,000",,"438,000"
			DuefromRelatedPartiesCurrent,"0","1,226,000","1,194,000","1,567,000","2,511,000","5,674,000",,,,,,,,,,,,,,
		PrepaidAssets,"30,914,000","30,601,000","15,140,000","16,029,000","15,963,000","20,284,000","9,665,000","9,828,000","17,535,000","14,675,000","14,987,000","17,378,000","14,052,000","7,993,000","8,445,000","4,827,000","4,020,000","2,917,000","2,442,000","3,186,000"
