name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,12/31/2008
TotalAssets,"775,246,000","742,032,000","695,717,000","507,835,000","468,135,000","427,352,000","385,333,000","321,314,000","324,054,000","316,823,000","316,511,000","311,248,000","318,152,000","317,080,000","301,025,000","282,470,000","270,912,000","295,070,000","319,642,000","329,324,000","349,759,000","355,475,000","323,938,000","304,380,000","300,417,000","323,886,000","344,128,000","346,998,000","347,183,000","370,221,000","360,023,000","362,917,000","361,385,000","383,599,000","392,136,000","396,035,000","385,031,000","377,897,000","367,603,000","367,832,000","359,837,000","359,539,000","361,108,000","367,992,000","392,324,000","257,556,000","265,215,000","269,834,000","241,116,000","225,433,000","189,455,000"
	CurrentAssets,"440,222,000","409,245,000","374,759,000","350,598,000","309,769,000","266,890,000","224,843,000","158,069,000","155,715,000","143,817,000","141,860,000","148,210,000","157,084,000","174,757,000","161,611,000","148,757,000","137,986,000","162,455,000","185,693,000","194,379,000","214,624,000","219,322,000","189,182,000","169,042,000","163,271,000","182,800,000","197,119,000","194,893,000","189,953,000","207,487,000","192,523,000","193,490,000","187,370,000","204,466,000","207,375,000","206,701,000","190,488,000","176,550,000","165,332,000","159,989,000","148,209,000","144,992,000","140,795,000","141,229,000","156,014,000","177,274,000","181,800,000","186,654,000","154,712,000","140,036,000","100,705,000"
		CashCashEquivalentsAndShortTermInvestments,"213,125,000","204,335,000","188,707,000","175,849,000","150,028,000","133,789,000","103,812,000","50,552,000","46,189,000","46,829,000","37,558,000","34,942,000","44,067,000","49,646,000","53,033,000","48,175,000","42,628,000","39,775,000","70,782,000","50,209,000","51,533,000","78,107,000","61,318,000","64,212,000","64,260,000","73,590,000","93,853,000","99,457,000","97,775,000","111,679,000","87,799,000","78,982,000","75,169,000","82,747,000","79,124,000","69,379,000","48,059,000","46,995,000","57,422,000","53,085,000","49,562,000","38,938,000","32,263,000","27,571,000","38,546,000","98,324,000","101,887,000","117,803,000","68,049,000","61,894,000","23,214,000"
			CashAndCashEquivalents,"44,369,000","51,333,000","60,215,000","58,590,000","85,854,000","80,807,000","63,826,000","50,552,000","46,189,000","46,829,000","37,558,000","34,942,000","44,067,000","49,646,000","53,033,000","48,175,000","42,628,000","39,775,000","64,184,000","37,294,000","26,318,000","50,359,000","31,764,000","26,045,000","21,365,000","23,626,000","36,194,000","39,672,000","29,618,000","48,829,000","39,399,000","32,543,000","75,169,000","82,747,000","79,124,000","69,379,000","48,059,000","46,995,000","57,422,000","53,085,000","49,562,000","38,938,000","30,249,000","18,660,000","29,547,000","66,304,000","24,721,000","80,963,000","31,821,000","55,622,000","23,214,000"
				CashFinancial,"26,269,000","26,442,000","30,609,000","17,777,000","21,962,000","30,745,000","23,807,000","50,552,000","46,189,000","46,815,000","37,544,000","34,928,000","44,053,000",,"49,213,000","44,372,000","38,840,000","35,999,000","55,058,000","34,534,000","17,675,000","34,340,000","17,708,000","20,661,000","10,861,000","13,378,000","19,675,000","20,408,000","13,838,000","17,866,000","14,885,000","17,377,000","55,326,000","62,905,000","59,284,000","49,540,000","28,220,000","27,157,000",,,,,,,,,,,,,
				CashEquivalents,"18,100,000","24,891,000","29,606,000","40,813,000","63,892,000","50,062,000","40,019,000","0",,"14,000","14,000","14,000","14,000",,"3,820,000","3,803,000","3,788,000","3,776,000","9,126,000","2,760,000","8,643,000","16,019,000","14,056,000","5,384,000","10,504,000","10,248,000","16,519,000","19,264,000","15,780,000","30,963,000","24,514,000","15,166,000","19,843,000","19,842,000","19,840,000","19,839,000","19,839,000","19,838,000",,,,,,,,,,,,,
			OtherShortTermInvestments,"168,756,000","153,002,000","128,492,000","117,259,000","64,174,000","52,982,000","39,986,000",,,,,,,,,,,,"6,598,000","12,915,000","25,215,000","27,748,000","29,554,000","38,167,000","42,895,000","49,964,000","57,659,000","59,785,000","68,157,000","62,850,000","48,400,000","46,439,000",,,,,,,,,,"0","2,014,000","8,911,000","8,999,000","32,020,000","77,166,000","36,840,000","36,228,000","6,272,000","0"
		Receivables,"87,952,000","85,219,000","91,929,000","80,164,000","74,408,000","69,419,000","69,131,000","58,590,000","67,136,000","46,509,000","48,532,000","60,186,000","55,202,000","67,026,000","67,671,000","69,535,000","55,746,000","80,392,000","44,227,000","53,392,000","64,188,000","51,336,000","57,256,000","49,118,000","43,804,000","47,155,000","48,188,000","41,985,000","39,000,000","30,744,000","42,781,000","47,330,000","44,134,000","43,520,000","54,421,000","62,726,000","70,717,000","59,519,000","56,392,000","56,391,000","48,140,000","47,943,000","47,901,000","57,940,000","54,342,000","43,377,000","35,540,000","25,178,000","46,992,000","42,515,000","32,783,000"
			AccountsReceivable,"87,952,000","85,219,000","91,929,000","80,164,000","74,408,000","69,419,000","69,131,000","58,590,000","67,136,000","46,509,000","48,532,000","60,186,000","55,202,000","67,026,000","67,671,000","69,535,000","55,746,000","80,392,000","44,227,000","53,392,000","64,188,000","51,336,000","57,256,000","49,118,000","43,804,000","47,155,000","48,188,000","41,985,000","39,000,000","30,744,000","42,781,000","47,330,000","44,134,000","43,520,000","54,421,000","62,726,000","70,717,000","59,519,000","56,392,000","56,391,000","48,140,000","47,943,000","47,901,000","57,940,000","54,342,000","43,377,000","35,540,000","25,178,000","46,992,000","42,515,000","32,783,000"
				GrossAccountsReceivable,"88,663,000","85,944,000","92,703,000","80,971,000","75,594,000","70,824,000","70,634,000","60,020,000","67,574,000","46,883,000","48,854,000","60,583,000","55,540,000","67,396,000","68,284,000","70,031,000","56,134,000","81,793,000","45,630,000","55,390,000","66,142,000","52,792,000","58,752,000","50,357,000","44,776,000","48,319,000","49,132,000","42,889,000","39,819,000","31,493,000","43,598,000","48,382,000","45,745,000","44,642,000","55,466,000","63,803,000","72,276,000","61,680,000","57,608,000","57,726,000",,,"48,374,000",,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-711,000","-725,000","-774,000","-807,000","-1,186,000","-1,405,000","-1,503,000","-1,430,000","-438,000","-374,000","-322,000","-397,000","-338,000","-370,000","-613,000","-496,000","-388,000","-1,401,000","-1,403,000","-1,998,000","-1,954,000","-1,456,000","-1,496,000","-1,239,000","-972,000","-1,164,000","-944,000","-904,000","-819,000","-749,000","-817,000","-1,052,000","-1,611,000","-1,122,000","-1,045,000","-1,077,000","-1,559,000","-2,161,000","-1,216,000","-1,335,000",,,"-473,000",,,,,,,,
		Inventory,"105,016,000","88,880,000","75,166,000","77,136,000","72,211,000","52,268,000","41,616,000","36,659,000","30,539,000","40,153,000","46,355,000","45,360,000","47,226,000","50,151,000","30,267,000","19,988,000","27,061,000","31,529,000","36,321,000","39,572,000","46,538,000","44,545,000","40,190,000","40,761,000","41,127,000","47,667,000","43,769,000","40,710,000","40,637,000","46,753,000","43,845,000","45,888,000","45,060,000","51,071,000","39,376,000","37,402,000","39,232,000","43,282,000","30,175,000","33,243,000","37,157,000","44,604,000","44,152,000","38,489,000","49,380,000","24,557,000","24,943,000","26,267,000","18,556,000","13,917,000","23,397,000"
			RawMaterials,"323,000","130,000","169,000","182,000","58,000","34,000","154,000","383,000","206,000","656,000","3,621,000","6,207,000","17,897,000","10,815,000","1,554,000","2,090,000","2,244,000","1,211,000","1,082,000","1,028,000","1,502,000","1,827,000","2,035,000","1,791,000","2,048,000","2,209,000","2,259,000","1,839,000","2,706,000","3,180,000","3,946,000","5,486,000","5,845,000","6,591,000","6,929,000","7,584,000","9,672,000","9,377,000","2,351,000","3,507,000","3,525,000","3,077,000",,,,,,,,,
			FinishedGoods,"104,693,000","88,750,000","74,997,000","76,954,000","72,153,000","52,234,000","41,462,000","36,276,000","30,333,000","39,497,000","42,734,000","39,153,000","29,329,000","39,336,000","28,713,000","17,898,000","24,817,000","30,318,000","35,239,000","38,544,000","45,036,000","42,718,000","38,155,000","38,970,000","39,079,000","45,458,000","41,510,000","38,871,000","37,931,000","43,573,000","39,899,000","40,402,000","39,215,000","44,480,000","32,447,000","29,818,000","29,560,000","33,905,000","27,824,000","29,736,000","33,632,000","41,527,000",,,,,,,,,
		PrepaidAssets,"34,129,000","30,811,000","18,957,000","17,449,000","13,122,000","11,414,000","9,656,000","11,640,000","11,223,000","9,698,000","8,787,000","7,094,000","9,961,000","7,306,000","10,640,000","11,059,000","12,551,000","8,364,000","11,504,000","11,112,000","11,911,000","10,571,000","15,700,000","8,139,000","9,972,000","9,470,000","8,311,000","11,457,000","10,779,000","12,936,000","6,469,000","5,038,000","4,869,000","5,757,000","6,656,000","8,126,000","6,063,000","5,677,000","4,383,000","4,597,000","3,950,000","4,429,000","6,493,000","5,340,000","2,838,000","3,245,000","3,584,000","3,560,000","4,018,000","1,712,000","2,247,000"
		RestrictedCash,,,,,,"0","628,000","628,000","628,000","628,000","628,000","628,000","628,000","628,000",,,,,,,,,,,,"0","0","0","0","295,000","295,000","295,000","295,000","295,000","972,000",,,"0","0","0","0","754,000","1,054,000","1,054,000","1,054,000","0","0","0","629,000","628,000","4,856,000"
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,"2,395,000","22,859,000","40,094,000","40,454,000","34,763,000","14,718,000","6,812,000","4,108,000","4,918,000","2,998,000","1,284,000","1,762,000","5,080,000","11,334,000","15,957,000","17,843,000","21,076,000","26,826,000","29,068,000","26,417,000","21,077,000","16,960,000","12,673,000","9,400,000","8,324,000","8,932,000","10,835,000","9,854,000","7,771,000","15,846,000","13,846,000","16,468,000","19,370,000","14,208,000"
	TotalNonCurrentAssets,"335,024,000","332,787,000","320,958,000","157,237,000","158,366,000","160,462,000","160,490,000","163,245,000","168,339,000","173,006,000","174,651,000","163,038,000","161,068,000","142,323,000","139,414,000","133,713,000","132,926,000","132,615,000","133,949,000","134,945,000","135,135,000","136,153,000","134,756,000","135,338,000","137,146,000","141,086,000","147,009,000","152,105,000","157,230,000","162,734,000","167,500,000","169,427,000","174,015,000","179,133,000","184,761,000","189,334,000","194,543,000","201,347,000","202,271,000","207,843,000","211,628,000","214,547,000","220,313,000","226,763,000","236,310,000","80,282,000","83,415,000","83,180,000","86,404,000","85,397,000","88,750,000"
		NetPPE,"34,103,000","33,965,000","31,801,000","30,646,000","31,118,000","32,122,000","30,852,000","32,045,000","35,614,000","37,391,000","44,188,000","45,527,000","43,434,000","24,945,000","21,252,000","15,557,000","14,808,000","15,681,000","16,997,000","17,959,000","18,144,000","17,984,000","16,017,000","15,648,000","16,515,000","17,149,000","18,484,000","18,790,000","19,403,000","20,144,000","20,159,000","17,289,000","17,122,000","17,473,000","18,379,000","18,547,000","19,013,000","21,083,000","17,381,000","18,195,000","17,182,000","16,130,000","17,222,000","18,206,000","19,283,000","11,815,000","11,818,000","11,591,000","11,293,000","10,900,000","9,940,000"
			GrossPPE,"75,815,000","74,990,000","77,673,000","76,409,000","76,654,000","77,980,000","81,796,000","82,474,000","88,741,000","88,735,000","93,859,000","96,379,000","97,262,000","79,380,000","91,918,000","84,304,000","82,064,000","80,870,000","89,881,000","88,166,000","85,787,000","83,615,000","80,241,000","77,794,000","76,521,000","75,158,000","76,950,000","77,027,000","77,588,000","79,523,000","77,869,000","75,392,000","73,492,000","72,903,000","76,219,000","76,389,000","75,910,000","77,410,000","71,863,000","72,011,000","68,998,000","66,148,000","65,452,000","64,507,000","64,047,000","54,979,000","50,809,000","49,395,000","47,913,000","46,241,000","41,733,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
				BuildingsAndImprovements,,,"10,841,000","10,983,000","11,015,000","11,741,000","10,684,000","11,079,000","15,212,000","15,864,000","15,801,000","16,422,000","17,062,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
