name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1993,09/30/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991
			DepreciationAndAmortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,000","5,000","4,000","6,000","6,000","51,000","7,000","7,000","4,226,000","-3,508,000","-261,000","-278,000","4,402,000","-521,000","11,000","218,000","-522,000","-236,000","1,645,000","-26,000","-1,844,000","-688,000","-698,000","65,000","1,384,000","-38,000","-140,000","-106,000","-177,000","-531,000","392,000","96,000","-33,000","-209,000","-781,000","-350,000","-504,000","-2,736,000","1,791,000","-495,000","-586,000","-582,000","-1,262,000","649,000","-400,000","-200,000","-200,000","100,000","600,000","600,000",,,"0",,,,,,,,"300,000","100,000","200,000","100,000","100,000","200,000","200,000","300,000","300,000","300,000","200,000","300,000","300,000","300,000"
		DeferredTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","2,454,000","0","98,000","-599,000","0",,,,"2,021,000","-959,000","-567,000","-125,000","-245,000","-107,000","112,000","1,884,000","-424,000","-328,000","-690,000","-812,000","-1,129,000",,,"-170,000","8,442,000","58,000","172,000","-494,000","-43,000","-274,000","-311,000","-416,000","-1,592,000","-567,000","-669,000","-523,000","-900,000","-600,000","-500,000","-300,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			DeferredIncomeTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","2,454,000","0","98,000","-599,000","0",,,,"2,021,000","-959,000","-567,000","-125,000","-245,000","-107,000","112,000","1,884,000","-424,000","-328,000","-690,000","-812,000","-1,129,000",,,"-170,000","8,442,000","58,000","172,000","-494,000","-43,000","-274,000","-311,000","-416,000","-1,592,000","-567,000","-669,000","-523,000","-900,000","-600,000","-500,000","-300,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		AmortizationOfSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0",,,,"-56,000",,,,,"2,557,000","-4,969,000","312,000","2,002,000","15,095,000","-5,476,000","1,224,000","-784,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AssetImpairmentCharge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","160,000","9,348,000","31,569,000","0","8,204,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		UnrealizedGainLossOnInvestmentSecurities,,,,,"-1,495,000","-5,570,000","-2,831,000",,,,,,,,,,,,,,,,,,,,,"82,000","-4,714,000","-17,476,000",,,,,"4,464,000","-464,000","-4,000,000","0",,,,"-3,954,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"32,212,000","8,650,000","7,463,000","8,079,000","8,020,000","8,085,000","8,554,000","8,649,000","27,928,000","8,678,000","7,380,000","7,754,000","7,754,000","7,768,000","7,666,000","6,734,000","6,778,000","6,976,000","6,222,000","5,943,000","5,959,000","5,907,000","5,382,000","6,202,000","5,463,000","4,852,000","6,247,000","3,286,000","5,080,000","6,104,000","2,892,000","2,055,000","2,799,000","1,970,000","4,104,000","552,000","1,548,000","38,000","901,000","465,000","25,000","185,000","94,000","94,000","94,000","223,000","31,000","31,000","30,000","46,000","-809,000","327,000","351,000","424,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCashItems,,,,,"-50,906,000","-1,293,000","31,590,000","-6,055,000","56,819,000","122,702,000","9,314,000","7,470,000","7,967,000","7,265,000","7,104,000","7,362,000","7,300,000","6,331,000","5,632,000","6,868,000","4,953,000","4,535,000","4,210,000","5,377,000","5,699,000","4,053,000","6,024,000","6,729,000","4,436,000","3,519,000","3,058,000","2,739,000","2,478,000","1,625,000","3,554,000","980,000","227,000","174,000","16,120,000","-8,582,000","213,000","1,830,000","-8,951,000","2,756,000","4,418,000","2,626,000","-64,593,000","46,944,000","4,021,000","19,879,000","20,490,000","66,026,000","7,266,000","20,849,000","55,132,000","832,000","50,923,000","1,004,000","4,667,000","3,675,000","-1,082,000","1,402,000","186,000","1,996,000","922,000","864,000","1,742,000","634,000","688,000","577,000","-394,000","196,000","-506,000","280,000","-187,000","1,127,000","-1,936,000","185,000","-26,418,000","-30,000","4,641,000","-1,810,000","-381,000","4,528,000","-2,238,000","1,454,000","3,457,000","1,410,000","3,009,000","1,137,000","7,400,000","-3,100,000","2,000,000","1,600,000","2,400,000","100,000","900,000","400,000","1,000,000","200,000",,,"900,000","700,000",,,,,,,,,"11,500,000",,,"-100,000","5,100,000","200,000",,
		ChangeInWorkingCapital,"-5,758,000","-6,461,000","1,878,000","195,000","-1,370,000","2,537,000","-6,820,000","-78,000","8,724,000","-4,785,000","-3,014,000","-7,611,000","3,495,000","-972,000","-10,261,000","7,129,000","-11,222,000","9,385,000","-9,585,000","7,195,000","-98,000","4,335,000","-5,961,000","1,086,000","-1,174,000","1,998,000","5,460,000","33,695,000","-60,100,000","3,840,000","-4,049,000","1,896,000","-3,181,000","458,000","-5,897,000","-3,520,000","6,735,000","978,000","-5,942,000","2,681,000","-2,078,000","-1,618,000","-2,014,000","-837,000","4,742,000","-3,899,000","-1,711,000","428,000","4,351,000","-2,332,000","-960,000","2,260,000","856,000","-1,204,000","656,000","4,229,000","167,000","-3,093,000","-4,126,000","110,000","7,742,000","-792,000","-5,908,000","6,593,000","8,751,000","-4,353,000","7,549,000","-1,349,000","674,000","-2,565,000","7,609,000","-5,376,000","1,204,000","-1,548,000","893,000","3,281,000","-1,330,000","-22,000","811,000","-2,528,000","2,121,000","308,000","-2,323,000","556,000","6,544,000","-2,295,000","-1,182,000","7,004,000","-1,788,000","-5,798,000","7,400,000","600,000","-1,500,000","-4,300,000","3,600,000","-1,700,000","2,800,000","-5,900,000","6,300,000","-500,000","600,000","-300,000","200,000","-200,000","-100,000","200,000","300,000","0",,,"700,000","-200,000","0","300,000","-200,000","-400,000","500,000","-300,000","-700,000","-800,000"
			ChangeInReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,024,000","-58,724,000","2,021,000","-4,982,000","-2,948,000","-3,184,000","-2,052,000","-160,000","-1,010,000","877,000","432,000","1,205,000","-980,000","-786,000","-2,999,000","-931,000","789,000","1,932,000","685,000","431,000","39,000","700,000","-388,000","148,000","-1,246,000","92,000","2,593,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				ChangesInAccountReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,024,000","-58,724,000","2,021,000","-4,982,000","-2,948,000","-3,184,000","-2,052,000","-160,000","-1,010,000","877,000","432,000","1,205,000",,,"-2,999,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ChangeInPrepaidAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-13,000","84,000","812,000","-2,223,000","142,000","-364,000","2,986,000","-2,437,000","176,000","1,248,000","-800,000","-1,257,000","587,000","276,000","300,000","-1,027,000","1,561,000","57,000","602,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
