name,ttm,05/31/2022,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001,08/31/2001,05/31/2001,02/28/2001,11/30/2000,08/31/2000,05/31/2000,02/29/2000,11/30/1999,08/31/1999,05/31/1999,02/28/1999,11/30/1998,08/31/1998,05/31/1998,02/28/1998,11/30/1997,08/31/1997,05/31/1997,02/28/1997,11/30/1996,08/31/1996
OperatingCashFlow,"220,404,000","77,881,000","-383,000","57,804,000","85,102,000","20,426,000","15,704,000","103,230,000","181,798,000","59,126,000","70,703,000","85,112,000","141,226,000","88,622,000","21,712,000","76,866,000","109,421,000","112,050,000","36,208,000","81,979,000","87,710,000","62,475,000","21,221,000","75,435,000","115,281,000","102,842,000","60,870,000","122,110,000","86,818,000","115,366,000","-10,145,000","57,752,000","45,778,000","75,145,000","47,103,000","104,380,000","80,008,000","110,402,000","45,658,000","89,369,000","89,076,000","71,145,000","27,871,000","46,192,000","64,671,000","64,967,000","38,398,000","41,926,000","40,594,000","35,000,000","27,436,000","46,827,000","46,327,000","91,278,000","75,478,000","72,365,000","74,130,000","77,438,000","35,015,000","31,972,000","39,869,000","51,597,000","16,962,000","56,755,000","42,801,000","42,828,000","12,152,000","35,727,000","36,873,000","53,325,000","5,422,000","29,512,000","21,572,000","29,316,000","2,111,000","13,918,000","28,899,000","35,854,000","8,864,000","10,059,000","20,452,000","18,346,000","22,933,000","23,139,000","27,385,000","39,942,000","27,584,000","-4,006,000","10,440,000","28,950,000","-6,223,000","-12,800,000","-4,800,000","-5,900,000","-5,600,000","10,900,000","100,000","23,700,000","9,900,000","13,100,000","12,200,000","28,000,000","12,800,000","-7,200,000","-3,600,000"
	CashFlowFromContinuingOperatingActivities,"220,404,000","77,881,000","-383,000","57,804,000","85,102,000","20,426,000","15,704,000","103,230,000","181,798,000","59,126,000","70,703,000","85,112,000","141,226,000","88,622,000","21,712,000","76,866,000","109,421,000","112,050,000","36,208,000","81,979,000","87,710,000","62,475,000","21,221,000","75,435,000","115,281,000","102,842,000","60,870,000","122,110,000","86,818,000","115,366,000","-10,145,000","57,752,000","45,778,000","75,145,000","47,103,000","104,380,000","80,008,000","110,402,000","45,658,000","89,369,000","89,076,000","71,145,000","27,871,000","46,192,000","64,671,000","64,967,000","38,398,000","41,926,000","40,594,000","35,000,000","27,436,000","46,827,000","46,327,000","91,278,000","75,478,000","72,365,000","74,130,000","77,438,000","35,015,000","31,972,000","39,869,000","51,597,000","16,962,000","56,755,000","42,801,000","42,828,000","12,152,000","35,727,000","36,873,000","53,325,000","5,422,000","29,512,000","21,572,000","29,316,000","2,111,000","13,918,000","28,899,000","35,854,000","8,864,000","10,059,000","20,452,000","18,346,000","22,933,000","23,139,000","27,385,000","39,942,000","27,584,000","-4,006,000","10,440,000","28,950,000","-6,223,000","-12,800,000","-4,800,000","-5,900,000","-5,600,000","10,900,000","100,000","23,700,000","9,900,000","13,100,000","12,200,000","28,000,000","12,800,000","-7,200,000","-3,600,000"
		NetIncomeFromContinuingOperations,"302,005,000","99,717,000","70,154,000","66,257,000","65,877,000","94,935,000","18,348,000","38,777,000","52,636,000","78,114,000","55,556,000","65,452,000","66,621,000","79,514,000","68,430,000","74,232,000","73,017,000","79,069,000","117,552,000","59,585,000","60,748,000","62,836,000","53,744,000","54,103,000","61,846,000","64,816,000","49,525,000","55,029,000","59,022,000","63,342,000","51,527,000","57,417,000","62,813,000","64,696,000","49,512,000","59,046,000","56,375,000","62,354,000","56,079,000","63,187,000","68,915,000","70,211,000","60,068,000","59,837,000","59,451,000","62,086,000","49,689,000","47,560,000","44,057,000","44,247,000","30,649,000","31,420,000","25,994,000","27,755,000","26,278,000","45,095,000","50,532,000","51,385,000","47,460,000","46,866,000","47,362,000","45,765,000","40,507,000","40,296,000","34,107,000","37,018,000","33,329,000","31,935,000","28,176,000","30,688,000","27,419,000","25,987,000","22,264,000","23,873,000","18,542,000","16,476,000","13,691,000","13,168,000","12,752,000","12,481,000","8,378,000","11,223,000","8,680,000","8,134,000","10,210,000","2,482,000","14,349,000","13,505,000","12,456,000","16,366,000","13,604,000","10,500,000","9,400,000","12,300,000","15,100,000","12,100,000","11,900,000","14,200,000","11,700,000","9,500,000","9,300,000","10,900,000","8,800,000","7,000,000","6,600,000"
		OperatingGainsLosses,"592,000","259,000","126,000","104,000","103,000","115,000","49,000","296,000","524,000","51,000","87,000","140,000","91,000","-18,000","202,000","141,000","199,000","102,000","52,000","126,000","361,000","-16,000","284,000","49,000","213,000","149,000","143,000","247,000","788,000","294,000","141,000","230,000","1,111,000","163,000","1,022,000","65,000","150,000","146,000","585,000","60,000","253,000","874,000","1,000","1,000","113,000","1,000","1,000","1,000","2,000","5,000",,,,,,,"-1,619,000","0",,,"0","1,000",,,"89,000","-2,279,000","736,000","685,000","4,352,000","1,567,000","5,132,000","1,922,000","11,085,000","3,350,000","1,671,000","1,023,000","2,958,000","284,000","590,000","897,000","831,000","1,614,000","495,000","937,000","1,337,000","10,782,000","515,000","513,000","-526,000","752,000","1,229,000","500,000","-100,000","700,000","600,000","700,000","0","500,000","300,000","700,000","700,000","100,000","200,000","300,000","1,100,000"
			GainLossOnSaleOfPPE,"592,000","259,000","126,000","104,000","103,000","115,000","49,000","296,000","524,000","51,000","87,000","140,000","91,000","-18,000","202,000","141,000","199,000","102,000","52,000","126,000","361,000","-16,000","284,000","49,000","213,000","149,000","143,000","247,000","788,000","294,000","141,000","230,000","1,111,000","163,000","1,022,000","65,000","150,000","146,000","585,000","60,000","253,000","874,000","1,000","1,000","113,000","1,000","1,000","1,000","2,000","5,000",,,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"69,697,000","17,441,000","17,578,000","17,407,000","17,271,000","17,004,000","17,466,000","17,105,000","17,725,000","17,041,000","17,288,000","17,025,000","16,838,000","16,463,000","16,230,000","15,846,000","16,021,000","15,826,000","15,558,000","15,749,000","16,243,000","15,922,000","15,368,000","15,447,000","18,587,000","17,962,000","17,456,000","17,925,000","17,634,000","17,650,000","17,433,000","17,012,000","16,592,000","16,295,000","15,998,000","16,061,000","15,485,000","12,925,000","11,048,000","10,021,000","9,444,000","8,910,000","8,546,000","7,823,000","7,628,000","7,315,000","7,143,000","7,073,000","6,799,000","6,295,000","6,378,000","6,577,000","6,875,000","6,704,000","6,680,000","6,691,000","6,904,000","7,073,000","6,641,000","6,731,000","6,785,000","6,688,000","6,321,000","6,237,000","5,804,000","3,181,000","3,198,000","3,220,000","3,497,000","3,465,000","3,460,000","3,111,000","3,171,000","3,354,000","3,032,000","3,157,000","4,065,000","3,621,000","3,841,000","3,833,000","4,484,000","3,857,000","3,841,000","3,807,000","4,045,000","4,516,000","4,205,000","4,114,000","4,048,000","3,706,000","3,453,000","3,200,000","2,200,000","2,300,000","2,500,000","2,200,000","2,200,000","1,900,000","1,900,000","1,800,000","1,900,000","1,500,000","1,400,000","1,100,000","1,200,000"
			DepreciationAndAmortization,"69,697,000","17,441,000","17,578,000","17,407,000","17,271,000","17,004,000","17,466,000","17,105,000","17,725,000","17,041,000","17,288,000","17,025,000","16,838,000","16,463,000","16,230,000","15,846,000","16,021,000","15,826,000","15,558,000","15,749,000","16,243,000","15,922,000","15,368,000","15,447,000","18,587,000","17,962,000","17,456,000","17,925,000","17,634,000","17,650,000","17,433,000","17,012,000","16,592,000","16,295,000","15,998,000","16,061,000","15,485,000","12,925,000","11,048,000","10,021,000","9,444,000","8,910,000","8,546,000","7,823,000","7,628,000","7,315,000","7,143,000","7,073,000","6,799,000","6,295,000","6,378,000","6,577,000","6,875,000","6,704,000","6,680,000","6,691,000","6,904,000","7,073,000","6,641,000","6,731,000","6,785,000","6,688,000","6,321,000","6,237,000","5,804,000","3,181,000","3,198,000","3,220,000","3,497,000","3,465,000","3,460,000","3,111,000","3,171,000","3,354,000","3,032,000","3,157,000","4,065,000","3,621,000","3,841,000","3,833,000","4,484,000","3,857,000","3,841,000","3,807,000","4,045,000","4,516,000","4,205,000","4,114,000","4,048,000","3,706,000","3,453,000","3,200,000","2,200,000","2,300,000","2,500,000","2,200,000","2,200,000","1,900,000","1,900,000","1,800,000","1,900,000","1,500,000","1,400,000","1,100,000","1,200,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,835,000","3,126,000","3,132,000","3,140,000","3,141,000","3,061,000","3,007,000","3,049,000","2,858,000","3,300,000",,,,,,,,,,,"4,045,000",,,,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-31,000","55,000","66,000","80,000","356,000","404,000","453,000","62,000","313,000","54,000",,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-31,000","55,000","66,000","80,000","356,000","404,000","453,000","62,000","313,000","54,000",,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,
