name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,12/31/2005,03/31/2005
			AccumulatedDepreciation,,,,,,,,,,,,,,,,,,,,,,,,,"-21,060,000","-21,145,000","-20,986,000","-20,820,000","-20,652,000","-20,483,000","-20,314,000","-20,614,000","-20,445,000","-20,476,000","-20,380,000","-20,321,000","-20,196,000","-20,096,000","-19,981,000","-19,811,000","-19,588,000","-19,358,000","-19,067,000","-18,717,000","-18,333,000","-17,961,000","-17,498,000","-17,025,000","-16,543,000","-16,028,000","-15,522,000","-15,462,000","-14,821,000","-14,128,000","-13,445,000","-12,716,000","-12,202,000","-11,524,000","-10,645,000","-9,819,000","-8,989,000","-8,230,000","-7,403,000","-4,600,000","-2,676,000"
		GoodwillAndOtherIntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,"315,070",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"1,492,000","1,648,000",,,,"1,832,000",,"1,785,000",,"1,859,000",,,,"227,000",,,,"301,000","0",,,"3,000",,,,,"226,000","278,000","564,000","305,000","331,000","358,000","384,000","1,409,000","433,000","464,000","481,000","458,000","466,000","503,000","519,000","631,000","530,000","497,000","417,000","366,000","461,000","151,000","151,000","358,000","68,000","68,000","103,000","103,000","76,000","76,000","76,000","76,000","82,000","87,000","87,000","1,095,000","132,000","133,000","2,249,000"
TotalLiabilitiesNetMinorityInterest,"76,918,000","77,225,000","69,816,000","57,304,000","49,178,000","47,025,000","49,913,000","45,472,000","25,982,000","25,491,000","15,905,000","12,836,000","11,054,000","8,444,000","6,642,000","5,436,000","6,294,000","10,054,000","8,523,000","6,436,000","5,906,000","4,799,923","3,915,390","3,364,000","8,639,000","17,788,000","30,644,000","32,557,000","33,252,000","35,539,000","39,928,000","41,948,000","43,960,000","46,112,000","42,051,000","38,488,000","37,096,000","27,951,000","25,423,000","26,700,000","26,071,000","27,550,000","29,287,000","29,184,000","29,825,000","30,588,000","31,620,000","17,031,000","19,153,000","23,999,000","26,726,000","156,774,000","172,884,000","156,044,000","125,374,000","97,273,000","95,917,000","97,753,000","16,943,000","19,139,000","15,660,000","56,536,000","55,991,000","18,733,000","17,405,000"
	CurrentLiabilities,"76,635,000","76,838,000","69,325,000","56,710,000","48,791,000","46,557,000","49,365,000","45,275,000","25,703,000","25,130,000","15,464,000","12,316,000","10,456,000","8,444,000","6,642,000","5,436,000","6,294,000","10,054,000","8,523,000","6,436,000","5,906,000","4,799,923","3,915,390","3,364,000","8,639,000","17,788,000","30,633,000","32,525,000","30,920,000","30,889,000","32,961,000","32,666,000","32,365,000","32,207,000","25,931,000","20,071,000","16,551,000","23,486,000","18,965,000","18,254,000","15,644,000","15,148,000","17,116,000","15,349,000","17,314,000","16,736,000","14,948,000","12,267,000","13,037,000","16,469,000","17,759,000","146,359,000","42,951,000","33,323,000","27,239,000","20,723,000","20,525,000","20,772,000","13,824,000","15,871,000","12,292,000","11,546,000","11,555,000","14,474,000","15,833,000"
		PayablesAndAccruedExpenses,"73,507,000","69,659,000","63,949,000","52,724,000","46,722,000","41,553,000","46,167,000","43,035,000","24,260,000","22,036,000","13,218,000","12,010,000","10,154,000","8,444,000","6,642,000","5,436,000","6,294,000","10,054,000","8,523,000","6,436,000","5,906,000","4,799,923","3,915,390","2,618,000","4,958,000","10,066,000","21,072,000","20,280,000","19,052,000","17,781,000","20,936,000","20,739,000","20,901,000","19,577,000","16,280,000","13,058,000","12,301,000","12,277,000","9,073,000","8,226,000","7,841,000","10,902,000","9,180,000","7,779,000","7,096,000","8,630,000","8,432,000","6,617,000","7,279,000","10,560,000","11,515,000","24,158,000","27,292,000","18,565,000","17,812,000","12,799,000","12,773,000","11,672,000","10,016,000","11,600,000","9,387,000","8,759,000","8,829,000","12,102,000","14,626,000"
			Payables,"22,780,000","21,380,000","10,418,000","1,067,000","4,396,000","1,017,000","6,277,000","5,004,000","1,115,000","1,178,000","773,000","446,000","4,376,000","2,487,000","1,031,000","588,000","1,420,000","1,929,000","1,400,000","1,285,000","2,780,000","762,035","1,159,836","680,000","744,000","1,299,000","1,424,000","3,018,000","3,738,000","3,139,000","4,442,000","5,226,000","5,810,000","6,589,000","5,693,000","5,222,000","5,719,000","5,661,000","3,690,000","3,468,000","3,040,000","3,467,000","2,921,000","1,999,000","1,691,000","1,925,000","2,393,000","1,280,000","1,462,000","3,957,000","4,536,000","15,955,000","10,615,000","3,331,000","1,999,000","1,471,000","4,531,000","2,488,000","1,970,000","1,981,000","1,822,000","2,632,000","1,777,000","3,361,000","4,058,000"
				AccountsPayable,"22,780,000","21,380,000","10,418,000","1,067,000","4,396,000","1,017,000","6,277,000","5,004,000","1,115,000","1,178,000","773,000","446,000","4,376,000","2,487,000","1,031,000","588,000","1,420,000","1,929,000","1,400,000","1,285,000","2,780,000","762,035","1,159,836","680,000","744,000","1,299,000","1,424,000","3,018,000","3,738,000","3,139,000","4,442,000","5,226,000","5,810,000","6,589,000","5,693,000","5,222,000","5,719,000","5,661,000","3,690,000","3,468,000","3,040,000","3,467,000","2,921,000","1,999,000","1,691,000","1,925,000","2,393,000","1,280,000","1,462,000","3,957,000","4,536,000","5,995,000","10,615,000","3,331,000","1,999,000","1,471,000","4,531,000","2,488,000","1,970,000","1,981,000","1,822,000","2,632,000","1,777,000","3,361,000","4,058,000"
				DuetoRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				OtherPayable,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,"0","9,960,000",,,"0",,,,,"0",,"0",,"0",
