name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,03/31/2018
TotalCapitalization,"7,856,194,000","7,820,460,000","7,887,411,000","7,999,185,000","7,987,003,000","8,014,566,000","8,192,987,000","8,267,222,000","7,995,741,000","1,973,787,000","1,913,491,000","1,131,424,000","1,132,487,000","1,129,240,000","1,176,572,000"
CommonStockEquity,"3,276,107,000","3,247,595,000","3,244,166,000","3,263,853,000","3,252,228,000","3,233,738,000","3,209,250,000","3,239,354,000","3,285,447,000","1,950,131,000","1,886,107,000","1,131,424,000","1,132,487,000","1,129,240,000","1,176,572,000"
CapitalLeaseObligations,"74,012,000","81,469,000","90,949,000","97,769,000","106,004,000","111,602,000","120,299,000","128,267,000",,,,,,,
NetTangibleAssets,"-4,901,017,000","-4,688,470,000","-4,808,821,000","-4,912,808,000","-5,043,637,000","-5,174,269,000","-5,335,310,000","-5,381,773,000","-4,875,684,000","1,950,131,000","1,886,107,000","1,131,424,000","1,132,487,000","1,129,240,000","1,176,572,000"
WorkingCapital,"233,241,000","110,162,000","97,167,000","122,060,000","71,708,000","52,339,000","162,258,000","211,852,000","341,392,000","-111,000","-1,295,000","-926,000","-780,000","1,000","0"
InvestedCapital,"7,866,200,000","7,835,469,000","7,906,563,000","8,022,284,000","8,014,342,000","8,051,585,000","8,223,475,000","8,296,208,000","8,274,520,000","1,989,149,000","1,928,645,000","1,131,424,000","1,132,487,000","1,129,240,000","1,176,572,000"
TangibleBookValue,"-4,901,017,000","-4,688,470,000","-4,808,821,000","-4,912,808,000","-5,043,637,000","-5,174,269,000","-5,335,310,000","-5,381,773,000","-4,875,684,000","1,950,131,000","1,886,107,000","1,131,424,000","1,132,487,000","1,129,240,000","1,176,572,000"
TotalDebt,"4,664,105,000","4,669,343,000","4,753,346,000","4,856,200,000","4,868,118,000","4,929,449,000","5,134,524,000","5,185,121,000","4,989,073,000","39,018,000","42,538,000",,,,
NetDebt,"4,337,795,000","4,491,863,000","4,581,983,000","4,649,327,000","4,649,013,000","4,680,490,000","4,846,748,000","4,878,503,000","4,578,668,000","35,609,000","39,129,000",,,,
ShareIssued,"313,131,714","311,716,514","311,311,208","310,677,936","306,796,076","304,656,863","304,426,569","303,769,372","303,428,142","125,027,648","124,935,806","124,760,367","118,331,796","118,331,796","118,331,796"
OrdinarySharesNumber,"313,131,714","311,716,514","311,311,208","310,677,936","306,796,076","304,656,863","304,426,569","303,769,372","303,428,142","125,027,648","124,935,806","124,760,367","118,331,796","118,331,796","118,331,796"
