name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,09/30/2015
TotalAssets,"3,248,000,000","3,183,000,000","3,191,000,000","3,049,000,000","2,921,000,000","3,156,000,000","3,051,000,000","2,963,000,000","2,917,000,000","2,297,000,000","2,064,000,000","2,000,000,000","1,914,000,000","1,832,000,000","1,854,000,000","1,849,000,000","1,869,000,000","1,827,000,000","1,915,000,000","1,960,000,000","1,907,000,000","1,865,000,000","1,825,000,000","1,634,000,000","1,117,400,000","977,900,000"
	CurrentAssets,"1,016,000,000","1,001,000,000","1,037,000,000","1,016,000,000","968,000,000","1,214,000,000","1,438,000,000","1,379,000,000","1,384,000,000","794,000,000","797,000,000","801,000,000","733,000,000","668,000,000","725,000,000","790,000,000","795,000,000","735,000,000","790,000,000","748,000,000","732,000,000","759,000,000","730,000,000","553,300,000","514,400,000","477,300,000"
		CashCashEquivalentsAndShortTermInvestments,"118,000,000","152,000,000","230,000,000","226,000,000","247,000,000","527,000,000","760,000,000","751,000,000","774,000,000","162,000,000","159,000,000","126,000,000","114,000,000","99,000,000","96,000,000","107,000,000","127,000,000","115,000,000","201,000,000","132,000,000","135,000,000","236,000,000","172,000,000","50,000,000",,
			CashAndCashEquivalents,"118,000,000","152,000,000","230,000,000","226,000,000","247,000,000","527,000,000","760,000,000","751,000,000","774,000,000","162,000,000","159,000,000","126,000,000","114,000,000","99,000,000","96,000,000","107,000,000","127,000,000","115,000,000","201,000,000","132,000,000","135,000,000","236,000,000","172,000,000","50,000,000",,
		Receivables,"563,000,000","530,000,000","496,000,000","490,000,000","448,000,000","430,000,000","433,000,000","396,000,000","352,000,000","395,000,000","401,000,000","423,000,000","368,000,000","331,000,000","409,000,000","461,000,000","435,000,000","418,000,000","385,000,000","403,000,000","405,000,000","353,000,000","363,000,000","340,300,000","350,400,000","334,600,000"
			AccountsReceivable,"551,000,000","513,000,000","475,000,000","469,000,000","426,000,000","410,000,000","409,000,000","377,000,000","342,000,000","389,000,000","392,000,000","412,000,000","362,000,000","320,000,000","390,000,000","461,000,000","435,000,000","418,000,000","385,000,000","403,000,000","405,000,000","353,000,000","363,000,000","340,300,000","350,400,000","334,600,000"
				GrossAccountsReceivable,,,,,,,,,,,,,,,,"467,000,000","441,000,000","424,000,000","390,000,000","408,000,000","409,000,000","359,000,000","368,000,000",,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,,,"-6,000,000","-6,000,000","-6,000,000","-5,000,000","-5,000,000","-4,000,000","-6,000,000","-5,000,000",,,
			NotesReceivable,"5,000,000","7,000,000","10,000,000","10,000,000","10,000,000","11,000,000","13,000,000","11,000,000",,,,,,,,,,,,,,,,,,
			OtherReceivables,"16,000,000","15,000,000","16,000,000","16,000,000","16,000,000","13,000,000","14,000,000","15,000,000","16,000,000","13,000,000","15,000,000","16,000,000","14,000,000","20,000,000","26,000,000",,,,,,,,,,,
			ReceivablesAdjustmentsAllowances,"-9,000,000","-5,000,000","-5,000,000","-5,000,000","-4,000,000","-4,000,000","-3,000,000","-7,000,000","-6,000,000","-7,000,000","-6,000,000","-5,000,000","-8,000,000","-9,000,000","-7,000,000",,,,,,,,,,,
		Inventory,"276,000,000","264,000,000","258,000,000","247,000,000","218,000,000","213,000,000","199,000,000","189,000,000","209,000,000","194,000,000","194,000,000","200,000,000","192,000,000","200,000,000","176,000,000","196,000,000","194,000,000","170,000,000","175,000,000","181,000,000","156,000,000","141,000,000","139,000,000","136,400,000","142,800,000","125,600,000"
			RawMaterials,"64,000,000","60,000,000","49,000,000","47,000,000","37,000,000","39,000,000","30,000,000","31,000,000","34,000,000","37,000,000","32,000,000","34,000,000","29,000,000","33,000,000","30,000,000","34,000,000","33,000,000","28,000,000","31,000,000","28,000,000","27,000,000","24,000,000","21,000,000","23,500,000","23,200,000","22,500,000"
			FinishedGoods,"288,000,000","277,000,000","276,000,000","252,000,000","216,000,000","204,000,000","195,000,000","187,000,000","211,000,000","197,000,000","203,000,000","210,000,000","205,000,000","211,000,000","189,000,000","202,000,000","198,000,000","178,000,000","180,000,000","186,000,000","159,000,000","147,000,000","149,000,000","137,700,000","145,500,000","134,300,000"
			InventoriesAdjustmentsAllowances,"-76,000,000","-73,000,000","-67,000,000","-52,000,000","-35,000,000","-30,000,000","-26,000,000","-29,000,000","-36,000,000","-40,000,000","-41,000,000","-44,000,000","-42,000,000","-44,000,000","-43,000,000","-40,000,000","-37,000,000","-36,000,000","-36,000,000","-33,000,000","-30,000,000","-30,000,000","-31,000,000","-24,800,000","-25,900,000","-31,200,000"
		PrepaidAssets,"59,000,000","55,000,000","52,000,000","53,000,000","55,000,000","44,000,000","46,000,000","43,000,000","49,000,000","43,000,000","43,000,000","52,000,000","59,000,000","38,000,000","44,000,000",,,,,,,,,,,
		RestrictedCash,,,"1,000,000",,,,"1,000,000",,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,,,,,,,"-1,000,000",,,,,,,,,"26,000,000","39,000,000","32,000,000","29,000,000","32,000,000","36,000,000","29,000,000","56,000,000","26,600,000","21,200,000","17,100,000"
	TotalNonCurrentAssets,"2,232,000,000","2,182,000,000","2,154,000,000","2,033,000,000","1,953,000,000","1,942,000,000","1,613,000,000","1,584,000,000","1,533,000,000","1,503,000,000","1,267,000,000","1,199,000,000","1,181,000,000","1,164,000,000","1,129,000,000","1,059,000,000","1,074,000,000","1,092,000,000","1,125,000,000","1,212,000,000","1,175,000,000","1,106,000,000","1,095,000,000","1,080,700,000","603,000,000","500,600,000"
		NetPPE,"1,156,000,000","1,133,000,000","1,124,000,000","1,084,000,000","1,040,000,000","1,006,000,000","874,000,000","820,000,000","763,000,000","732,000,000","498,000,000","455,000,000","441,000,000","428,000,000","420,000,000","399,000,000","390,000,000","384,000,000","391,000,000","369,000,000","349,000,000","331,000,000","324,000,000","284,100,000","266,500,000","253,500,000"
			GrossPPE,"1,156,000,000","1,133,000,000","1,679,000,000","1,084,000,000","1,040,000,000","1,006,000,000","1,364,000,000","820,000,000","763,000,000","732,000,000","953,000,000",,,,"847,000,000",,,,"823,000,000","792,000,000","765,000,000","739,000,000","727,000,000",,"659,400,000","627,800,000"
				Properties,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,"0"
				LandAndImprovements,,,"130,000,000",,,,"96,000,000",,,,"58,000,000",,,,"51,000,000",,,,"51,000,000",,,,"50,000,000",,,"47,000,000"
				BuildingsAndImprovements,,,"607,000,000",,,,"412,000,000",,,,"348,000,000",,,,"292,000,000",,,,"286,000,000",,,,"216,000,000",,,"199,900,000"
				MachineryFurnitureEquipment,,,"564,000,000",,,,"494,000,000",,,,"475,000,000",,,,"442,000,000",,,,"442,000,000",,,,"382,000,000",,,"362,000,000"
				OtherProperties,"1,156,000,000","1,133,000,000","307,000,000","1,084,000,000","1,040,000,000","1,006,000,000","261,000,000","820,000,000","763,000,000","732,000,000",,,,,,,,,,,,,,,,
				ConstructionInProgress,,,"71,000,000",,,,"101,000,000",,,,"72,000,000",,,,"62,000,000",,,,"44,000,000",,,,"79,000,000",,,"18,900,000"
			AccumulatedDepreciation,,,"-555,000,000",,,,"-490,000,000",,,,"-455,000,000",,,,"-427,000,000",,,,"-432,000,000","-423,000,000","-416,000,000","-408,000,000","-403,000,000",,"-392,900,000","-374,300,000"
		GoodwillAndOtherIntangibleAssets,"788,000,000","782,000,000","775,000,000","773,000,000","732,000,000","739,000,000","529,000,000","510,000,000","503,000,000","507,000,000","504,000,000","490,000,000","478,000,000","473,000,000","448,000,000","398,000,000","396,000,000","393,000,000","335,000,000","334,000,000","317,000,000","270,000,000","267,000,000","258,700,000","256,500,000","171,000,000"
			Goodwill,,,"644,000,000","641,000,000","617,000,000","621,000,000","445,000,000",,,,"430,000,000","415,000,000","404,000,000",,"381,000,000",,,,"330,000,000",,,,"264,000,000","255,400,000","253,000,000","169,400,000"
			OtherIntangibleAssets,,,"131,000,000","132,000,000","115,000,000","118,000,000","84,000,000",,,,"74,000,000","75,000,000","74,000,000",,"67,000,000",,,,"5,000,000",,,,"3,000,000","3,300,000","3,500,000","1,600,000"
		InvestmentsAndAdvances,"53,000,000","50,000,000","47,000,000","47,000,000","45,000,000","46,000,000","44,000,000","39,000,000","37,000,000","39,000,000","34,000,000","35,000,000","34,000,000","32,000,000","31,000,000","33,000,000","34,000,000","33,000,000","60,000,000","29,000,000","30,000,000","30,000,000","60,000,000","29,500,000","28,200,000","28,900,000"
			LongTermEquityInvestment,"53,000,000","50,000,000","47,000,000","47,000,000","45,000,000","46,000,000","44,000,000","39,000,000","37,000,000","39,000,000","34,000,000","35,000,000","34,000,000","32,000,000","31,000,000","33,000,000","34,000,000","33,000,000","30,000,000","29,000,000","30,000,000","30,000,000","26,000,000","29,500,000","28,200,000","28,900,000"
			OtherInvestments,,,,,,,,,,,,,,,,,,,"30,000,000",,,,"34,000,000",,,
		NonCurrentNoteReceivables,,,"0",,,"11,000,000",,,,,,,,,,,,,"35,000,000",,,,"26,000,000",,,"16,600,000"
