name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,12/31/2008
TotalAssets,"1,083,381,000","1,126,927,000","1,079,371,000","1,007,218,000","599,344,000","559,238,000","492,324,000","443,538,000","404,005,000","402,748,000","334,343,000","315,721,000","363,538,000","332,050,000","416,652,000","618,218,000","571,095,000","605,674,000","625,086,000","705,079,000","701,319,000","709,821,000","731,978,000","700,208,000","603,325,000","619,121,000","613,426,000","653,941,000","305,528,000","333,513,000","346,168,000","371,064,000","418,871,000","278,962,000","325,843,000","384,031,000","325,093,000","229,907,000","246,518,000","208,663,000","249,176,000","208,977,000","219,480,000","249,727,000","272,024,000","301,365,000","322,084,000","338,130,000","162,451,000","158,847,000","140,723,000"
	CurrentAssets,"710,101,000","745,225,000","695,374,000","620,268,000","538,246,000","495,839,000","433,317,000","374,275,000","333,943,000","306,852,000","257,638,000","220,985,000","201,832,000","266,435,000","248,548,000","279,542,000","275,727,000","311,596,000","314,053,000","341,487,000","357,853,000","380,181,000","382,804,000","386,142,000","495,701,000","500,205,000","505,779,000","526,959,000","263,876,000","289,730,000","304,081,000","325,760,000","371,305,000","229,128,000","275,826,000","335,780,000","275,634,000","184,440,000","202,347,000","166,083,000","206,265,000","167,567,000","178,766,000","208,382,000","229,052,000","259,075,000","282,159,000","306,398,000","131,448,000","126,996,000","108,086,000"
		CashCashEquivalentsAndShortTermInvestments,"593,371,000","620,129,000","574,276,000","492,699,000","438,469,000","362,564,000","307,555,000","253,252,000","231,143,000","177,023,000","139,231,000","98,908,000","119,045,000","173,172,000","161,398,000","181,246,000","194,447,000","221,416,000","225,417,000","272,895,000","295,339,000","305,216,000","319,873,000","325,373,000","434,452,000","439,394,000","462,306,000","493,315,000","215,865,000","248,334,000","264,961,000","301,978,000","332,269,000","197,602,000","242,390,000","300,538,000","242,029,000","168,228,000","193,323,000","157,653,000","202,108,000","164,016,000","175,129,000","201,097,000","220,569,000","248,027,000","271,605,000","298,568,000","123,145,000","113,928,000","89,767,000"
			CashAndCashEquivalents,"593,371,000","620,129,000","574,276,000","492,699,000","438,469,000","362,564,000","307,555,000","253,252,000","231,143,000","177,023,000","139,231,000","98,908,000","119,045,000","173,172,000","141,562,000","145,415,000","144,788,000","125,736,000","162,640,000","182,132,000","133,319,000","54,004,000","182,937,000","277,332,000","280,926,000","261,287,000","248,077,000","256,450,000","63,692,000","74,297,000","51,269,000","95,357,000","205,129,000","75,490,000","144,452,000","219,461,000","105,302,000","136,700,000","125,867,000","87,083,000","131,612,000","87,282,000","68,820,000","48,185,000","46,214,000","44,321,000","35,384,000","76,338,000","123,145,000","96,269,000","67,722,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,"0","19,836,000","35,831,000","49,659,000","95,680,000","62,777,000","90,763,000","162,020,000","251,212,000","136,936,000","48,041,000","153,526,000","178,107,000","214,229,000","236,865,000","152,173,000","174,037,000","213,692,000","206,621,000","127,140,000","122,112,000","97,938,000","81,077,000","136,727,000","31,528,000","67,456,000","70,570,000","70,496,000","76,734,000","106,309,000","152,912,000","174,355,000","203,706,000","236,221,000","222,230,000","0","17,659,000","22,045,000"
		Receivables,"105,515,000","114,042,000","101,773,000","102,252,000","87,152,000","122,351,000","113,250,000","105,379,000","91,107,000","117,246,000","96,570,000","103,786,000","72,617,000","80,950,000","65,375,000","80,519,000","70,651,000","82,157,000","80,083,000","60,357,000","51,147,000","64,854,000","53,715,000","53,147,000","53,018,000","54,518,000","36,971,000","27,049,000","33,849,000","25,839,000","14,686,000","4,455,000","10,337,000","3,213,000","3,086,000","5,298,000","48,000","1,487,000","182,000","2,466,000","109,000","652,000","741,000","2,627,000","4,184,000","2,895,000","6,352,000","4,723,000","5,234,000","9,919,000","7,121,000"
			AccountsReceivable,"105,515,000","114,042,000","101,773,000","102,252,000","87,152,000","122,351,000","113,250,000","105,379,000","91,107,000","117,246,000","96,570,000","103,786,000","72,617,000","80,950,000","65,375,000","80,519,000","70,651,000","82,157,000","80,083,000","60,357,000","51,147,000","64,854,000","53,715,000","53,147,000","53,018,000","54,518,000","36,971,000","27,049,000","33,849,000","25,839,000","14,686,000","4,455,000","10,337,000","3,213,000","3,086,000","5,298,000","48,000","1,487,000","182,000","2,466,000","109,000","652,000","741,000","2,627,000","4,184,000","2,895,000","6,352,000","4,723,000","5,234,000","9,919,000","7,121,000"
		Inventory,,,,,,"0","0","0","0","648,000","2,298,000","1,735,000","593,000","0","76,000","1,099,000","1,705,000","735,000","479,000","0","1,513,000","1,081,000",,,,,"0","0","4,950,000","4,954,000","13,045,000","12,989,000","23,413,000","22,145,000","20,561,000","20,379,000","19,704,000","6,699,000","965,000",,,,,,,,,,,,
			RawMaterials,,,,,,,,,,"65,000","1,134,000","1,475,000","593,000",,,"308,000","308,000","0",,"0","1,513,000","1,010,000",,,,,,,,"4,954,000",,,,"22,145,000",,,"19,704,000","6,699,000",,,,,,,,,,,,,
			WorkInProcess,,,,,,,,,,"392,000","707,000","260,000",,,,"0","0","0",,"0",,"71,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
