name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990
OperatingCashFlow,"4,766,000","5,934,000","-5,767,000","2,817,000","1,782,000","5,825,000","12,085,000","4,440,000","38,211,000","22,176,000","5,250,000","46,605,000","30,965,000","7,412,000","44,953,000","13,760,000","19,134,000","-31,261,000","27,761,000","37,395,000","19,977,000","-20,538,000","28,316,000","-7,933,000","8,336,000","25,261,000","77,724,000","36,065,000","54,347,000","27,815,000","56,708,000","11,317,000","4,550,000","36,070,000","5,749,000","13,546,000","15,313,000","15,048,000","35,113,000","-9,418,000","3,590,000","-11,616,000","-4,596,000","-11,531,000","29,547,000","30,367,000","33,965,000","28,906,000","38,602,000","51,852,000","135,018,000","7,306,000","90,135,000","39,856,000","10,069,000","65,640,000","67,480,000","46,622,000","60,234,000","51,073,000","28,683,000","69,049,000","13,086,000","27,689,000","16,616,000","-3,159,000","-16,960,000","31,788,000","26,624,000","11,303,000","10,319,000","9,697,000","12,835,000","23,593,000","2,462,000","20,959,000","5,237,000","7,764,000","4,992,000","6,094,000","5,893,000","8,007,000","20,860,000","9,616,000","12,352,000","15,270,000","9,029,000","2,469,000","9,226,000","1,923,000","8,128,000","3,200,000","-3,000,000","5,400,000","9,800,000","100,000","-2,100,000","2,800,000","5,200,000","-4,900,000","-2,400,000","7,400,000","4,000,000","4,900,000","-100,000","-700,000","4,300,000","4,700,000","5,900,000","1,300,000","4,600,000","-900,000","5,000,000","1,400,000","3,900,000","-500,000","5,600,000","300,000","200,000","100,000","-3,000,000","3,200,000","5,500,000","4,900,000","500,000","-1,300,000","2,500,000","100,000"
	CashFlowFromContinuingOperatingActivities,"4,766,000","5,934,000","-5,767,000","2,817,000","1,782,000","5,825,000","12,085,000","4,440,000","38,211,000","22,176,000","5,250,000","46,605,000","30,965,000","7,412,000","44,953,000","13,760,000","19,134,000","-31,261,000","27,761,000","37,395,000","19,977,000","-20,538,000","28,316,000","-7,933,000","8,336,000","25,261,000","77,724,000","36,065,000","54,347,000","27,815,000","56,708,000","11,317,000","4,550,000","36,070,000","5,749,000","13,546,000","15,313,000","15,048,000","35,113,000","-9,418,000","3,590,000","-11,616,000","-4,596,000","-11,531,000","29,547,000","30,367,000","33,965,000","28,906,000","38,602,000","51,852,000","135,018,000","7,306,000","90,135,000","39,856,000","13,285,000","65,208,000","65,485,000","45,833,000","82,184,000","50,900,000","29,955,000","68,993,000","12,669,000","27,689,000","16,776,000","-3,159,000","-16,960,000","32,147,000","26,265,000","11,303,000","10,319,000","9,697,000","12,835,000","23,593,000","2,462,000","20,959,000","5,237,000","7,764,000","4,992,000","6,094,000","5,893,000","8,007,000","20,860,000","9,616,000","12,352,000","15,270,000","9,029,000","2,469,000","9,226,000","1,923,000","8,128,000","3,200,000","-3,000,000","5,400,000","9,800,000","100,000","-2,100,000","2,800,000","5,200,000","-4,900,000","-2,400,000","7,400,000","4,000,000","4,900,000","-100,000","-700,000","4,300,000","4,700,000","5,900,000","1,300,000","4,600,000","-900,000","5,000,000","1,400,000","3,900,000","-500,000","5,600,000","300,000","200,000","100,000","-3,000,000","3,200,000","5,500,000","4,900,000","500,000","-1,300,000","1,900,000","700,000"
		NetIncomeFromContinuingOperations,"2,274,000","7,719,000","-1,178,000","2,513,000","-6,780,000","109,047,000","-29,992,000","-21,598,000","-36,967,000","-10,376,000","-114,645,000","-18,209,000","-8,546,000","-19,100,000","2,732,000","-12,056,000","-12,153,000","-62,763,000","-34,974,000","-1,338,000","-14,619,000","-11,252,000","-38,410,000","-24,028,000","-29,224,000","-147,731,000","-231,946,000","10,736,000","15,365,000","-3,622,000","-147,468,000","-12,467,000","-1,550,000","-6,090,000","-9,121,000","12,854,000","-2,508,000","2,100,000","-3,173,000","8,602,000","12,181,000","1,147,000","-24,490,000","1,954,000","30,469,000","-2,515,000","-62,875,000","170,000","13,560,000","5,427,000","25,805,000","22,662,000","9,175,000","11,162,000","-59,897,000","11,657,000","29,417,000","6,687,000","-18,623,000","3,862,000","22,870,000","20,662,000","23,706,000","29,430,000","29,225,000","19,517,000","11,181,000","6,197,000","14,971,000","5,713,000","5,932,000","5,120,000","4,879,000","1,768,000","4,233,000","10,745,000","6,264,000","422,000","545,000","1,042,000","3,629,000","3,683,000","5,141,000","6,850,000","6,742,000","5,140,000","3,345,000","1,998,000","1,718,000","686,000","-2,786,000","200,000","16,500,000","2,100,000","900,000","300,000","3,800,000","3,900,000","4,900,000","1,700,000","3,700,000","3,600,000","4,100,000","3,300,000","2,900,000","2,800,000","3,100,000","2,400,000","2,000,000","1,900,000","2,600,000","1,300,000","1,200,000","1,000,000","-500,000","700,000","400,000","300,000","-2,600,000","-500,000","-500,000","-300,000","2,900,000","2,400,000","1,700,000","1,700,000","2,300,000","1,900,000"
		OperatingGainsLosses,"107,542,000","-1,318,000","105,235,000","-3,368,000","2,585,000","-120,413,000","-253,000","-2,321,000","-1,175,000","-1,170,000","-1,339,000","6,867,000","-2,191,000","206,000","-11,426,000","-568,000","2,041,000","30,464,000","6,198,000","-119,000","-5,995,000","-6,059,000","-573,000","-926,000","-837,000","-1,019,000","-1,719,000","-350,000","-656,000","-1,650,000","537,000","-309,000","-137,000","-102,000","-277,000","-5,486,000","48,000","-61,000","-1,781,000","128,000","704,000","-3,967,000","1,110,000","525,000","-59,577,000","-732,000","7,879,000","-544,000","39,929,000","93,000","-5,154,000","-206,000","23,196,000","-2,619,000","-6,260,000","1,713,000","193,000","453,000","-6,359,000","1,104,000","-843,000","2,187,000","-6,797,000","1,876,000","-3,443,000","3,083,000","3,023,000","2,330,000","1,785,000","2,608,000","1,076,000","1,263,000","-597,000","-189,000","128,000","-2,747,000","294,000","750,000","974,000","-385,000","168,000","230,000","346,000","331,000","197,000","154,000","140,000","63,000","200,000","223,000","8,106,000","200,000","-28,600,000","-1,800,000","-2,800,000","3,100,000","-200,000","100,000","100,000","2,800,000",,,"0","200,000","200,000","100,000",,,"-300,000","200,000",,,"0","-100,000",,,,,"100,000","100,000","100,000","100,000",,,,,"1,300,000","1,000,000"
			GainLossOnSaleOfBusiness,,"0","437,000","0","0","-120,574,000",,,,,"0","7,500,000","0","0","0","0","0","32,369,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,"-255,000","-328,000","-2,321,000","-1,186,000","-833,000","-750,000","-711,000","-671,000","-201,000","-275,000","-389,000","-155,000","90,000","-69,000","-72,000","-450,000","-83,000","-3,219,000","-386,000","-837,000","-1,019,000","-1,719,000","-350,000","-656,000","-1,650,000","537,000","-309,000","-137,000","-102,000","-277,000","-5,486,000","48,000","-61,000","-1,781,000","128,000","704,000","-3,967,000","1,110,000","525,000","-59,577,000","-732,000","383,000","-544,000","157,000","93,000","-4,855,000","162,000","-118,000","-2,522,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-12,587,000","-1,100,000","-15,336,000","-3,164,000","2,698,000","323,000","75,000","0","11,000","-337,000","-589,000","78,000","-1,520,000","407,000","-11,151,000","-179,000","2,196,000","-1,995,000","6,267,000","-47,000","-5,545,000","-5,976,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-217,000","-368,000","172,000","-97,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"32,230,000","7,679,000","8,008,000","8,309,000","8,234,000","8,981,000","29,841,000","29,604,000","29,842,000","29,460,000","30,914,000","30,919,000","31,818,000","30,627,000","30,045,000","29,460,000","28,996,000","28,509,000","28,861,000","29,200,000","28,620,000","29,478,000","30,598,000","31,852,000","33,539,000","33,606,000","38,696,000","38,909,000","39,068,000","38,342,000","38,631,000","33,234,000","22,007,000","23,040,000","20,487,000","20,751,000","20,076,000","19,671,000","18,961,000","20,232,000","19,221,000","17,333,000","16,818,000","16,226,000","27,755,000","34,040,000","37,242,000","38,238,000","36,275,000","36,267,000","38,335,000","36,497,000","38,639,000","35,855,000","40,780,000","38,312,000","41,912,000","37,889,000","35,837,000","35,947,000","30,332,000","27,728,000","24,302,000","22,273,000","19,609,000","16,832,000","14,518,000","11,067,000","10,213,000","9,692,000","9,905,000","8,763,000","7,511,000","6,372,000","6,885,000","7,268,000","7,702,000","7,553,000","5,255,000","5,792,000","5,326,000","4,704,000","4,474,000","4,300,000","4,750,000","4,729,000","2,561,000","4,279,000","4,168,000","4,055,000","4,257,000","4,200,000","4,100,000","4,200,000","4,400,000","4,200,000","3,700,000","3,900,000","3,500,000","2,900,000","2,700,000","2,500,000","2,000,000","2,400,000","2,100,000","1,800,000","1,600,000","1,600,000","1,400,000","1,500,000","1,000,000","1,300,000","1,200,000","1,100,000","1,000,000","1,300,000","1,300,000","1,300,000","1,300,000","1,000,000","1,100,000","1,100,000","1,100,000","1,000,000","900,000","900,000","600,000","600,000"
			DepreciationAndAmortization,,,"8,008,000","8,309,000","8,234,000","8,981,000","29,841,000","29,604,000","29,842,000","29,460,000","30,914,000","30,919,000","31,818,000","30,627,000","30,045,000","29,460,000","28,996,000","28,509,000","28,861,000","29,200,000","28,620,000","29,478,000","30,598,000","31,852,000","33,539,000","33,606,000","38,696,000","38,909,000","39,068,000","38,342,000",,"33,234,000","22,007,000","23,040,000",,"20,751,000","20,076,000","19,671,000",,,,,,,,,,,,,,,,,,"38,312,000","41,912,000","37,889,000","35,837,000","35,947,000","30,332,000","27,728,000","24,302,000","22,273,000","19,609,000","16,832,000","14,518,000","11,067,000","10,213,000","9,692,000","9,905,000","8,763,000","7,511,000","6,372,000","6,885,000","7,268,000","7,702,000","7,553,000","5,255,000","5,792,000","5,326,000","4,704,000","4,474,000","4,300,000","4,750,000","4,729,000","2,561,000","4,279,000","4,168,000","4,055,000","4,257,000","4,200,000","4,100,000","4,200,000","4,400,000","4,200,000","3,700,000","3,900,000","3,500,000","2,900,000","2,700,000","2,500,000","2,000,000","2,400,000","2,100,000","1,800,000","1,600,000","1,600,000","1,400,000","1,500,000","1,000,000","1,300,000","1,200,000","1,100,000","1,000,000","1,300,000","1,300,000","1,300,000","1,300,000","1,000,000","1,100,000","1,100,000","1,100,000","1,000,000","900,000","900,000","600,000","600,000"
				Depreciation,,,"8,008,000","8,309,000","8,234,000","8,981,000","29,841,000","29,604,000","29,842,000","29,460,000","30,914,000","30,919,000","31,818,000","30,627,000","30,045,000","29,460,000","28,996,000","28,509,000","28,861,000","29,200,000","28,620,000","29,478,000","30,598,000","31,852,000","33,539,000","33,606,000","38,696,000","38,909,000","39,068,000","38,342,000",,"33,234,000","22,007,000","23,040,000",,"20,751,000","20,076,000","19,671,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,834,000","7,522,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
