name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,12/31/2016
TotalAssets,"2,572,592,000","2,579,746,000","1,791,030,000","1,756,075,000","1,749,670,000","1,730,729,000","1,753,991,000","1,747,840,000","1,731,763,000","1,753,309,000","1,791,642,000","841,095,000","813,928,000","801,511,000","786,201,000","781,244,000","785,145,000","792,622,000","799,510,000","850,951,000"
	CurrentAssets,"140,177,000","180,492,000","173,489,000","136,536,000","129,086,000","117,930,000","140,815,000","136,241,000","121,449,000","137,837,000","170,015,000","143,249,000","112,876,000","98,876,000","78,054,000","69,830,000","71,161,000","74,956,000","78,039,000","105,044,000"
		CashCashEquivalentsAndShortTermInvestments,"38,550,000","69,533,000","64,740,000","31,622,000","30,386,000","23,666,000","56,284,000","55,184,000","37,130,000","37,892,000","78,963,000","23,410,000","66,261,000","52,092,000","25,139,000","15,162,000","12,296,000","13,598,000","11,535,000","16,966,000"
			CashAndCashEquivalents,"38,550,000","69,533,000","64,740,000","31,622,000","30,386,000","22,744,000","56,284,000","55,184,000","37,130,000","37,121,000","78,963,000","23,410,000","66,261,000","51,491,000","25,139,000","15,162,000","12,296,000","12,921,000","11,535,000","16,441,000"
			OtherShortTermInvestments,,,,,,"922,000",,,,"771,000",,,,"601,000",,,,"677,000",,"525,000"
		Receivables,"93,713,000","104,305,000","103,180,000","98,684,000","91,924,000","88,182,000","79,196,000","74,805,000","77,610,000","95,093,000","86,446,000","44,184,000","42,783,000","44,120,000","50,421,000","51,813,000","54,763,000","55,917,000","59,964,000","83,870,000"
			AccountsReceivable,"93,512,000","97,757,000","91,289,000","89,283,000","91,795,000","84,928,000","76,098,000","74,710,000","77,480,000","93,634,000","85,789,000","41,734,000","42,513,000","41,133,000",,,,"46,189,000",,"48,201,000"
			OtherReceivables,"201,000","6,548,000","11,891,000","9,401,000","129,000","3,254,000","3,098,000","95,000","130,000","1,459,000","657,000","2,450,000","270,000","2,987,000","50,421,000","51,813,000","54,763,000","9,728,000","59,964,000","35,669,000"
		PrepaidAssets,"7,914,000","6,654,000","5,569,000","6,230,000","6,776,000","6,082,000","5,335,000","6,252,000","6,709,000","4,852,000","4,606,000","3,738,000","3,832,000","2,664,000","2,494,000","2,855,000","4,102,000","5,441,000","6,540,000","4,208,000"
		RestrictedCash,,,,,,,,,,,,"71,917,000",,,,,,,,
	TotalNonCurrentAssets,"2,432,415,000","2,399,254,000","1,617,541,000","1,619,539,000","1,620,584,000","1,612,799,000","1,613,176,000","1,611,599,000","1,610,314,000","1,615,472,000","1,621,627,000","697,846,000","701,052,000","702,635,000","708,147,000","711,414,000","713,984,000","717,666,000","721,471,000","745,907,000"
		NetPPE,"24,760,000","25,295,000","23,686,000","24,290,000","20,699,000","18,747,000","18,741,000","16,009,000","14,028,000","13,240,000","11,317,000","9,438,000","8,874,000","8,780,000","8,632,000","8,975,000","8,776,000","8,844,000","7,802,000","9,544,000"
			GrossPPE,,"39,063,000",,,,"27,608,000",,,,"27,033,000",,,,"21,821,000",,,,"18,906,000",,"16,635,000"
				Properties,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"0"
				MachineryFurnitureEquipment,,"34,575,000",,,,"24,453,000",,,,"24,179,000",,,,"18,612,000",,,,"16,186,000",,"12,361,000"
				Leases,,"4,488,000",,,,"3,155,000",,,,"2,854,000",,,,"3,209,000",,,,"2,720,000",,"4,274,000"
			AccumulatedDepreciation,,"-13,768,000",,,,"-8,861,000",,,,"-13,793,000",,,,"-13,041,000",,,,"-10,062,000",,"-7,091,000"
		GoodwillAndOtherIntangibleAssets,"2,322,945,000","2,331,602,000","1,558,985,000","1,561,669,000","1,564,839,000","1,567,391,000","1,570,513,000","1,573,635,000","1,577,055,000","1,580,221,000","1,589,876,000","662,486,000","667,137,000","671,787,000","676,439,000","681,238,000","686,433,000","692,108,000","697,784,000","718,457,000"
			Goodwill,"981,805,000","981,805,000","404,750,000","404,750,000","404,750,000","404,750,000","404,750,000","404,750,000","404,750,000","404,750,000","391,515,000","284,108,000","284,108,000","284,108,000","284,108,000","284,108,000","284,108,000","284,108,000","284,108,000","284,108,000"
			OtherIntangibleAssets,"1,341,140,000","1,349,797,000","1,154,235,000","1,156,919,000","1,160,089,000","1,162,641,000","1,165,763,000","1,168,885,000","1,172,305,000","1,175,471,000","1,198,361,000","378,378,000","383,029,000","387,679,000","392,331,000","397,130,000","402,325,000","408,000,000","413,676,000","434,349,000"
		InvestmentsAndAdvances,"32,388,000","912,000","29,801,000","29,566,000","26,931,000","922,000","19,617,000","18,507,000","15,631,000","18,305,000","16,993,000","16,825,000","15,742,000","12,719,000","14,557,000","13,466,000","12,243,000","10,659,000","10,188,000","5,638,000"
			LongTermEquityInvestment,,,,,,"922,000",,,,,,,,,,,,,,
				InvestmentsInOtherVenturesUnderEquityMethod,,,,,,"922,000",,,,,,,,,,,,,,
			InvestmentinFinancialAssets,,,,,,,,,,"18,305,000",,,,"12,719,000",,,,"10,659,000",,"5,638,000"
				TradingSecurities,,,,,,,,,,"18,305,000",,,,"12,719,000",,,,"10,659,000",,"5,638,000"
			OtherInvestments,,"912,000",,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,,"30,812,000",,,,"22,571,000",,,,,,,,,,,,"0","0","7,452,000"
			NonCurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,"0","0","7,452,000"
		OtherNonCurrentAssets,"52,322,000","10,633,000","5,069,000","4,014,000","8,115,000","4,090,000","4,305,000","3,448,000","3,600,000","3,706,000","3,441,000","9,097,000","9,299,000","9,349,000","8,519,000","7,735,000","6,532,000","6,055,000","5,697,000","4,816,000"
TotalLiabilitiesNetMinorityInterest,"1,586,318,000","1,649,819,000","923,363,000","939,919,000","984,294,000","1,023,188,000","1,094,434,000","1,133,000,000","1,150,683,000","1,215,438,000","1,284,957,000","354,144,000","343,763,000","345,963,000","344,307,000","360,505,000","386,319,000","561,439,000","580,255,000","519,953,000"
	CurrentLiabilities,"353,140,000","371,482,000","157,158,000","151,853,000","151,428,000","134,644,000","176,813,000","196,765,000","192,311,000","207,903,000","204,878,000","35,896,000","30,331,000","26,188,000","22,642,000","27,489,000","35,393,000","31,852,000","44,708,000","48,514,000"
		PayablesAndAccruedExpenses,"353,140,000","371,482,000","157,158,000","151,853,000","151,428,000","134,644,000","176,813,000","196,765,000","192,311,000","207,903,000","204,878,000","35,896,000","30,331,000","26,188,000","22,642,000","27,489,000","35,393,000","31,852,000","44,708,000","48,514,000"
			Payables,"353,140,000","371,482,000","157,158,000","151,853,000","151,428,000","93,858,000","176,813,000","196,765,000","192,311,000","118,971,000","204,878,000","35,896,000","30,331,000","6,445,000","22,642,000","27,489,000","35,393,000","10,183,000","44,708,000","20,979,000"
				AccountsPayable,"47,587,000","62,102,000","54,058,000","51,153,000","56,428,000","1,358,000","56,313,000","78,265,000","79,111,000","271,000","102,078,000","29,879,000","24,410,000","607,000","16,854,000","17,356,000","25,396,000","327,000","22,101,000","3,712,000"
				DividendsPayable,,,,,,,,,,,,,,,,,,,"12,622,000",
				OtherPayable,"305,553,000","309,380,000","103,100,000","100,700,000","95,000,000","92,500,000","120,500,000","118,500,000","113,200,000","118,700,000","102,800,000","6,017,000","5,921,000","5,838,000","5,788,000","10,133,000","9,997,000","9,856,000","9,985,000","17,267,000"
			CurrentAccruedExpenses,,,,,,"40,786,000",,,,"88,932,000",,,,"19,743,000",,,,"21,669,000",,"27,535,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,,,,,,,,,,"54,842,000","44,629,000","21,559,000","19,901,000","30,228,000","30,326,000","23,771,000","21,031,000","29,305,000","22,500,000","40,539,000"
