name,05/31/2022,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001,08/31/2001,05/31/2001,02/28/2001,11/30/2000,08/31/2000,05/31/2000,02/29/2000,11/30/1999,08/31/1999,05/31/1999,02/28/1999,11/30/1998,08/31/1998,05/31/1998,02/28/1998,11/30/1997,08/31/1997,05/31/1997,02/28/1997,11/30/1996,08/31/1996,05/31/1996,02/29/1996,11/30/1995,08/31/1995,05/31/1995,02/28/1995,11/30/1994,08/31/1994,05/31/1994,02/28/1994,11/30/1993,08/31/1993,05/31/1993,02/28/1993,11/30/1992,08/31/1992,05/31/1992,02/29/1992,11/30/1991,08/31/1991,05/31/1991,02/28/1991,11/30/1990,08/31/1990,05/31/1990,02/28/1990,11/30/1989,08/31/1989,05/31/1989,02/28/1989,11/30/1988,08/31/1988,08/31/1987,08/31/1986,08/31/1985
			RawMaterials,,"26,830,000","24,203,000","24,846,000","22,055,000","19,791,000","18,334,000","20,266,000","18,287,000","18,102,000","20,904,000","23,000,000","20,362,000","17,006,000","16,419,000","18,508,000","14,978,000","12,953,000","14,899,000","18,468,000","16,109,000","14,603,000","14,815,000","16,826,000","15,772,000","13,958,000","14,884,000","17,658,000","21,404,000","20,671,000","19,208,000","19,053,000","15,985,000","14,221,000","14,137,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			WorkInProcess,,"3,252,000","2,422,000","4,703,000","3,730,000","3,286,000","1,120,000","2,730,000","2,908,000","2,599,000","3,101,000","2,864,000","2,518,000","3,669,000","3,707,000","3,271,000","3,995,000","3,227,000","3,605,000","4,159,000","3,398,000","3,257,000","2,954,000","2,275,000","3,103,000","3,572,000","2,918,000","2,415,000","3,286,000","3,019,000","3,186,000","3,759,000","3,549,000","3,449,000","3,475,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			FinishedGoods,"209,055,000","327,443,000","321,259,000","295,573,000","262,786,000","243,034,000","240,171,000","237,551,000","245,040,000","253,465,000","260,678,000","259,370,000","253,492,000","254,165,000","249,664,000","242,789,000","233,276,000","220,998,000","214,822,000","207,781,000","199,905,000","198,236,000","200,032,000","197,891,000","197,751,000","194,641,000","200,543,000","200,760,000","203,742,000","205,966,000","203,836,000","202,495,000","191,665,000","188,746,000","187,393,000","132,630,000","133,741,000","129,697,000","136,219,000","138,284,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherInventories,"151,741,000","160,835,000","158,111,000","143,591,000","120,337,000","110,701,000","104,525,000","106,269,000","104,503,000","94,875,000","99,794,000","100,916,000","94,921,000","95,706,000",,"90,176,000","87,978,000","84,509,000","81,972,000","79,068,000","72,112,000","71,493,000","73,164,000","78,887,000","76,347,000","75,566,000","76,856,000","80,449,000","83,897,000","84,817,000","77,963,000","78,858,000","69,974,000","69,385,000","66,038,000","74,351,000","72,355,000","74,386,000","75,309,000","75,420,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,"56,331,000","58,218,000","52,125,000","57,471,000","46,435,000","43,722,000","44,273,000","43,033,000","37,914,000","44,455,000","43,302,000","39,759,000","32,688,000","35,771,000","50,432,000","48,923,000","32,852,000","34,352,000","35,210,000","46,892,000","27,635,000","27,051,000","23,917,000","29,831,000","12,993,000","13,327,000","14,670,000","12,382,000","16,523,000","15,979,000","13,067,000","6,349,000","9,727,000","9,119,000","9,734,000","7,618,000","9,565,000","8,143,000","8,611,000","5,741,000","15,738,000","14,110,000","14,138,000","15,005,000","21,645,000","28,659,000","17,242,000","17,256,000","29,065,000","29,104,000","4,989,000","27,790,000","20,569,000","20,256,000","5,255,000","17,151,000","15,871,000","17,700,000","16,633,000","15,206,000","12,968,000","2,841,000","4,758,000","1,672,000","12,803,000","2,732,000","3,777,000","1,492,000","6,780,000","7,772,000","4,620,000","1,857,000","1,024,000","1,385,000","515,000","407,000","386,000","307,000","586,000","315,000","241,000","261,000","295,000","275,000","296,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,"10,418,000","424,000","2,460,000","198,000","204,000","5,336,000","3,188,000","0","13,342,000","474,000","0","0","7,079,000","12,813,000","12,785,000","12,721,000","12,785,000",,,,,,,,,,,"25,017,000",,,,"16,246,000",,,,,,,"10,964,000","10,038,000","10,046,000",,"10,652,000","9,080,000",,,,,,"7,154,000","1,734,000","5,591,000","5,591,000","2,156,000","5,641,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,"10,418,000","424,000","2,460,000","198,000","204,000","5,336,000","3,188,000","0","13,342,000","474,000","0","0","7,079,000","12,813,000","12,785,000","12,721,000","12,785,000",,,,,,,,,,,"25,017,000",,,,"16,246,000",,,,,,,"10,964,000","10,038,000","10,046,000",,"10,652,000","9,080,000",,,,,,"7,154,000","1,734,000","5,591,000","5,591,000","2,156,000","5,641,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,,,,,,,,"154,278,000","161,732,000","179,291,000","184,889,000","184,318,000","181,451,000","179,134,000","178,636,000","174,392,000","164,271,000","152,669,000","151,354,000","151,340,000","147,300,000","144,603,000","144,637,000","138,105,000","140,279,000","136,605,000","141,489,000","140,384,000","144,535,000","144,839,000","148,267,000","146,449,000","141,225,000","137,031,000","138,967,000","132,630,000","133,741,000","129,697,000","136,219,000","138,284,000","140,327,000","136,523,000","133,281,000","126,536,000","114,136,000","98,510,000","92,205,000","86,633,000","82,897,000","75,318,000","75,820,000","73,063,000","76,447,000","80,437,000","88,765,000","92,315,000","91,666,000","90,743,000","93,003,000","86,129,000","84,174,000","82,198,000","85,561,000","85,875,000","83,628,000","76,796,000","73,369,000","78,791,000","70,324,000","65,774,000","67,488,000","63,297,000","63,349,000","63,596,000","68,744,000","60,490,000","59,939,000","56,870,000","59,401,000","56,047,000","52,905,000","51,445,000","54,972,000","56,677,000","61,885,000","61,117,000","61,250,000","59,555,000","58,577,000","57,785,000","57,800,000","55,800,000","57,600,000","52,700,000","47,600,000","43,200,000","41,100,000","40,600,000","40,800,000","40,100,000","39,500,000","38,900,000","39,900,000","38,100,000","35,700,000","33,700,000",,"32,800,000",,"300,000","200,000","30,800,000","30,200,000","28,100,000","28,800,000","26,700,000","26,000,000","24,600,000","24,700,000","23,900,000","23,900,000","24,200,000","24,800,000","24,700,000","25,200,000","25,300,000","25,500,000","23,200,000","22,900,000","20,000,000","20,500,000","18,600,000","20,000,000","18,700,000","20,100,000","200,000","500,000","200,000","200,000"
	TotalNonCurrentAssets,"1,341,942,000","1,333,729,000","1,285,867,000","1,277,273,000","1,265,774,000","1,252,294,000","1,247,336,000","1,229,693,000","1,227,761,000","1,229,040,000","1,221,128,000","1,133,529,000","1,119,446,000","1,105,010,000","1,097,745,000","1,058,586,000","1,059,018,000","1,036,230,000","1,002,110,000","1,004,902,000","1,046,961,000","1,028,301,000","1,020,544,000","924,393,000","895,092,000","872,937,000","872,016,000","871,414,000","873,774,000","851,181,000","841,374,000","834,871,000","834,799,000","821,866,000","819,430,000","812,051,000","783,547,000","770,363,000","761,833,000","752,854,000","753,096,000","746,592,000","740,500,000","746,330,000","736,495,000","731,589,000","715,000,000","714,271,000","713,477,000","716,642,000","718,820,000","706,411,000","710,865,000","702,963,000","699,012,000","697,562,000","682,250,000","668,327,000","659,215,000","624,243,000","628,293,000","607,826,000","602,995,000","600,789,000","586,829,000","568,077,000","558,935,000","553,800,000","549,297,000","546,959,000","533,245,000","530,701,000","531,069,000","538,167,000","537,967,000","358,750,000","356,654,000","355,787,000","355,995,000","354,746,000","351,216,000","351,310,000","348,467,000","351,415,000","350,491,000","352,617,000","351,989,000","351,845,000","351,652,000","339,325,000","336,000,000","327,900,000","316,700,000","308,900,000","269,000,000","261,300,000","259,400,000","250,200,000","244,200,000","236,500,000","230,700,000","218,300,000","210,300,000","207,200,000","202,800,000","198,500,000","187,100,000","184,100,000","180,400,000","178,700,000","176,400,000","169,900,000","164,600,000","160,000,000","159,200,000","152,400,000","150,300,000","147,100,000","147,800,000","150,100,000","149,900,000","148,000,000","148,800,000","139,500,000","138,900,000","136,200,000","133,300,000","130,800,000","126,100,000","121,300,000","118,800,000","117,900,000","118,800,000","117,400,000","117,500,000","119,000,000","121,300,000","47,300,000","42,700,000"
		NetPPE,"690,218,000","679,161,000","667,844,000","659,834,000","647,086,000","640,347,000","640,752,000","625,180,000","628,969,000","629,179,000","622,133,000","574,509,000","565,715,000","554,187,000","558,442,000","559,576,000","560,018,000","543,342,000","524,130,000","525,115,000","568,235,000","551,053,000","541,300,000","539,818,000","532,881,000","521,324,000","516,457,000","513,853,000","515,481,000","495,170,000","485,829,000","486,282,000","485,655,000","470,808,000","466,007,000","457,686,000","448,523,000","433,176,000","423,073,000","412,204,000","410,048,000","400,709,000","392,202,000","395,067,000","394,341,000","389,223,000","381,369,000","381,199,000","381,050,000","385,794,000","387,389,000","382,770,000","385,932,000","377,064,000","371,815,000","368,561,000","355,816,000","351,614,000","341,089,000","334,067,000","333,431,000","324,849,000","320,817,000","318,903,000","311,786,000","309,643,000","306,636,000","304,951,000","303,154,000","299,796,000","290,321,000","288,790,000","291,700,000","294,012,000","295,663,000","274,582,000","273,100,000","271,048,000","270,394,000","268,996,000","268,282,000","267,487,000","263,521,000","265,693,000","265,603,000","265,705,000","262,695,000","262,333,000","260,548,000","251,844,000","247,300,000","242,200,000","237,100,000","228,400,000","212,800,000","211,000,000","209,400,000","201,900,000","195,500,000","188,300,000","182,000,000","172,300,000","164,700,000","160,100,000","159,300,000","154,500,000","150,200,000","148,100,000","143,500,000","141,400,000","140,300,000","138,000,000","135,400,000","130,800,000","130,000,000","125,800,000","122,900,000","119,300,000","119,300,000","120,700,000","120,000,000","117,600,000","117,400,000","113,500,000","112,100,000","108,700,000","105,000,000","102,600,000","98,300,000","93,800,000","90,900,000","89,400,000","89,500,000","87,400,000","86,700,000","87,400,000","86,100,000","40,900,000","36,700,000"
