name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016
TotalRevenue,"121,340,000","33,908,000","34,657,000","26,677,000","26,098,000","12,241,000","20,577,000","17,661,000","7,806,000","10,496,000","19,447,000","13,167,000","2,311,000","0","0","0","0","0","0","0","0","0","0"
	OperatingRevenue,"121,340,000","33,908,000","34,657,000","26,677,000","26,098,000","12,241,000","20,577,000","17,661,000","7,806,000","10,496,000","19,447,000","13,167,000","2,311,000","0","0","0","0","0","0","0","0","0","0"
CostOfRevenue,"51,834,000","13,208,000","15,834,000","11,490,000","11,302,000","4,908,000","7,278,000","4,854,000","1,948,000","4,219,000","3,636,000","3,718,000","660,000",,,,,,,,,,
GrossProfit,"69,506,000","20,700,000","18,823,000","15,187,000","14,796,000","7,333,000","13,299,000","12,807,000","5,858,000","6,277,000","15,811,000","9,449,000","1,651,000",,,,,,,,,,
OperatingExpense,"131,047,000","34,832,000","34,577,000","32,909,000","28,717,000","23,551,000","29,989,000","24,038,000","19,356,000","33,556,000","32,171,000","32,792,000","36,379,000","20,356,000","13,408,000","9,189,000","7,900,000","5,145,000","2,858,000","2,616,000","2,275,000","3,977,000","3,705,000"
	SellingGeneralAndAdministration,"124,845,000","33,442,000","33,234,000","31,685,000","26,472,000","20,677,000","27,394,000","21,944,000","17,553,000","31,300,000","30,285,000","30,897,000","34,892,000","17,519,000","12,222,000","7,209,000","6,248,000","3,467,000","1,650,000","1,151,000","803,000","1,215,000","922,000"
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,"17,519,000","12,222,000","7,209,000","6,248,000","3,467,000","1,650,000","1,151,000","803,000","1,215,000","922,000"
			OtherGandA,,,,,,,,,,,,,,"17,519,000","12,222,000","7,209,000","6,248,000","3,467,000","1,650,000","1,151,000","803,000","1,215,000","922,000"
	ResearchAndDevelopment,"1,691,000","468,000","423,000","301,000","499,000","841,000","719,000","350,000","145,000","507,000","418,000","693,000","509,000","2,353,000","1,184,000","1,977,000","1,648,000","1,678,000","1,208,000","1,465,000","1,365,000","2,651,000","2,681,000"
	DepreciationAmortizationDepletionIncomeStatement,"4,511,000","922,000","920,000","923,000","1,746,000","2,033,000","1,876,000","1,744,000","1,658,000","1,749,000","1,468,000","1,202,000","978,000","484,000","2,000","3,000","4,000",,"0","0","107,000","111,000","102,000"
		DepreciationAndAmortizationInIncomeStatement,"4,511,000","922,000","920,000","923,000","1,746,000","2,033,000","1,876,000","1,744,000","1,658,000","1,749,000","1,468,000","1,202,000","978,000","484,000","2,000","3,000","4,000",,"0","0","107,000","111,000","102,000"
OperatingIncome,"-61,541,000","-14,132,000","-15,754,000","-17,722,000","-13,921,000","-16,218,000","-16,690,000","-11,231,000","-13,498,000","-27,279,000","-16,360,000","-23,343,000","-34,728,000","-20,356,000","-13,408,000","-9,189,000","-7,900,000","-5,145,000","-2,858,000","-2,616,000","-2,275,000","-3,977,000","-3,705,000"
NetNonOperatingInterestIncomeExpense,"-2,798,000","-2,048,000","-140,000","-311,000","-299,000","-645,000","-2,818,000","-2,726,000","-2,240,000","-2,084,000","-2,093,000","-1,995,000","-1,797,000","-229,000","90,000","-322,000","-321,000","-107,000",,"-2,000","-1,000","-1,000",
	InterestIncomeNonOperating,,,"0","0","1,000","0","5,000","32,000","224,000","374,000","375,000","460,000","615,000","389,000","203,000",,,,,,,,
	InterestExpenseNonOperating,"2,799,000","2,048,000","140,000","311,000","300,000","645,000","2,823,000","2,758,000","2,464,000","2,458,000","2,468,000","2,455,000","2,412,000","618,000","113,000",,,,,,,,
	TotalOtherFinanceCost,,,,,,,,,,,,,,,,"322,000","321,000","107,000",,"2,000","1,000","1,000",
OtherIncomeExpense,"-6,345,000","-1,323,000","-2,241,000","-1,400,000","-1,381,000","23,264,000","-91,336,000","2,471,000","-5,389,000","9,884,000","3,817,000","-1,795,000","-1,269,000","-4,913,000","900,000","-2,300,000","-8,200,000","-900,000","-1,000",,,,"-1,000"
	SpecialIncomeCharges,"0","0","0","0","0","24,532,000","-83,421,000","0","-2,956,000","9,884,000","3,817,000","-1,795,000","-1,269,000","-4,913,000","900,000","-2,300,000","-8,200,000","-900,000",,"0",,,
		RestructuringAndMergernAcquisition,,,"0","0","0",,"0","0","2,956,000","-9,884,000","-3,817,000","1,795,000","1,269,000","4,913,000","-900,000","2,300,000","8,200,000","900,000",,"0",,,
		OtherSpecialCharges,,,"0",,,"-24,532,000","83,421,000",,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"-6,345,000","-1,323,000","-2,241,000","-1,400,000","-1,381,000","-1,268,000","-7,915,000","2,471,000","-2,433,000","9,884,000","3,817,000","-1,795,000","-1,269,000","-4,913,000","900,000","-2,300,000","-8,200,000","-900,000","-1,000",,,,"-1,000"
PretaxIncome,"-70,684,000","-17,503,000","-18,135,000","-19,433,000","-15,601,000","6,401,000","-110,844,000","-11,486,000","-21,127,000","-19,479,000","-14,636,000","-27,133,000","-37,794,000","-25,498,000","-12,418,000","-11,811,000","-16,421,000","-6,152,000","-2,859,000","-2,618,000","-2,276,000","-3,978,000","-3,706,000"
TaxProvision,"28,000","-2,000","42,000","0","0","0","-150,000","-27,000","-2,000","256,000","-128,000","-149,000","-227,000","-14,523,000","24,000","19,000","12,000","10,000","-7,307,000","16,000","20,000","20,000","37,000"
NetIncomeCommonStockholders,"-70,609,000","-17,398,000","-18,177,000","-19,433,000","-15,601,000","6,401,000","-110,694,000","-11,459,000","-21,125,000","-19,735,000","-14,508,000","-26,984,000","-37,567,000","-10,975,000","-12,442,000","-11,830,000","-16,433,000","-6,162,000","4,448,000","-2,634,000","-2,296,000","-3,998,000","-3,743,000"
	NetIncome,"-70,609,000","-17,398,000","-18,177,000","-19,433,000","-15,601,000","6,401,000","-110,694,000","-11,459,000","-21,125,000","-19,735,000","-14,508,000","-26,984,000","-37,567,000","-10,975,000","-12,442,000","-11,830,000","-16,433,000","-6,162,000","4,448,000","-2,634,000","-2,296,000","-3,998,000","-3,743,000"
		NetIncomeIncludingNoncontrollingInterests,"-70,712,000","-17,501,000","-18,177,000","-19,433,000","-15,601,000","6,401,000","-110,694,000","-11,459,000","-21,125,000","-19,735,000","-14,508,000","-26,984,000","-37,567,000","-10,975,000","-12,442,000","-11,830,000","-16,433,000","-6,162,000","4,448,000","-2,634,000","-2,296,000","-3,998,000","-3,743,000"
			NetIncomeContinuousOperations,"-70,712,000","-17,501,000","-18,177,000","-19,433,000","-15,601,000","6,401,000","-110,694,000","-11,459,000","-21,125,000","-19,735,000","-14,508,000","-26,984,000","-37,567,000","-10,975,000","-12,442,000","-11,830,000","-16,433,000","-6,162,000","4,448,000","-2,634,000","-2,296,000","-3,998,000","-3,743,000"
AverageDilutionEarnings,,,,,,"273,000",,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"-70,882,000","-17,398,000","-18,177,000","-19,433,000","-15,601,000","6,674,000","-110,694,000","-11,459,000","-21,125,000","-19,735,000","-14,508,000","-26,984,000","-37,567,000","-10,975,000","-12,442,000","-11,830,000","-16,433,000","-6,162,000","4,448,000","-2,634,000","-2,296,000","-3,998,000","-3,743,000"
BasicEPS,,"-0.31","-0.33","-0.35","-0.31","0.17","-3.28","-0.34","-0.63","-0.59","-0.47","-0.98","-1.37","-0.4","-0.46","-0.48","-0.69","-0.3",,"-0.142","-0.123","-0.215",
DilutedEPS,,"-0.31","-0.33","-0.35","-0.31","0.16","-3.28","-0.34","-0.63","-0.59","-0.47","-0.98","-1.37","-0.4","-0.46","-0.48","-0.69","-0.3",,"-0.142","-0.123","-0.215",
BasicAverageShares,,"55,731,217","55,574,000","55,007,132","51,150,063","37,100,897","33,749,000","33,748,690","33,732,754","33,720,436","30,713,000","27,470,558","27,408,774","27,330,174","27,325,000","24,768,581","23,687,866","20,226,460",,"18,592,875","18,592,875","18,592,875",
DilutedAverageShares,,"55,731,217","55,574,000","55,007,132","51,150,063","41,104,627","33,749,000","33,748,690","33,732,754","33,720,436","30,713,000","27,470,558","27,408,774","27,330,174","27,325,000","24,768,581","23,687,866","20,226,460",,"18,592,875","18,592,875","18,592,875",
TotalOperatingIncomeAsReported,"-67,879,000","-15,448,000","-17,995,000","-19,122,000","-15,302,000","8,014,000","-108,026,000","-8,760,000","-18,887,000","-17,395,000","-12,543,000","-25,138,000","-35,997,000","-25,269,000","-12,508,000","-11,489,000","-16,100,000","-6,045,000","-2,858,000","-2,616,000","-2,275,000","-3,977,000","-3,705,000"
TotalExpenses,"182,881,000","48,040,000","50,411,000","44,399,000","40,019,000","28,459,000","37,267,000","28,892,000","21,304,000","37,775,000","35,807,000","36,510,000","37,039,000","20,356,000","13,408,000","9,189,000","7,900,000","5,145,000","2,858,000","2,616,000","2,275,000","3,977,000","3,705,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-70,609,000","-17,398,000","-18,177,000","-19,433,000","-15,601,000","6,401,000","-110,694,000","-11,459,000","-21,125,000","-19,735,000","-14,508,000","-26,984,000","-37,567,000","-10,975,000","-12,442,000","-11,830,000","-16,433,000","-6,162,000","4,448,000","-2,634,000","-2,296,000","-3,998,000","-3,743,000"
NormalizedIncome,"-70,609,000","-17,398,000","-18,177,000","-19,433,000","-15,601,000","-18,131,000","-27,385,889.737","-11,459,000","-18,169,279.831","-19,735,000","-14,508,000","-26,984,000","-37,567,000","-10,975,000","-12,442,000","-11,830,000","-16,433,000","-6,162,000","4,448,000","-2,634,000","-2,296,000","-3,998,000","-3,743,000"
InterestIncome,,,"0","0","1,000","0","5,000","32,000","224,000","374,000","375,000","460,000","615,000","389,000","203,000",,,,,,,,
InterestExpense,"2,799,000","2,048,000","140,000","311,000","300,000","645,000","2,823,000","2,758,000","2,464,000","2,458,000","2,468,000","2,455,000","2,412,000","618,000","113,000",,,,,,,,
NetInterestIncome,"-2,798,000","-2,048,000","-140,000","-311,000","-299,000","-645,000","-2,818,000","-2,726,000","-2,240,000","-2,084,000","-2,093,000","-1,995,000","-1,797,000","-229,000","90,000","-322,000","-321,000","-107,000",,"-2,000","-1,000","-1,000",
EBIT,"-67,885,000","-15,455,000","-17,995,000","-19,122,000","-15,301,000","7,046,000","-108,021,000","-8,728,000","-18,663,000","-17,021,000","-12,168,000","-24,678,000","-35,382,000","-24,880,000","-23,705,000","-9,189,000","-7,900,000","-5,145,000","-2,858,000","-2,616,000","-2,275,000","-3,977,000","-3,705,000"
EBITDA,"-62,663,000"
ReconciledCostOfRevenue,"51,123,000","13,023,000","15,654,000","11,314,000","11,132,000","4,742,000","7,114,000","4,694,000","1,787,000","4,050,000","3,465,000","3,539,000","356,000",,,,,,,,,,
ReconciledDepreciation,"5,222,000","1,107,000","1,100,000","1,099,000","1,916,000","2,199,000","2,040,000","1,904,000","1,819,000","1,918,000","1,639,000","1,381,000","1,282,000","703,000","2,000","3,000","4,000",,"0","0","107,000","111,000","102,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-70,609,000","-17,398,000","-18,177,000","-19,433,000","-15,601,000","6,401,000","-110,694,000","-11,459,000","-21,125,000","-19,735,000","-14,508,000","-26,984,000","-37,567,000","-10,975,000","-12,442,000","-11,830,000","-16,433,000","-6,162,000","4,448,000","-2,634,000","-2,296,000","-3,998,000","-3,743,000"
TotalUnusualItemsExcludingGoodwill,"0","0","0","0","0","24,532,000","-83,421,000","0","-2,956,000","9,884,000","3,817,000","-1,795,000","-1,269,000","-4,913,000","900,000","-2,300,000","-8,200,000","-900,000",,"0",,,
TotalUnusualItems,"0","0","0","0","0","24,532,000","-83,421,000","0","-2,956,000","9,884,000","3,817,000","-1,795,000","-1,269,000","-4,913,000","900,000","-2,300,000","-8,200,000","-900,000",,"0",,,
NormalizedEBITDA,"-62,663,000","-14,348,000","-16,895,000","-18,023,000","-13,385,000","-15,287,000","-22,560,000","-6,824,000","-13,888,000","-15,103,000","-10,529,000","-23,297,000","-34,100,000","-24,177,000","-23,703,000","-9,186,000","-7,896,000","-5,145,000","-2,858,000","-2,616,000","-2,168,000","-3,866,000","-3,603,000"
TaxRateForCalcs,"0.4","0","0.27","0","0","0","0.001","0.002","0","0.27","0.009","0.005","0.006","0.27","0.27","0.27","0.27","0.27","0.4","0.4","0.4","0.4","0.4"
TaxEffectOfUnusualItems,"0","0","0","0","0","0","-112,889.737","0","-279.831","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
