name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997
TotalAssets,"16,136,689,000","16,046,236,000","15,677,496,000","15,311,005,000","14,921,533,000","14,029,467,000","13,591,774,000","13,324,522,000","12,506,409,000","12,112,894,000","11,966,035,000","12,227,016,000","12,027,703,000","11,871,952,000","11,845,501,000","11,988,995,000","12,070,612,000","12,184,698,000","12,173,651,000","12,035,222,000","11,965,858,000","11,804,041,000","11,937,413,000","11,776,640,000","11,878,689,000","11,772,869,000","12,052,217,000","12,074,129,000","12,374,402,000","12,196,520,000","12,079,187,000","12,436,467,000","12,144,185,000","12,079,477,000","12,076,658,000","11,596,913,000","11,520,172,000","11,882,673,000","12,116,740,000","11,555,996,000","11,811,661,000","11,739,649,000","11,593,856,000","11,820,343,000","12,195,543,000","11,943,469,000","12,114,398,000","11,305,690,000","10,783,666,000","11,762,543,000","11,685,584,000","11,451,499,000","12,128,052,000","12,439,341,000","11,544,596,000","11,010,549,000","11,016,786,000","11,167,161,000","10,616,870,000","10,366,738,000","11,226,493,000","10,911,454,000","10,690,326,000","10,649,121,000","10,482,202,000","10,391,853,000","10,310,436,000","10,273,970,000","10,277,394,000","9,917,951,000","9,440,641,000","9,301,205,000","6,587,572,000","6,578,310,000","7,511,624,000","6,771,980,000","6,386,499,000","6,495,635,000","6,549,743,000","6,651,033,000","6,141,333,000","6,381,401,000","5,747,758,000","5,811,952,000","6,110,502,000","5,860,714,000","5,844,963,000","5,661,965,000","5,465,243,000","5,421,800,000","5,274,900,000","5,106,100,000","4,806,700,000","4,987,900,000","4,853,200,000","4,641,200,000","4,500,100,000","4,517,800,000"
TotalLiabilitiesNetMinorityInterest,"13,989,010,000","13,737,755,000","13,383,124,000","13,025,335,000","12,728,928,000","11,851,469,000","11,450,719,000","11,182,662,000","10,363,898,000","9,994,841,000","9,898,111,000","10,166,697,000","10,042,999,000","9,932,370,000","9,986,656,000","10,109,265,000","10,239,354,000","10,345,718,000","10,358,467,000","10,238,530,000","10,217,299,000","10,079,374,000","10,190,129,000","10,036,016,000","10,178,392,000","10,107,366,000","10,394,580,000","10,445,882,000","10,756,061,000","10,615,862,000","10,541,577,000","10,900,352,000","10,678,269,000","10,655,069,000","10,661,307,000","10,199,619,000","10,085,298,000","10,446,965,000","10,511,399,000","9,919,815,000","10,204,370,000","10,139,484,000","10,010,804,000","10,258,280,000","10,715,181,000","10,484,252,000","10,642,122,000","9,848,603,000","9,371,632,000","10,355,073,000","10,307,236,000","10,106,520,000","10,808,148,000","11,182,044,000","10,549,523,000","10,021,105,000","10,049,423,000","10,231,256,000","9,707,150,000","9,492,501,000","10,345,337,000","10,069,398,000","9,865,465,000","9,864,415,000","9,679,970,000","9,598,986,000","9,503,641,000","9,493,831,000","9,517,436,000","9,164,861,000","8,707,153,000","8,633,823,000","5,976,975,000","6,000,927,000","6,965,304,000","6,203,694,000","5,836,742,000","5,948,371,000","6,024,109,000","6,132,902,000","5,650,610,000","5,884,373,000","5,263,006,000","5,334,523,000","5,646,162,000","5,443,822,000","5,489,590,000","5,323,803,000","5,116,419,000","5,068,400,000","4,930,500,000","4,743,800,000","4,429,300,000","4,617,600,000","4,495,500,000","4,283,400,000","4,146,400,000","4,176,600,000"
TotalEquityGrossMinorityInterest,"2,147,679,000","2,308,481,000","2,294,372,000","2,285,670,000","2,192,605,000","2,177,998,000","2,141,055,000","2,141,860,000","2,142,511,000","2,118,053,000","2,067,924,000","2,060,319,000","1,984,704,000","1,939,582,000","1,858,845,000","1,879,730,000","1,831,258,000","1,838,980,000","1,815,184,000","1,796,692,000","1,748,559,000","1,724,667,000","1,747,284,000","1,740,624,000","1,700,297,000","1,665,503,000","1,657,637,000","1,628,247,000","1,618,341,000","1,580,658,000","1,537,610,000","1,536,115,000","1,465,916,000","1,424,408,000","1,415,351,000","1,397,294,000","1,434,874,000","1,435,708,000","1,605,341,000","1,636,181,000","1,607,291,000","1,600,165,000","1,583,052,000","1,562,063,000","1,480,362,000","1,459,217,000","1,472,276,000","1,457,087,000","1,412,034,000","1,407,470,000","1,378,348,000","1,344,979,000","1,319,904,000","1,257,297,000","995,073,000","989,444,000","967,363,000","935,905,000","909,720,000","874,237,000","881,156,000","842,056,000","824,861,000","784,706,000","802,232,000","792,867,000","806,795,000","780,139,000","759,958,000","753,090,000","733,488,000","667,382,000","610,597,000","577,383,000","546,320,000","568,286,000","549,757,000","547,264,000","525,634,000","518,131,000","490,723,000","497,028,000","484,752,000","477,429,000","464,340,000","416,892,000","355,373,000","338,162,000","348,824,000","353,400,000","344,400,000","362,300,000","377,400,000","370,300,000","357,700,000","357,800,000","353,700,000","341,200,000"
	StockholdersEquity,"2,147,679,000","2,308,481,000","2,294,372,000","2,285,670,000","2,192,605,000","2,177,998,000","2,141,055,000","2,141,860,000","2,142,511,000","2,118,053,000","2,067,924,000","2,060,319,000","1,984,704,000","1,939,582,000","1,858,845,000","1,879,730,000","1,831,258,000","1,838,980,000","1,815,184,000","1,796,692,000","1,748,559,000","1,724,667,000","1,747,284,000","1,740,624,000","1,700,297,000","1,665,503,000","1,657,637,000","1,628,247,000","1,618,341,000","1,580,658,000","1,537,610,000","1,536,115,000","1,465,916,000","1,424,408,000","1,415,351,000","1,397,294,000","1,434,874,000","1,435,708,000","1,605,341,000","1,636,181,000","1,607,291,000","1,600,165,000","1,583,052,000","1,562,063,000","1,480,362,000","1,459,217,000","1,472,276,000","1,457,087,000","1,412,034,000","1,407,470,000","1,378,348,000","1,344,979,000","1,319,904,000","1,257,297,000","995,073,000","989,444,000","967,363,000","935,905,000","909,720,000","874,237,000","881,156,000","842,056,000","824,861,000","784,706,000","802,232,000","792,867,000","806,795,000","780,139,000","759,958,000","753,090,000","733,488,000","667,382,000","610,597,000","577,383,000","546,320,000","568,286,000","549,757,000","547,264,000","525,634,000","518,131,000","490,723,000","497,028,000","484,752,000","477,429,000","464,340,000","416,892,000","355,373,000","338,162,000","348,824,000","353,400,000","344,400,000","362,300,000","377,400,000","370,300,000","357,700,000","357,800,000","353,700,000","341,200,000"
		CapitalStock,"96,357,000","96,351,000","96,343,000","96,332,000","96,312,000","96,241,000","96,234,000","96,229,000","96,226,000","96,215,000","96,192,000","96,151,000","96,137,000","96,104,000","96,083,000","96,066,000","96,044,000","96,019,000","96,003,000","95,997,000","95,970,000","95,910,000","95,888,000","95,881,000","95,876,000","95,866,000","95,857,000","95,825,000","95,787,000","95,784,000","95,774,000","95,766,000","95,752,000","95,744,000","95,736,000","95,730,000","95,726,000","95,725,000","268,903,000","307,569,000","306,912,000","306,268,000","305,632,000","305,006,000","304,391,000","303,779,000","303,184,000","302,598,000","302,021,000","301,453,000","300,869,000","300,139,000","299,596,000","299,057,000","95,473,000","95,458,000","95,447,000","95,441,000","95,437,000","95,280,000","86,434,000","86,224,000","86,189,000","86,154,000","86,125,000","86,059,000","86,025,000","85,985,000","68,560,000","68,431,000","68,366,000","68,288,000","52,876,000","52,774,000","52,641,000","52,583,000","41,946,000","41,766,000","41,742,000","41,681,000","33,291,000","33,214,000","33,192,000","33,157,000","26,501,000","26,481,000","26,458,000","26,428,000","21,119,000","21,100,000",,,,,,,,
			PreferredStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","173,179,000","211,846,000","211,191,000","210,548,000","209,912,000","209,288,000","208,673,000","208,068,000","207,473,000","206,887,000","206,310,000","205,742,000","205,183,000","204,633,000","204,091,000","203,558,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CommonStock,"96,357,000","96,351,000","96,343,000","96,332,000","96,312,000","96,241,000","96,234,000","96,229,000","96,226,000","96,215,000","96,192,000","96,151,000","96,137,000","96,104,000","96,083,000","96,066,000","96,044,000","96,019,000","96,003,000","95,997,000","95,970,000","95,910,000","95,888,000","95,881,000","95,876,000","95,866,000","95,857,000","95,825,000","95,787,000","95,784,000","95,774,000","95,766,000","95,752,000","95,744,000","95,736,000","95,730,000","95,726,000","95,725,000","95,724,000","95,723,000","95,721,000","95,720,000","95,720,000","95,718,000","95,718,000","95,711,000","95,711,000","95,711,000","95,711,000","95,711,000","95,686,000","95,506,000","95,505,000","95,499,000","95,473,000","95,458,000","95,447,000","95,441,000","95,437,000","95,280,000","86,434,000","86,224,000","86,189,000","86,154,000","86,125,000","86,059,000","86,025,000","85,985,000","68,560,000","68,431,000","68,366,000","68,288,000","52,876,000","52,774,000","52,641,000","52,583,000","41,946,000","41,766,000","41,742,000","41,681,000","33,291,000","33,214,000","33,192,000","33,157,000","26,501,000","26,481,000","26,458,000","26,428,000","21,119,000","21,100,000",,,,,,,,
			OtherCapitalStock,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0",,"0","0","0","95,711,000","95,711,000","95,711,000","95,711,000","95,711,000","95,686,000","95,506,000","95,505,000","95,499,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AdditionalPaidInCapital,"152,405,000","152,144,000","151,855,000","151,512,000","150,972,000","149,334,000","149,034,000","148,744,000","148,508,000","148,075,000","147,456,000","146,614,000","146,113,000","145,283,000","144,660,000","173,057,000","172,416,000","171,816,000","171,358,000","171,056,000","170,519,000","169,567,000","169,039,000","168,687,000","168,367,000","167,980,000","167,567,000","166,706,000","165,862,000","165,520,000","165,088,000","164,681,000","164,220,000","163,947,000","163,744,000","163,567,000","163,413,000","163,287,000","163,173,000","163,050,000","162,907,000","162,767,000","162,660,000","162,575,000","162,479,000","162,276,000","162,173,000","161,556,000","161,410,000","161,258,000","160,784,000","158,504,000","158,314,000","158,110,000","145,218,000","144,734,000","144,403,000","144,140,000","143,908,000","142,205,000","140,210,000","138,247,000","137,666,000","137,029,000","136,496,000","135,619,000","134,845,000","134,345,000","132,015,000","130,597,000","128,669,000","127,863,000","39,133,000","37,777,000","34,709,000","33,956,000","32,685,000","30,821,000","30,483,000","29,648,000","28,709,000","27,564,000","27,217,000","26,719,000","26,255,000","25,933,000","25,521,000","25,094,000","24,572,000","24,100,000",,,,,,,,
		RetainedEarnings,"2,486,177,000","2,470,710,000","2,414,183,000","2,397,610,000","2,305,584,000","2,289,626,000","2,241,397,000","2,233,455,000","2,191,946,000","2,200,568,000","2,148,835,000","2,133,239,000","2,083,218,000","2,064,134,000","2,005,606,000","1,982,464,000","1,923,411,000","1,891,805,000","1,846,570,000","1,828,743,000","1,788,174,000","1,777,963,000","1,742,491,000","1,727,148,000","1,697,461,000","1,683,600,000","1,648,630,000","1,635,868,000","1,601,992,000","1,585,389,000","1,546,841,000","1,531,624,000","1,493,904,000","1,467,000,000","1,428,057,000","1,411,687,000","1,384,173,000","1,369,543,000","1,347,892,000","1,339,053,000","1,317,857,000","1,302,964,000","1,275,926,000","1,261,403,000","1,232,095,000","1,214,743,000","1,187,617,000","1,170,222,000","1,139,491,000","1,122,290,000","1,100,041,000","1,066,528,000","1,050,299,000","1,016,004,000","984,301,000","973,050,000","940,002,000","929,145,000","916,383,000","883,720,000","879,895,000","861,251,000","851,529,000","824,936,000","812,391,000","788,416,000","774,522,000","739,054,000","743,302,000","705,642,000","692,838,000","659,614,000","666,125,000","639,606,000","611,136,000","596,579,000","578,641,000","560,613,000","532,566,000","513,549,000","502,348,000","490,328,000","469,935,000","458,993,000","445,745,000","434,796,000","418,629,000","410,568,000","394,785,000","385,900,000","369,500,000","360,300,000","348,400,000","341,000,000","327,100,000","319,400,000","315,600,000","302,000,000"
