name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996
TotalRevenue,"320,331","273,231","14,500","19,000","14,600","1,000","15,000","6,000","3,000","16,000","15,000","3,000","1,000","5,000","17,000","8,000","3,000","162,094","378,958","133,686","168,548","171,251","170,539","89,118","187,304","140,652","220,158","122,107","32,709","154,887","189,220","73,398","125,975","40,154","49,845","128,614","109,416","71,487","115,686","33,649","29,922","14,435","18,909","143,491","20,553","10,438","5,350","9,805","5,640","13,047","7,626","15,681","7,169","3,384","2,500","6,864","3,236","11,062","5,736","2,950","2,314","14,465","5,265","2,350","5,850","30,000","22,500","22,500","22,500","30,000","22,500","22,500","22,500","22,500","22,500","22,500","22,500","22,500","90,000","15,000","12,500","5,000","9,999","1,322","125","724","1,169","31,332","9,256","9,983","100,000","100,000","100,000","0","100,000","100,000","100,000","0","100,000","100,000","100,000"
	OperatingRevenue,"320,331","273,231","14,500","19,000","14,600","1,000","15,000","6,000","3,000","16,000","15,000","3,000","1,000","5,000","17,000","8,000","3,000","162,094","378,958","133,686","168,548","171,251","170,539","89,118","187,304","140,652","220,158","122,107","32,709","154,887","189,220","73,398","125,975","40,154","49,845","128,614","109,416","71,487","115,686","33,649","29,922","14,435","18,909","143,491","20,553","10,438","5,350","9,805","5,640","13,047","7,626","15,681","7,169","3,384","2,500","6,864","3,236","11,062","5,736","2,950","2,314","14,465","5,265","2,350","5,850","30,000","22,500","22,500","22,500","30,000","22,500","22,500","22,500","22,500","22,500","22,500","22,500","22,500","90,000","15,000","12,500","5,000","9,999","1,322","125","724","1,169","31,332","9,256","9,983","100,000","100,000","100,000","0","100,000","100,000","100,000","0","100,000","100,000","100,000"
CostOfRevenue,,"247,986",,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","130,000","6,925","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"500,000",,,,,,,,
GrossProfit,,"25,245",,,,,,,,,,,,,,,,,,,,,,,,,"220,158","122,107","32,709","154,887","189,220","73,398","125,975","40,154","49,845","128,614","109,416","71,487","115,686","33,649","29,922","14,435","18,909","13,491","13,628","10,438","5,350","9,805","5,640","13,047","7,626","15,681","7,169","3,384","2,500","6,864","3,236","11,062","5,736","2,950","2,314",,"5,265","2,350","5,850","30,000","22,500",,"22,500","30,000","22,500",,"22,500","22,500","22,500","22,500",,,"90,000","15,000","12,500","5,000","9,999","1,322","125","724","1,169","31,332",,"9,983",,,"-400,000",,,,,,,,
OperatingExpense,"3,920,472","898,949","686,940","571,387","1,889,232","192,585","168,272","105,427","68,651","96,015","92,802","164,558","83,211","95,857","92,134","118,926","553,348","105,686","87,822","124,006","103,187","106,100","104,167","233,370","167,532","144,036","494,778","104,742","106,210","194,440","164,257","183,626","213,002","304,916","172,929","174,915","267,232","688,834","529,797","405,275","566,684","798,275","397,213","536,307","1,261,232","428,605","105,618","72,741","81,851","108,355","291,671","170,125","166,918","115,336","219,314","163,732","152,278","75,973","13,622","25,762","26,236","16,377","29,491","46,622","45,656","7,751","38,034","43,262","33,972","29,488","15,002","25,991","38,346","31,016","38,901","32,936","43,438","44,969","22,660","26,596","26,023","37,686","93,633","43,634","48,100","19,084","196,430","54,069","59,153","61,513","500,000","1,100,000","500,000","1,100,000","900,000","700,000","700,000","1,100,000","400,000","400,000","100,000"
	SellingGeneralAndAdministration,"1,994,352","713,296","581,704","455,451","364,724","158,187","133,652","82,927","46,151","61,076","58,184","49,938","48,590","60,798","57,520","47,511","63,927","70,394","49,958","45,635","56,455","58,443","55,468","55,485","120,802","86,311","59,716","52,895","49,886","109,784","108,536","137,848","101,887","153,435","94,342","107,413","189,827","452,677","205,483","280,663","271,433","221,239","833,193","299,577","902,503","228,519","51,311","32,035","52,242","63,313","162,716","50,968","100,654","42,843","95,889","93,152","81,412","27,536","13,622","18,262","26,236","16,377","29,491","39,122","45,631","7,751","38,034","35,800","33,934","29,393","14,960","15,347","35,497","29,852","35,418","23,602","43,275","42,861","22,011","26,262","25,580","36,443","50,815","43,657","46,179","58,206","191,180","53,962","53,903","53,593","200,000","300,000","500,000","500,000","400,000","400,000","300,000","1,100,000","400,000","400,000","100,000"
		GeneralAndAdministrativeExpense,"1,994,352","713,296","581,704","455,451","364,724","158,187","133,652","82,927","46,151","61,076","58,184","49,938","48,590","60,798","57,520","47,511","63,927","70,394",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,462",,,"41,475","45,663","57,384",,,,,,,,,,,,,,,
			SalariesAndWages,,"301,235",,,"158,979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"1,693,117","412,061","581,704","455,451","205,745","158,187","133,652","82,927","46,151","61,076","58,184","49,938","48,590","60,798","57,520","47,511","63,927","70,394",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,462",,,"41,475","45,663","57,384",,,,,,,,,,,,,,,
		SellingAndMarketingExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"118",,,"2,182","516","822",,,,,,,,,,,,,,,
	ResearchAndDevelopment,"1,926,120","185,653","105,236","115,936","1,524,508","34,398","34,620","22,500","22,500","34,939","34,618","114,620","34,621","35,059","34,614","71,415","489,421","35,292","37,864","78,371","46,732","47,657","48,699","177,885","46,730","57,725","435,062","51,847","56,324","84,656","55,721","45,778","111,115","151,481","78,587","67,502","77,405","236,157","324,314","124,612","295,251","577,036","-435,980","236,730","358,729","200,086","54,307","40,706","29,609","45,042","128,955","119,157","66,264","72,493","123,425","70,580","70,866","48,437","0","7,500",,,"0","7,500","25",,"0","7,462","38","95","42","10,644","2,849","1,164","3,483","9,334","163","2,108","649","694","443","1,243","42,818","-23","1,921","-39,122","5,250","107","5,250","7,920","300,000","800,000",,"600,000","500,000","300,000","400,000",,,,
