name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006
OperatingCashFlow,"2,227,000,000","621,000,000","598,000,000","743,000,000","265,000,000","200,000,000","25,000,000","302,000,000","177,000,000","449,000,000","667,000,000","1,179,000,000","540,000,000","514,000,000","539,000,000","1,075,000,000","541,000,000","401,000,000","417,000,000","995,000,000","484,000,000","498,000,000","478,000,000","1,037,000,000","437,000,000","577,000,000","649,000,000","1,232,000,000","669,000,000","782,000,000","723,000,000","1,327,000,000","642,000,000","760,000,000","738,000,000","1,393,000,000","715,046,000","743,554,000","588,035,000","971,536,000","666,411,000","492,001,000","584,795,000","961,637,000","521,267,000","165,640,000","422,099,000","736,003,000","749,405,000","301,172,000","467,796,000","608,842,000","-267,853,000","966,213,000","520,707,000","-261,698,000","708,299,000","1,128,194,000","876,425,000","10,537,000","1,077,759,000","1,124,767,000","416,998,000","91,034,000","901,576,000","1,204,957,000"
	CashFlowFromContinuingOperatingActivities,"2,227,000,000","621,000,000","598,000,000","743,000,000","265,000,000","200,000,000","25,000,000","302,000,000","177,000,000","449,000,000","667,000,000","1,179,000,000","540,000,000","514,000,000","539,000,000","1,075,000,000","541,000,000","401,000,000","417,000,000","995,000,000","484,000,000","498,000,000","478,000,000","1,037,000,000","437,000,000","577,000,000","649,000,000","1,232,000,000","669,000,000","782,000,000","723,000,000","1,327,000,000","642,000,000","760,000,000","738,000,000","1,393,000,000","715,046,000","743,554,000","588,035,000","971,536,000","666,411,000","492,001,000","584,795,000","961,637,000","521,267,000","165,640,000","422,099,000","736,003,000","749,405,000","301,172,000","467,796,000","608,842,000","-267,853,000","966,213,000","520,707,000","-261,698,000","708,299,000","1,128,194,000","876,425,000","10,537,000","1,077,759,000","1,124,767,000","416,998,000","91,034,000","901,576,000","1,204,957,000"
		NetIncomeFromContinuingOperations,"602,000,000","426,000,000","-262,000,000","608,000,000","-170,000,000","189,000,000","-291,000,000","-223,000,000","-852,000,000","-357,000,000","-115,000,000","172,000,000","41,000,000","-148,000,000","-102,000,000","140,000,000","-63,000,000","-202,000,000","616,000,000","92,000,000","-158,000,000","-223,000,000","-438,000,000","44,000,000","-29,000,000","-51,000,000","70,000,000","250,000,000","23,000,000","-70,000,000","-234,000,000","150,000,000","71,000,000","-69,000,000","-7,900,000","214,700,000","121,437,000","17,963,000","-36,396,000","242,920,000","92,888,000","-56,333,000","52,078,000","212,509,000","60,085,000","-128,942,000","-24,690,000","161,304,000","-20,448,000","-146,827,000","-27,632,000","68,971,000","7,738,000","-160,420,000","-1,217,953,000","17,664,000","51,247,000","-57,704,000","80,743,000","162,707,000","83,675,000","-62,566,000","39,823,000","107,538,000","17,818,000","-49,236,000"
		OperatingGainsLosses,"524,000,000","-94,000,000","643,000,000","-18,000,000","-5,000,000","-393,000,000","8,000,000","-192,000,000","186,000,000","-21,000,000","-16,000,000","-2,000,000","-9,000,000","-11,000,000","1,000,000","-4,000,000",,,"11,000,000","-6,000,000","8,000,000","-3,000,000","6,000,000","20,000,000","20,000,000","-75,000,000","-128,000,000",,,,,,,,"11,800,000","26,600,000","-1,127,000","-2,473,000","44,213,000","-8,748,000","1,581,000","-655,000","-64,962,000","1,752,000","2,283,000","-9,234,000","-8,676,000","11,000,000","1,506,000","1,240,000","-49,997,000","2,185,000","-23,000","-1,291,000","3,784,000","941,000","-1,932,000","-588,000","-23,198,000","29,649,000","-24,217,000","33,073,000","-207,315,000",,,
			GainLossOnSaleOfBusiness,"-8,000,000","0","0","0","-8,000,000","-392,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,300,000","300,000",,,"55,462,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,"0","-2,000,000","-5,000,000","-1,000,000","0","0","-3,000,000","-21,000,000",,,,,,,,,,,,,,,,,,,,,,,,,"-1,300,000","-1,100,000","-483,000","-1,017,000","-6,374,000","-1,219,000","-519,000","-197,000","-38,321,000","-451,000","-2,431,000","-2,317,000","-3,080,000","-484,000","-1,767,000","-409,000","77,000","165,000","-23,000","-1,291,000","-232,000","-1,820,000",,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","2,498,000",,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"532,000,000","-94,000,000","643,000,000",,,,,"1,000,000",,,"-16,000,000","-6,000,000","-9,000,000","-11,000,000","1,000,000","-4,000,000",,,,,,,,,,,,,,,,,,,"5,300,000","-100,000","-2,144,000","-1,456,000","-2,377,000","1,587,000","2,100,000","-2,956,000",,,,,"-5,596,000",,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,,,,,,,,,,,,"0","0","0","-3,000,000","-9,000,000","0","0","-75,000,000","-77,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"480,000,000","13,000,000","137,000,000","135,000,000","210,000,000","314,000,000","507,000,000","474,000,000","717,000,000","786,000,000","787,000,000","779,000,000","736,000,000","692,000,000","646,000,000","699,000,000","720,000,000","699,000,000","691,000,000","741,000,000","788,000,000","742,000,000","714,000,000","742,000,000","572,000,000","768,000,000","730,000,000","776,000,000","761,000,000","775,000,000","929,000,000","818,000,000","776,000,000","797,000,000","684,100,000","730,400,000","703,726,000","653,574,000","610,250,000","602,721,000","559,551,000","552,534,000","561,984,000","555,421,000","453,265,000","466,987,000","426,517,000","554,966,000","511,989,000","515,175,000","519,009,000","555,242,000","539,431,000","543,428,000","593,391,000","654,247,000","592,722,000","592,934,000","563,225,000","594,224,000","556,719,000","528,899,000","3,599,681,000","-2,557,481,000","501,287,000","472,559,000"
