name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996
MarketCap,"1,176,919,102","1,370,618,327","1,422,378,040","1,338,122,396","1,398,048,599","1,250,456,608","521,164,783","373,879,488","457,280,025","471,713,293","749,046,776","769,902,615","684,710,751","672,329,907","618,841,261","668,651,735","732,638,341","688,757,043","784,009,419","805,104,953","737,619,461","762,657,764","754,631,425","629,234,959","640,507,654","658,973,023","653,636,140","628,508,870","629,987,622","593,281,699","599,999,709","530,763,206","581,996,599","623,508,486","621,183,130","608,532,574","552,024,227","515,121,044","496,071,196","512,774,161","469,430,988","513,835,204","441,300,106","354,683,017","508,269,167","511,922,998","504,714,496","478,832,078","425,973,991","434,287,033","403,459,578","393,140,919","313,257,061","322,550,969","454,592,670","520,208,565","562,754,791","592,095,932","433,029,448","510,566,849","457,211,433","475,711,586","510,753,519","540,079,338","499,250,273","531,099,306","539,940,411","545,037,086","564,580,500","565,300,950","665,638,403","636,446,436","652,068,903","761,276,833","781,235,943","582,065,473","655,184,699","585,221,586","552,065,514","585,324,581","531,139,058","482,068,974","428,387,227","383,703,555","309,049,442","287,133,382","285,292,065","189,266,128","192,188,828","230,033,587","263,662,439","296,601,722","297,015,676","236,930,799","242,695,423","337,368,549","304,312,484","294,958,330","256,847,385","261,470,865","245,719,174","214,243,292","199,731,618","170,659,314"
PeRatio,"7.631","14.11","16.278","17.28","31.13","14.284","13.033","12.293","14.763","13.574","18.165","15.978","14.496","13.572","11.71","12.061","13.265","13.333","21.162","23.626","21.778","10.305","8.894","7.416","7.527","14.325","13.992","13","13.234","13.089","13.797","12.522","13.05","13.805","14.842","14.11","13.094","12.274","11.872","10.776","9.701","10.436","9.474","7.617","10.77","11.531","11.766","11.846","11.523","12.888","14.848","16.329","12.831","12.342","15.647","17.698","21.167","25.706","19.06","21.386","16.488","15.207","14.594","14.584","13.436","14.969","13.914","14.019","13.694","12.16","13.992","13.56","12.916","15.224","14.932","13.996","15.706","13.892","13.034","22.149","16.53","15.059","16.805","10.926","10.195","11.14","13.026","8.553","5.824","7.867","12.137","13.84","18.613","17.493","18.434","25.458","25.818","25.186","20.758","21.277","21.183","21.641","29.811",
ForwardPeRatio,,,,,,"11.82",,,,,,,,,,,,,,,,,,,,,,,,"11.261","11.39","10.071","11.038","12.723","14.859","14.164","13.004","12.121","9.497","8.977","7.949","11.287","9.461","7.21","10.288","10.493","11.198",,,,"20.576",,,"9.32",,,,"20.492",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.691","3.733","3.302","3.62","4.17","4.873","4.646","4.266","3.977","3.113","2.943","2.606","2.149","1.262","0.961","1.372","1.399","1.493",,,,"1.285",,,"1.13",,,,"2.485",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"2.83","3.365","3.424","3.226","3.668","3.265","2.818","2.196","2.92","3.074","4.827","5.074","4.579","4.457","3.997","4.068","4.408","4.213","4.844","5.119","4.698","4.935","5.024","4.287","4.433","4.665","4.647","4.474","4.561","4.354","4.454","3.93","4.177","4.409","5.167","4.947","4.448","3.691","3.57","3.454","3.149","3.333","2.949","2.371","3.38","3.459","3.395","3.26","3.008","3.244","3.499","3.527","3.101","3.31","4.636","5.3","6.127","7.042","5.253","6.389","5.322","5.177","5.19","5.308","4.89","5.376","5.195","5.234","5.215","4.791","5.558","5.406","5.293","6.274","6.216","5.705","6.402","5.663","5.202","6.234","6.074","5.534","5.516","5.277","4.31","4.109","4.056","2.664","2.614","3.169","3.799","4.263","4.745","4.016","4.295","5.903","5.656","5.565","4.883","5.072","8.056","7.024","6.549",
PbRatio,"1.133","1.268","1.293","1.223","1.31","2.418","0.539","0.662","0.792","0.778","1.206","1.265","1.124","1.121","1.015","1.062","1.206","1.152","1.338","1.386","1.288","1.348","1.355","1.145","1.186","1.334","1.351","1.315","1.352","1.291","1.315","1.183","1.318","1.432","1.469","1.488","1.379","1.316","1.267","1.366","1.275","1.423","1.247","1","1.464","1.519","1.535","1.485","1.353","1.408","1.369","1.357","1.105","1.153","1.641","1.884","2.052","2.193","1.611","1.855","1.603","1.637","1.727","1.843","1.703","1.815","1.865","1.883","1.964","1.999","2.363","2.269","2.42","2.76","2.752","2.059","2.39","2.166","2.116","2.368","2.178","1.976","1.886","1.726","1.429","1.357","1.377","0.914","0.917","1.089","1.229","1.401","1.377","1.336","1.348","1.811","1.608","1.584","1.374","1.37","1.288","0.967","0.929",
