name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993
OperatingCashFlow,"-173,400,000","-28,400,000","-32,500,000","-62,500,000","-50,000,000","-49,600,000","-26,300,000","400,000","10,500,000","-27,700,000","8,200,000","-20,000,000","15,331,000","60,703,000","92,274,000","33,992,000","41,935,000","19,611,000","51,689,000","54,123,000","52,746,000","43,438,000","101,618,000","18,098,000","64,553,000","14,967,000","76,962,000","46,834,000","87,555,000","65,647,000","14,768,000","13,284,000","91,138,000","60,183,000","98,751,000","69,236,000","61,164,000","45,776,000","92,608,000","85,686,000","71,703,000","48,340,000","80,592,000","41,645,000","64,458,000","41,166,000","57,238,000","88,518,000","94,938,000","72,932,000","21,511,000","61,188,000","43,306,000","49,873,000","42,620,000","42,120,000","36,683,000","5,478,000","35,090,000","25,556,000","27,326,000","22,568,000","18,407,000","42,631,000","28,872,000","34,970,000","56,711,000","30,977,000","66,313,000","16,630,000","38,880,000","53,756,000","50,989,000","30,449,000","52,449,000","18,501,000","20,223,000","28,172,000","31,010,000","10,244,000","13,659,000","1,625,000","7,650,000","16,196,000","17,254,000","20,974,000","31,039,000","5,501,000","35,034,000","11,237,000","9,200,000","7,500,000","8,500,000","7,200,000","3,000,000","1,200,000","2,700,000","6,600,000","300,000","2,500,000","3,100,000","-500,000","5,800,000","-2,500,000","-200,000","-500,000","-400,000","-500,000","100,000","200,000","-800,000","-100,000","500,000","-200,000","-400,000","-200,000","100,000"
	CashFlowFromContinuingOperatingActivities,"-177,000,000","-28,400,000","-32,500,000","-62,500,000","-53,600,000","-26,800,000","-32,500,000","400,000","10,500,000","-27,700,000","8,200,000","-20,000,000","15,331,000","60,703,000","92,274,000","33,992,000","41,935,000","19,611,000","51,689,000","54,123,000","52,746,000","43,438,000","101,618,000","18,098,000","64,553,000","14,967,000","76,962,000","46,834,000","87,555,000","65,647,000","14,768,000","13,284,000","91,138,000","60,183,000","98,751,000","69,236,000","61,164,000","45,776,000","92,608,000","85,686,000","71,703,000","48,340,000","80,592,000","41,645,000","64,458,000","41,166,000","57,238,000","88,518,000","94,938,000","72,932,000","21,511,000","61,188,000","43,306,000","49,873,000","42,620,000","42,120,000","36,683,000","5,478,000","35,090,000","25,556,000","27,326,000","22,568,000","18,407,000","42,631,000","28,872,000","34,970,000","56,711,000","30,977,000","66,313,000","16,630,000","38,880,000","53,756,000","50,989,000","30,449,000","52,449,000","18,501,000","20,223,000","28,172,000","31,010,000","10,244,000","13,659,000","1,625,000","7,650,000","16,196,000","17,254,000","20,974,000","31,039,000","5,501,000","35,034,000","11,237,000","9,200,000","7,500,000","8,500,000","7,200,000","3,000,000","1,200,000","2,700,000","6,600,000","300,000","2,500,000","3,100,000","-500,000","5,800,000","-2,500,000","-200,000","-500,000","-400,000","-500,000","100,000","200,000","-800,000","-100,000","500,000","-200,000","-400,000","-200,000","100,000"
		NetIncomeFromContinuingOperations,"-378,500,000","-66,500,000","-96,700,000","-70,100,000","-145,200,000","70,700,000","-82,700,000","-184,100,000","-38,900,000","-61,400,000","-52,500,000","-37,800,000","-133,756,000","-227,730,000","-2,480,000","-11,134,000","-33,270,000","-240,533,000","13,753,000","-19,873,000","-5,888,000","-99,015,000","6,219,000","566,000","-10,641,000","-1,230,000","13,958,000","-23,623,000","-87,983,000","651,000","12,151,000","11,130,000","29,849,000","28,164,000","35,681,000","30,497,000","28,242,000","22,157,000",,,,,,,,"18,881,000","49,775,000","58,036,000","52,848,000","44,630,000","33,786,000","21,026,000","9,695,000","4,015,000","10,696,000","5,919,000","8,445,000","5,660,000","6,621,000","12,713,000","6,435,000","21,130,000","16,479,000","13,290,000","13,243,000","24,001,000","17,709,000","21,720,000","21,011,000","20,682,000","25,022,000","24,428,000","20,985,000","15,089,000","13,007,000","8,879,000","11,390,000","10,632,000","8,996,000","3,883,000","-22,522,000","-68,286,000","-17,375,000","6,460,000","6,511,000","-5,181,000","13,860,000","12,655,000","10,945,000","9,175,000","5,800,000","4,600,000","4,100,000","3,400,000","2,800,000","2,400,000","1,900,000","1,800,000","1,400,000","1,200,000","700,000","500,000","400,000","1,900,000","-900,000","200,000","800,000","200,000",,"0","0","-200,000","-100,000","-100,000","0","-200,000","300,000"
		OperatingGainsLosses,"27,500,000","-600,000","25,500,000","600,000","2,000,000","1,000,000","-12,000,000","3,100,000","-33,500,000","18,200,000","-7,000,000","-2,400,000","70,679,000","6,480,000","1,986,000","7,755,000","4,249,000","13,814,000","-20,956,000","5,892,000","-6,431,000","-7,944,000","5,270,000","1,439,000","1,912,000","106,000","-5,248,000","37,557,000","63,351,000","3,683,000","2,212,000","1,447,000","909,000","364,000","760,000","657,000","1,088,000","863,000",,,,,,,,,"429,000","471,000","0","0",,,"-3,305,000","2,242,000","997,000","-12,000","-487,000","-722,000","475,000","-13,383,000","-6,872,000","-3,000","-11,409,000","1,000","-13,891,000","3,486,000","6,778,000","3,040,000","29,909,000","-2,532,000","2,240,000","-40,000","4,324,000","130,000","149,000","-3,000","5,188,000","0","3,510,000","69,000","30,416,000","77,068,000","30,706,000","1,713,000","12,914,000","17,083,000","-4,968,000","4,127,000","23,813,000",,,,"3,000,000","1,200,000","800,000","400,000","1,900,000","800,000","-1,500,000","300,000","300,000","300,000","100,000","100,000",,,,,,,,,,,,,
			GainLossOnSaleOfPPE,"2,300,000","-600,000","800,000","800,000","1,300,000","2,200,000","1,300,000","200,000","2,600,000","300,000","800,000","1,000,000","358,000","2,171,000","177,000","494,000","1,889,000","1,716,000","4,263,000","2,824,000","1,176,000","500,000","520,000","325,000","430,000","-104,000","2,014,000","14,573,000","44,081,000","1,459,000","735,000","1,447,000","909,000","364,000","760,000","657,000","1,088,000","863,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,"1,200,000","0","0","0","1,200,000","-200,000","-2,700,000","-500,000","-1,000,000","100,000","-1,400,000","100,000","364,000","410,000","-71,000","597,000","1,993,000","-1,871,000","-473,000","-199,000","-208,000","-2,002,000","939,000","-1,373,000","-163,000","-580,000","-236,000","3,036,000","-363,000","-1,446,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-400,000","0","-100,000","-200,000","7,800,000","-8,000,000",,,"-700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","-1,000","0","0",,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-400,000","0","0","0",,,"-10,400,000","3,400,000","-23,400,000","19,100,000","-6,400,000","-3,500,000","3,757,000","3,899,000","1,880,000","6,664,000","367,000","13,969,000","-24,746,000","3,267,000","-7,399,000","-6,442,000","3,811,000","2,487,000","1,645,000","790,000","-7,026,000","19,948,000","19,633,000","3,670,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"130,200,000","30,400,000","32,900,000","34,600,000","32,300,000","32,400,000","22,300,000","33,900,000","33,000,000","31,600,000","30,700,000","28,600,000","27,344,000","36,818,000","39,626,000","39,812,000","40,693,000","38,610,000","37,234,000","37,400,000","37,049,000","50,885,000","26,635,000","35,939,000","39,225,000","38,540,000","40,204,000","41,176,000","41,893,000","43,250,000","43,808,000","43,335,000","42,752,000","40,608,000","40,130,000","39,481,000","38,931,000","37,975,000","39,921,000","36,474,000","37,854,000","36,552,000","36,175,000","32,128,000","30,149,000","28,138,000","25,922,000","24,396,000","23,551,000","22,295,000","22,040,000","22,538,000","24,059,000","23,809,000","25,984,000","22,712,000","23,857,000","24,787,000","24,531,000","24,952,000","24,148,000","19,955,000","20,301,000","19,507,000","18,994,000","18,804,000","18,758,000","18,820,000","19,096,000","18,571,000","18,030,000","16,224,000","15,787,000","15,107,000","14,342,000","13,552,000","14,217,000","10,821,000","10,475,000","9,392,000","9,187,000","10,746,000","10,447,000","9,781,000","9,379,000","8,707,000","4,843,000","4,294,000","4,592,000","2,836,000","2,500,000","2,000,000","1,700,000","1,400,000","1,300,000","1,100,000","1,100,000","1,100,000","1,200,000","1,000,000","1,000,000","900,000","800,000","800,000","600,000","500,000","400,000","300,000","400,000","500,000","300,000","300,000","300,000","200,000","300,000","200,000","300,000"
			DepreciationAndAmortization,"130,200,000","30,400,000","32,900,000","34,600,000","32,300,000","32,400,000","22,300,000","33,900,000","33,000,000","31,600,000","30,700,000","28,600,000","27,344,000","36,818,000","39,626,000","39,812,000","40,693,000","38,610,000","37,234,000","37,400,000","37,049,000","50,885,000","26,635,000","35,939,000","39,225,000","38,540,000","40,204,000","41,176,000","41,893,000","43,250,000","43,808,000","43,335,000","42,752,000","40,608,000","40,130,000","39,481,000","38,931,000","37,975,000","39,921,000","36,474,000","37,854,000","36,552,000","36,175,000","32,128,000","30,149,000","28,138,000","25,922,000","24,396,000","23,551,000","22,295,000","22,040,000","22,538,000","24,059,000","23,809,000","25,984,000","22,712,000","23,857,000","24,787,000","24,531,000","24,952,000","24,148,000","19,955,000","20,301,000","19,507,000","18,994,000","18,804,000","18,758,000","18,820,000","19,096,000","18,571,000","18,030,000","16,224,000","15,787,000","15,107,000","14,342,000","13,552,000","14,217,000","10,821,000","10,475,000","9,392,000","9,187,000","10,746,000","10,447,000","9,781,000","9,379,000","8,707,000","4,843,000","4,294,000","4,592,000","2,836,000","2,500,000","2,000,000","1,700,000","1,400,000","1,300,000","1,100,000","1,100,000","1,100,000","1,200,000","1,000,000","1,000,000","900,000","800,000","800,000","600,000","500,000","400,000","300,000","400,000","500,000","300,000","300,000","300,000","200,000","300,000","200,000","300,000"
