name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021
MarketCap,"7,110,189,800","16,617,034,412","20,194,987,185","22,047,480,287","19,668,393,805","16,864,813,946"
EnterpriseValue,"6,568,742,800","15,884,728,412","20,346,905,185","22,154,675,287","19,825,882,805","16,903,667,946"
ForwardPeRatio,"625",,,"1,666.667",,
PegRatio,"20.35",,,"56.987",,
PsRatio,"5.625","13.719","18.764","24.572","23.727","21.697"
PbRatio,"3.598","7.599","1,066.937","625.194",,
EnterprisesValueRevenueRatio,"5.602","47.326","64.38","81.561","79.512","70.832"
EnterprisesValueEBITDARatio,"-6.049","-59.453","-71.612","-82.343","-74.635","-89.436"
