name,04/30/2022,10/31/2021,04/30/2021,10/31/2020,04/30/2020,10/31/2019,04/30/2019,10/31/2018,04/30/2018
TotalAssets,"1,935,613,046","2,255,725,636","2,082,921,883","1,765,450,483","1,700,393,096","1,810,462,531","1,826,736,518","1,792,917,553","1,832,473,335"
TotalLiabilitiesNetMinorityInterest,"11,055,999","43,801,128","22,586,650","5,822,844","48,950,288","28,098,784","17,050,135","17,362,894","39,646,946"
TotalEquityGrossMinorityInterest,"1,924,557,047","2,211,924,508","2,060,335,233","1,759,627,639","1,651,442,808","1,782,363,747","1,809,686,383","1,775,554,659","1,792,826,389"
	StockholdersEquity,"1,924,557,047","2,211,924,508","2,060,335,233","1,759,627,639","1,651,442,808","1,782,363,747","1,809,686,383","1,775,554,659","1,792,826,389"
		CapitalStock,"1,561,639","1,540,674","1,517,360","1,517,170","1,517,170","1,501,689","1,497,891","1,497,481","1,494,973"
			CommonStock,"1,561,639","1,540,674","1,517,360","1,517,170","1,517,170","1,501,689","1,497,891","1,497,481","1,494,973"
		AdditionalPaidInCapital,"1,199,532,446","1,169,394,851","1,218,444,218","1,218,187,352","1,357,347,440","1,338,252,514","1,388,244,515","1,387,752,850","1,451,115,365"
		RetainedEarnings,"723,462,962","1,040,988,983","840,373,655","539,923,117","292,578,198","442,609,544","419,943,977","386,304,328","-69,493,520"
CommonStockEquity,"1,924,557,047","2,211,924,508","2,060,335,233","1,759,627,639","1,651,442,808","1,782,363,747","1,809,686,383","1,775,554,659","1,792,826,389"
NetTangibleAssets,"1,924,557,047","2,211,924,508","2,060,335,233","1,759,627,639","1,651,442,808","1,782,363,747","1,809,686,383","1,775,554,659","1,792,826,389"
TangibleBookValue,"1,924,557,047","2,211,924,508","2,060,335,233","1,759,627,639","1,651,442,808","1,782,363,747","1,809,686,383","1,775,554,659","1,792,826,389"
ShareIssued,"156,163,910","154,067,440","151,736,029","151,717,016","151,717,016","150,168,862","149,789,096","149,748,124","149,497,313"
OrdinarySharesNumber,"156,163,910","154,067,440","151,736,029","151,717,016","151,717,016","150,168,862","149,789,096","149,748,124","149,497,313"
