name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,08/31/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,08/31/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,08/31/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,08/31/2013,06/30/2013,05/31/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010
TotalAssets,"9,503,000,000","9,613,000,000","9,543,000,000","10,414,000,000","9,187,000,000","8,898,000,000","9,011,000,000","9,117,000,000","9,432,000,000","9,214,000,000","9,059,000,000","9,023,000,000","9,112,000,000","9,018,000,000","9,013,000,000","3,057,570,000","2,759,951,000","2,906,193,000","2,823,036,000","2,433,436,000","2,346,174,000","2,391,419,000","2,386,170,000","2,386,170,000","2,253,554,000","2,330,785,000","2,395,026,000","2,527,027,000","2,527,027,000","2,323,212,000","2,388,869,000","2,540,000,000","2,347,000,000","2,347,000,000","2,410,000,000","2,519,000,000","2,632,000,000","2,660,000,000","2,660,000,000","2,511,000,000","2,511,000,000","2,569,000,000","2,604,000,000","2,746,000,000","2,647,000,000","2,721,000,000","2,846,000,000","3,165,000,000","3,492,000,000","3,552,000,000","3,642,000,000"
	CurrentAssets,"3,607,000,000","3,846,000,000","3,872,000,000","4,721,000,000","3,951,000,000","3,867,000,000","3,974,000,000","3,979,000,000","4,222,000,000","4,116,000,000","3,955,000,000","3,829,000,000","3,820,000,000","3,840,000,000","3,830,000,000","2,643,755,000","2,307,919,000","2,480,950,000","2,449,356,000","2,056,178,000","1,983,397,000","1,087,371,000","1,141,713,000","2,069,061,000","1,914,746,000","1,917,062,000","1,049,605,000","1,293,427,000","2,180,883,000","2,016,574,000","2,061,772,000","1,340,000,000","1,123,000,000","2,035,000,000","2,079,000,000","2,149,000,000","2,235,000,000","2,307,000,000","2,307,000,000","1,138,000,000","2,126,000,000","2,165,000,000","2,208,000,000","2,367,000,000","2,239,000,000","2,288,000,000","2,404,000,000","2,377,000,000","2,734,000,000","2,765,000,000","2,858,000,000"
		CashCashEquivalentsAndShortTermInvestments,"354,000,000","342,000,000","448,000,000","1,312,000,000","643,000,000","524,000,000","660,000,000","566,000,000","651,000,000","287,000,000","183,000,000","179,000,000","222,000,000","231,000,000","441,000,000","547,667,000","323,831,000","409,059,000","440,074,000","85,151,000","101,841,000","147,102,000","174,764,000","174,764,000","97,418,000","106,613,000","177,061,000","321,690,000","321,690,000","250,906,000","272,180,000","347,000,000","146,000,000","146,000,000","170,000,000","159,000,000","200,000,000","288,000,000","288,000,000","104,000,000","104,000,000","119,000,000","103,000,000","212,000,000","83,000,000","77,000,000","110,000,000","25,000,000","25,000,000","29,000,000","26,000,000"
			CashAndCashEquivalents,"354,000,000","342,000,000","448,000,000","1,312,000,000","643,000,000","524,000,000","660,000,000","566,000,000","651,000,000","287,000,000","183,000,000","179,000,000","222,000,000","231,000,000","441,000,000","547,667,000","323,831,000","409,059,000","440,074,000","85,151,000","101,841,000","147,102,000","174,764,000","174,764,000","97,418,000","106,613,000","177,061,000","321,690,000","321,690,000","250,906,000","272,180,000","347,000,000","146,000,000","146,000,000","170,000,000","159,000,000","200,000,000","288,000,000","288,000,000","104,000,000","104,000,000","119,000,000","103,000,000","212,000,000","83,000,000","77,000,000","110,000,000","25,000,000","25,000,000","29,000,000","26,000,000"
		Receivables,"2,264,000,000","2,324,000,000","2,249,000,000","2,208,000,000","1,988,000,000","2,116,000,000","2,185,000,000","2,301,000,000","2,426,000,000","2,556,000,000","2,540,000,000","2,425,000,000","2,332,000,000","2,363,000,000","2,195,000,000","1,235,398,000","1,195,821,000","1,273,805,000","1,212,509,000","1,167,844,000","1,124,766,000","161,733,000","134,706,000","1,062,054,000","1,046,611,000","1,040,125,000","131,850,000","128,321,000","1,015,777,000","995,402,000","1,003,056,000","110,000,000","113,000,000","1,025,000,000","1,041,000,000","1,066,000,000","1,079,000,000","1,095,000,000","1,095,000,000","101,000,000","1,089,000,000","1,127,000,000","1,156,000,000","1,186,000,000","1,177,000,000","1,220,000,000","1,254,000,000","1,273,000,000","1,285,000,000","1,297,000,000","1,354,000,000"
			AccountsReceivable,"140,000,000","279,000,000","223,000,000","217,000,000","219,000,000","276,000,000","272,000,000","287,000,000","267,000,000","323,000,000","372,000,000","327,000,000","277,000,000","324,000,000","236,000,000","67,619,000","63,038,000","154,174,000","136,107,000","131,395,000","127,347,000","161,733,000","134,706,000","134,706,000","142,864,000","131,538,000","131,850,000","128,321,000","128,321,000","116,544,000","114,863,000","110,000,000","113,000,000","113,000,000","121,000,000","130,000,000","109,000,000","117,000,000","117,000,000","101,000,000","101,000,000","111,000,000","100,000,000","121,000,000","101,000,000","110,000,000","105,000,000","95,000,000","97,000,000","86,000,000","100,000,000"
				GrossAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"115,000,000",,,,,,,,,,,,,,,,"96,000,000","98,000,000","87,000,000",
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-5,000,000",,,,,,,,,,,,,,,,"-1,000,000","-1,000,000","-1,000,000",
			NotesReceivable,"2,030,000,000","2,045,000,000","2,026,000,000","1,991,000,000","1,769,000,000","1,840,000,000","1,913,000,000","2,014,000,000","2,159,000,000","2,233,000,000","2,168,000,000","2,098,000,000","2,055,000,000","2,039,000,000","1,959,000,000","1,167,779,000","1,132,783,000","1,119,631,000","1,076,402,000","1,036,449,000","997,419,000","972,311,000","927,348,000","927,348,000","903,747,000","908,587,000","920,631,000","887,456,000","887,456,000","878,858,000","888,193,000","917,000,000",,"912,000,000","920,000,000","936,000,000","970,000,000","978,000,000","978,000,000","988,000,000","988,000,000","1,016,000,000","1,056,000,000","1,065,000,000","1,076,000,000","1,110,000,000","1,149,000,000","1,178,000,000","1,188,000,000","1,211,000,000","1,254,000,000"
			AccruedInterestReceivable,"14,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
