name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994
OperatingCashFlow,"-7,769,000","-7,717,000","145,000","-1,046,000","849,000","74,031,000","30,892,000","-1,465,000","41,722,000","61,664,000","-17,211,000","25,217,000","8,349,000","-3,196,000","46,693,000","40,468,000","32,082,000","39,779,000","32,076,000","36,408,000","12,885,000","51,271,000","20,887,000","35,676,000","30,137,000","42,846,000","37,575,000","22,974,000","43,474,000","54,062,000","28,345,000","42,493,000","29,538,000","49,369,000","34,516,000","23,466,000","34,140,000","32,247,000","33,230,000","31,828,000","28,196,000","52,977,000","30,891,000","37,357,000","19,223,000","71,763,000","29,184,000","25,238,000","32,047,000","54,951,000","36,303,000","14,711,000","37,764,000","39,359,000","5,386,000","20,396,000","34,009,000","28,462,000","32,891,000","28,422,000","13,125,000","44,884,000","12,657,000","11,003,000","4,504,000","31,823,000","8,485,000","2,165,000","35,875,000","45,872,000","8,003,000","6,395,000","33,334,000","24,399,000","16,055,000","14,210,000","17,729,000","16,013,000","14,233,000","5,609,000","14,238,000","13,249,000","21,967,000","16,711,000","24,897,000","23,651,000","23,860,000","6,561,000","11,735,000","24,937,000","20,300,000","14,500,000","21,400,000","15,600,000","31,300,000","22,400,000","17,600,000","17,400,000","5,000,000","6,500,000","10,300,000","7,200,000","12,500,000","7,200,000","7,700,000","5,600,000","6,300,000","5,000,000","10,000,000","6,900,000","3,600,000","-1,100,000","8,900,000"
	CashFlowFromContinuingOperatingActivities,"-7,769,000","-7,717,000","145,000","-1,046,000","849,000","74,031,000","30,892,000","-1,465,000","41,722,000","61,664,000","-17,211,000","25,217,000","8,349,000","-3,196,000","46,693,000","40,468,000","32,082,000","39,779,000","32,076,000","36,408,000","12,885,000","51,271,000","20,887,000","35,676,000","30,137,000","42,846,000","37,575,000","22,974,000","43,474,000","54,062,000","28,345,000","42,493,000","29,538,000","49,369,000","34,516,000","23,466,000","34,140,000","32,247,000","33,230,000","31,828,000","28,196,000","52,977,000","30,891,000","37,357,000","19,223,000","71,763,000","29,184,000","25,238,000","32,047,000","54,951,000","36,303,000","14,711,000","37,764,000","39,359,000","5,386,000","20,396,000","34,009,000","28,462,000","32,891,000","28,422,000","13,125,000","44,884,000","12,657,000","11,003,000","4,504,000","31,823,000","8,485,000","2,165,000","35,875,000","45,872,000","8,003,000","6,395,000","33,334,000","24,399,000","16,055,000","14,210,000","17,729,000","16,013,000","14,233,000","5,609,000","14,238,000","13,249,000","21,967,000","16,711,000","24,897,000","23,651,000","23,860,000","6,561,000","11,735,000","24,937,000","20,300,000","14,500,000","21,400,000","15,600,000","31,300,000","22,400,000","17,600,000","17,400,000","5,000,000","6,500,000","10,300,000","7,200,000","12,500,000","7,200,000","7,700,000","5,600,000","6,300,000","5,000,000","10,000,000","6,900,000","3,600,000","-1,100,000","8,900,000"
		NetIncomeFromContinuingOperations,"17,917,000","-30,893,000","-11,164,000","96,785,000","-36,811,000","10,976,000","20,113,000","-13,405,000","-75,015,000","-677,918,000","-78,483,000","-25,910,000","-44,871,000","-21,590,000","-41,733,000","-86,709,000","14,471,000","9,854,000","-49,504,000","19,953,000","18,828,000","19,517,000","22,221,000","20,474,000","20,387,000","12,980,000","16,288,000","17,896,000","21,228,000","25,824,000","30,384,000","27,421,000","28,672,000","27,943,000","34,383,000","23,138,000","26,953,000","28,709,000","28,206,000","25,924,000","23,563,000",,,,,,"31,552,000","25,429,000","25,946,000","24,224,000","23,250,000","-746,000","10,650,000","-11,032,000","-92,009,000","17,648,000","20,494,000","17,790,000","19,108,000","16,522,000","14,975,000","10,137,000","15,190,000","12,525,000","12,291,000","20,704,000","25,041,000","13,707,000","21,698,000","26,056,000","24,442,000","24,675,000","22,347,000","20,946,000","17,619,000","12,373,000","11,341,000","10,571,000","9,201,000","11,530,000","10,174,000","10,795,000","10,507,000","6,838,000","8,108,000","11,398,000","21,308,000","20,740,000","20,104,000","18,817,000","15,400,000","14,900,000","15,400,000","14,800,000","14,400,000","13,600,000","12,500,000","11,100,000","10,400,000","9,400,000","8,300,000","8,100,000","7,800,000","7,200,000","6,600,000","6,900,000","6,700,000","6,200,000","5,700,000","4,800,000","5,300,000","5,400,000","5,300,000"
		OperatingGainsLosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,000","148,000","41,000","-78,000",,,,,"38,000",,,"232,000","14,000","0","7,000","36,000","37,000","11,000","-2,619,000","11,656,000","2,163,000","2,440,000","-107,000","2,777,000","7,254,000","1,092,000","1,132,000","19,144,000","2,281,000","1,749,000","1,350,000","1,093,000","574,000","74,000","665,000","691,000","446,000","10,000","101,000","6,296,000","1,243,000","5,859,000","3,176,000","8,298,000","-100,000","6,100,000","800,000",,,,,,,,,"100,000","200,000","100,000","200,000",,,,,,,,
		DepreciationAmortizationDepletion,"149,126,000","36,330,000","36,671,000","36,292,000","39,833,000","39,986,000","40,510,000","40,971,000","43,400,000","57,632,000","57,556,000","57,376,000","57,698,000","58,606,000","55,117,000","82,398,000","5,248,000","5,284,000","5,151,000","5,361,000","5,382,000","5,353,000","5,359,000","5,119,000","5,146,000","5,304,000","5,019,000","4,833,000","4,986,000","4,736,000","4,887,000","4,464,000","4,624,000","3,895,000","3,780,000","3,783,000","4,108,000","4,115,000","4,224,000","4,094,000","3,786,000","3,432,000","3,479,000","3,387,000","3,462,000","4,946,000","3,564,000","3,773,000","3,992,000","-2,185,000","4,304,000","6,878,000","9,147,000","5,225,000","6,624,000","6,850,000","7,123,000","7,474,000","7,038,000","6,872,000","7,102,000","7,327,000","7,401,000","7,217,000","7,206,000","7,461,000","7,221,000","5,961,000","3,601,000","3,388,000","3,231,000","2,850,000","2,759,000","2,834,000","3,169,000","2,731,000","3,619,000","3,057,000","2,853,000","2,692,000","2,880,000","2,959,000","2,618,000","1,990,000","1,897,000","2,157,000","1,872,000","1,779,000","1,226,000","1,372,000","1,300,000","300,000","1,300,000","600,000","1,800,000","700,000","1,600,000","700,000","1,100,000","1,000,000","800,000","800,000","900,000","500,000","700,000","700,000","600,000","600,000","500,000","500,000","300,000","500,000","500,000"
			DepreciationAndAmortization,"149,126,000","36,330,000","36,671,000","36,292,000","39,833,000","39,986,000","40,510,000","40,971,000","43,400,000","57,632,000","57,556,000","57,376,000","57,698,000","58,606,000","55,117,000","82,398,000","5,248,000","5,284,000","5,151,000","5,361,000","5,382,000","5,353,000","5,359,000","5,119,000","5,146,000","5,304,000","5,019,000","4,833,000","4,986,000","4,736,000","4,887,000","4,464,000","4,624,000","3,895,000","3,780,000","3,783,000","4,108,000","4,115,000","4,224,000","4,094,000","3,786,000",,,,,,"3,564,000","3,773,000","3,992,000","-2,185,000","4,304,000","6,878,000","9,147,000","5,225,000","6,624,000","6,850,000","7,123,000","7,474,000","7,038,000","6,872,000","7,102,000","7,327,000","7,401,000","7,217,000","7,206,000","7,461,000","7,221,000","5,961,000","3,601,000","3,388,000","3,231,000","2,850,000","2,759,000","2,834,000","3,169,000","2,731,000","3,619,000","3,057,000","2,853,000","2,692,000","2,880,000","2,959,000","2,618,000","1,990,000","1,897,000","2,157,000","1,872,000","1,779,000","1,226,000","1,372,000","1,300,000","300,000","1,300,000","600,000","1,800,000","700,000","1,600,000","700,000","1,100,000","1,000,000","800,000","800,000","900,000","500,000","700,000","700,000","600,000","600,000","500,000","500,000","300,000","500,000","500,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,564,000","3,773,000","3,992,000",,"4,304,000","6,878,000","9,147,000",,,,,,,,,,,,,"6,965,000","6,802,000","5,836,000","3,480,000","3,293,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"496,000","419,000","125,000","121,000","95,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"496,000","419,000","125,000","121,000","95,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DeferredTax,"-121,698,000","-6,038,000","-4,493,000","-105,224,000","-5,943,000","-5,801,000","-11,317,000","3,113,000","-7,169,000","-30,860,000","-17,369,000","-15,657,000","-33,145,000","-9,945,000","-21,931,000","-22,688,000","4,632,000","-3,026,000","6,106,000","-2,222,000","6,606,000","96,000","-3,252,000","-2,391,000","4,890,000","-10,476,000","-622,000","-1,339,000","4,146,000","-2,634,000","-115,000","-946,000","2,715,000","-6,343,000","-4,763,000","-410,000","5,703,000","2,014,000","2,621,000","-1,914,000","-1,737,000","-5,379,000","86,000","-3,078,000","-763,000","5,378,000","-1,502,000","-1,597,000","-1,249,000","-3,625,000","3,471,000","-10,871,000","-1,424,000","1,951,000","-24,458,000","-2,342,000","-2,004,000","-1,512,000","-2,032,000","-2,297,000","-3,472,000","-2,491,000","-3,110,000","-1,650,000","-1,179,000","-2,879,000","-1,359,000","-1,498,000","1,141,000","-176,000","-465,000","6,320,000","3,000","-8,350,000",,,,"1,266,000","0","0","-55,000","751,000","-300,000","-945,000","1,522,000","-801,000","-256,000","367,000","-716,000","-3,893,000","100,000","-500,000","-2,200,000","2,000,000",,,,,,,,,,,,,,,,,,,
