name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013
TotalAssets,"1,985,958,000","2,031,350,000","2,044,170,000","1,962,166,000","1,904,087,000","1,922,613,000","2,008,387,000","1,958,634,000","2,126,826,000","2,187,533,000","2,225,990,000","2,172,756,000","2,214,279,000","2,084,743,000","2,147,841,000","2,031,168,000","1,990,655,000","2,021,383,000","2,013,475,000","1,759,761,000","1,458,993,000","1,490,155,000","1,453,727,000","1,264,950,000","1,183,191,000","1,106,388,000","1,007,731,000","969,696,000","805,650,000","716,720,000","522,575,000","456,185,000","350,441,000","260,967,000","162,067,000","53,701,000","2,000"
TotalLiabilitiesNetMinorityInterest,"1,035,418,000","1,082,546,000","1,099,776,000","1,037,335,000","993,567,000","1,021,250,000","1,113,165,000","1,075,330,000","1,328,292,000","1,231,062,000","1,247,389,000","1,146,164,000","1,154,092,000","1,021,525,000","1,043,099,000","909,356,000","858,798,000","894,079,000","889,122,000","646,018,000","695,675,000","726,018,000","722,489,000","607,032,000","594,436,000","534,662,000","477,047,000","459,044,000","402,413,000","378,463,000","260,637,000","202,030,000","97,400,000","74,965,000","38,276,000","15,739,000","0"
TotalEquityGrossMinorityInterest,"950,540,000","948,804,000","944,394,000","924,831,000","910,520,000","901,363,000","895,222,000","883,304,000","798,534,000","956,471,000","978,601,000","1,026,592,000","1,060,187,000","1,063,218,000","1,104,742,000","1,121,812,000","1,131,857,000","1,127,304,000","1,124,353,000","1,113,743,000","763,318,000","764,137,000","731,238,000","657,918,000","588,755,000","571,726,000","530,684,000","510,652,000","403,237,000","338,257,000","261,938,000","254,155,000","253,041,000","186,002,000","123,791,000","37,962,000","2,000"
	StockholdersEquity,"950,540,000","948,804,000","944,394,000","924,831,000","910,520,000","901,363,000","895,222,000","883,304,000","798,534,000","956,471,000","978,601,000","1,026,592,000","1,060,187,000","1,063,218,000","1,104,742,000","1,121,812,000","1,131,857,000","1,127,304,000","1,124,353,000","1,113,743,000","763,318,000","764,137,000","731,238,000","657,918,000","588,755,000","571,726,000","530,684,000","510,652,000","403,237,000","338,257,000","261,938,000","254,155,000","253,041,000","186,002,000","123,791,000","37,962,000","2,000"
		CapitalStock,"50,527,000","50,532,000","50,537,000","50,542,000","50,548,000","50,553,000","50,563,000","50,563,000","563,000","578,000","590,000","602,000","613,000","622,000","626,000","626,000","626,000","622,000","619,000","614,000","417,000","417,000","398,000","365,000","333,000","315,000","279,000","268,000","212,000","179,000","135,000","129,000","129,000","96,000","65,000","20,000","1"
			PreferredStock,"50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CommonStock,"527,000","532,000","537,000","542,000","548,000","553,000","563,000","563,000","563,000","578,000","590,000","602,000","613,000","622,000","626,000","626,000","626,000","622,000","619,000","614,000","417,000","417,000","398,000","365,000","333,000","315,000","279,000","268,000","212,000","179,000","135,000","129,000","129,000","96,000","65,000","20,000","1"
		AdditionalPaidInCapital,"1,045,424,000","1,052,427,000","1,060,955,000","1,067,720,000","1,075,871,000","1,081,436,000","1,093,250,000","1,093,250,000","1,093,250,000","1,109,238,000","1,126,845,000","1,144,000,000","1,160,258,000","1,174,334,000","1,179,432,000","1,179,432,000","1,179,432,000","1,172,807,000","1,166,599,000","1,158,621,000","799,688,000","799,580,000","764,157,000","704,123,000","647,000,000","613,944,000","544,712,000","522,674,000","414,628,000","351,636,000","265,203,000","252,407,000","252,404,000","186,965,000","127,482,000","40,527,000","1,999"
		RetainedEarnings,"-143,778,000","-152,522,000","-165,465,000","-191,798,000","-214,266,000","-228,993,000","-246,958,000","-258,876,000","-293,646,000","-151,712,000","-147,201,000","-116,377,000","-99,051,000","-110,105,000","-73,683,000","9,561,000","4,502,000","2,522,000","-280,000","-2,472,000","-1,200,000","-3,207,000","-14,919,000","-14,848,000","-14,371,000","-12,994,000","-9,034,000","-7,698,000","-5,741,000","-4,388,000","731,000","981,000","-74,000","-664,000","-3,381,000","-2,575,000",
		OtherEquityInterest,"-1,633,000","-1,633,000","-1,633,000","-1,633,000","-1,633,000","-1,633,000","-1,633,000","-1,633,000","-1,633,000","-1,633,000","-1,633,000","-1,633,000","-1,633,000","-1,633,000","-1,633,000","-1,633,000","-1,633,000","-1,618,000","-1,588,000","-1,560,000","-74,000","-74,000","-74,000","-74,000","-74,000","-74,000","-74,000","-74,000","-74,000","-74,000","-74,000","-74,000","-74,000","-74,000","-74,000","-74,000",
