name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000
TotalRevenue,"478,304,000","119,793,000","128,656,000","113,877,000","115,978,000","114,927,000","118,718,000","102,803,000","84,780,000","109,383,000","131,416,000","123,463,000","125,539,000","114,757,000","140,991,000","130,638,000","130,653,000","128,609,000","131,439,000","122,643,000","122,227,000","124,660,000","107,699,000","90,906,000","95,958,000","87,329,000","99,950,000","94,583,000","91,937,000","89,395,000","94,010,000","89,876,000","86,325,000","85,624,000","90,637,000","85,392,000","82,250,000","85,834,000","91,034,000","80,724,000","61,013,000","59,510,000","64,111,000","51,338,000","58,095,000","59,108,000","63,519,000","53,279,000","52,697,000","49,160,000","51,634,000","44,251,000","37,263,000","33,357,000","43,396,000","41,714,000","39,862,000","36,859,000","34,234,000","28,830,000","28,260,000","27,050,000","28,759,000","21,806,000","19,966,000","19,383,000","12,623,000","10,551,000","10,168,000","9,702,000","10,526,000","9,011,000","8,398,000","8,703,000","9,918,000","7,960,000","7,063,000","6,661,000","7,686,000","6,781,000","6,470,000","6,076,000","7,516,000","6,324,000","7,243,000","6,318,000","6,971,000","6,653,000","6,097,000"
	OperatingRevenue,"478,304,000","119,793,000","128,656,000","113,877,000","115,978,000","114,927,000","118,718,000","102,803,000","84,780,000","109,383,000","131,416,000","123,463,000","125,539,000","114,757,000","140,991,000","130,638,000","130,653,000","128,609,000","131,439,000","122,643,000","122,227,000","124,660,000","107,699,000","90,906,000","95,958,000","87,329,000","99,950,000","94,583,000","91,937,000","89,395,000","94,010,000","89,876,000","86,325,000","85,624,000","90,637,000","85,392,000","82,250,000","85,834,000","91,034,000","80,724,000","61,013,000","59,510,000","64,111,000","51,338,000","58,095,000","59,108,000","63,519,000","53,279,000","52,697,000","49,160,000","51,634,000","44,251,000","37,263,000","33,357,000","43,396,000","41,714,000","39,862,000","36,859,000","34,234,000","28,830,000","28,260,000","27,050,000","28,759,000","21,806,000","19,966,000","19,383,000","12,623,000","10,551,000","10,168,000","9,702,000","10,526,000","9,011,000","8,398,000","8,703,000","9,918,000","7,960,000","7,063,000","6,661,000","7,686,000","6,781,000","6,470,000","6,076,000","7,516,000","6,324,000","7,243,000","6,318,000","6,971,000","6,653,000","6,097,000"
CostOfRevenue,"205,700,000","54,381,000","55,613,000","46,129,000","49,577,000","48,439,000","53,048,000","55,277,000","44,227,000","46,601,000","50,990,000","50,442,000","53,910,000","48,126,000","60,792,000","53,513,000","55,614,000","56,956,000","57,352,000","48,402,000","56,089,000","57,913,000","42,599,000","32,806,000","38,483,000","33,070,000","41,812,000","36,203,000","34,527,000","35,787,000","36,073,000","34,345,000","35,295,000","35,733,000","37,563,000","34,058,000","33,859,000","36,601,000","39,547,000","36,453,000","26,771,000","26,042,000","28,611,000","23,765,000","25,028,000","24,372,000","25,743,000","21,831,000","21,575,000","19,548,000","21,801,000","17,450,000","14,370,000","13,049,000","15,718,000","15,835,000","15,374,000","14,005,000","12,646,000","10,129,000","10,151,000","10,175,000","10,856,000","8,299,000","7,216,000","7,294,000","4,657,000","3,645,000","3,919,000","3,870,000","3,645,000","3,864,000","3,748,000","3,895,000","4,343,000","3,544,000","2,848,000","2,512,000","3,948,000","2,886,000","2,920,000","2,516,000","3,273,000","2,432,000","2,710,000","2,428,000","2,446,000","2,391,000","2,142,000"
GrossProfit,"272,604,000","65,412,000","73,043,000","67,748,000","66,401,000","66,488,000","65,670,000","47,526,000","40,553,000","62,782,000","80,426,000","73,021,000","71,629,000","66,631,000","80,199,000","77,125,000","75,039,000","71,653,000","74,087,000","74,241,000","66,138,000","66,747,000","65,100,000","58,100,000","57,475,000","54,259,000","58,138,000","58,380,000","57,410,000","53,608,000","57,937,000","55,531,000","51,030,000","49,891,000","53,074,000","51,334,000","48,391,000","49,233,000","51,487,000","44,271,000","34,242,000","33,468,000","35,500,000","27,573,000","33,067,000","34,736,000","37,776,000","31,448,000","31,122,000","29,612,000","29,833,000","26,801,000","22,893,000","20,308,000","27,678,000","25,879,000","24,488,000","22,854,000","21,588,000","18,701,000","18,109,000","16,875,000","17,903,000","13,507,000","12,750,000","12,089,000","7,966,000","6,906,000","6,249,000","5,832,000","6,881,000","5,147,000","4,650,000","4,808,000","5,575,000","4,416,000","4,215,000","4,149,000","3,738,000","3,895,000","3,550,000","3,560,000","4,243,000","3,892,000","4,533,000","3,890,000","4,525,000","4,262,000","3,955,000"
OperatingExpense,"239,619,000","59,180,000","61,114,000","59,061,000","60,266,000","61,763,000","58,690,000","57,114,000","51,969,000","65,142,000","70,473,000","63,826,000","61,459,000","66,878,000","72,286,000","68,603,000","76,889,000","73,569,000","69,037,000","65,380,000","72,108,000","65,058,000","49,997,000","42,665,000","42,462,000","43,013,000","46,303,000","42,262,000","43,247,000","40,106,000","43,836,000","42,765,000","40,724,000","41,210,000","38,950,000","42,196,000","42,233,000","44,374,000","42,348,000","49,122,000","33,437,000","33,307,000","33,208,000","28,616,000","29,911,000","29,695,000","30,110,000","25,587,000","26,610,000","29,820,000","24,712,000","21,630,000","19,471,000","19,205,000","19,225,000","18,944,000","18,688,000","18,559,000","15,479,000","14,293,000","14,861,000","14,428,000","13,272,000","10,241,000","10,231,000","9,806,000","5,861,000","5,599,000","5,099,000","4,961,000","5,352,000","4,168,000","6,837,000","5,424,000","5,342,000","5,531,000","5,586,000","5,233,000","6,076,000","5,929,000","5,969,000","5,555,000","5,720,000","5,287,000","4,531,000","5,026,000","4,109,000","4,100,000","4,054,000"
	SellingGeneralAndAdministration,"167,299,000","42,358,000","41,732,000","41,113,000","42,098,000","43,826,000","40,074,000","38,419,000","33,989,000","43,912,000","47,837,000","45,961,000","44,927,000","50,034,000","45,939,000","48,999,000","57,122,000","53,320,000","47,983,000","49,866,000","54,510,000","48,231,000","36,908,000","32,567,000","33,160,000","33,077,000","35,454,000","32,526,000","33,764,000","32,294,000","35,617,000","34,577,000","32,851,000","33,702,000","31,214,000","34,660,000","33,607,000","36,162,000","34,242,000","40,610,000","26,843,000","26,552,000","26,223,000","22,497,000","23,740,000","23,408,000","24,015,000","20,767,000","21,372,000","24,690,000","19,875,000","17,455,000","15,521,000","15,491,000","15,610,000","14,878,000","14,620,000","14,732,000","11,910,000","10,414,000","10,489,000","10,604,000","10,055,000","7,803,000","7,772,000","7,316,000","4,776,000","4,437,000","4,021,000","3,968,000","4,328,000","3,498,000","5,765,000","4,397,000","4,345,000","4,535,000","4,766,000","4,202,000","4,827,000","4,524,000","4,558,000","4,355,000","4,467,000","3,865,000","3,980,000","3,727,000","2,989,000","2,997,000","2,978,000"
		GeneralAndAdministrativeExpense,"50,705,000","12,807,000","12,437,000","12,853,000","12,610,000","14,855,000","12,359,000","12,384,000","11,187,000","13,182,000","15,541,000","15,113,000","12,691,000","16,305,000","11,733,000","15,799,000","23,721,000","17,448,000","16,923,000","17,329,000","24,156,000","16,016,000","13,652,000","12,821,000","11,923,000","12,481,000","13,124,000","10,031,000","11,656,000","11,552,000","11,441,000","14,732,000","10,823,000","12,280,000","8,368,000","14,323,000","11,759,000","13,966,000","11,713,000","18,809,000","10,913,000","9,528,000","8,052,000","7,809,000","7,986,000","9,032,000","9,204,000","8,074,000","7,791,000","10,917,000","6,671,000","5,688,000","5,270,000","5,504,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"50,705,000","12,807,000","12,437,000","12,853,000","12,610,000","14,855,000","12,359,000","12,384,000","11,187,000","13,182,000","15,541,000","15,113,000","12,691,000","16,305,000","11,733,000","15,799,000","23,721,000","17,448,000","16,923,000","17,329,000","24,156,000","16,016,000","13,652,000","12,821,000","11,923,000","12,481,000","13,124,000","10,031,000","11,656,000","11,552,000","11,441,000","14,732,000","10,823,000","12,280,000","8,368,000","14,323,000","11,759,000","13,966,000","11,713,000","18,809,000","10,913,000","9,528,000","8,052,000","7,809,000","7,986,000","9,032,000","9,204,000","8,074,000","7,791,000","10,917,000","6,671,000","5,688,000","5,270,000","5,504,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"116,594,000","29,551,000","29,295,000","28,260,000","29,488,000","28,971,000","27,715,000","26,035,000","22,802,000","30,730,000","32,296,000","30,848,000","32,236,000","33,729,000","34,206,000","33,200,000","33,401,000","35,872,000","31,060,000","32,537,000","30,354,000","32,215,000","23,256,000","19,746,000","21,237,000","20,596,000","22,330,000","22,495,000","22,108,000","20,742,000","24,176,000","19,845,000","22,028,000","21,422,000","22,846,000","20,337,000","21,848,000","22,196,000","22,529,000","21,801,000","15,930,000","17,024,000","18,171,000","14,688,000","15,754,000","14,376,000","14,811,000","12,693,000","13,581,000","13,773,000","13,204,000","11,767,000","10,251,000","9,987,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"55,490,000","13,224,000","13,750,000","14,267,000","14,249,000","14,040,000","14,722,000","14,670,000","14,336,000","17,569,000","18,792,000","14,114,000","12,769,000","13,058,000","15,296,000","15,127,000","15,616,000","15,443,000","13,724,000","11,632,000","13,713,000","12,753,000","10,847,000","7,689,000","7,105,000","7,802,000","8,567,000","7,700,000","7,309,000","6,857,000","8,219,000","8,188,000","7,873,000","7,508,000","7,736,000","7,536,000","8,626,000","8,212,000","8,106,000","8,512,000","6,594,000","6,755,000","6,985,000","6,119,000","6,171,000","6,287,000","6,095,000","4,820,000","5,238,000","5,130,000","4,837,000","4,175,000","3,950,000","3,714,000","3,615,000","4,066,000","4,068,000","3,827,000","3,569,000","3,879,000","4,372,000","3,824,000","3,217,000","2,438,000","2,459,000","2,490,000","1,085,000","1,162,000","1,078,000","993,000","1,024,000","670,000","1,072,000","1,027,000","996,000","996,000","820,000","1,031,000","1,200,000","1,344,000","1,275,000","1,056,000","1,105,000","1,184,000","1,018,000","1,011,000","938,000","915,000","862,000"
