name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991
OperatingCashFlow,"8,514,500,000","2,101,700,000","2,372,500,000","3,413,600,000","626,700,000","668,500,000","1,231,000,000","-254,300,000","943,400,000","698,000,000","787,400,000","557,300,000","188,300,000","897,000,000","728,831,000","452,961,000","394,565,000","618,743,000","566,949,000","414,832,000","-30,570,000","355,901,000","377,879,000","651,029,000","415,148,000","29,340,000","281,823,000","892,853,000","243,606,000","-87,502,000","198,283,000","163,557,000","327,790,000","53,527,000","276,781,000","92,455,000","128,164,000","86,248,000","93,185,000","-2,382,000","-78,377,000","-87,041,000","-50,317,000","-46,735,000","-34,050,000","-10,580,000","-41,699,000","160,669,000","-12,625,000","-10,001,000","-46,404,000","-9,822,000","-5,805,000","-10,199,000","-35,840,000","-41,546,000","6,197,000","-17,897,000","50,817,000","-10,700,000","-3,507,000","-9,238,000","53,303,000","-14,831,000","-20,675,000","5,278,000","-19,847,000","-14,998,000","-28,583,000","33,132,000","-12,199,000","-3,586,000","17,458,000","-18,582,000","-28,429,000","61,810,000","-40,707,000","1,193,000","-31,026,000","-23,854,000","-29,589,000","-26,054,000","-17,654,000","-21,891,000","-9,378,000","-8,397,000","-3,770,000","-4,204,000","-3,349,000","-16,587,000","7,000,000","-7,700,000","-4,700,000","-8,400,000","-5,700,000","4,200,000","-4,500,000","-4,200,000","3,100,000","-1,700,000","-4,100,000","-3,400,000","-100,000","-7,000,000","-5,900,000","-7,300,000","2,100,000","-11,300,000","-2,400,000","-6,600,000","-11,400,000","-5,900,000","5,800,000","-9,000,000","-9,000,000","-6,000,000","-7,800,000","-7,300,000","-6,000,000","-3,800,000","-4,200,000","-3,200,000","-1,400,000","-2,700,000"
	CashFlowFromContinuingOperatingActivities,"8,514,500,000","2,101,700,000","2,372,500,000","3,413,600,000","626,700,000","668,500,000","1,231,000,000","-254,300,000","943,400,000","698,000,000","787,400,000","557,300,000","188,300,000","897,000,000","728,831,000","452,961,000","394,565,000","618,743,000","566,949,000","414,832,000","-30,570,000","355,901,000","377,879,000","651,029,000","415,148,000","29,340,000","281,823,000","892,853,000","243,606,000","-87,502,000","198,283,000","163,557,000","327,790,000","53,527,000","276,781,000","92,455,000","128,164,000","86,248,000","93,185,000","-2,382,000","-78,377,000","-87,041,000","-50,317,000","-46,735,000","-34,050,000","-10,580,000","-41,699,000","160,669,000","-12,625,000","-10,001,000","-46,404,000","-9,822,000","-5,805,000","-10,199,000","-35,840,000","-41,546,000","6,197,000","-17,897,000","50,817,000","-10,700,000","-3,507,000","-9,238,000","53,303,000","-14,831,000","-20,675,000","5,278,000","-19,847,000","-14,998,000","-28,583,000","33,132,000","-12,199,000","-3,586,000","17,458,000","-18,582,000","-28,429,000","61,810,000","-40,707,000","1,193,000","-31,026,000","-23,854,000","-29,589,000","-26,054,000","-17,654,000","-21,891,000","-9,378,000","-8,397,000","-3,770,000","-4,204,000","-3,349,000","-16,587,000","7,000,000","-7,700,000","-4,700,000","-8,400,000","-5,700,000","4,200,000","-4,500,000","-4,200,000","3,100,000","-1,700,000","-4,100,000","-3,400,000","-100,000","-7,000,000","-5,900,000","-7,300,000","2,100,000","-11,300,000","-2,400,000","-6,600,000","-11,400,000","-5,900,000","5,800,000","-9,000,000","-9,000,000","-6,000,000","-7,800,000","-7,300,000","-6,000,000","-3,800,000","-4,200,000","-3,200,000","-1,400,000","-2,700,000"
		NetIncomeFromContinuingOperations,"7,933,600,000","973,500,000","2,229,000,000","1,632,200,000","3,098,900,000","1,115,200,000","1,149,200,000","842,100,000","897,300,000","624,600,000","792,000,000","669,600,000","193,100,000","461,100,000","820,353,000","594,655,000","551,412,000","477,980,000","173,519,000","388,317,000","387,744,000","248,931,000","253,115,000","264,804,000","211,867,000","165,736,000","154,994,000","210,398,000","194,643,000","76,021,000","110,176,000","79,720,000","92,735,000","65,443,000","96,806,000","141,306,000","87,376,000","98,874,000","470,407,000","191,468,000","76,743,000","11,651,000",,,,"-43,447,000","-14,597,000","-33,875,000","-25,474,000","-30,522,000","-36,489,000","-1,015,000","-12,845,000","-17,481,000","-31,518,000","-21,115,000","-18,459,000","-11,618,000","-13,071,000","-35,838,000","-26,774,000","-29,917,000","-30,971,000","-27,410,000","-23,576,000","-20,380,000","-29,672,000","-34,652,000","-26,999,000","-4,123,000","2,792,000","-11,076,000","-14,549,000","64,532,000","-19,377,000","-29,235,000","-28,736,000","-30,110,000","-35,693,000","-32,816,000","-30,423,000","-25,445,000","-28,378,000","-19,931,000","-14,834,000","-13,037,000","-9,739,000","-3,211,000","-2,947,000","-7,318,000","-1,400,000","-4,900,000","-7,900,000","-8,900,000","-5,500,000","-1,400,000","2,100,000","-3,800,000","500,000","-1,900,000","-4,300,000","-5,900,000","-8,100,000","-8,900,000","-7,600,000","-7,800,000","-7,800,000","-7,100,000","-4,400,000","-4,200,000","-5,800,000","-3,900,000","-10,300,000","-10,700,000","-11,500,000","-9,700,000","-9,400,000","-9,300,000","-6,400,000","-5,700,000","-3,700,000","-3,300,000","-2,100,000","-900,000"
		OperatingGainsLosses,"-38,100,000","204,500,000","137,600,000","29,300,000",,,,,,,,,,,,,,,,,,,,,,,"1,934,000","21,000","15,964,000","942,000","22,682,000","0",,,,,,,,,,,,,,,"51,000","42,000",,,"0",,,,"1,082,000",,,,,,,,,"0","0","-813,000",,,"5,822,000","5,881,000","626,000","271,000","962,000","-17,086,000","892,000",,,,"483,000","1,336,000","-440,000","441,000","712,000","-241,000","65,000","1,232,000","2,688,000","1,099,000","1,080,000","1,271,000","1,800,000","900,000","800,000","1,000,000","1,100,000","700,000","300,000","800,000","700,000","700,000","600,000","1,800,000","4,100,000","4,200,000","3,600,000","2,800,000","5,000,000","3,700,000","2,800,000","2,600,000","2,600,000","2,800,000","2,200,000","2,400,000","1,900,000",,,,,,,,"-800,000","-600,000"
			GainLossOnInvestmentSecurities,"-38,100,000","204,500,000","137,600,000","29,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"51,000","42,000",,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"293,100,000","74,300,000","74,500,000","73,200,000","71,100,000","67,400,000","61,700,000","59,300,000","58,800,000","56,100,000","54,300,000","52,900,000","52,100,000","51,000,000","42,759,000","35,441,000","33,642,000","36,358,000","34,507,000","37,719,000","35,126,000","38,115,000","28,900,000","27,839,000","25,029,000","22,977,000","22,910,000","20,674,000","15,298,000","16,027,000","14,135,000","14,005,000","13,016,000","11,530,000","11,292,000","10,803,000","9,702,000","9,407,000","9,778,000","9,329,000","9,417,000","8,416,000","7,926,000","8,276,000","7,902,000","6,978,000","6,086,000","4,894,000","4,524,000","4,183,000","4,935,000","3,590,000","2,998,000","2,724,000","2,626,000","2,774,000","2,941,000","2,946,000","2,899,000","2,859,000","2,874,000","2,855,000","3,396,000","3,708,000","3,690,000","3,798,000","3,880,000","3,935,000","3,831,000","3,858,000","3,916,000","3,876,000","3,797,000","3,773,000","4,314,000","3,656,000","2,679,000","2,288,000","2,049,000","2,169,000","2,228,000","2,008,000","1,810,000","1,519,000","1,419,000","1,329,000","1,296,000","1,154,000","1,045,000","926,000","900,000","900,000","900,000","700,000","700,000","700,000","700,000","900,000","1,100,000","900,000","1,200,000","1,200,000","1,600,000","1,500,000","1,500,000","1,500,000","1,300,000","1,600,000","1,400,000","1,600,000","1,200,000","1,100,000","1,000,000","900,000","900,000","800,000","700,000","700,000","600,000","500,000","500,000","400,000","300,000","200,000"
			DepreciationAndAmortization,"293,100,000","74,300,000","74,500,000","73,200,000","71,100,000","67,400,000","61,700,000","59,300,000","58,800,000","56,100,000","54,300,000","52,900,000","52,100,000","51,000,000","42,759,000","35,441,000","33,642,000","36,358,000","34,507,000","37,719,000","35,126,000","38,115,000","28,900,000","27,839,000","25,029,000","22,977,000","22,910,000","20,674,000","15,298,000","16,027,000","14,135,000","14,005,000","13,016,000","11,530,000","11,292,000","10,803,000","9,702,000","9,407,000","9,778,000","9,329,000","9,417,000","8,416,000","7,926,000","8,276,000","7,902,000","6,978,000","6,086,000","4,894,000","4,524,000","4,183,000","4,935,000","3,590,000","2,998,000","2,724,000","2,626,000","2,774,000","2,941,000","2,946,000","2,899,000","2,859,000","2,874,000","2,855,000","3,396,000","3,708,000","3,690,000","3,798,000","3,880,000","3,935,000","3,831,000","3,858,000","3,916,000","3,876,000","3,797,000","3,773,000","4,314,000","3,656,000","2,679,000","2,288,000","2,049,000","2,169,000","2,228,000","2,008,000","1,810,000","1,519,000","1,419,000","1,329,000","1,296,000","1,154,000","1,045,000","926,000","900,000","900,000","900,000","700,000","700,000","700,000","700,000","900,000","1,100,000","900,000","1,200,000","1,200,000","1,600,000","1,500,000","1,500,000","1,500,000","1,300,000","1,600,000","1,400,000","1,600,000","1,200,000","1,100,000","1,000,000","900,000","900,000","800,000","700,000","700,000","600,000","500,000","500,000","400,000","300,000","200,000"
		DeferredTax,"-382,200,000","-225,000,000","-205,900,000","7,000,000","41,700,000","10,100,000","-42,300,000","-100,000","108,100,000","9,900,000","-20,600,000","15,300,000","-114,600,000","-10,700,000","-106,479,000","-18,034,000","-9,121,000","-6,366,000","427,051,000","-50,505,000","-16,749,000","-40,988,000","-169,751,000","-27,675,000","-82,867,000","-79,785,000","-55,648,000","-6,906,000","-48,181,000","-10,888,000","-16,138,000","-17,923,000","-24,021,000","-8,522,000","-19,289,000","-9,632,000","52,997,000","39,525,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DeferredIncomeTax,"-382,200,000","-225,000,000","-205,900,000","7,000,000","41,700,000","10,100,000","-42,300,000","-100,000","108,100,000","9,900,000","-20,600,000","15,300,000","-114,600,000","-10,700,000","-106,479,000","-18,034,000","-9,121,000","-6,366,000","427,051,000","-50,505,000","-16,749,000","-40,988,000","-169,751,000","-27,675,000","-82,867,000","-79,785,000","-55,648,000","-6,906,000","-48,181,000","-10,888,000","-16,138,000","-17,923,000","-24,021,000","-8,522,000","-19,289,000","-9,632,000","52,997,000","39,525,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"637,700,000","166,900,000","188,400,000","136,900,000","145,500,000","130,900,000","121,500,000","101,200,000","103,500,000","105,800,000","133,500,000","117,100,000","105,800,000","107,900,000","126,748,000","111,435,000","106,795,000","82,422,000","127,133,000","125,097,000","121,258,000","133,789,000","154,558,000","131,379,000","131,691,000","142,250,000","158,392,000","102,641,000","94,257,000","103,759,000","81,454,000","73,864,000","70,512,000","81,408,000","55,182,000","45,744,000","44,443,000","53,030,000",,,"19,606,000","23,244,000","15,533,000","13,364,000","12,396,000","14,801,000","13,566,000","8,790,000","8,707,000","8,834,000","8,657,000","7,508,000","7,440,000","7,654,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
