name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010
OperatingCashFlow,"567,900,000","35,900,000","106,100,000","192,900,000","233,000,000","47,800,000","114,500,000","217,200,000","319,400,000","-19,400,000","108,400,000","183,200,000","300,000,000","-33,900,000","238,700,000","128,200,000","327,500,000","59,100,000","204,500,000","178,500,000","234,700,000","-2,900,000","-23,600,000","134,900,000","171,100,000","107,700,000","88,700,000","189,900,000","103,300,000","101,200,000","57,200,000","108,600,000","56,000,000","-6,400,000","24,900,000","53,000,000","47,600,000","-5,000,000","23,600,000","48,700,000","28,200,000","40,900,000","26,200,000","25,700,000","57,800,000","22,600,000","37,700,000","56,200,000"
	CashFlowFromContinuingOperatingActivities,"643,300,000","37,500,000","106,100,000","192,900,000","233,000,000","47,800,000","114,500,000","217,200,000","319,400,000","-19,400,000","108,400,000","183,200,000","300,000,000","-33,900,000","238,700,000","128,200,000","327,500,000","59,100,000","204,500,000","178,500,000","234,700,000","-2,900,000","-23,600,000","134,900,000","171,100,000","107,700,000","88,700,000","189,900,000","103,300,000","101,200,000","57,200,000","108,600,000","56,000,000","-6,400,000","24,900,000","53,000,000","47,600,000","-5,000,000","23,600,000","48,700,000","28,200,000","40,900,000","26,200,000","25,700,000","57,800,000","22,600,000","37,700,000","56,200,000"
		NetIncomeFromContinuingOperations,"517,000,000","492,700,000","-9,200,000","49,200,000","-44,300,000","110,800,000","91,000,000","67,300,000","40,400,000","-185,800,000","107,100,000","-60,700,000","16,500,000","44,300,000","125,900,000","-15,400,000","96,800,000","91,800,000","295,200,000","14,200,000","-59,500,000","-4,000,000","97,600,000","-37,000,000","3,300,000","4,900,000","25,500,000","-72,500,000","24,000,000","30,500,000","-97,300,000","-287,400,000","-35,100,000","-18,300,000","-2,400,000","-900,000","3,400,000","5,100,000","7,600,000",,,,,,,,,
		OperatingGainsLosses,"-389,200,000","-540,300,000","52,200,000","-18,800,000","117,600,000","-98,500,000","-34,400,000","-21,300,000","8,400,000","295,300,000","-53,100,000","104,300,000","92,300,000","69,100,000","-56,400,000","-26,300,000","-22,200,000","-50,600,000","34,200,000","12,300,000","170,300,000","60,900,000","-145,000,000","99,400,000","62,600,000","90,900,000","15,900,000","49,200,000","-42,300,000","30,100,000","55,500,000","29,900,000","11,200,000",,,,,,,,,,,"-1,300,000",,,,"-800,000"
			GainLossOnSaleOfBusiness,,,,,,,,"0",,,,"700,000","0","-2,600,000","-124,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,,,,,,,,,,,,,,,,"-600,000",,,,"4,100,000",,,,,,,,,"-400,000","1,300,000","900,000","1,300,000","-600,000",,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-476,400,000","-578,300,000","33,600,000","-36,200,000","105,900,000","-200,200,000","-42,300,000","-29,600,000","4,200,000","224,200,000","-73,300,000","92,600,000","86,100,000","62,900,000","51,500,000","-25,300,000","-17,400,000","-50,900,000","-3,100,000","8,200,000","44,800,000","-1,600,000","-145,000,000","13,000,000","62,600,000","90,900,000","15,900,000","51,000,000","-41,900,000","28,800,000","54,600,000","28,600,000",,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"66,300,000","18,700,000","18,600,000","17,400,000","11,600,000","7,000,000","7,900,000","8,300,000","4,200,000","11,100,000","7,300,000","11,300,000","6,200,000","8,800,000","10,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,300,000",,,,"-800,000"
		DepreciationAmortizationDepletion,"435,000,000","90,000,000","101,700,000","103,300,000","109,400,000","113,400,000","94,100,000","95,800,000","92,700,000","91,500,000","90,300,000","91,500,000","96,700,000","97,800,000","93,600,000","97,600,000","105,700,000","104,600,000","90,500,000","90,200,000","77,800,000","78,000,000","77,100,000","75,900,000","75,700,000","76,400,000","74,800,000","76,100,000","70,400,000","63,200,000","63,100,000","61,900,000","42,700,000","30,100,000","21,100,000","22,600,000","21,800,000","16,200,000","16,200,000","16,300,000","16,000,000","16,000,000","14,900,000","14,900,000","14,700,000","14,500,000","14,600,000","13,800,000"
			DepreciationAndAmortization,"435,000,000","90,000,000","101,700,000","103,300,000","109,400,000","113,400,000","94,100,000","95,800,000","92,700,000","91,500,000","90,300,000","91,500,000","96,700,000","97,800,000","93,600,000","97,600,000","105,700,000","104,600,000","90,500,000","90,200,000","77,800,000","78,000,000","77,100,000","75,900,000","75,700,000","76,400,000","74,800,000","76,100,000","70,400,000","63,200,000","63,100,000","61,900,000","42,700,000","30,100,000","21,100,000","22,600,000","21,800,000","16,200,000","16,200,000","16,300,000","16,000,000","16,000,000","14,900,000","14,900,000","14,700,000","14,500,000","14,600,000","13,800,000"
