name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014
TotalRevenue,"207,029,000","54,397,000","52,654,000","50,706,000","49,272,000","46,746,000","44,617,000","42,968,000","40,929,000","42,429,000","40,881,000","40,183,000","39,568,000","39,601,000","38,035,000","36,122,000","34,675,000","34,803,000","33,838,000","33,511,000","33,153,000","32,707,000","31,179,000","30,816,000","30,911,000","31,111,000","19,529,000","4,413,000","4,624,000","4,890,000","4,330,000","4,339,000"
	OperatingRevenue,"207,029,000","54,397,000","52,654,000","50,706,000","49,272,000","46,746,000","44,617,000","42,968,000","40,929,000","42,429,000","40,881,000","40,183,000","39,568,000","39,601,000","38,035,000","36,122,000","34,675,000","34,803,000","33,838,000","33,511,000","33,153,000","32,707,000","31,179,000","30,816,000","30,911,000","31,111,000","19,529,000","4,413,000","4,624,000","4,890,000","4,330,000","4,339,000"
CostOfRevenue,"32,474,000","8,732,000","7,952,000","7,999,000","7,791,000","5,861,000","5,252,000","4,825,000","4,376,000","5,137,000","5,398,000","5,151,000","5,371,000","5,291,000","4,644,000","4,713,000","4,786,000","4,870,000","4,829,000","4,571,000","4,583,000","4,668,000","4,253,000","4,308,000","4,593,000","4,698,000","5,628,000","3,547,000","4,335,000","4,513,000","3,692,000","3,562,000"
GrossProfit,"174,555,000","45,665,000","44,702,000","42,707,000","41,481,000","40,885,000","39,365,000","38,143,000","36,553,000","37,292,000","35,483,000","35,032,000","34,197,000","34,310,000","33,391,000","31,409,000","29,889,000","29,933,000","29,009,000","28,940,000","28,570,000","28,039,000","26,926,000","26,508,000","26,318,000","26,413,000","13,901,000","866,000","289,000","377,000","638,000","777,000"
OperatingExpense,"54,450,000","14,973,000","13,531,000","13,093,000","12,853,000","12,999,000","11,506,000","11,264,000","10,812,000","10,896,000","9,948,000","10,042,000","9,949,000","10,307,000","11,113,000","8,968,000","8,429,000","9,014,000","8,601,000","8,324,000","8,885,000","8,272,000","7,773,000","7,667,000","7,609,000","8,504,000","3,441,000","749,000","185,000","212,000","761,000","796,000"
	SellingGeneralAndAdministration,"18,156,000","5,269,000","4,160,000","4,262,000","4,465,000","4,763,000","3,743,000","3,741,000","3,719,000","3,842,000","3,168,000","3,389,000","3,431,000","3,946,000","3,541,000","3,225,000","3,204,000","3,669,000","3,044,000","2,899,000","3,459,000","2,863,000","2,543,000","2,608,000","2,508,000","3,317,000","288,000","541,000","0","0","529,000","583,000"
		GeneralAndAdministrativeExpense,"18,156,000","5,269,000","4,160,000","4,262,000","4,465,000","4,763,000","3,743,000","3,741,000","3,719,000","3,842,000","3,168,000","3,389,000","3,431,000","3,946,000","3,541,000","3,225,000","3,204,000","3,669,000","3,044,000","2,899,000","3,459,000","2,863,000","2,543,000","2,608,000","2,508,000","3,317,000",,,"0","0",,
			OtherGandA,"18,156,000","5,269,000","4,160,000","4,262,000","4,465,000","4,763,000","3,743,000","3,741,000","3,719,000","3,842,000","3,168,000","3,389,000","3,431,000","3,946,000","3,541,000","3,225,000","3,204,000","3,669,000","3,044,000","2,899,000","3,459,000","2,863,000","2,543,000","2,608,000","2,508,000","3,317,000",,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"36,294,000","9,704,000","9,371,000","8,831,000","8,388,000","8,236,000","7,763,000","7,523,000","7,093,000","7,054,000","6,780,000","6,653,000","6,518,000","6,361,000","7,572,000","5,743,000","5,225,000","5,345,000","5,557,000","5,425,000","5,426,000","5,409,000","5,230,000","5,059,000","5,101,000","5,187,000","3,153,000","208,000","185,000","212,000","232,000","213,000"
		DepreciationAndAmortizationInIncomeStatement,"36,294,000","9,704,000","9,371,000","8,831,000","8,388,000","8,236,000","7,763,000","7,523,000","7,093,000","7,054,000","6,780,000","6,653,000","6,518,000","6,361,000","7,572,000","5,743,000","5,225,000","5,345,000","5,557,000","5,425,000","5,426,000","5,409,000","5,230,000","5,059,000","5,101,000","5,187,000","3,153,000","208,000","185,000","212,000","232,000","213,000"
