name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016
OperatingCashFlow,"-36,091,000","-79,021,000","-12,146,000","12,674,000","42,402,000","-53,780,000","116,543,000","5,832,000","9,547,000","-74,177,000","135,285,000","5,358,000","-23,284,000","-37,547,000","15,383,000","3,474,000","13,316,000","14,845,000","-243,306","-53,725","-74,984","-126,629","-44,800","-108,502","-230","-135"
	CashFlowFromContinuingOperatingActivities,"-36,091,000","-79,021,000","-12,146,000","12,674,000","42,402,000","-53,780,000","116,543,000","5,832,000","9,547,000","-74,177,000","135,285,000","5,358,000","-23,284,000","-37,547,000","15,383,000","3,474,000","13,316,000","14,845,000","-243,306","-53,725","-74,985","-126,628","-44,800","-108,502","-230","-135"
		NetIncomeFromContinuingOperations,"-90,366,000","-27,071,000","31,655,000","-99,649,000","4,699,000","-20,434,000","-1,392,000","11,266,000","3,597,000","-12,743,000","10,303,000","12,609,000","6,208,000","-22,889,000","10,985,000","5,736,000","4,915,000","-17,392,000","40,153","114,565","79,965","-31,464","4,685","-15,603","-230","-135"
		OperatingGainsLosses,"105,784,000","1,428,000","-12,528,000","118,292,000","-1,408,000","300,000","555,000","-1,631,000","2,886,000","7,645,000","8,126,000","4,761,000","743,000","868,000","1,013,000","123,000","63,000","155,000",,,,,,,,
			GainLossOnSaleOfPPE,,,,"0",,,,"677,000",,,,"-19,000","629,000","133,000",,"44,000",,,,,,,,,,
			GainLossOnInvestmentSecurities,"5,463,000","1,428,000","-12,881,000","17,582,000","-666,000","300,000","999,000","-2,999,000","1,771,000","9,016,000","8,516,000",,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,,,"353,000","-296,000",,,"807,000","691,000","541,000","-1,371,000","353,000","645,000","114,000","735,000","-795,000","79,000","79,000","155,000",,,,,,,,
		DepreciationAmortizationDepletion,"48,566,000","12,286,000","12,672,000","12,577,000","11,031,000","10,799,000","11,116,000","12,565,000","12,113,000","11,888,000","11,847,000","12,572,000","11,784,000","12,017,000","10,108,000","2,614,000","2,005,000","1,972,000",,,,,,,,
			DepreciationAndAmortization,"48,566,000","12,286,000","12,672,000","12,577,000","11,031,000","10,799,000","11,116,000","12,565,000","12,113,000","11,888,000","11,847,000","12,572,000","11,784,000","12,017,000","10,108,000","2,614,000","2,005,000","1,972,000",,,,,,,,
		DeferredTax,"1,236,000","-11,424,000","6,246,000","2,249,000","4,165,000","-2,392,000","1,322,000","6,155,000","4,739,000","-1,080,000","1,510,000","-556,000","6,112,000","-8,629,000","-11,440,000","851,000","1,139,000","-2,567,000",,,,,,,,
			DeferredIncomeTax,"1,236,000","-11,424,000","6,246,000","2,249,000","4,165,000","-2,392,000","1,322,000","6,155,000","4,739,000","-1,080,000","1,510,000","-556,000","6,112,000","-8,629,000","-11,440,000","851,000","1,139,000","-2,567,000",,,,,,,,
		ProvisionandWriteOffofAssets,,,,,,,,,,,,"645,000","0","0","-969,000","-151,000","-642,000","872,000",,,,,,,,
		StockBasedCompensation,"6,264,000","1,630,000","1,182,000","1,526,000","1,926,000","727,000","1,342,000","1,110,000","844,000","1,113,000","1,204,000","1,052,000","720,000","1,040,000","572,000",,,,,,,,,,,
		OtherNonCashItems,"7,128,000","-195,000","2,162,000","1,476,000","3,685,000","1,957,000","4,805,000","4,024,000","2,636,000","2,970,000","3,293,000","-4,299,000","-16,292,000","1,274,000","-44,293,000","178,000","258,000","155,000","-334,899","-300,627","-199,529","-122,454","-69,174",,,
		ChangeInWorkingCapital,"-114,703,000","-55,675,000","-53,535,000","-23,797,000","18,304,000","-44,737,000","98,870,000","-27,657,000","-17,268,000","-83,970,000","98,969,000","-20,781,000","-32,559,000","-21,228,000","48,612,000","-6,298,000","5,657,000","31,805,000","51,440","132,337","44,580","27,289","19,689",,,
			ChangeInReceivables,"-156,657,000","20,339,000","55,067,000","-140,783,000","-91,280,000","-9,026,000","93,930,000","30,031,000","-84,297,000","34,383,000","-28,007,000","-50,015,000","-100,461,000","68,949,000","79,594,000","-87,561,000","-55,987,000","24,623,000",,,,,,,,
				ChangesInAccountReceivables,"-83,234,000","26,160,000","46,706,000","-95,082,000","-61,018,000","-7,513,000","22,600,000","25,676,000","-57,280,000","48,931,000","-23,204,000","-16,067,000","-84,395,000","81,354,000","36,465,000","-67,630,000","-26,203,000","20,938,000",,,,,,,,
