name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,12/31/2017
TotalAssets,"176,849,000","190,506,000","193,966,000","207,332,000","215,761,000","223,142,000","154,315,000","159,248,000","167,819,000","117,009,000","121,316,000","127,122,000","132,054,000","138,521,000","28,395,000","29,913,000","35,834,000"
	CurrentAssets,"161,261,000","175,866,000","185,648,000","199,112,000","208,110,000","218,241,000","149,522,000","154,529,000","161,964,000","111,462,000","112,713,000","119,018,000","129,397,000","136,042,000","24,861,000","27,322,000","33,629,000"
		CashCashEquivalentsAndShortTermInvestments,"130,731,000","146,979,000","160,851,000","176,633,000","185,051,000","196,432,000","132,020,000","137,668,000","144,941,000","91,780,000","96,223,000","103,276,000","115,309,000","122,223,000","14,004,000","16,233,000","22,408,000"
			CashAndCashEquivalents,"27,329,000","63,419,000","59,863,000","48,125,000","37,364,000","53,581,000","55,996,000","66,169,000","67,568,000","10,435,000","12,614,000","11,496,000","12,561,000","25,120,000","14,004,000","16,233,000","22,408,000"
				CashFinancial,,,,,,,,,,,"3,658,000",,,,,,
				CashEquivalents,,,,,,,,,,,"8,956,000",,,,,,
			OtherShortTermInvestments,"103,402,000","83,560,000","100,988,000","128,508,000","147,687,000","142,851,000","76,024,000","71,499,000","77,373,000","81,345,000","83,609,000","91,780,000","102,748,000","97,103,000",,,
		Receivables,"12,682,000","14,246,000","12,617,000","11,894,000","13,088,000","13,611,000","11,417,000","10,260,000","9,361,000","11,720,000","9,918,000","9,404,000","8,411,000","8,486,000","7,092,000","7,254,000","7,416,000"
			AccountsReceivable,"12,682,000","14,246,000","12,617,000","11,894,000","13,088,000","13,611,000","11,417,000","10,260,000","9,361,000","11,720,000","9,918,000","9,404,000","8,411,000","8,486,000","7,092,000","7,254,000","7,416,000"
				GrossAccountsReceivable,"12,940,000","14,510,000","12,881,000","12,158,000","13,351,000","13,874,000","11,680,000","10,523,000","9,633,000","11,958,000","10,228,000","9,692,000","8,673,000","8,223,000","7,356,000","7,517,000","7,684,000"
				AllowanceForDoubtfulAccountsReceivable,"-258,000","-264,000","-264,000","-264,000","-263,000","-263,000","-263,000","-263,000","-272,000","-238,000","-310,000","-288,000","-262,000","263,000","-264,000","-263,000","-268,000"
		Inventory,"14,705,000","11,498,000","10,246,000","8,151,000","7,408,000","5,633,000","5,071,000","4,969,000","5,726,000","5,452,000","4,953,000","4,436,000","3,516,000","3,343,000","3,028,000","2,888,000","2,553,000"
			WorkInProcess,"800,000",,,,,,,,,,,,,,,,
			FinishedGoods,"13,900,000","11,498,000","10,246,000","8,151,000","7,408,000","5,633,000","5,071,000","4,969,000","5,726,000","5,452,000","4,953,000","4,436,000","3,516,000","3,343,000","3,028,000","2,888,000","2,553,000"
			OtherInventories,"5,000",,,,,,,,,,,,,,,,
		PrepaidAssets,"3,143,000","3,143,000","1,934,000","2,434,000","2,563,000","2,565,000","1,014,000","1,632,000","1,936,000","2,510,000","1,619,000","1,902,000","2,161,000","1,990,000","737,000","947,000","1,252,000"
	TotalNonCurrentAssets,"15,588,000","14,640,000","8,318,000","8,220,000","7,651,000","4,901,000","4,793,000","4,719,000","5,855,000","5,547,000","8,603,000","8,104,000","2,657,000","2,479,000","3,534,000","2,591,000","2,205,000"
		NetPPE,"15,193,000","14,240,000","7,913,000","7,868,000","7,285,000","4,527,000","4,479,000","4,407,000","4,269,000","3,954,000","3,025,000","2,532,000","2,336,000","2,154,000","2,048,000","2,211,000","1,896,000"
			GrossPPE,"22,833,000","21,206,000","14,247,000","13,635,000","12,542,000","9,484,000","9,060,000","8,685,000","8,289,000","7,749,000","6,684,000","6,039,000","5,881,000","5,518,000","5,244,000","5,256,000","4,918,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
				MachineryFurnitureEquipment,"12,442,000","11,798,000","10,838,000","10,361,000","8,332,000","7,289,000","6,826,000","5,990,000","5,793,000","5,398,000","4,890,000","4,688,000","4,622,000","4,340,000","4,141,000","4,007,000","3,767,000"
				OtherProperties,"4,917,000","5,248,000",,,,,,,,,,,,,,,
				ConstructionInProgress,"3,844,000","3,657,000","2,906,000","2,771,000","3,707,000","1,692,000","1,731,000","2,193,000","1,994,000","1,854,000","1,297,000","854,000","778,000","730,000","660,000","806,000","879,000"
				Leases,"1,630,000","503,000","503,000","503,000","503,000","503,000","503,000","502,000","502,000","497,000","497,000","497,000","481,000","448,000","443,000","443,000","272,000"
			AccumulatedDepreciation,"-7,640,000","-6,966,000","-6,334,000","-5,767,000","-5,257,000","-4,957,000","-4,581,000","-4,278,000","-4,020,000","-3,795,000","-3,659,000","-3,507,000","-3,545,000","-3,364,000","-3,196,000","-3,045,000","-3,022,000"
