name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017
OperatingCashFlow,"113,460,000","13,641,000","-39,374,000","-4,269,000","143,462,000","-20,061,000","-191,762,000","-338,620,000","116,244,000","-65,176,000","-70,360,000","-72,859,000","27,524,000","-11,167,000","-30,162,000","11,355,000","-11,714,000","27,454,000","-17,105,000"
	CashFlowFromContinuingOperatingActivities,"113,460,000","13,641,000","-39,374,000","-4,269,000","143,462,000","-20,061,000","-191,762,000","-338,620,000","116,244,000","-65,176,000","-70,360,000","-72,859,000","27,524,000","-11,167,000","-30,162,000","11,355,000","-11,714,000","27,454,000","-17,105,000"
		NetIncomeFromContinuingOperations,"93,204,000","27,386,000","21,391,000","23,492,000","20,935,000","12,710,000","9,119,000","7,060,000","5,466,000","4,393,000","3,598,000","6,656,000","5,156,000","9,436,000","8,020,000","6,279,000","4,491,000","3,543,000","1,939,000"
		OperatingGainsLosses,,,,,,,,"96,000","-2,500,000","-2,628,000","-959,000","-248,000","-156,000","-5,698,000","-12,000","-401,000","-343,000","60,000","-392,000"
			GainLossOnSaleOfBusiness,,,,,,,"0","0","0","0","0","0","0","-5,509,000",,,"0","0",
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,"0",,,,"68,000"
			GainLossOnInvestmentSecurities,,,,,,,,"0","-2,556,000","-1,197,000",,,,,,,,,
		DepreciationAmortizationDepletion,"2,791,000","815,000","720,000","623,000","633,000","644,000","3,049,000","965,000","740,000","830,000","1,902,000","275,000","241,000","255,000","330,000","299,000","266,000","283,000","278,000"
			DepreciationAndAmortization,"2,791,000","815,000","720,000","623,000","633,000","644,000","3,049,000","965,000","740,000","830,000","1,902,000","275,000","241,000","255,000","330,000","299,000","266,000","283,000","278,000"
		DeferredTax,,,,,,,,"-428,000","132,000","487,000","549,000","-352,000","168,000","-6,000","297,000","-14,000","-40,000","-397,000","1,110,000"
			DeferredIncomeTax,,,,,,,,"-428,000","132,000","487,000","549,000","-352,000","168,000","-6,000","297,000","-14,000","-40,000","-397,000","1,110,000"
		AmortizationOfSecurities,,,,,,,,,,,"732,000","712,000","419,000","130,000","77,000","108,000","110,000","90,000","-967,000"
		StockBasedCompensation,"2,371,000","729,000","559,000","587,000","496,000","290,000","225,000","259,000","201,000","199,000","111,000","17,000","30,000","19,000","15,000","17,000","78,000","2,000","0"
		OtherNonCashItems,"-25,855,000","-20,763,000","-75,818,000","-77,165,000","147,891,000","-31,517,000","-206,709,000","-345,126,000","112,160,000","-69,469,000","-59,572,000","-81,326,000","10,825,000","-15,724,000","-35,314,000","4,062,000","-15,222,000","21,653,000","-18,959,000"
		ChangeInWorkingCapital,"-50,972,000","-32,302,000","-13,342,000","29,681,000","-35,009,000","-3,650,000","-3,525,000","-2,590,000","-1,585,000","-433,000","-16,993,000","1,235,000","10,951,000","256,000","-1,137,000","1,232,000","-1,571,000","2,082,000","-417,000"
			ChangeInReceivables,"-74,349,000","15,480,000","-69,732,000","21,622,000","-41,719,000","-4,119,000","463,000","-4,840,000","-1,882,000","-520,000","-1,595,000","457,000","-271,000","186,000","-818,000","-334,000","-208,000","61,000",
				ChangesInAccountReceivables,"-74,349,000","15,480,000","-69,732,000","21,622,000","-41,719,000","-4,119,000","463,000","-4,840,000","-1,882,000","-520,000","-1,595,000","457,000","-271,000","186,000","-818,000","-334,000","-208,000","61,000",
			ChangeInPayablesAndAccruedExpense,"23,377,000","-47,782,000","56,390,000","8,059,000","6,710,000","469,000","-3,988,000","2,250,000","297,000","87,000","-2,711,000","1,217,000","-2,232,000","398,000","-84,000","1,078,000","11,000","1,962,000","534,000"
				ChangeInAccruedExpense,"23,377,000","-47,782,000","56,390,000","8,059,000","6,710,000","469,000","-3,988,000","2,250,000","297,000","87,000","-2,711,000","1,217,000","-2,232,000","398,000","-84,000","1,078,000","11,000","1,962,000","534,000"
			ChangeInOtherCurrentAssets,,,,,,,,,,,,"-439,000","13,454,000","-328,000","-235,000","488,000","-1,374,000","59,000","-1,105,000"
