name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013
OperatingCashFlow,"201,092,000","61,819,000","34,430,000","100,165,000","4,678,000","53,220,000","40,523,000","46,614,000","47,819,000","41,895,000","48,150,000","26,605,000","46,493,000","24,751,000","41,200,000","33,709,000","29,011,000","40,677,000","28,454,000","33,584,000","36,188,000","32,728,000","24,347,000","30,134,000","31,783,000","28,130,000","35,754,000","21,964,000","9,948,000","34,489,000","-10,045,000","1,121,000","17,773,000","-18,542,000","-1,248,000","-1,316,000"
	CashFlowFromContinuingOperatingActivities,"201,092,000","61,819,000","34,430,000","100,165,000","4,678,000","53,220,000","40,523,000","46,614,000","47,819,000","41,895,000","48,150,000","26,605,000","46,493,000","24,751,000","41,200,000","33,709,000","29,011,000","40,677,000","28,454,000","33,584,000","36,188,000","32,728,000","24,347,000","30,134,000","31,783,000","28,130,000","35,754,000","21,964,000","9,948,000","34,489,000","-10,045,000","1,121,000","17,773,000","-18,542,000","-1,248,000","-1,316,000"
		NetIncomeFromContinuingOperations,"17,723,000","10,541,000","-2,796,000","7,390,000","2,588,000","4,184,000","-8,495,000","4,142,000","5,530,000","9,601,000","12,931,000","9,941,000","15,328,000","8,276,000","-4,290,000","2,632,000","7,743,000","4,812,000","8,449,000","2,487,000","5,200,000","7,450,000","16,071,000","9,016,000","15,932,000","6,558,000","12,449,000","5,488,000","-45,807,000","25,855,000","-5,208,000","-24,558,000","-7,479,000","-16,349,000","-2,603,000","-3,090,000"
		OperatingGainsLosses,"-10,184,000","-4,210,000","-1,497,000","-4,786,000","309,000","-1,762,000","14,088,000","3,061,000","1,478,000","-2,082,000","-4,611,000","-8,084,000","-6,613,000","-364,000","-1,754,000","4,507,000","-2,391,000","2,593,000","1,595,000","3,235,000","6,225,000","1,717,000","-18,657,000","-1,173,000","-6,501,000","1,809,000","39,000","6,000","31,000","-10,000",,,,,,
			NetForeignCurrencyExchangeGainLoss,"-8,700,000","-4,210,000","-1,201,000","-3,591,000","302,000","-1,762,000","10,487,000","3,061,000","1,325,000","-2,082,000","4,592,000","-1,670,000","-455,000","528,000","-1,754,000","-1,323,000","-6,209,000","2,593,000","1,595,000","3,510,000","6,082,000","2,674,000","-6,636,000","147,000","-6,501,000","1,809,000",,,,,,,,,,
			GainLossOnInvestmentSecurities,,,"-296,000","-1,195,000",,,"0","0",,,"-8,824,000","-6,977,000","-6,923,000","-892,000","0","1,933,000",,,"0","-275,000","143,000","-957,000","-12,021,000",,,,"39,000","6,000","31,000","-10,000",,,,,,
		DepreciationAmortizationDepletion,"168,029,000","41,184,000","43,173,000","42,814,000","40,858,000","40,831,000","37,069,000","36,119,000","35,010,000","34,580,000","33,240,000","32,855,000","32,423,000","32,651,000","31,428,000","31,580,000","31,218,000","30,949,000","29,945,000","31,234,000","28,819,000","28,344,000","24,110,000","24,048,000","24,421,000","24,394,000","24,494,000","23,552,000","22,693,000","21,717,000","14,384,000","15,126,000","7,574,000","4,420,000","1,274,000","684,000"
			DepreciationAndAmortization,"168,029,000","41,184,000","43,173,000","42,814,000","40,858,000","40,831,000","37,069,000","36,119,000","35,010,000","34,580,000","33,240,000","32,855,000","32,423,000","32,651,000","31,428,000","31,580,000","31,218,000","30,949,000","29,945,000","31,234,000","28,819,000","28,344,000","24,110,000","24,048,000","24,421,000","24,394,000","24,494,000","23,552,000","22,693,000","21,717,000","14,384,000","15,126,000","7,574,000","4,420,000","1,274,000","684,000"
				Depreciation,"97,124,000","24,798,000","24,411,000","24,180,000","23,735,000","22,701,000","21,311,000","21,052,000","19,703,000","19,263,000","21,090,000","17,348,000","14,086,000","16,733,000","16,696,000","16,261,000","16,042,000","15,850,000","15,320,000","15,095,000","14,690,000","14,280,000","12,563,000","12,472,000","12,692,000","12,606,000","12,748,000","12,413,000","11,604,000","10,884,000","5,220,000","8,956,000","4,281,000","2,399,000","506,000","261,000"
				AmortizationCashFlow,"70,905,000","16,386,000","18,762,000","18,634,000","17,123,000","18,130,000","15,758,000","15,067,000","15,307,000","15,317,000","12,150,000","15,507,000","18,337,000","15,918,000","14,732,000","15,319,000","15,176,000","15,099,000","14,625,000","16,139,000","14,129,000","14,064,000","11,547,000","11,576,000","11,729,000","11,788,000","11,746,000","11,139,000","11,089,000","10,833,000","9,164,000","6,170,000","3,293,000","2,021,000","768,000","423,000"
