name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017
OperatingCashFlow,"-190,805,000","-43,160,000","-59,035,000","-51,949,000","-36,661,000","-34,625,000","-27,019,000","-24,572,000","-13,905,000","-17,932,000","-11,293,000","-7,696,000","-12,950,000","-7,207,000","-8,340,000","-4,984,000","-4,448,000","-11,259,000","-4,897,000","-4,996,000"
	CashFlowFromContinuingOperatingActivities,"-190,805,000","-43,160,000","-59,035,000","-51,949,000","-36,661,000","-34,625,000","-27,019,000","-24,572,000","-13,905,000","-17,932,000","-11,293,000","-7,696,000","-12,950,000","-7,207,000","-8,340,000","-4,984,000","-4,448,000","-11,259,000","-4,897,000","-4,996,000"
		NetIncomeFromContinuingOperations,"-312,252,000","-95,709,000","-93,165,000","-67,526,000","-55,852,000","-50,447,000","-46,583,000","-36,122,000","-25,999,000","-24,392,000","-15,616,000","-12,380,000","-11,385,000","-7,984,000","-14,662,000","-10,452,000","-7,409,000","-8,920,000","-11,570,000","-4,583,000"
		OperatingGainsLosses,,,,,,,,,,,,,,,"5,553,000","2,145,000","518,000","1,951,000","1,040,000",
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,"74,000","2,145,000","518,000","1,951,000","1,040,000",
		DepreciationAmortizationDepletion,"8,726,000","2,202,000","2,178,000","2,170,000","2,176,000","2,187,000","2,098,000","1,695,000","197,000","218,000","506,000","145,000","130,000","130,000","123,000","123,000","122,000","122,000","186,000","129,000"
			DepreciationAndAmortization,"8,726,000","2,202,000","2,178,000","2,170,000","2,176,000","2,187,000","2,098,000","1,695,000","197,000","218,000","506,000","145,000","130,000","130,000","123,000","123,000","122,000","122,000","186,000","129,000"
				Depreciation,"8,726,000","2,202,000","2,178,000","2,170,000","2,176,000","2,187,000","2,098,000","1,695,000","197,000","218,000","506,000","145,000","130,000","130,000","123,000","123,000","122,000","122,000","186,000","129,000"
		AmortizationOfSecurities,"6,000","0","0","0","6,000","19,000","94,000","86,000","-106,000","-125,000","-46,000","-77,000","-100,000","-18,000",,,,"0",,
		StockBasedCompensation,"79,555,000","28,095,000","27,996,000","12,377,000","11,087,000","9,925,000","9,455,000","8,241,000","6,890,000","6,082,000","1,936,000","1,773,000","1,244,000","1,157,000","1,116,000","800,000","657,000","92,000","68,000","69,000"
