name,ttm,03/31/2022,12/31/2021,09/30/2021,03/31/2021,12/31/2020,09/30/2020
TotalRevenue,"438,145,000","168,405,000","148,494,000","77,610,000","44,097,000","32,058,000","13,302,000"
	OperatingRevenue,"438,145,000","168,405,000","148,494,000","77,610,000","44,097,000","32,058,000","13,302,000"
CostOfRevenue,"191,422,000","85,432,000","66,578,000","22,302,000","23,700,000","13,842,000","1,769,000"
GrossProfit,"246,723,000","82,973,000","81,916,000","55,308,000","20,397,000","18,216,000","11,533,000"
OperatingExpense,"2,692,590,000","757,488,000","1,766,651,000","81,980,000","77,512,000","74,104,000","45,946,000"
	SellingGeneralAndAdministration,"1,279,793,000","434,768,000","781,626,000","28,959,000","17,927,000","12,913,000","9,876,000"
		GeneralAndAdministrativeExpense,"1,279,793,000","434,768,000","781,626,000","28,959,000","17,927,000","12,913,000","9,876,000"
			OtherGandA,"1,279,793,000","434,768,000","781,626,000","28,959,000","17,927,000","12,913,000","9,876,000"
	ResearchAndDevelopment,"1,412,797,000","322,720,000","985,025,000","53,021,000","59,585,000","61,191,000","36,070,000"
OperatingIncome,"-2,445,867,000","-674,515,000","-1,684,735,000","-26,672,000","-57,115,000","-55,888,000","-34,413,000"
NetNonOperatingInterestIncomeExpense,"-1,458,000","-397,000","-55,000","-528,000","-475,000","-3,573,000","2,726,000"
	InterestIncomeNonOperating,,,"496,000","121,000",,"-2,983,000","3,318,000"
	InterestExpenseNonOperating,"2,295,000","397,000","551,000","649,000","475,000","590,000","592,000"
OtherIncomeExpense,"91,363,000","82,135,000","79,112,000","-75,412,000","-17,347,000","13,070,000","5,567,000"
	GainOnSaleOfSecurity,"119,935,000","85,485,000","62,545,000","-30,850,000","12,622,000","1,245,000","-90,000"
	EarningsFromEquityInterest,"-69,547,000","-20,887,000","-4,663,000","-39,651,000","-28,624,000","1,755,000","-237,000"
	SpecialIncomeCharges,"39,726,000","15,900,000","22,847,000",,"0",,
		OtherSpecialCharges,,,"-22,847,000",,,,
		GainOnSaleOfBusiness,,"15,900,000",,,"0",,
	OtherNonOperatingIncomeExpenses,"1,249,000","1,637,000","-2,596,000","-4,911,000","-1,345,000","1,784,000","5,894,000"
PretaxIncome,"-2,355,962,000","-592,777,000","-1,605,678,000","-102,612,000","-74,937,000","-46,391,000","-26,120,000"
TaxProvision,"-1,505,000","-184,000","-683,000","-207,000","-159,000","8,000","6,000"
NetIncomeCommonStockholders,"-2,405,598,000","-590,505,000","-1,659,271,000","-101,881,000","-73,569,000","-46,924,000","-26,055,000"
	NetIncome,"-2,346,983,000","-590,505,000","-1,600,656,000","-101,881,000","-73,569,000","-46,924,000","-26,055,000"
		NetIncomeIncludingNoncontrollingInterests,"-2,354,457,000","-592,593,000","-1,604,995,000","-102,405,000","-74,778,000","-46,399,000","-26,126,000"
			NetIncomeContinuousOperations,"-2,354,457,000","-592,593,000","-1,604,995,000","-102,405,000","-74,778,000","-46,399,000","-26,126,000"
		MinorityInterests,"7,474,000","2,088,000","4,339,000","524,000","1,209,000","-525,000","71,000"
DilutedNIAvailtoComStockholders,"-2,405,598,000","-590,505,000","-1,659,271,000","-101,881,000","-73,569,000","-46,924,000","-26,055,000"
BasicEPS,,"-0.37","-1.05","-0.08","-0.05",,"-0.018"
DilutedEPS,,"-0.37","-1.1","-0.08","-0.05",,"-0.018"
BasicAverageShares,,"1,607,499,887","1,531,138,824","1,323,574,063","1,485,061,236",,"1,485,061,236"
DilutedAverageShares,,"1,607,499,887","1,531,551,830","1,323,574,063","1,485,061,236",,"1,485,061,236"
TotalOperatingIncomeAsReported,"-2,445,867,000","-674,515,000","-1,684,735,000","-26,672,000","-57,115,000","-55,888,000","-34,413,000"
TotalExpenses,"2,884,012,000","842,920,000","1,833,229,000","104,282,000","101,212,000","87,946,000","47,715,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-2,346,983,000","-590,505,000","-1,600,656,000","-101,881,000","-73,569,000","-46,924,000","-26,055,000"
NormalizedIncome,"-2,506,542,007.776","-691,858,529.751","-1,686,990,260.758","-71,093,233.949","-86,164,218.864","-53,881,630","-25,989,300"
InterestIncome,,,"496,000","121,000",,"-2,983,000","3,318,000"
InterestExpense,"2,295,000","397,000","551,000","649,000","475,000","590,000","592,000"
NetInterestIncome,"-1,458,000","-397,000","-55,000","-528,000","-475,000","-3,573,000","2,726,000"
EBIT,"-2,353,667,000","-592,380,000","-1,605,127,000","-101,963,000","-74,462,000","-45,801,000","-25,528,000"
EBITDA,"-2,320,732,000"
ReconciledCostOfRevenue,"191,422,000","85,432,000","66,578,000","22,302,000","23,700,000","13,842,000","1,769,000"
ReconciledDepreciation,"32,935,000","9,488,000","8,003,000",,"5,629,000","4,004,000",
NetIncomeFromContinuingOperationNetMinorityInterest,"-2,346,983,000","-590,505,000","-1,600,656,000","-101,881,000","-73,569,000","-46,924,000","-26,055,000"
TotalUnusualItemsExcludingGoodwill,"159,661,000","101,385,000","86,371,000","-30,850,000","12,622,000","9,531,000","-90,000"
TotalUnusualItems,"159,661,000","101,385,000","86,371,000","-30,850,000","12,622,000","9,531,000","-90,000"
NormalizedEBITDA,"-2,480,393,000","-684,277,000","-1,683,495,000","-71,113,000","-81,455,000","-51,328,000","-25,438,000"
TaxRateForCalcs,"0.001","0","0","0.002","0.002","0.27","0.27"
TaxEffectOfUnusualItems,"101,992.224","31,470.249","36,739.242","-62,233.949","26,781.136","2,573,370","-24,300"
